scene_index,scene_id,scene_name,scene_flags,frame_hash,player_x_raw,player_y_raw,player_x,player_y,angle_raw,angle_degrees,primary_hex,secondary_hex,sample_index,scene_sample_index,detailed,status,total_ticks,total_ms,wait_ticks,wait_ms,background_ticks,background_ms,columns_ticks,columns_ms,casts,max_depth,trace_total_ticks,trace_total_ms,trace_category_delta_ticks,portal_transforms,wall_calls,mask_calls,portal_candidates,linked_exits,textured_rows,dda_steps,admin_raw_ticks,admin_entries,admin_corrected_ticks,admin_corrected_ms,wait_raw_ticks,wait_entries,wait_corrected_ticks,wait_corrected_ms,background_raw_ticks,background_entries,background_corrected_ticks,background_corrected_ms,dda_raw_ticks,dda_entries,dda_corrected_ticks,dda_corrected_ms,portal_trace_raw_ticks,portal_trace_entries,portal_trace_corrected_ticks,portal_trace_corrected_ms,wall_draw_raw_ticks,wall_draw_entries,wall_draw_corrected_ticks,wall_draw_corrected_ms,portal_draw_raw_ticks,portal_draw_entries,portal_draw_corrected_ticks,portal_draw_corrected_ms
0,1,NEAR_WALL,0x00,0xAA5E6985,384,384,1.5,1.5,8192,180.0,00000000,00000000,0,0,0,0x00,1468,44.7998046875,1,0.030517578125,361,11.016845703125,1103,33.660888671875,80,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
0,1,NEAR_WALL,0x00,0xAA5E6985,384,384,1.5,1.5,8192,180.0,00000000,00000000,1,1,0,0x00,1468,44.7998046875,1,0.030517578125,360,10.986328125,1103,33.660888671875,80,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
0,1,NEAR_WALL,0x00,0xAA5E6985,384,384,1.5,1.5,8192,180.0,00000000,00000000,2,2,0,0x00,1468,44.7998046875,1,0.030517578125,361,11.016845703125,1103,33.660888671875,80,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
0,1,NEAR_WALL,0x00,0xAA5E6985,384,384,1.5,1.5,8192,180.0,00000000,00000000,3,3,0,0x00,1467,44.769287109375,1,0.030517578125,361,11.016845703125,1103,33.660888671875,80,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
0,1,NEAR_WALL,0x00,0xAA5E6985,384,384,1.5,1.5,8192,180.0,00000000,00000000,4,4,0,0x00,1468,44.7998046875,1,0.030517578125,361,11.016845703125,1103,33.660888671875,80,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
0,1,NEAR_WALL,0x00,0xAA5E6985,384,384,1.5,1.5,8192,180.0,00000000,00000000,5,5,0,0x00,1468,44.7998046875,0,0.0,361,11.016845703125,1103,33.660888671875,80,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
0,1,NEAR_WALL,0x00,0xAA5E6985,384,384,1.5,1.5,8192,180.0,00000000,00000000,6,6,0,0x00,1468,44.7998046875,0,0.0,360,10.986328125,1104,33.69140625,80,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
0,1,NEAR_WALL,0x00,0xAA5E6985,384,384,1.5,1.5,8192,180.0,00000000,00000000,7,7,0,0x00,1468,44.7998046875,0,0.0,360,10.986328125,1104,33.69140625,80,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0
0,1,NEAR_WALL,0x00,0xAA5E6985,384,384,1.5,1.5,8192,180.0,00000000,00000000,8,8,1,0x01,1865,56.915283203125,2,0.06103515625,362,11.04736328125,1495,45.623779296875,80,1,1863,56.854248046875,0,0,80,0,0,0,19200,80,259,163,99,3.021240234375,1,1,0,0.0,361,1,360,10.986328125,313,80,234,7.14111328125,141,80,62,1.89208984375,788,80,709,21.636962890625,0,0,0,0.0
0,1,NEAR_WALL,0x00,0xAA5E6985,384,384,1.5,1.5,8192,180.0,00000000,00000000,9,9,1,0x01,1865,56.915283203125,2,0.06103515625,362,11.04736328125,1495,45.623779296875,80,1,1864,56.884765625,0,0,80,0,0,0,19200,80,267,163,107,3.265380859375,1,1,0,0.0,361,1,360,10.986328125,310,80,231,7.049560546875,142,80,63,1.922607421875,783,80,704,21.484375,0,0,0,0.0
