frame_index,simulation_time_seconds,measured_elapsed_ticks,measured_elapsed_ms,measured_elapsed_seconds,section_id,section_name,section_flags,section_flag_names,total_ticks,component_total_ticks,total_ms,instantaneous_fps,update_ticks,update_ms,render_ticks,render_ms,swap_ticks,swap_ms,player_x_raw,player_y_raw,player_x,player_y,map_x,map_y,angle_raw,angle_degrees,move_axis,turn_axis,casts,logical_columns,portal_layer_casts,max_depth,ray_layer_depth,portal_recursion_depth,flags,detailed,timing_excluded_from_clean_stats,crossed_portal,changed,section_end,section_small_room,section_large_room,section_slow_turn,section_fast_turn,section_portal_view,section_portal_approach,section_portal_cross,section_stress,detail_corrected_total_ms,admin_corrected_ms,wait_corrected_ms,background_corrected_ms,dda_corrected_ms,portal_trace_corrected_ms,wall_draw_corrected_ms,portal_draw_corrected_ms,portal_transforms,wall_calls,mask_calls,portal_candidates,linked_exits,textured_rows,dda_steps
0,0.03333333333333333,1799,54.901123046875,0.054901123046875,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1799,1799,54.901123046875,18.21456364647026,15,0.457763671875,1784,54.443359375,0,0.0,364,640,1.421875,2.5,1,2,8192,180.0,1,0,166,80,86,3,3,2,0x06,1,0,0,1,0,0,1,0,0,1,1,1,0,56.0302734375,4.21142578125,0.0,10.772705078125,13.885498046875,12.51220703125,9.796142578125,4.852294921875,86,80,86,86,86,2736,898
1,0.06666666666666667,3590,109.55810546875,0.10955810546875,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1791,1791,54.656982421875,18.295924064768286,15,0.457763671875,1776,54.19921875,0,0.0,344,640,1.34375,2.5,1,2,8192,180.0,1,0,165,80,85,3,3,2,0x04,0,0,0,1,0,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,
2,0.1,5373,163.970947265625,0.163970947265625,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1783,1783,54.412841796875,18.37801458216489,15,0.457763671875,1767,53.924560546875,1,0.030517578125,324,640,1.265625,2.5,1,2,8192,180.0,1,0,164,80,84,3,3,2,0x04,0,0,0,1,0,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,
3,0.13333333333333333,7166,218.68896484375,0.21868896484375,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1793,1793,54.718017578125,18.275515895147798,15,0.457763671875,1777,54.229736328125,1,0.030517578125,304,640,1.1875,2.5,1,2,8192,180.0,1,0,164,80,84,3,3,2,0x04,0,0,0,1,0,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,
4,0.16666666666666666,8380,255.7373046875,0.2557373046875,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1214,1214,37.04833984375,26.99176276771005,19,0.579833984375,1194,36.43798828125,1,0.030517578125,896,321,3.5,1.25390625,3,1,4096,90.0,1,0,80,80,0,1,1,0,0x05,0,0,1,1,0,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,
5,0.2,9580,292.3583984375,0.2923583984375,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1200,1200,36.62109375,27.30666666666667,14,0.42724609375,1185,36.163330078125,1,0.030517578125,896,341,3.5,1.33203125,3,1,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,
6,0.23333333333333334,10789,329.254150390625,0.329254150390625,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1209,1209,36.895751953125,27.10339123242349,14,0.42724609375,1194,36.43798828125,1,0.030517578125,896,361,3.5,1.41015625,3,1,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,
7,0.26666666666666666,11992,365.966796875,0.365966796875,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1203,1203,36.712646484375,27.238570241064007,13,0.396728515625,1189,36.285400390625,1,0.030517578125,896,381,3.5,1.48828125,3,1,4096,90.0,1,0,80,80,0,1,1,0,0x0C,0,0,0,1,1,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,
8,0.3,13196,402.7099609375,0.4027099609375,2,LARGE_ENTRY,0x02,large_room,1204,1204,36.7431640625,27.21594684385382,14,0.42724609375,1190,36.31591796875,0,0.0,896,401,3.5,1.56640625,3,1,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
9,0.3333333333333333,14408,439.697265625,0.439697265625,2,LARGE_ENTRY,0x02,large_room,1212,1212,36.9873046875,27.036303630363037,13,0.396728515625,1198,36.56005859375,1,0.030517578125,896,421,3.5,1.64453125,3,1,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
