frame_index,simulation_time_seconds,measured_elapsed_ticks,measured_elapsed_ms,measured_elapsed_seconds,section_id,section_name,section_flags,section_flag_names,total_ticks,component_total_ticks,total_ms,instantaneous_fps,update_ticks,update_ms,render_ticks,render_ms,swap_ticks,swap_ms,player_x_raw,player_y_raw,player_x,player_y,map_x,map_y,angle_raw,angle_degrees,move_axis,turn_axis,casts,logical_columns,portal_layer_casts,max_depth,ray_layer_depth,portal_recursion_depth,flags,detailed,timing_excluded_from_clean_stats,crossed_portal,changed,section_end,section_small_room,section_large_room,section_slow_turn,section_fast_turn,section_portal_view,section_portal_approach,section_portal_cross,section_stress,detail_corrected_total_ms,admin_corrected_ms,wait_corrected_ms,background_corrected_ms,dda_corrected_ms,portal_trace_corrected_ms,wall_draw_corrected_ms,portal_draw_corrected_ms,portal_transforms,wall_calls,mask_calls,portal_candidates,linked_exits,textured_rows,dda_steps
0,0.03333333333333333,1775,54.168701171875,0.054168701171875,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1775,1775,54.168701171875,18.460845070422536,15,0.457763671875,1759,53.680419921875,1,0.030517578125,364,640,1.421875,2.5,1,2,8192,180.0,1,0,166,80,86,3,3,2,0x06,1,0,0,1,0,0,1,0,0,1,1,1,0,55.23681640625,4.21142578125,0.0,10.80322265625,14.2822265625,11.260986328125,9.918212890625,4.7607421875,86,80,86,86,86,2736,898
1,0.06666666666666667,3542,108.09326171875,0.10809326171875,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1767,1767,53.924560546875,18.54442558007923,15,0.457763671875,1752,53.466796875,0,0.0,344,640,1.34375,2.5,1,2,8192,180.0,1,0,165,80,85,3,3,2,0x04,0,0,0,1,0,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,
2,0.1,5301,161.773681640625,0.161773681640625,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1759,1759,53.680419921875,18.628766344513927,15,0.457763671875,1743,53.192138671875,1,0.030517578125,324,640,1.265625,2.5,1,2,8192,180.0,1,0,164,80,84,3,3,2,0x04,0,0,0,1,0,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,
3,0.13333333333333333,7070,215.75927734375,0.21575927734375,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1769,1769,53.985595703125,18.523459581684566,16,0.48828125,1752,53.466796875,1,0.030517578125,304,640,1.1875,2.5,1,2,8192,180.0,1,0,164,80,84,3,3,2,0x04,0,0,0,1,0,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,
4,0.16666666666666666,8269,252.349853515625,0.252349853515625,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1199,1199,36.590576171875,27.329441201000833,19,0.579833984375,1180,36.0107421875,0,0.0,896,321,3.5,1.25390625,3,1,4096,90.0,1,0,80,80,0,1,1,0,0x05,0,0,1,1,0,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,
5,0.2,9454,288.51318359375,0.28851318359375,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1185,1185,36.163330078125,27.652320675105486,14,0.42724609375,1171,35.736083984375,0,0.0,896,341,3.5,1.33203125,3,1,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,
6,0.23333333333333334,10647,324.920654296875,0.324920654296875,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1193,1193,36.407470703125,27.466890192791283,14,0.42724609375,1179,35.980224609375,0,0.0,896,361,3.5,1.41015625,3,1,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,
7,0.26666666666666666,11836,361.2060546875,0.3612060546875,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1189,1189,36.285400390625,27.55929352396972,14,0.42724609375,1174,35.82763671875,1,0.030517578125,896,381,3.5,1.48828125,3,1,4096,90.0,1,0,80,80,0,1,1,0,0x0C,0,0,0,1,1,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,
8,0.3,13025,397.491455078125,0.397491455078125,2,LARGE_ENTRY,0x02,large_room,1189,1189,36.285400390625,27.55929352396972,13,0.396728515625,1176,35.888671875,0,0.0,896,401,3.5,1.56640625,3,1,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
9,0.3333333333333333,14223,434.051513671875,0.434051513671875,2,LARGE_ENTRY,0x02,large_room,1198,1198,36.56005859375,27.352253756260435,14,0.42724609375,1183,36.102294921875,1,0.030517578125,896,421,3.5,1.64453125,3,1,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
10,0.36666666666666664,15417,470.489501953125,0.470489501953125,2,LARGE_ENTRY,0x02,large_room,1194,1194,36.43798828125,27.44388609715243,14,0.42724609375,1179,35.980224609375,1,0.030517578125,896,441,3.5,1.72265625,3,1,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
11,0.4,16617,507.110595703125,0.507110595703125,2,LARGE_ENTRY,0x02,large_room,1200,1200,36.62109375,27.30666666666667,14,0.42724609375,1185,36.163330078125,1,0.030517578125,896,461,3.5,1.80078125,3,1,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
12,0.43333333333333335,17810,543.51806640625,0.54351806640625,2,LARGE_ENTRY,0x02,large_room,1193,1193,36.407470703125,27.466890192791283,15,0.457763671875,1177,35.919189453125,1,0.030517578125,896,481,3.5,1.87890625,3,1,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
13,0.4666666666666667,18997,579.742431640625,0.579742431640625,2,LARGE_ENTRY,0x02,large_room,1187,1187,36.224365234375,27.605728727885424,15,0.457763671875,1172,35.7666015625,0,0.0,896,501,3.5,1.95703125,3,1,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
14,0.5,20192,616.2109375,0.6162109375,2,LARGE_ENTRY,0x02,large_room,1195,1195,36.468505859375,27.42092050209205,14,0.42724609375,1181,36.041259765625,0,0.0,896,521,3.5,2.03515625,3,2,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
15,0.5333333333333333,21387,652.679443359375,0.652679443359375,2,LARGE_ENTRY,0x02,large_room,1195,1195,36.468505859375,27.42092050209205,13,0.396728515625,1182,36.07177734375,0,0.0,896,541,3.5,2.11328125,3,2,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
16,0.5666666666666667,22584,689.208984375,0.689208984375,2,LARGE_ENTRY,0x02,large_room,1197,1197,36.529541015625,27.375104427736005,14,0.42724609375,1182,36.07177734375,1,0.030517578125,896,561,3.5,2.19140625,3,2,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
17,0.6,23784,725.830078125,0.725830078125,2,LARGE_ENTRY,0x02,large_room,1200,1200,36.62109375,27.30666666666667,14,0.42724609375,1185,36.163330078125,1,0.030517578125,896,581,3.5,2.26953125,3,2,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
18,0.6333333333333333,24988,762.5732421875,0.7625732421875,2,LARGE_ENTRY,0x02,large_room,1204,1204,36.7431640625,27.21594684385382,14,0.42724609375,1190,36.31591796875,0,0.0,896,601,3.5,2.34765625,3,2,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
19,0.6666666666666666,26184,799.072265625,0.799072265625,2,LARGE_ENTRY,0x02,large_room,1196,1196,36.4990234375,27.39799331103679,13,0.396728515625,1183,36.102294921875,0,0.0,896,621,3.5,2.42578125,3,2,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
20,0.7,27382,835.63232421875,0.83563232421875,2,LARGE_ENTRY,0x02,large_room,1198,1198,36.56005859375,27.352253756260435,14,0.42724609375,1183,36.102294921875,1,0.030517578125,896,641,3.5,2.50390625,3,2,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
21,0.7333333333333333,28587,872.406005859375,0.872406005859375,2,LARGE_ENTRY,0x02,large_room,1205,1205,36.773681640625,27.19336099585062,13,0.396728515625,1191,36.346435546875,1,0.030517578125,896,661,3.5,2.58203125,3,2,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
22,0.7666666666666667,29791,909.149169921875,0.909149169921875,2,LARGE_ENTRY,0x02,large_room,1204,1204,36.7431640625,27.21594684385382,14,0.42724609375,1190,36.31591796875,0,0.0,896,681,3.5,2.66015625,3,2,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
23,0.8,30997,945.953369140625,0.945953369140625,2,LARGE_ENTRY,0x02,large_room,1206,1206,36.80419921875,27.170812603648425,14,0.42724609375,1192,36.376953125,0,0.0,896,701,3.5,2.73828125,3,2,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
24,0.8333333333333334,32210,982.97119140625,0.98297119140625,2,LARGE_ENTRY,0x02,large_room,1213,1213,37.017822265625,27.01401483924155,13,0.396728515625,1199,36.590576171875,1,0.030517578125,896,721,3.5,2.81640625,3,2,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
25,0.8666666666666667,33425,1020.050048828125,1.020050048828125,2,LARGE_ENTRY,0x02,large_room,1215,1215,37.078857421875,26.96954732510288,15,0.457763671875,1200,36.62109375,0,0.0,896,741,3.5,2.89453125,3,2,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
