section_index,section_id,section_name,section_flags,section_flag_names,first_frame,frame_count,clean_frame_count,detailed_frame,diagnostic_replay,detailed_frame_timing_excluded,crossing_count,frame_hash,state_hash,clean_duration_ms,clean_average_fps,clean_minimum_fps,clean_maximum_fps,clean_1_percent_low_fps,clean_1_percent_low_frames,clean_0_1_percent_low_fps,clean_0_1_percent_low_frames,frame_ms_min,frame_ms_max,frame_ms_mean,frame_ms_median,frame_ms_pstdev,spike_threshold_ms,spike_count,over_33_333_ms,over_50_ms,over_100_ms,over_twice_median,update_ms_mean,render_ms_mean,swap_ms_mean,detailed_frame_time_ms,selected_clean_frame_time_ms,detailed_intrusion_percent,detail_corrected_total_ms,admin_raw_ticks,admin_entries,admin_corrected_ticks,admin_corrected_ms,wait_raw_ticks,wait_entries,wait_corrected_ticks,wait_corrected_ms,background_raw_ticks,background_entries,background_corrected_ticks,background_corrected_ms,dda_raw_ticks,dda_entries,dda_corrected_ticks,dda_corrected_ms,portal_trace_raw_ticks,portal_trace_entries,portal_trace_corrected_ticks,portal_trace_corrected_ms,wall_draw_raw_ticks,wall_draw_entries,wall_draw_corrected_ticks,wall_draw_corrected_ms,portal_draw_raw_ticks,portal_draw_entries,portal_draw_corrected_ticks,portal_draw_corrected_ms,portal_transforms,wall_calls,mask_calls,portal_candidates,linked_exits,textured_rows,dda_steps
0,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,0,8,8,0,1,0,1,0x946826FD,0x2352C806,361.2060546875,22.148022980736734,18.460845070422536,27.652320675105486,18.460845070422536,1,18.460845070422536,1,36.163330078125,54.168701171875,45.1507568359375,45.135498046875,8.790638570405513,90.27099609375,0,8,4,0,0,0.46539306640625,44.67010498046875,0.0152587890625,54.168701171875,54.168701171875,,55.23681640625,383,249,138,4.21142578125,1,1,0,0.0,355,1,354,10.80322265625,631,166,468,14.2822265625,617,252,369,11.260986328125,404,80,325,9.918212890625,241,86,156,4.7607421875,86,80,86,86,86,2736,898
1,2,LARGE_ENTRY,0x02,large_room,8,20,20,26,1,0,0,0x707261C2,0x67A2B8B0,733.001708984375,27.28506598942504,26.88105004101723,27.605728727885424,26.88105004101723,1,26.88105004101723,1,36.224365234375,37.200927734375,36.65008544921875,36.590576171875,0.2561432159461264,73.18115234375,0,20,0,0,0,0.4241943359375,36.212158203125,0.01373291015625,37.200927734375,37.200927734375,,36.651611328125,269,163,109,3.326416015625,1,1,0,0.0,390,1,389,11.871337890625,336,80,257,7.843017578125,139,80,60,1.8310546875,465,80,386,11.77978515625,0,0,0,0.0,0,80,0,0,0,4649,524
2,3,SLOW_SWEEP,0x16,large_room|slow_turn|portal_view,28,80,80,96,1,0,0,0xC592D532,0xC7CC61A7,3831.0546875,20.88197807800153,18.512994350282487,24.005860805860806,18.512994350282487,1,18.512994350282487,1,41.656494140625,54.01611328125,47.88818359375,48.64501953125,3.748340711461097,97.2900390625,0,80,22,0,0,0.1728057861328125,47.70050048828125,0.0148773193359375,53.985595703125,53.985595703125,,54.534912109375,319,210,112,3.41796875,1,1,0,0.0,478,1,477,14.556884765625,491,127,366,11.16943359375,400,174,229,6.988525390625,480,80,401,12.237548828125,248,47,202,6.16455078125,47,80,47,47,47,5819,619
3,4,FAST_SWEEP,0x9A,large_room|fast_turn|portal_view|stress,108,40,40,142,1,0,0,0x254B6E30,0xF63100A7,1907.989501953125,20.964475936085474,19.504761904761907,22.291156462585032,19.504761904761907,1,19.504761904761907,1,44.86083984375,51.26953125,47.699737548828125,46.7987060546875,1.9993030348370553,93.597412109375,0,40,10,0,0,0.1739501953125,47.509002685546875,0.01678466796875,51.26953125,51.26953125,,51.6357421875,309,203,109,3.326416015625,1,1,0,0.0,414,1,413,12.603759765625,473,120,355,10.833740234375,368,160,210,6.40869140625,503,80,424,12.939453125,220,40,181,5.523681640625,40,80,40,40,40,7380,701
4,5,A_RETURN,0x72,large_room|portal_view|portal_approach|portal_cross,148,28,28,161,1,0,1,0x91CCB15C,0x627406B9,1607.0556640625,17.42316748955564,15.515151515151516,21.07266881028939,15.515151515151516,1,15.515151515151516,1,47.454833984375,64.453125,57.394845145089285,58.59375,4.777660679676128,117.1875,0,28,25,0,0,0.4283360072544643,56.95125034877232,0.0152587890625,64.453125,64.453125,,65.338134765625,351,238,117,3.570556640625,0,1,0,0.0,401,1,400,12.20703125,600,155,447,13.641357421875,577,237,344,10.498046875,461,73,389,11.871337890625,525,82,444,13.5498046875,75,73,82,82,82,10920,941
5,6,B_APPROACH,0x22,large_room|portal_approach,176,76,76,195,1,0,0,0xC09A7B39,0x4FB93E2C,3585.723876953125,21.195162429679055,20.252163164400493,22.14054054054054,20.252163164400493,1,20.252163164400493,1,45.166015625,49.37744140625,47.18057732833059,47.2412109375,0.9227599964730531,94.482421875,0,76,0,0,0,0.2903185392680921,46.87339381167763,0.01686497738486842,49.37744140625,49.37744140625,,49.224853515625,274,171,106,3.23486328125,0,1,0,0.0,759,1,758,23.13232421875,387,88,300,9.1552734375,186,96,91,2.777099609375,410,80,331,10.101318359375,35,8,27,0.823974609375,8,80,8,8,8,2813,1067
6,7,B_VIEW,0x1A,large_room|fast_turn|portal_view,252,40,40,291,1,0,0,0xA9A0E5DE,0x5C2E3AEC,1915.46630859375,20.882643469394257,20.164923076923078,21.62904290429043,20.164923076923078,1,20.164923076923078,1,46.234130859375,49.591064453125,47.88665771484375,47.6226806640625,0.9291474973924322,95.245361328125,0,40,0,0,0,0.1739501953125,47.696685791015625,0.016021728515625,49.591064453125,49.591064453125,,49.49951171875,282,174,111,3.387451171875,1,1,0,0.0,417,1,416,12.6953125,348,91,258,7.87353515625,194,103,93,2.838134765625,726,79,648,19.775390625,108,12,96,2.9296875,11,79,12,12,12,18836,147
7,8,B_TO_SMALL,0x71,small_room|portal_view|portal_approach|portal_cross,292,20,20,292,1,0,0,0x8E131FC5,0xBC25E241,933.04443359375,21.435206384509716,20.91129546904914,21.557894736842105,20.91129546904914,1,20.91129546904914,1,46.38671875,47.821044921875,46.6522216796875,46.600341796875,0.2728039349744114,93.20068359375,0,20,0,0,0,0.48370361328125,46.1517333984375,0.01678466796875,47.821044921875,47.821044921875,,47.332763671875,272,168,107,3.265380859375,1,1,0,0.0,417,1,416,12.6953125,329,85,245,7.476806640625,169,91,79,2.410888671875,729,79,651,19.866943359375,59,6,53,1.617431640625,5,79,6,6,6,19182,111
8,9,SMALL_SWEEP,0x99,small_room|fast_turn|portal_view|stress,312,80,80,336,1,0,0,0x764E7CAB,0xF6FF7E01,4035.46142578125,19.824250949075125,18.357422969187674,21.889111556446228,18.357422969187674,1,18.357422969187674,1,45.684814453125,54.473876953125,50.443267822265625,50.5523681640625,2.0793244010422667,101.104736328125,0,80,54,0,0,0.173187255859375,50.254058837890625,0.016021728515625,54.473876953125,54.473876953125,,54.962158203125,332,207,128,3.90625,1,1,0,0.0,403,1,402,12.26806640625,447,124,325,9.918212890625,389,169,223,6.805419921875,638,79,560,17.08984375,207,45,163,4.974365234375,44,79,45,45,45,14028,254
9,10,B_RETURN,0x71,small_room|portal_view|portal_approach|portal_cross,392,20,20,392,1,0,0,0x3855C7AA,0xC1BAA736,927.093505859375,21.5727969979262,20.739240506329114,22.09575185434929,20.739240506329114,1,20.739240506329114,1,45.257568359375,48.2177734375,46.35467529296875,46.0968017578125,0.9996766279075963,92.193603515625,0,20,0,0,0,0.4608154296875,45.87860107421875,0.0152587890625,48.2177734375,48.2177734375,,47.943115234375,287,183,107,3.265380859375,1,1,0,0.0,610,1,609,18.585205078125,425,100,327,9.979248046875,248,120,130,3.96728515625,405,80,326,9.94873046875,92,20,72,2.197265625,20,80,20,20,20,2544,1100
