frame_index,simulation_time_seconds,measured_elapsed_ticks,measured_elapsed_ms,measured_elapsed_seconds,section_id,section_name,section_flags,section_flag_names,total_ticks,component_total_ticks,total_ms,instantaneous_fps,update_ticks,update_ms,render_ticks,render_ms,swap_ticks,swap_ms,player_x_raw,player_y_raw,player_x,player_y,map_x,map_y,angle_raw,angle_degrees,move_axis,turn_axis,casts,logical_columns,portal_layer_casts,max_depth,ray_layer_depth,portal_recursion_depth,flags,detailed,timing_excluded_from_clean_stats,crossed_portal,changed,section_end,section_small_room,section_large_room,section_slow_turn,section_fast_turn,section_portal_view,section_portal_approach,section_portal_cross,section_stress,detail_corrected_total_ms,admin_corrected_ms,wait_corrected_ms,background_corrected_ms,dda_corrected_ms,portal_trace_corrected_ms,wall_draw_corrected_ms,portal_draw_corrected_ms,portal_transforms,wall_calls,mask_calls,portal_candidates,linked_exits,textured_rows,dda_steps
0,0.03333333333333333,1748,53.3447265625,0.0533447265625,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1748,1748,53.3447265625,18.74599542334096,15,0.457763671875,1732,52.8564453125,1,0.030517578125,364,640,1.421875,2.5,1,2,8192,180.0,1,0,166,80,86,3,3,2,0x06,1,0,0,1,0,0,1,0,0,1,1,1,0,54.412841796875,3.936767578125,0.0,10.80322265625,13.824462890625,10.986328125,9.8876953125,4.974365234375,86,80,86,86,86,2736,898
1,0.06666666666666667,3488,106.4453125,0.1064453125,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1740,1740,53.1005859375,18.832183908045977,15,0.457763671875,1724,52.6123046875,1,0.030517578125,344,640,1.34375,2.5,1,2,8192,180.0,1,0,165,80,85,3,3,2,0x04,0,0,0,1,0,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,
2,0.1,5220,159.3017578125,0.1593017578125,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1732,1732,52.8564453125,18.919168591224018,15,0.457763671875,1716,52.3681640625,1,0.030517578125,324,640,1.265625,2.5,1,2,8192,180.0,1,0,164,80,84,3,3,2,0x04,0,0,0,1,0,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,
3,0.13333333333333333,6961,212.432861328125,0.212432861328125,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1741,1741,53.131103515625,18.821367030442275,15,0.457763671875,1725,52.642822265625,1,0.030517578125,304,640,1.1875,2.5,1,2,8192,180.0,1,0,164,80,84,3,3,2,0x04,0,0,0,1,0,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,
4,0.16666666666666666,8156,248.9013671875,0.2489013671875,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1195,1195,36.468505859375,27.42092050209205,18,0.54931640625,1176,35.888671875,1,0.030517578125,896,321,3.5,1.25390625,3,1,4096,90.0,1,0,80,80,0,1,1,0,0x05,0,0,1,1,0,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,
5,0.2,9338,284.97314453125,0.28497314453125,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1182,1182,36.07177734375,27.722504230118442,14,0.42724609375,1168,35.64453125,0,0.0,896,341,3.5,1.33203125,3,1,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,
6,0.23333333333333334,10528,321.2890625,0.3212890625,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1190,1190,36.31591796875,27.536134453781514,14,0.42724609375,1175,35.858154296875,1,0.030517578125,896,361,3.5,1.41015625,3,1,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,
7,0.26666666666666666,11714,357.48291015625,0.35748291015625,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1186,1186,36.19384765625,27.62900505902192,14,0.42724609375,1171,35.736083984375,1,0.030517578125,896,381,3.5,1.48828125,3,1,4096,90.0,1,0,80,80,0,1,1,0,0x0C,0,0,0,1,1,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,
8,0.3,12902,393.73779296875,0.39373779296875,2,LARGE_ENTRY,0x02,large_room,1188,1188,36.2548828125,27.58249158249158,14,0.42724609375,1173,35.797119140625,1,0.030517578125,896,401,3.5,1.56640625,3,1,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
9,0.3333333333333333,14097,430.206298828125,0.430206298828125,2,LARGE_ENTRY,0x02,large_room,1195,1195,36.468505859375,27.42092050209205,14,0.42724609375,1180,36.0107421875,1,0.030517578125,896,421,3.5,1.64453125,3,1,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
