section_index,section_id,section_name,section_flags,section_flag_names,first_frame,frame_count,clean_frame_count,detailed_frame,diagnostic_replay,detailed_frame_timing_excluded,crossing_count,frame_hash,state_hash,clean_duration_ms,clean_average_fps,clean_minimum_fps,clean_maximum_fps,clean_1_percent_low_fps,clean_1_percent_low_frames,clean_0_1_percent_low_fps,clean_0_1_percent_low_frames,frame_ms_min,frame_ms_max,frame_ms_mean,frame_ms_median,frame_ms_pstdev,spike_threshold_ms,spike_count,over_33_333_ms,over_50_ms,over_100_ms,over_twice_median,update_ms_mean,render_ms_mean,swap_ms_mean,detailed_frame_time_ms,selected_clean_frame_time_ms,detailed_intrusion_percent,detail_corrected_total_ms,admin_raw_ticks,admin_entries,admin_corrected_ticks,admin_corrected_ms,wait_raw_ticks,wait_entries,wait_corrected_ticks,wait_corrected_ms,background_raw_ticks,background_entries,background_corrected_ticks,background_corrected_ms,dda_raw_ticks,dda_entries,dda_corrected_ticks,dda_corrected_ms,portal_trace_raw_ticks,portal_trace_entries,portal_trace_corrected_ticks,portal_trace_corrected_ms,wall_draw_raw_ticks,wall_draw_entries,wall_draw_corrected_ticks,wall_draw_corrected_ms,portal_draw_raw_ticks,portal_draw_entries,portal_draw_corrected_ticks,portal_draw_corrected_ms,portal_transforms,wall_calls,mask_calls,portal_candidates,linked_exits,textured_rows,dda_steps
0,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,0,8,8,0,1,0,1,0x946826FD,0x2352C806,357.48291015625,22.378692163223494,18.74599542334096,27.722504230118442,18.74599542334096,1,18.74599542334096,1,36.07177734375,53.3447265625,44.68536376953125,44.6624755859375,8.424382139818526,89.324951171875,0,8,4,0,0,0.457763671875,44.200897216796875,0.026702880859375,53.3447265625,53.3447265625,,54.412841796875,374,249,129,3.936767578125,1,1,0,0.0,355,1,354,10.80322265625,616,166,453,13.824462890625,608,252,360,10.986328125,403,80,324,9.8876953125,248,86,163,4.974365234375,86,80,86,86,86,2736,898
1,2,LARGE_ENTRY,0x02,large_room,8,20,20,26,1,0,0,0x707261C2,0x67A2B8B0,731.0791015625,27.356820838203372,26.94736842105263,27.675675675675677,26.94736842105263,1,26.94736842105263,1,36.1328125,37.109375,36.553955078125,36.4837646484375,0.2550729210689314,72.967529296875,0,20,0,0,0,0.42877197265625,36.1083984375,0.01678466796875,37.109375,37.109375,,36.529541015625,265,163,105,3.204345703125,1,1,0,0.0,390,1,389,11.871337890625,332,80,253,7.720947265625,138,80,59,1.800537109375,470,80,391,11.932373046875,0,0,0,0.0,0,80,0,0,0,4649,524
2,3,SLOW_SWEEP,0x16,large_room|slow_turn|portal_view,28,80,80,97,1,0,0,0xC592D532,0xC7CC61A7,3802.764892578125,21.037324751823704,18.703196347031962,24.058737151248163,18.703196347031962,1,18.703196347031962,1,41.56494140625,53.466796875,47.53456115722656,48.2177734375,3.581808550211903,96.435546875,0,80,20,0,0,0.1750946044921875,47.344207763671875,0.0152587890625,53.466796875,53.466796875,,53.924560546875,325,210,118,3.60107421875,1,1,0,0.0,478,1,477,14.556884765625,473,127,348,10.6201171875,385,174,214,6.53076171875,482,80,403,12.298583984375,253,47,207,6.317138671875,47,80,47,47,47,5819,619
3,4,FAST_SWEEP,0x9A,large_room|fast_turn|portal_view|stress,108,40,40,142,1,0,0,0x254B6E30,0xF63100A7,1893.646240234375,21.123269568580685,19.692307692307693,22.41313269493844,19.692307692307693,1,19.692307692307693,1,44.61669921875,50.78125,47.341156005859375,46.478271484375,1.9280853645228642,92.95654296875,0,40,5,0,0,0.173187255859375,47.15118408203125,0.01678466796875,50.78125,50.78125,,51.177978515625,327,203,127,3.875732421875,1,1,0,0.0,414,1,413,12.603759765625,464,120,346,10.55908203125,343,160,185,5.645751953125,500,80,421,12.847900390625,224,40,185,5.645751953125,40,80,40,40,40,7380,701
4,5,A_RETURN,0x72,large_room|portal_view|portal_approach|portal_cross,148,28,28,161,1,0,1,0x91CCB15C,0x627406B9,1587.7685546875,17.63481202429461,15.693486590038313,21.20906148867314,15.693486590038313,1,15.693486590038313,1,47.149658203125,63.720703125,56.706019810267854,57.7239990234375,4.603971131149708,115.447998046875,0,28,25,0,0,0.43051583426339285,56.260245186941965,0.0152587890625,63.720703125,63.720703125,,64.5751953125,358,238,124,3.7841796875,1,1,0,0.0,400,1,399,12.176513671875,576,155,423,12.908935546875,574,237,341,10.406494140625,456,73,384,11.71875,526,82,445,13.580322265625,75,73,82,82,82,10920,941
5,6,B_APPROACH,0x22,large_room|portal_approach,176,76,76,195,1,0,0,0xC09A7B39,0x4FB93E2C,3570.220947265625,21.287197941686824,20.302354399008674,22.200542005420054,20.302354399008674,1,20.302354399008674,1,45.0439453125,49.25537109375,46.976591411389805,46.9818115234375,0.8824776172592694,93.963623046875,0,76,0,0,0,0.29312936883223684,46.66740015933388,0.01606188322368421,49.25537109375,49.25537109375,,49.041748046875,277,171,109,3.326416015625,0,1,0,0.0,759,1,758,23.13232421875,378,88,291,8.880615234375,185,96,90,2.74658203125,413,80,334,10.19287109375,33,8,25,0.762939453125,8,80,8,8,8,2813,1067
6,7,B_VIEW,0x1A,large_room|fast_turn|portal_view,252,40,40,272,1,0,0,0xA9A0E5DE,0x5C2E3AEC,1910.82763671875,20.93333759223177,20.264687693259123,21.657633840052874,20.264687693259123,1,20.264687693259123,1,46.173095703125,49.346923828125,47.77069091796875,47.515869140625,0.9112333689945906,95.03173828125,0,40,0,0,0,0.1739501953125,47.580718994140625,0.016021728515625,49.31640625,49.31640625,,49.041748046875,264,163,104,3.173828125,1,1,0,0.0,489,1,488,14.892578125,305,80,226,6.89697265625,142,80,63,1.922607421875,805,80,726,22.15576171875,0,0,0,0.0,0,80,0,0,0,18737,97
7,8,B_TO_SMALL,0x71,small_room|portal_view|portal_approach|portal_cross,292,20,20,292,1,0,0,0x8E131FC5,0xBC25E241,930.7861328125,21.4872131147541,20.978233034571062,21.600527356624916,20.978233034571062,1,20.978233034571062,1,46.295166015625,47.66845703125,46.539306640625,46.478271484375,0.2628766536542728,92.95654296875,0,20,0,0,0,0.48065185546875,46.04034423828125,0.018310546875,47.66845703125,47.66845703125,,47.149658203125,262,168,97,2.960205078125,1,1,0,0.0,417,1,416,12.6953125,329,85,245,7.476806640625,169,91,79,2.410888671875,735,79,657,20.050048828125,57,6,51,1.556396484375,5,79,6,6,6,19182,111
8,9,SMALL_SWEEP,0x99,small_room|fast_turn|portal_view|stress,312,80,80,336,1,0,0,0x764E7CAB,0xF6FF7E01,4000.091552734375,19.999542246805266,18.59704880817253,21.933065595716197,18.59704880817253,1,18.59704880817253,1,45.59326171875,53.77197265625,50.00114440917969,50.1861572265625,1.9310468926435922,100.372314453125,0,80,46,0,0,0.1689910888671875,49.81651306152344,0.0156402587890625,53.77197265625,53.77197265625,,54.290771484375,326,207,122,3.72314453125,1,1,0,0.0,403,1,402,12.26806640625,446,124,324,9.8876953125,368,169,202,6.16455078125,638,79,560,17.08984375,213,45,169,5.157470703125,44,79,45,45,45,14028,254
9,10,B_RETURN,0x71,small_room|portal_view|portal_approach|portal_cross,392,20,20,392,1,0,0,0x3855C7AA,0xC1BAA736,922.18017578125,21.68773578661725,20.88463989802422,22.215593220338985,20.88463989802422,1,20.88463989802422,1,45.013427734375,47.882080078125,46.1090087890625,45.8984375,0.9741706166311045,91.796875,0,20,0,0,0,0.46234130859375,45.63140869140625,0.0152587890625,47.882080078125,47.882080078125,,47.66845703125,275,183,95,2.899169921875,1,1,0,0.0,610,1,609,18.585205078125,425,100,327,9.979248046875,248,120,130,3.96728515625,408,80,329,10.040283203125,92,20,72,2.197265625,20,80,20,20,20,2544,1100
10,11,OPEN_TRAVERSE,0x02,large_room,412,120,120,523,1,0,0,0x92283486,0xE051ABC3,5807.525634765625,20.662844651368097,17.88646288209607,22.215593220338985,17.930506155950752,2,17.88646288209607,1,45.013427734375,55.908203125,48.39604695638021,46.20361328125,3.662406052828543,92.4072265625,0,120,32,0,0,0.4633585611979167,47.916412353515625,0.016276041666666668,55.908203125,55.908203125,,56.121826171875,323,211,115,3.509521484375,1,1,0,0.0,457,1,456,13.916015625,487,128,361,11.016845703125,393,176,220,6.7138671875,564,80,485,14.801025390625,249,48,202,6.16455078125,48,80,48,48,48,10403,714
11,12,OPEN_NAV,0x0A,large_room|fast_turn,532,104,104,533,1,0,0,0x036183B6,0x3BE6E5C2,4664.1845703125,22.29757387003062,17.789359391965256,25.660140955364135,17.79902227050516,2,17.789359391965256,1,38.970947265625,56.21337890625,44.84792856069711,41.534423828125,6.014574508168587,83.06884765625,0,104,26,0,0,0.2288818359375,44.60437481219952,0.014671912560096154,56.21337890625,56.21337890625,,56.94580078125,341,220,124,3.7841796875,0,1,0,0.0,449,1,448,13.671875,514,137,379,11.566162109375,437,194,246,7.50732421875,490,80,411,12.542724609375,314,57,258,7.87353515625,57,80,57,57,57,7875,753
12,13,D_APPROACH,0x32,large_room|portal_view|portal_approach,636,105,105,654,1,0,1,0x072C39C9,0x84051B90,5074.859619140625,20.690227490032655,17.64566505115778,22.55196145905024,17.726805517987557,2,17.64566505115778,1,44.342041015625,56.671142578125,48.331996372767854,47.088623046875,3.8123935765650767,94.17724609375,0,105,30,0,0,0.46299525669642855,47.855340866815474,0.01366024925595238,56.671142578125,56.671142578125,,56.854248046875,330,208,125,3.814697265625,1,1,0,0.0,436,1,435,13.275146484375,472,125,349,10.650634765625,376,170,209,6.378173828125,591,80,512,15.625,277,45,233,7.110595703125,45,80,45,51,45,12066,735
13,14,D_CROSS,0xF2,large_room|portal_view|portal_approach|portal_cross|stress,741,20,20,756,1,0,0,0xD2FC274B,0xE90C5B36,904.144287109375,22.120363182232424,21.81624500665779,22.428473648186174,21.81624500665779,1,21.81624500665779,1,44.586181640625,45.83740234375,45.20721435546875,45.2423095703125,0.3332255426358654,90.484619140625,0,20,0,0,0,0.46844482421875,44.72808837890625,0.01068115234375,45.83740234375,45.83740234375,,45.59326171875,303,184,122,3.72314453125,1,1,0,0.0,516,1,515,15.716552734375,398,101,299,9.124755859375,250,123,129,3.936767578125,424,79,346,10.55908203125,105,22,83,2.532958984375,21,79,22,22,22,3594,761
14,15,D_TURN_BACK,0x9A,large_room|fast_turn|portal_view|stress,761,80,80,779,1,0,0,0x50A040B2,0x01F654B6,3774.47509765625,21.19500008085251,19.907654921020654,23.93571950328707,19.907654921020654,1,19.907654921020654,1,41.778564453125,50.23193359375,47.180938720703125,47.119140625,1.740879885031805,94.23828125,0,80,3,0,0,0.1720428466796875,46.990966796875,0.0179290771484375,50.23193359375,50.23193359375,,50.59814453125,315,200,118,3.60107421875,0,1,0,0.0,533,1,532,16.2353515625,468,117,353,10.772705078125,343,159,186,5.67626953125,378,75,304,9.27734375,206,42,165,5.035400390625,37,75,42,42,42,3105,958
