frame_index,simulation_time_seconds,measured_elapsed_ticks,measured_elapsed_ms,measured_elapsed_seconds,section_id,section_name,section_flags,section_flag_names,total_ticks,component_total_ticks,total_ms,instantaneous_fps,update_ticks,update_ms,render_ticks,render_ms,swap_ticks,swap_ms,player_x_raw,player_y_raw,player_x,player_y,map_x,map_y,angle_raw,angle_degrees,move_axis,turn_axis,casts,logical_columns,portal_layer_casts,max_depth,ray_layer_depth,portal_recursion_depth,flags,detailed,timing_excluded_from_clean_stats,crossed_portal,changed,section_end,section_small_room,section_large_room,section_slow_turn,section_fast_turn,section_portal_view,section_portal_approach,section_portal_cross,section_stress,detail_corrected_total_ms,admin_corrected_ms,wait_corrected_ms,background_corrected_ms,dda_corrected_ms,portal_trace_corrected_ms,wall_draw_corrected_ms,portal_draw_corrected_ms,portal_transforms,wall_calls,mask_calls,portal_candidates,linked_exits,textured_rows,dda_steps
0,0.03333333333333333,1766,53.89404296875,0.05389404296875,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1766,1766,53.89404296875,18.55492638731597,15,0.457763671875,1750,53.40576171875,1,0.030517578125,364,640,1.421875,2.5,1,2,8192,180.0,1,0,166,80,86,3,3,2,0x06,1,0,0,1,0,0,1,0,0,1,1,1,0,54.99267578125,4.2724609375,0.0,10.80322265625,14.16015625,10.3759765625,10.223388671875,5.157470703125,86,80,86,86,86,2736,898
1,0.06666666666666667,3524,107.5439453125,0.1075439453125,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1758,1758,53.64990234375,18.639362912400454,15,0.457763671875,1743,53.192138671875,0,0.0,344,640,1.34375,2.5,1,2,8192,180.0,1,0,165,80,85,3,3,2,0x04,0,0,0,1,0,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,
2,0.1,5274,160.94970703125,0.16094970703125,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1750,1750,53.40576171875,18.72457142857143,15,0.457763671875,1734,52.91748046875,1,0.030517578125,324,640,1.265625,2.5,1,2,8192,180.0,1,0,164,80,84,3,3,2,0x04,0,0,0,1,0,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,
3,0.13333333333333333,7033,214.630126953125,0.214630126953125,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1759,1759,53.680419921875,18.628766344513927,15,0.457763671875,1743,53.192138671875,1,0.030517578125,304,640,1.1875,2.5,1,2,8192,180.0,1,0,164,80,84,3,3,2,0x04,0,0,0,1,0,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,
4,0.16666666666666666,8234,251.28173828125,0.25128173828125,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1201,1201,36.651611328125,27.283930058284763,19,0.579833984375,1181,36.041259765625,1,0.030517578125,896,321,3.5,1.25390625,3,1,4096,90.0,1,0,80,80,0,1,1,0,0x05,0,0,1,1,0,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,
5,0.2,9419,287.445068359375,0.287445068359375,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1185,1185,36.163330078125,27.652320675105486,13,0.396728515625,1172,35.7666015625,0,0.0,896,341,3.5,1.33203125,3,1,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,
6,0.23333333333333334,10613,323.883056640625,0.323883056640625,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1194,1194,36.43798828125,27.44388609715243,14,0.42724609375,1180,36.0107421875,0,0.0,896,361,3.5,1.41015625,3,1,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,
7,0.26666666666666666,11801,360.137939453125,0.360137939453125,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1188,1188,36.2548828125,27.58249158249158,13,0.396728515625,1175,35.858154296875,0,0.0,896,381,3.5,1.48828125,3,1,4096,90.0,1,0,80,80,0,1,1,0,0x0C,0,0,0,1,1,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,
8,0.3,12992,396.484375,0.396484375,2,LARGE_ENTRY,0x02,large_room,1191,1191,36.346435546875,27.513014273719563,13,0.396728515625,1177,35.919189453125,1,0.030517578125,896,401,3.5,1.56640625,3,1,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
9,0.3333333333333333,14191,433.074951171875,0.433074951171875,2,LARGE_ENTRY,0x02,large_room,1199,1199,36.590576171875,27.329441201000833,14,0.42724609375,1184,36.1328125,1,0.030517578125,896,421,3.5,1.64453125,3,1,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
