section_index,section_id,section_name,section_flags,section_flag_names,first_frame,frame_count,clean_frame_count,detailed_frame,diagnostic_replay,detailed_frame_timing_excluded,crossing_count,frame_hash,state_hash,clean_duration_ms,clean_average_fps,clean_minimum_fps,clean_maximum_fps,clean_1_percent_low_fps,clean_1_percent_low_frames,clean_0_1_percent_low_fps,clean_0_1_percent_low_frames,frame_ms_min,frame_ms_max,frame_ms_mean,frame_ms_median,frame_ms_pstdev,spike_threshold_ms,spike_count,over_33_333_ms,over_50_ms,over_100_ms,over_twice_median,update_ms_mean,render_ms_mean,swap_ms_mean,detailed_frame_time_ms,selected_clean_frame_time_ms,detailed_intrusion_percent,detail_corrected_total_ms,admin_raw_ticks,admin_entries,admin_corrected_ticks,admin_corrected_ms,wait_raw_ticks,wait_entries,wait_corrected_ticks,wait_corrected_ms,background_raw_ticks,background_entries,background_corrected_ticks,background_corrected_ms,dda_raw_ticks,dda_entries,dda_corrected_ticks,dda_corrected_ms,portal_trace_raw_ticks,portal_trace_entries,portal_trace_corrected_ticks,portal_trace_corrected_ms,wall_draw_raw_ticks,wall_draw_entries,wall_draw_corrected_ticks,wall_draw_corrected_ms,portal_draw_raw_ticks,portal_draw_entries,portal_draw_corrected_ticks,portal_draw_corrected_ms,portal_transforms,wall_calls,mask_calls,portal_candidates,linked_exits,textured_rows,dda_steps
0,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,0,8,8,0,1,0,1,0x946826FD,0x2352C806,360.137939453125,22.21371070248284,18.55492638731597,27.652320675105486,18.55492638731597,1,18.55492638731597,1,36.163330078125,53.89404296875,45.017242431640625,45.0286865234375,8.64216697787121,90.057373046875,0,8,4,0,0,0.453948974609375,44.54803466796875,0.0152587890625,53.89404296875,53.89404296875,,54.99267578125,385,249,140,4.2724609375,1,1,0,0.0,355,1,354,10.80322265625,627,166,464,14.16015625,588,252,340,10.3759765625,414,80,335,10.223388671875,254,86,169,5.157470703125,86,80,86,86,86,2736,898
1,2,LARGE_ENTRY,0x02,large_room,8,20,20,26,1,0,0,0x707261C2,0x67A2B8B0,733.367919921875,27.271441055303566,26.83701883701884,27.58249158249158,26.83701883701884,1,26.83701883701884,1,36.2548828125,37.261962890625,36.66839599609375,36.590576171875,0.25577936304616294,73.18115234375,0,20,0,0,0,0.42266845703125,36.23199462890625,0.01373291015625,37.261962890625,37.261962890625,,36.651611328125,260,163,100,3.0517578125,1,1,0,0.0,390,1,389,11.871337890625,334,80,255,7.781982421875,144,80,65,1.983642578125,471,80,392,11.962890625,0,0,0,0.0,0,80,0,0,0,4649,524
2,3,SLOW_SWEEP,0x16,large_room|slow_turn|portal_view,28,80,80,96,1,0,0,0xC592D532,0xC7CC61A7,3821.380615234375,20.934842156541738,18.575963718820862,23.988286969253295,18.575963718820862,1,18.575963718820862,1,41.68701171875,53.8330078125,47.76725769042969,48.4619140625,3.6630319188311464,96.923828125,0,80,22,0,0,0.177764892578125,47.574615478515625,0.0148773193359375,53.802490234375,53.802490234375,,54.3212890625,343,210,136,4.150390625,0,1,0,0.0,478,1,477,14.556884765625,481,127,356,10.8642578125,375,174,204,6.2255859375,481,80,402,12.26806640625,251,47,205,6.256103515625,47,80,47,47,47,5819,619
3,4,FAST_SWEEP,0x9A,large_room|fast_turn|portal_view|stress,108,40,40,142,1,0,0,0x254B6E30,0xF63100A7,1904.60205078125,21.0017625380548,19.562985074626866,22.306330837304287,19.562985074626866,1,19.562985074626866,1,44.830322265625,51.116943359375,47.61505126953125,46.722412109375,1.9676591589142884,93.44482421875,0,40,10,0,0,0.1708984375,47.4273681640625,0.01678466796875,51.116943359375,51.116943359375,,51.513671875,326,203,126,3.84521484375,1,1,0,0.0,414,1,413,12.603759765625,472,120,354,10.80322265625,354,160,196,5.9814453125,496,80,417,12.725830078125,221,40,182,5.55419921875,40,80,40,40,40,7380,701
4,5,A_RETURN,0x72,large_room|portal_view|portal_approach|portal_cross,148,28,28,161,1,0,1,0x91CCB15C,0x627406B9,1601.4404296875,17.484259470996264,15.566745843230404,21.099806825499034,15.566745843230404,1,15.566745843230404,1,47.393798828125,64.239501953125,57.194301060267854,58.3038330078125,4.706261152129712,116.607666015625,0,28,25,0,0,0.43487548828125,56.743076869419646,0.016348702566964284,64.239501953125,64.239501953125,,65.093994140625,363,238,129,3.936767578125,1,1,0,0.0,400,1,399,12.176513671875,595,155,442,13.48876953125,571,237,338,10.31494140625,454,73,382,11.65771484375,524,82,443,13.519287109375,75,73,82,82,82,10920,941
5,6,B_APPROACH,0x22,large_room|portal_approach,176,76,76,195,1,0,0,0xC09A7B39,0x4FB93E2C,3582.58056640625,21.213758795168406,20.23965410747375,22.14054054054054,20.23965410747375,1,20.23965410747375,1,45.166015625,49.407958984375,47.1392179790296,47.149658203125,0.9005822870355124,94.29931640625,0,76,0,0,0,0.2915231805098684,46.83484529194079,0.012849506578947368,49.407958984375,49.407958984375,,49.1943359375,275,171,107,3.265380859375,1,1,0,0.0,759,1,758,23.13232421875,387,88,300,9.1552734375,187,96,92,2.8076171875,407,80,328,10.009765625,35,8,27,0.823974609375,8,80,8,8,8,2813,1067
6,7,B_VIEW,0x1A,large_room|fast_turn|portal_view,252,40,40,291,1,0,0,0xA9A0E5DE,0x5C2E3AEC,1915.618896484375,20.880980070414683,20.20221948212084,21.62904290429043,20.20221948212084,1,20.20221948212084,1,46.234130859375,49.49951171875,47.890472412109375,47.637939453125,0.9183709171653729,95.27587890625,0,40,0,0,0,0.1678466796875,47.708892822265625,0.01373291015625,49.49951171875,49.49951171875,,49.407958984375,277,174,106,3.23486328125,1,1,0,0.0,417,1,416,12.6953125,350,91,260,7.9345703125,197,103,96,2.9296875,726,79,648,19.775390625,105,12,93,2.838134765625,11,79,12,12,12,18836,147
7,8,B_TO_SMALL,0x71,small_room|portal_view|portal_approach|portal_cross,292,20,20,292,1,0,0,0x8E131FC5,0xBC25E241,933.28857421875,21.429599110587926,20.91129546904914,21.529566360052563,20.91129546904914,1,20.91129546904914,1,46.44775390625,47.821044921875,46.6644287109375,46.600341796875,0.26812084875027675,93.20068359375,0,20,0,0,0,0.48370361328125,46.16241455078125,0.018310546875,47.821044921875,47.821044921875,,47.271728515625,266,168,101,3.082275390625,1,1,0,0.0,417,1,416,12.6953125,328,85,244,7.4462890625,172,91,82,2.50244140625,730,79,652,19.8974609375,60,6,54,1.64794921875,5,79,6,6,6,19182,111
8,9,SMALL_SWEEP,0x99,small_room|fast_turn|portal_view|stress,312,80,80,336,1,0,0,0x764E7CAB,0xF6FF7E01,4022.3388671875,19.888925981002092,18.471251409244644,21.874499332443257,18.471251409244644,1,18.471251409244644,1,45.71533203125,54.13818359375,50.27923583984375,50.445556640625,1.9928229711564664,100.89111328125,0,80,52,0,0,0.1720428466796875,50.09002685546875,0.0171661376953125,54.13818359375,54.13818359375,,54.656982421875,317,207,113,3.448486328125,0,1,0,0.0,403,1,402,12.26806640625,458,124,336,10.25390625,373,169,207,6.317138671875,642,79,564,17.2119140625,213,45,169,5.157470703125,44,79,45,45,45,14028,254
9,10,B_RETURN,0x71,small_room|portal_view|portal_approach|portal_cross,392,20,20,392,1,0,0,0x3855C7AA,0xC1BAA736,926.20849609375,21.59341021416804,20.79187817258883,22.12559081701553,20.79187817258883,1,20.79187817258883,1,45.196533203125,48.095703125,46.3104248046875,46.112060546875,0.990411783913011,92.22412109375,0,20,0,0,0,0.46234130859375,45.831298828125,0.01678466796875,48.095703125,48.095703125,,47.882080078125,290,183,110,3.35693359375,1,1,0,0.0,610,1,609,18.585205078125,430,100,332,10.1318359375,247,120,129,3.936767578125,394,80,315,9.613037109375,94,20,74,2.25830078125,20,80,20,20,20,2544,1100
10,11,OPEN_TRAVERSE,0x02,large_room,412,120,120,523,1,0,0,0x92283486,0xE051ABC3,5837.066650390625,20.558271335135334,17.77006507592191,22.110661268556004,17.81353628703452,2,17.77006507592191,1,45.22705078125,56.2744140625,48.64222208658854,46.4019775390625,3.7166726730765496,92.803955078125,0,120,33,0,0,0.4628499348958333,48.165384928385414,0.013987223307291666,56.2744140625,56.2744140625,,56.488037109375,330,211,122,3.72314453125,1,1,0,0.0,457,1,456,13.916015625,496,128,370,11.29150390625,394,176,221,6.744384765625,559,80,480,14.6484375,249,48,202,6.16455078125,48,80,48,48,48,10403,714
11,12,OPEN_NAV,0x0A,large_room|fast_turn,532,104,104,533,1,0,0,0x036183B6,0x3BE6E5C2,4685.699462890625,22.195192163656614,17.64566505115778,25.5600624024961,17.66469002695418,2,17.64566505115778,1,39.12353515625,56.671142578125,45.05480252779447,41.656494140625,6.1266371928293095,83.31298828125,0,104,27,0,0,0.2288818359375,44.81183565579928,0.014085036057692308,56.671142578125,56.671142578125,,57.342529296875,346,220,129,3.936767578125,1,1,0,0.0,449,1,448,13.671875,529,137,394,12.02392578125,427,194,236,7.2021484375,490,80,411,12.542724609375,317,57,261,7.965087890625,57,80,57,57,57,7875,753
12,13,D_APPROACH,0x32,large_room|portal_view|portal_approach,636,105,105,654,1,0,1,0x072C39C9,0x84051B90,5099.578857421875,20.589935548733415,17.551151580074986,22.4592186429061,17.62194138209196,2,17.551151580074986,1,44.525146484375,56.976318359375,48.567417689732146,47.210693359375,3.885826645089491,94.42138671875,0,105,30,0,0,0.46212332589285715,48.09076218377976,0.01453218005952381,56.976318359375,56.976318359375,,57.220458984375,315,208,110,3.35693359375,1,1,0,0.0,436,1,435,13.275146484375,488,125,365,11.138916015625,385,170,218,6.65283203125,594,80,515,15.716552734375,276,45,232,7.080078125,45,80,45,51,45,12066,735
13,14,D_CROSS,0xF2,large_room|portal_view|portal_approach|portal_cross|stress,741,20,20,756,1,0,0,0xD2FC274B,0xE90C5B36,908.721923828125,22.00893306914733,21.686300463269358,22.291156462585032,21.686300463269358,1,21.686300463269358,1,44.86083984375,46.112060546875,45.43609619140625,45.501708984375,0.33876917298276843,91.00341796875,0,20,0,0,0,0.4669189453125,44.95391845703125,0.0152587890625,46.112060546875,46.112060546875,,45.83740234375,289,184,108,3.2958984375,0,1,0,0.0,517,1,516,15.7470703125,412,101,313,9.552001953125,254,123,133,4.058837890625,426,79,348,10.6201171875,106,22,84,2.5634765625,21,79,22,22,22,3594,761
14,15,D_TURN_BACK,0x9A,large_room|fast_turn|portal_view|stress,761,80,80,779,1,0,0,0x50A040B2,0x01F654B6,3792.816162109375,21.092506617960623,19.79939577039275,23.813953488372093,19.79939577039275,1,19.79939577039275,1,41.9921875,50.506591796875,47.41020202636719,47.3785400390625,1.7778548338338458,94.757080078125,0,80,8,0,0,0.1712799072265625,47.2259521484375,0.012969970703125,50.506591796875,50.506591796875,,50.933837890625,319,200,122,3.72314453125,1,1,0,0.0,534,1,533,16.265869140625,474,117,359,10.955810546875,344,159,187,5.706787109375,377,75,303,9.246826171875,206,42,165,5.035400390625,37,75,42,42,42,3105,958
