frame_index,simulation_time_seconds,measured_elapsed_ticks,measured_elapsed_ms,measured_elapsed_seconds,section_id,section_name,section_flags,section_flag_names,total_ticks,component_total_ticks,total_ms,instantaneous_fps,update_ticks,update_ms,render_ticks,render_ms,swap_ticks,swap_ms,player_x_raw,player_y_raw,player_x,player_y,map_x,map_y,angle_raw,angle_degrees,move_axis,turn_axis,casts,logical_columns,portal_layer_casts,max_depth,ray_layer_depth,portal_recursion_depth,flags,detailed,timing_excluded_from_clean_stats,crossed_portal,changed,section_end,section_small_room,section_large_room,section_slow_turn,section_fast_turn,section_portal_view,section_portal_approach,section_portal_cross,section_stress,detail_corrected_total_ms,admin_corrected_ms,wait_corrected_ms,background_corrected_ms,dda_corrected_ms,portal_trace_corrected_ms,wall_draw_corrected_ms,portal_draw_corrected_ms,portal_transforms,wall_calls,mask_calls,portal_candidates,linked_exits,textured_rows,dda_steps
0,0.03333333333333333,1678,51.20849609375,0.05120849609375,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1678,1678,51.20849609375,19.528009535160905,15,0.457763671875,1663,50.750732421875,0,0.0,364,640,1.421875,2.5,1,2,8192,180.0,1,0,166,80,86,3,3,2,0x06,1,0,0,1,0,0,1,0,0,1,1,1,0,52.3681640625,3.997802734375,0.0,10.80322265625,14.251708984375,11.199951171875,7.080078125,5.035400390625,86,80,86,86,86,2736,898
1,0.06666666666666667,3348,102.1728515625,0.1021728515625,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1670,1670,50.96435546875,19.621556886227545,15,0.457763671875,1654,50.47607421875,1,0.030517578125,344,640,1.34375,2.5,1,2,8192,180.0,1,0,165,80,85,3,3,2,0x04,0,0,0,1,0,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,
2,0.1,5011,152.923583984375,0.152923583984375,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1663,1663,50.750732421875,19.70414912808178,15,0.457763671875,1647,50.262451171875,1,0.030517578125,324,640,1.265625,2.5,1,2,8192,180.0,1,0,164,80,84,3,3,2,0x04,0,0,0,1,0,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,
3,0.13333333333333333,6679,203.826904296875,0.203826904296875,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1668,1668,50.9033203125,19.645083932853716,15,0.457763671875,1653,50.445556640625,0,0.0,304,640,1.1875,2.5,1,2,8192,180.0,1,0,164,80,84,3,3,2,0x04,0,0,0,1,0,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,
4,0.16666666666666666,7774,237.24365234375,0.23724365234375,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1095,1095,33.416748046875,29.92511415525114,18,0.54931640625,1076,32.8369140625,1,0.030517578125,896,321,3.5,1.25390625,3,1,4096,90.0,1,0,80,80,0,1,1,0,0x05,0,0,1,1,0,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,
5,0.2,8861,270.416259765625,0.270416259765625,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1087,1087,33.172607421875,30.145354185832566,14,0.42724609375,1072,32.71484375,1,0.030517578125,896,341,3.5,1.33203125,3,1,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,
6,0.23333333333333334,9954,303.77197265625,0.30377197265625,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1093,1093,33.355712890625,29.979871912168345,14,0.42724609375,1078,32.89794921875,1,0.030517578125,896,361,3.5,1.41015625,3,1,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,
7,0.26666666666666666,11043,337.005615234375,0.337005615234375,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1089,1089,33.233642578125,30.089990817263544,13,0.396728515625,1076,32.8369140625,0,0.0,896,381,3.5,1.48828125,3,1,4096,90.0,1,0,80,80,0,1,1,0,0x0C,0,0,0,1,1,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,
8,0.3,12133,370.269775390625,0.370269775390625,2,LARGE_ENTRY,0x02,large_room,1090,1090,33.26416015625,30.06238532110092,14,0.42724609375,1076,32.8369140625,0,0.0,896,401,3.5,1.56640625,3,1,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
9,0.3333333333333333,13227,403.656005859375,0.403656005859375,2,LARGE_ENTRY,0x02,large_room,1094,1094,33.38623046875,29.952468007312614,14,0.42724609375,1080,32.958984375,0,0.0,896,421,3.5,1.64453125,3,1,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
