section_index,section_id,section_name,section_flags,section_flag_names,first_frame,frame_count,clean_frame_count,detailed_frame,diagnostic_replay,detailed_frame_timing_excluded,crossing_count,frame_hash,state_hash,clean_duration_ms,clean_average_fps,clean_minimum_fps,clean_maximum_fps,clean_1_percent_low_fps,clean_1_percent_low_frames,clean_0_1_percent_low_fps,clean_0_1_percent_low_frames,frame_ms_min,frame_ms_max,frame_ms_mean,frame_ms_median,frame_ms_pstdev,spike_threshold_ms,spike_count,over_33_333_ms,over_50_ms,over_100_ms,over_twice_median,update_ms_mean,render_ms_mean,swap_ms_mean,detailed_frame_time_ms,selected_clean_frame_time_ms,detailed_intrusion_percent,detail_corrected_total_ms,admin_raw_ticks,admin_entries,admin_corrected_ticks,admin_corrected_ms,wait_raw_ticks,wait_entries,wait_corrected_ticks,wait_corrected_ms,background_raw_ticks,background_entries,background_corrected_ticks,background_corrected_ms,dda_raw_ticks,dda_entries,dda_corrected_ticks,dda_corrected_ms,portal_trace_raw_ticks,portal_trace_entries,portal_trace_corrected_ticks,portal_trace_corrected_ms,wall_draw_raw_ticks,wall_draw_entries,wall_draw_corrected_ticks,wall_draw_corrected_ms,portal_draw_raw_ticks,portal_draw_entries,portal_draw_corrected_ticks,portal_draw_corrected_ms,portal_transforms,wall_calls,mask_calls,portal_candidates,linked_exits,textured_rows,dda_steps
0,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,0,8,8,0,1,0,1,0x946826FD,0x2352C806,337.005615234375,23.73847686317124,19.528009535160905,30.145354185832566,19.528009535160905,1,19.528009535160905,1,33.172607421875,51.20849609375,42.125701904296875,42.083740234375,8.832057290996289,84.16748046875,0,6,4,0,0,0.453948974609375,41.652679443359375,0.019073486328125,51.20849609375,51.20849609375,,52.3681640625,376,249,131,3.997802734375,1,1,0,0.0,355,1,354,10.80322265625,630,166,467,14.251708984375,615,252,367,11.199951171875,311,80,232,7.080078125,250,86,165,5.035400390625,86,80,86,86,86,2736,898
1,2,LARGE_ENTRY,0x02,large_room,8,20,20,26,1,0,0,0x707261C2,0x67A2B8B0,672.607421875,29.73502722323049,29.257142857142856,30.06238532110092,29.257142857142856,1,29.257142857142856,1,33.26416015625,34.1796875,33.63037109375,33.538818359375,0.2596685471946124,67.07763671875,0,19,0,0,0,0.43487548828125,33.1756591796875,0.01983642578125,34.1796875,34.1796875,,33.5693359375,260,163,100,3.0517578125,1,1,0,0.0,390,1,389,11.871337890625,335,80,256,7.8125,145,80,66,2.01416015625,368,80,289,8.819580078125,0,0,0,0.0,0,80,0,0,0,4649,524
2,3,SLOW_SWEEP,0x16,large_room|slow_turn|portal_view,28,80,80,96,1,0,0,0xC592D532,0xC7CC61A7,3594.818115234375,22.254255273992953,19.6098144823459,25.903557312252964,19.6098144823459,1,19.6098144823459,1,38.604736328125,50.994873046875,44.93522644042969,45.5474853515625,3.774929565835571,91.094970703125,0,80,8,0,0,0.1773834228515625,44.744873046875,0.012969970703125,50.994873046875,50.994873046875,,51.45263671875,317,210,110,3.35693359375,1,1,0,0.0,478,1,477,14.556884765625,492,127,367,11.199951171875,403,174,232,7.080078125,376,80,297,9.063720703125,249,47,203,6.195068359375,47,80,47,47,47,5819,619
3,4,FAST_SWEEP,0x9A,large_room|fast_turn|portal_view|stress,108,40,40,142,1,0,0,0x254B6E30,0xF63100A7,1792.96875,22.309368191721134,20.595851665619108,23.831272727272726,20.595851665619108,1,20.595851665619108,1,41.961669921875,48.553466796875,44.82421875,43.8232421875,2.0462849691149247,87.646484375,0,40,0,0,0,0.170135498046875,44.640350341796875,0.01373291015625,48.553466796875,48.553466796875,,48.980712890625,317,203,117,3.570556640625,0,1,0,0.0,414,1,413,12.603759765625,470,120,352,10.7421875,361,160,203,6.195068359375,415,80,336,10.25390625,223,40,184,5.615234375,40,80,40,40,40,7380,701
4,5,A_RETURN,0x72,large_room|portal_view|portal_approach|portal_cross,148,28,28,161,1,0,1,0x91CCB15C,0x627406B9,1542.083740234375,18.157250004947457,16.047012732615084,22.276002719238612,16.047012732615084,1,16.047012732615084,1,44.891357421875,62.31689453125,55.07441929408482,56.488037109375,4.9666298848662125,112.97607421875,0,28,23,0,0,0.43487548828125,54.62428501674107,0.0152587890625,62.31689453125,62.31689453125,,63.17138671875,360,238,126,3.84521484375,1,1,0,0.0,400,1,399,12.176513671875,595,155,442,13.48876953125,575,237,342,10.43701171875,393,73,321,9.796142578125,521,82,440,13.427734375,75,73,82,82,82,10920,941
5,6,B_APPROACH,0x22,large_room|portal_approach,176,76,76,195,1,0,0,0xC09A7B39,0x4FB93E2C,3365.325927734375,22.58325096350034,21.4872131147541,23.67630057803468,21.4872131147541,1,21.4872131147541,1,42.236328125,46.539306640625,44.28060431229441,44.281005859375,0.9657422668679929,88.56201171875,0,76,0,0,0,0.2903185392680921,43.975830078125,0.01445569490131579,46.539306640625,46.539306640625,,46.356201171875,269,171,101,3.082275390625,1,1,0,0.0,759,1,758,23.13232421875,383,88,296,9.033203125,185,96,90,2.74658203125,327,80,248,7.568359375,34,8,26,0.79345703125,8,80,8,8,8,2813,1067
6,7,B_VIEW,0x1A,large_room|fast_turn|portal_view,252,40,40,291,1,0,0,0xA9A0E5DE,0x5C2E3AEC,1834.53369140625,21.803905912100344,20.805079365079365,22.995087719298244,20.805079365079365,1,20.805079365079365,1,43.487548828125,48.065185546875,45.86334228515625,45.745849609375,1.0979660978159014,91.49169921875,0,40,0,0,0,0.173187255859375,45.67413330078125,0.016021728515625,48.065185546875,48.065185546875,,48.03466796875,282,174,111,3.387451171875,0,1,0,0.0,417,1,416,12.6953125,349,91,259,7.904052734375,203,103,102,3.11279296875,670,79,592,18.06640625,106,12,94,2.86865234375,11,79,12,12,12,18836,147
7,8,B_TO_SMALL,0x71,small_room|portal_view|portal_approach|portal_cross,292,20,20,292,1,0,0,0x8E131FC5,0xBC25E241,905.82275390625,22.079374705208544,21.416993464052286,22.170500676589988,21.416993464052286,1,21.416993464052286,1,45.10498046875,46.69189453125,45.2911376953125,45.22705078125,0.3229532708166732,90.4541015625,0,20,0,0,0,0.482177734375,44.78912353515625,0.01983642578125,46.69189453125,46.69189453125,,46.173095703125,274,168,109,3.326416015625,1,1,0,0.0,418,1,417,12.725830078125,332,85,248,7.568359375,159,91,69,2.105712890625,695,79,617,18.829345703125,59,6,53,1.617431640625,5,79,6,6,6,19182,111
8,9,SMALL_SWEEP,0x99,small_room|fast_turn|portal_view|stress,312,80,80,336,1,0,0,0x764E7CAB,0xF6FF7E01,3847.22900390625,20.7941871717989,19.162573099415205,22.505494505494507,19.162573099415205,1,19.162573099415205,1,44.43359375,52.18505859375,48.090362548828125,48.0194091796875,1.8253668818755175,96.038818359375,0,80,11,0,0,0.1697540283203125,47.90687561035156,0.01373291015625,52.18505859375,52.18505859375,,52.703857421875,325,207,121,3.692626953125,1,1,0,0.0,403,1,402,12.26806640625,463,124,341,10.406494140625,367,169,201,6.134033203125,572,79,494,15.07568359375,212,45,168,5.126953125,44,79,45,45,45,14028,254
9,10,B_RETURN,0x71,small_room|portal_view|portal_approach|portal_cross,392,20,20,392,1,0,0,0x3855C7AA,0xC1BAA736,873.10791015625,22.906675987416985,22.006715916722634,23.472779369627506,22.006715916722634,1,22.006715916722634,1,42.6025390625,45.440673828125,43.6553955078125,43.4722900390625,0.9695036402359053,86.944580078125,0,20,0,0,0,0.4638671875,43.1793212890625,0.01220703125,45.440673828125,45.440673828125,,45.166015625,290,183,110,3.35693359375,1,1,0,0.0,611,1,610,18.61572265625,422,100,324,9.8876953125,252,120,134,4.08935546875,311,80,232,7.080078125,90,20,70,2.13623046875,20,80,20,20,20,2544,1100
