frame_index,simulation_time_seconds,measured_elapsed_ticks,measured_elapsed_ms,measured_elapsed_seconds,section_id,section_name,section_flags,section_flag_names,total_ticks,component_total_ticks,total_ms,instantaneous_fps,update_ticks,update_ms,render_ticks,render_ms,swap_ticks,swap_ms,player_x_raw,player_y_raw,player_x,player_y,map_x,map_y,angle_raw,angle_degrees,move_axis,turn_axis,casts,logical_columns,portal_layer_casts,max_depth,ray_layer_depth,portal_recursion_depth,flags,detailed,timing_excluded_from_clean_stats,crossed_portal,changed,section_end,section_small_room,section_large_room,section_slow_turn,section_fast_turn,section_portal_view,section_portal_approach,section_portal_cross,section_stress,detail_corrected_total_ms,admin_corrected_ms,wait_corrected_ms,background_corrected_ms,dda_corrected_ms,portal_trace_corrected_ms,wall_draw_corrected_ms,portal_draw_corrected_ms,portal_transforms,wall_calls,mask_calls,portal_candidates,linked_exits,textured_rows,dda_steps
0,0.03333333333333333,1662,50.72021484375,0.05072021484375,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1662,1662,50.72021484375,19.71600481347774,15,0.457763671875,1647,50.262451171875,0,0.0,364,640,1.421875,2.5,1,2,8192,180.0,1,0,166,80,86,3,3,2,0x06,1,0,0,1,0,0,1,0,0,1,1,1,0,51.849365234375,3.90625,0.0,10.80322265625,14.190673828125,11.41357421875,6.561279296875,4.974365234375,86,80,86,86,86,2736,898
1,0.06666666666666667,3317,101.226806640625,0.101226806640625,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1655,1655,50.506591796875,19.79939577039275,15,0.457763671875,1639,50.018310546875,1,0.030517578125,344,640,1.34375,2.5,1,2,8192,180.0,1,0,165,80,85,3,3,2,0x04,0,0,0,1,0,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,
2,0.1,4963,151.458740234375,0.151458740234375,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1646,1646,50.23193359375,19.907654921020654,15,0.457763671875,1630,49.74365234375,1,0.030517578125,324,640,1.265625,2.5,1,2,8192,180.0,1,0,164,80,84,3,3,2,0x04,0,0,0,1,0,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,
3,0.13333333333333333,6616,201.904296875,0.201904296875,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1653,1653,50.445556640625,19.82335148215366,15,0.457763671875,1637,49.957275390625,1,0.030517578125,304,640,1.1875,2.5,1,2,8192,180.0,1,0,164,80,84,3,3,2,0x04,0,0,0,1,0,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,
4,0.16666666666666666,7695,234.832763671875,0.234832763671875,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1079,1079,32.928466796875,30.368860055607044,18,0.54931640625,1060,32.3486328125,1,0.030517578125,896,321,3.5,1.25390625,3,1,4096,90.0,1,0,80,80,0,1,1,0,0x05,0,0,1,1,0,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,
5,0.2,8765,267.486572265625,0.267486572265625,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1070,1070,32.65380859375,30.624299065420562,14,0.42724609375,1056,32.2265625,0,0.0,896,341,3.5,1.33203125,3,1,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,
6,0.23333333333333334,9840,300.29296875,0.30029296875,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1075,1075,32.806396484375,30.48186046511628,14,0.42724609375,1060,32.3486328125,1,0.030517578125,896,361,3.5,1.41015625,3,1,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,
7,0.26666666666666666,10914,333.06884765625,0.33306884765625,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,1074,1074,32.77587890625,30.51024208566108,14,0.42724609375,1059,32.318115234375,1,0.030517578125,896,381,3.5,1.48828125,3,1,4096,90.0,1,0,80,80,0,1,1,0,0x0C,0,0,0,1,1,0,1,0,0,1,1,1,0,,,,,,,,,,,,,,,
8,0.3,11989,365.875244140625,0.365875244140625,2,LARGE_ENTRY,0x02,large_room,1075,1075,32.806396484375,30.48186046511628,14,0.42724609375,1060,32.3486328125,1,0.030517578125,896,401,3.5,1.56640625,3,1,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
9,0.3333333333333333,13067,398.773193359375,0.398773193359375,2,LARGE_ENTRY,0x02,large_room,1078,1078,32.89794921875,30.397031539888683,14,0.42724609375,1063,32.440185546875,1,0.030517578125,896,421,3.5,1.64453125,3,1,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
10,0.36666666666666664,14144,431.640625,0.431640625,2,LARGE_ENTRY,0x02,large_room,1077,1077,32.867431640625,30.425255338904364,14,0.42724609375,1063,32.440185546875,0,0.0,896,441,3.5,1.72265625,3,1,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
11,0.4,15223,464.569091796875,0.464569091796875,2,LARGE_ENTRY,0x02,large_room,1079,1079,32.928466796875,30.368860055607044,13,0.396728515625,1066,32.53173828125,0,0.0,896,461,3.5,1.80078125,3,1,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
12,0.43333333333333335,16301,497.467041015625,0.497467041015625,2,LARGE_ENTRY,0x02,large_room,1078,1078,32.89794921875,30.397031539888683,14,0.42724609375,1064,32.470703125,0,0.0,896,481,3.5,1.87890625,3,1,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
13,0.4666666666666667,17378,530.33447265625,0.53033447265625,2,LARGE_ENTRY,0x02,large_room,1077,1077,32.867431640625,30.425255338904364,14,0.42724609375,1063,32.440185546875,0,0.0,896,501,3.5,1.95703125,3,1,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
14,0.5,18456,563.232421875,0.563232421875,2,LARGE_ENTRY,0x02,large_room,1078,1078,32.89794921875,30.397031539888683,14,0.42724609375,1064,32.470703125,0,0.0,896,521,3.5,2.03515625,3,2,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
15,0.5333333333333333,19535,596.160888671875,0.596160888671875,2,LARGE_ENTRY,0x02,large_room,1079,1079,32.928466796875,30.368860055607044,13,0.396728515625,1065,32.501220703125,1,0.030517578125,896,541,3.5,2.11328125,3,2,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
16,0.5666666666666667,20617,629.180908203125,0.629180908203125,2,LARGE_ENTRY,0x02,large_room,1082,1082,33.02001953125,30.284658040665434,14,0.42724609375,1067,32.562255859375,1,0.030517578125,896,561,3.5,2.19140625,3,2,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
17,0.6,21700,662.2314453125,0.6622314453125,2,LARGE_ENTRY,0x02,large_room,1083,1083,33.050537109375,30.25669436749769,14,0.42724609375,1068,32.5927734375,1,0.030517578125,896,581,3.5,2.26953125,3,2,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
18,0.6333333333333333,22786,695.37353515625,0.69537353515625,2,LARGE_ENTRY,0x02,large_room,1086,1086,33.14208984375,30.173112338858196,14,0.42724609375,1072,32.71484375,0,0.0,896,601,3.5,2.34765625,3,2,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
19,0.6666666666666666,23869,728.424072265625,0.728424072265625,2,LARGE_ENTRY,0x02,large_room,1083,1083,33.050537109375,30.25669436749769,14,0.42724609375,1069,32.623291015625,0,0.0,896,621,3.5,2.42578125,3,2,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
20,0.7,24953,761.505126953125,0.761505126953125,2,LARGE_ENTRY,0x02,large_room,1084,1084,33.0810546875,30.228782287822877,13,0.396728515625,1071,32.684326171875,0,0.0,896,641,3.5,2.50390625,3,2,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
21,0.7333333333333333,26042,794.73876953125,0.79473876953125,2,LARGE_ENTRY,0x02,large_room,1089,1089,33.233642578125,30.089990817263544,13,0.396728515625,1075,32.806396484375,1,0.030517578125,896,661,3.5,2.58203125,3,2,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
22,0.7666666666666667,27132,828.0029296875,0.8280029296875,2,LARGE_ENTRY,0x02,large_room,1090,1090,33.26416015625,30.06238532110092,13,0.396728515625,1076,32.8369140625,1,0.030517578125,896,681,3.5,2.66015625,3,2,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
23,0.8,28224,861.328125,0.861328125,2,LARGE_ENTRY,0x02,large_room,1092,1092,33.3251953125,30.007326007326007,14,0.42724609375,1078,32.89794921875,0,0.0,896,701,3.5,2.73828125,3,2,4096,90.0,1,0,80,80,0,1,1,0,0x04,0,0,0,1,0,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,
