section_index,section_id,section_name,section_flags,section_flag_names,first_frame,frame_count,clean_frame_count,detailed_frame,diagnostic_replay,detailed_frame_timing_excluded,crossing_count,frame_hash,state_hash,clean_duration_ms,clean_average_fps,clean_minimum_fps,clean_maximum_fps,clean_1_percent_low_fps,clean_1_percent_low_frames,clean_0_1_percent_low_fps,clean_0_1_percent_low_frames,frame_ms_min,frame_ms_max,frame_ms_mean,frame_ms_median,frame_ms_pstdev,spike_threshold_ms,spike_count,over_33_333_ms,over_50_ms,over_100_ms,over_twice_median,update_ms_mean,render_ms_mean,swap_ms_mean,detailed_frame_time_ms,selected_clean_frame_time_ms,detailed_intrusion_percent,detail_corrected_total_ms,admin_raw_ticks,admin_entries,admin_corrected_ticks,admin_corrected_ms,wait_raw_ticks,wait_entries,wait_corrected_ticks,wait_corrected_ms,background_raw_ticks,background_entries,background_corrected_ticks,background_corrected_ms,dda_raw_ticks,dda_entries,dda_corrected_ticks,dda_corrected_ms,portal_trace_raw_ticks,portal_trace_entries,portal_trace_corrected_ticks,portal_trace_corrected_ms,wall_draw_raw_ticks,wall_draw_entries,wall_draw_corrected_ticks,wall_draw_corrected_ms,portal_draw_raw_ticks,portal_draw_entries,portal_draw_corrected_ticks,portal_draw_corrected_ms,portal_transforms,wall_calls,mask_calls,portal_candidates,linked_exits,textured_rows,dda_steps
0,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,0,8,8,0,1,0,1,0x946826FD,0x2352C806,333.06884765625,24.01905809052593,19.71600481347774,30.624299065420562,19.71600481347774,1,19.71600481347774,1,32.65380859375,50.72021484375,41.63360595703125,41.5802001953125,8.843593838453677,83.160400390625,0,4,4,0,0,0.457763671875,41.1529541015625,0.02288818359375,50.72021484375,50.72021484375,,51.849365234375,373,249,128,3.90625,1,1,0,0.0,355,1,354,10.80322265625,628,166,465,14.190673828125,622,252,374,11.41357421875,294,80,215,6.561279296875,248,86,163,4.974365234375,86,80,86,86,86,2736,898
1,2,LARGE_ENTRY,0x02,large_room,8,20,20,26,1,0,0,0x707261C2,0x67A2B8B0,662.445068359375,30.19118256783526,29.681159420289855,30.48186046511628,29.681159420289855,1,29.681159420289855,1,32.806396484375,33.69140625,33.12225341796875,33.050537109375,0.255742949284645,66.10107421875,0,4,0,0,0,0.421142578125,32.68585205078125,0.0152587890625,33.69140625,33.69140625,,33.0810546875,265,163,105,3.204345703125,1,1,0,0.0,390,1,389,11.871337890625,334,80,255,7.781982421875,145,80,66,2.01416015625,348,80,269,8.209228515625,0,0,0,0.0,0,80,0,0,0,4649,524
2,3,SLOW_SWEEP,0x16,large_room|slow_turn|portal_view,28,80,80,96,1,0,0,0xC592D532,0xC7CC61A7,3555.389404296875,22.50105147506931,19.82335148215366,26.235388310648517,19.82335148215366,1,19.82335148215366,1,38.116455078125,50.445556640625,44.44236755371094,45.013427734375,3.78219858348686,90.02685546875,0,80,8,0,0,0.176239013671875,44.25010681152344,0.016021728515625,50.445556640625,50.445556640625,,50.96435546875,330,210,123,3.753662109375,1,1,0,0.0,478,1,477,14.556884765625,479,127,354,10.80322265625,397,174,226,6.89697265625,362,80,283,8.636474609375,253,47,207,6.317138671875,47,80,47,47,47,5819,619
3,4,FAST_SWEEP,0x9A,large_room|fast_turn|portal_view|stress,108,40,40,142,1,0,0,0x254B6E30,0xF63100A7,1773.74267578125,22.55118543752796,20.77869372225745,24.111846946284032,20.77869372225745,1,20.77869372225745,1,41.473388671875,48.126220703125,44.34356689453125,43.3502197265625,2.0541634371764683,86.700439453125,0,40,0,0,0,0.16937255859375,44.158172607421875,0.016021728515625,48.126220703125,48.126220703125,,48.492431640625,322,203,122,3.72314453125,1,1,0,0.0,414,1,413,12.603759765625,465,120,347,10.589599609375,367,160,209,6.378173828125,398,80,319,9.735107421875,218,40,179,5.462646484375,40,80,40,40,40,7380,701
4,5,A_RETURN,0x72,large_room|portal_view|portal_approach|portal_cross,148,28,28,161,1,0,1,0x91CCB15C,0x627406B9,1531.06689453125,18.287901136137133,16.149827501232135,22.490048043925874,16.149827501232135,1,16.149827501232135,1,44.464111328125,61.920166015625,54.680960518973215,56.09130859375,4.991229352059936,112.1826171875,0,28,23,0,0,0.43269566127232145,54.23191615513393,0.016348702566964284,61.920166015625,61.920166015625,,62.774658203125,381,238,147,4.486083984375,1,1,0,0.0,400,1,399,12.176513671875,589,155,436,13.3056640625,560,237,327,9.979248046875,372,73,300,9.1552734375,529,82,448,13.671875,75,73,82,82,82,10920,941
5,6,B_APPROACH,0x22,large_room|portal_approach,176,76,76,195,1,0,0,0xC09A7B39,0x4FB93E2C,3328.582763671875,22.83254027193296,21.686300463269358,23.953216374269005,21.686300463269358,1,21.686300463269358,1,41.748046875,46.112060546875,43.79714162726151,43.8385009765625,0.9753659590979707,87.677001953125,0,76,0,0,0,0.2895154451069079,43.4923673930921,0.0152587890625,46.112060546875,46.112060546875,,45.8984375,279,171,111,3.387451171875,1,1,0,0.0,759,1,758,23.13232421875,387,88,300,9.1552734375,179,96,84,2.5634765625,301,80,222,6.77490234375,37,8,29,0.885009765625,8,80,8,8,8,2813,1067
6,7,B_VIEW,0x1A,large_room|fast_turn|portal_view,252,40,40,291,1,0,0,0xA9A0E5DE,0x5C2E3AEC,1819.82421875,21.98014488865039,20.924648786717754,23.23971631205674,20.924648786717754,1,20.924648786717754,1,43.02978515625,47.79052734375,45.49560546875,45.41015625,1.1280817697225392,90.8203125,0,40,0,0,0,0.173187255859375,45.305633544921875,0.01678466796875,47.79052734375,47.79052734375,,47.7294921875,282,174,111,3.387451171875,1,1,0,0.0,416,1,415,12.664794921875,346,91,256,7.8125,205,103,104,3.173828125,663,79,585,17.852783203125,105,12,93,2.838134765625,11,79,12,12,12,18836,147
7,8,B_TO_SMALL,0x71,small_room|portal_view|portal_approach|portal_cross,292,20,20,292,1,0,0,0x8E131FC5,0xBC25E241,899.932861328125,22.223880090881345,21.557894736842105,22.306330837304287,21.557894736842105,1,21.557894736842105,1,44.830322265625,46.38671875,44.99664306640625,44.921875,0.3199946699126961,89.84375,0,20,0,0,0,0.48370361328125,44.50531005859375,0.00762939453125,46.38671875,46.38671875,,45.928955078125,269,168,104,3.173828125,1,1,0,0.0,417,1,416,12.6953125,328,85,244,7.4462890625,174,91,84,2.5634765625,683,79,605,18.463134765625,58,6,52,1.5869140625,5,79,6,6,6,19182,111
8,9,SMALL_SWEEP,0x99,small_room|fast_turn|portal_view|stress,312,80,80,336,1,0,0,0x764E7CAB,0xF6FF7E01,3814.727783203125,20.971352229182166,19.297997644287396,22.645473393227366,19.297997644287396,1,19.297997644287396,1,44.158935546875,51.81884765625,47.68409729003906,47.576904296875,1.8049347643474978,95.15380859375,0,80,10,0,0,0.1720428466796875,47.4945068359375,0.017547607421875,51.81884765625,51.81884765625,,52.337646484375,323,207,119,3.631591796875,1,1,0,0.0,402,1,401,12.237548828125,462,124,340,10.3759765625,367,169,201,6.134033203125,560,79,482,14.70947265625,216,45,172,5.2490234375,44,79,45,45,45,14028,254
9,10,B_RETURN,0x71,small_room|portal_view|portal_approach|portal_cross,392,20,20,392,1,0,0,0x3855C7AA,0xC1BAA736,863.8916015625,23.15105270594885,22.26086956521739,23.710564399421127,22.26086956521739,1,22.26086956521739,1,42.17529296875,44.921875,43.194580078125,43.0450439453125,0.9577075359337567,86.090087890625,0,20,0,0,0,0.4638671875,42.72003173828125,0.01068115234375,44.921875,44.921875,,44.708251953125,290,183,110,3.35693359375,1,1,0,0.0,610,1,609,18.585205078125,428,100,330,10.07080078125,245,120,127,3.875732421875,296,80,217,6.622314453125,92,20,72,2.197265625,20,80,20,20,20,2544,1100
