scope,name,current_clean_frames,baseline_clean_frames,current_frame_ms_mean,baseline_frame_ms_mean,frame_ms_delta,frame_time_percent_change,current_average_fps,baseline_average_fps,average_fps_percent_change,current_1_percent_low_fps,baseline_1_percent_low_fps,current_spikes,baseline_spikes,frame_hash_match,state_hash_match,current_detailed_frame,baseline_detailed_frame,detail_trace_comparable,detail_trace_noncomparable_reason,current_admin_corrected_ms,baseline_admin_corrected_ms,admin_percent_change,current_wait_corrected_ms,baseline_wait_corrected_ms,wait_percent_change,current_background_corrected_ms,baseline_background_corrected_ms,background_percent_change,current_dda_corrected_ms,baseline_dda_corrected_ms,dda_percent_change,current_portal_trace_corrected_ms,baseline_portal_trace_corrected_ms,portal_trace_percent_change,current_wall_draw_corrected_ms,baseline_wall_draw_corrected_ms,wall_draw_percent_change,current_portal_draw_corrected_ms,baseline_portal_draw_corrected_ms,portal_draw_percent_change
overall,ALL_CLEAN,971,971,44.02049071511328,44.48378589445481,-0.46329517934152875,-1.0414922426809081,22.716693606886036,22.480101005176728,1.0524534638648886,16.813587151726615,16.71154630762954,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
section,A_APPROACH,8,8,41.63360595703125,42.125701904296875,-0.492095947265625,-1.1681608258625409,24.01905809052593,23.73847686317124,1.1819681143485417,19.71600481347774,19.528009535160905,0,0,1,1,0,0,1,,3.90625,3.997802734375,-2.2900763358778664,0.0,0.0,,10.80322265625,10.80322265625,0.0,14.190673828125,14.251708984375,-0.4282655246252709,11.41357421875,11.199951171875,1.9073569482288777,6.561279296875,7.080078125,-7.3275862068965525,4.974365234375,5.035400390625,-1.2121212121212088
section,LARGE_ENTRY,20,20,33.12225341796875,33.63037109375,-0.50811767578125,-1.5108892921960049,30.19118256783526,29.73502722323049,1.534067351545576,29.681159420289855,29.257142857142856,0,0,1,1,26,26,1,,3.204345703125,3.0517578125,5.000000000000004,0.0,0.0,,11.871337890625,11.871337890625,0.0,7.781982421875,7.8125,-0.390625,2.01416015625,2.01416015625,0.0,8.209228515625,8.819580078125,-6.92041522491349,0.0,0.0,
section,SLOW_SWEEP,80,80,44.44236755371094,44.93522644042969,-0.49285888671875,-1.0968207479094993,22.50105147506931,22.254255273992953,1.1089843180003944,19.82335148215366,19.6098144823459,0,0,1,1,96,96,1,,3.753662109375,3.35693359375,11.818181818181817,0.0,0.0,,14.556884765625,14.556884765625,0.0,10.80322265625,11.199951171875,-3.542234332425065,6.89697265625,7.080078125,-2.5862068965517238,8.636474609375,9.063720703125,-4.7138047138047146,6.317138671875,6.195068359375,1.9704433497536922
section,FAST_SWEEP,40,40,44.34356689453125,44.82421875,-0.48065185546875,-1.0723039215686292,22.55118543752796,22.309368191721134,1.0839269123567696,20.77869372225745,20.595851665619108,0,0,1,1,142,142,1,,3.72314453125,3.570556640625,4.2735042735042805,0.0,0.0,,12.603759765625,12.603759765625,0.0,10.589599609375,10.7421875,-1.4204545454545414,6.378173828125,6.195068359375,2.9556650246305383,9.735107421875,10.25390625,-5.059523809523814,5.462646484375,5.615234375,-2.717391304347827
section,A_RETURN,28,28,54.680960518973215,55.07441929408482,-0.3934587751116041,-0.7144129346341788,18.287901136137133,18.157250004947457,0.7195535180386736,16.149827501232135,16.047012732615084,0,0,1,1,161,161,1,,4.486083984375,3.84521484375,16.666666666666675,0.0,0.0,,12.176513671875,12.176513671875,0.0,13.3056640625,13.48876953125,-1.3574660633484115,9.979248046875,10.43701171875,-4.385964912280704,9.1552734375,9.796142578125,-6.542056074766355,13.671875,13.427734375,1.8181818181818077
section,B_APPROACH,76,76,43.79714162726151,44.28060431229441,-0.48346268503289735,-1.0918159147585649,22.83254027193296,22.58325096350034,1.1038681225990388,21.686300463269358,21.4872131147541,0,0,1,1,195,195,1,,3.387451171875,3.082275390625,9.90099009900991,0.0,0.0,,23.13232421875,23.13232421875,0.0,9.1552734375,9.033203125,1.3513513513513598,2.5634765625,2.74658203125,-6.666666666666665,6.77490234375,7.568359375,-10.483870967741938,0.885009765625,0.79345703125,11.538461538461542
section,B_VIEW,40,40,45.49560546875,45.86334228515625,-0.36773681640625,-0.8018098945337226,21.98014488865039,21.803905912100344,0.8082908505500308,20.924648786717754,20.805079365079365,0,0,1,1,291,291,1,,3.387451171875,3.387451171875,0.0,0.0,0.0,,12.664794921875,12.6953125,-0.24038461538461453,7.8125,7.904052734375,-1.158301158301156,3.173828125,3.11279296875,1.9607843137254832,17.852783203125,18.06640625,-1.1824324324324342,2.838134765625,2.86865234375,-1.0638297872340385
section,B_TO_SMALL,20,20,44.99664306640625,45.2911376953125,-0.29449462890625,-0.650225726029241,22.223880090881345,22.079374705208544,0.6544813320221055,21.557894736842105,21.416993464052286,0,0,1,1,292,292,1,,3.173828125,3.326416015625,-4.587155963302747,0.0,0.0,,12.6953125,12.725830078125,-0.23980815347721673,7.4462890625,7.568359375,-1.6129032258064502,2.5634765625,2.105712890625,21.739130434782616,18.463134765625,18.829345703125,-1.944894651539708,1.5869140625,1.617431640625,-1.8867924528301883
section,SMALL_SWEEP,80,80,47.68409729003906,48.090362548828125,-0.4062652587890625,-0.8447955832659115,20.971352229182166,20.7941871717989,0.8519931840545336,19.297997644287396,19.162573099415205,0,0,1,1,336,336,1,,3.631591796875,3.692626953125,-1.6528925619834656,0.0,0.0,,12.237548828125,12.26806640625,-0.24875621890547706,10.3759765625,10.406494140625,-0.2932551319648091,6.134033203125,6.134033203125,0.0,14.70947265625,15.07568359375,-2.429149797570851,5.2490234375,5.126953125,2.3809523809523725
