section_index,section_id,section_name,section_flags,section_flag_names,first_frame,frame_count,clean_frame_count,detailed_frame,diagnostic_replay,detailed_frame_timing_excluded,crossing_count,frame_hash,state_hash,clean_duration_ms,clean_average_fps,clean_minimum_fps,clean_maximum_fps,clean_1_percent_low_fps,clean_1_percent_low_frames,clean_0_1_percent_low_fps,clean_0_1_percent_low_frames,frame_ms_min,frame_ms_max,frame_ms_mean,frame_ms_median,frame_ms_pstdev,spike_threshold_ms,spike_count,over_33_333_ms,over_50_ms,over_100_ms,over_twice_median,update_ms_mean,render_ms_mean,swap_ms_mean,detailed_frame_time_ms,selected_clean_frame_time_ms,detailed_intrusion_percent,detail_corrected_total_ms,admin_raw_ticks,admin_entries,admin_corrected_ticks,admin_corrected_ms,wait_raw_ticks,wait_entries,wait_corrected_ticks,wait_corrected_ms,background_raw_ticks,background_entries,background_corrected_ticks,background_corrected_ms,dda_raw_ticks,dda_entries,dda_corrected_ticks,dda_corrected_ms,portal_trace_raw_ticks,portal_trace_entries,portal_trace_corrected_ticks,portal_trace_corrected_ms,wall_draw_raw_ticks,wall_draw_entries,wall_draw_corrected_ticks,wall_draw_corrected_ms,portal_draw_raw_ticks,portal_draw_entries,portal_draw_corrected_ticks,portal_draw_corrected_ms,portal_transforms,wall_calls,mask_calls,portal_candidates,linked_exits,textured_rows,dda_steps
0,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,0,8,8,0,1,0,1,0x946826FD,0x2352C806,361.114501953125,22.15363813065157,18.471251409244644,27.652320675105486,18.471251409244644,1,18.471251409244644,1,36.163330078125,54.13818359375,45.139312744140625,45.1202392578125,8.778956185743551,90.240478515625,0,8,4,0,0,0.45013427734375,44.677734375,0.011444091796875,54.13818359375,54.13818359375,,55.23681640625,356,249,111,3.387451171875,1,1,0,0.0,356,1,355,10.833740234375,633,166,470,14.34326171875,622,252,374,11.41357421875,403,80,324,9.8876953125,261,86,176,5.37109375,86,80,86,86,86,2736,898
1,2,LARGE_ENTRY,0x02,large_room,8,20,20,26,1,0,0,0x707261C2,0x67A2B8B0,733.001708984375,27.28506598942504,26.88105004101723,27.605728727885424,26.88105004101723,1,26.88105004101723,1,36.224365234375,37.200927734375,36.65008544921875,36.5753173828125,0.25523261113720597,73.150634765625,0,20,0,0,0,0.42572021484375,36.212158203125,0.01220703125,37.200927734375,37.200927734375,,36.62109375,255,163,95,2.899169921875,1,1,0,0.0,390,1,389,11.871337890625,341,80,262,7.99560546875,146,80,67,2.044677734375,466,80,387,11.810302734375,0,0,0,0.0,0,80,0,0,0,4649,524
2,3,SLOW_SWEEP,0x16,large_room|slow_turn|portal_view,28,80,80,97,1,0,0,0xC592D532,0xC7CC61A7,3831.0546875,20.88197807800153,18.502540937323545,24.023460410557185,18.502540937323545,1,18.502540937323545,1,41.6259765625,54.046630859375,47.88818359375,48.6297607421875,3.7498715497905817,97.259521484375,0,80,22,0,0,0.1781463623046875,47.69401550292969,0.016021728515625,54.046630859375,54.046630859375,,54.5654296875,321,210,114,3.47900390625,0,1,0,0.0,478,1,477,14.556884765625,488,127,363,11.077880859375,402,174,231,7.049560546875,477,80,398,12.14599609375,251,47,205,6.256103515625,47,80,47,47,47,5819,619
3,4,FAST_SWEEP,0x9A,large_room|fast_turn|portal_view|stress,108,40,40,142,1,0,0,0x254B6E30,0xF63100A7,1907.745361328125,20.96715883096316,19.51637879690292,22.291156462585032,19.51637879690292,1,19.51637879690292,1,44.86083984375,51.239013671875,47.693634033203125,46.7987060546875,1.9904724796165747,93.597412109375,0,40,10,0,0,0.1708984375,47.510528564453125,0.01220703125,51.239013671875,51.239013671875,,51.666259765625,310,203,110,3.35693359375,1,1,0,0.0,414,1,413,12.603759765625,473,120,355,10.833740234375,357,160,199,6.072998046875,508,80,429,13.092041015625,226,40,187,5.706787109375,40,80,40,40,40,7380,701
4,5,A_RETURN,0x72,large_room|portal_view|portal_approach|portal_cross,148,28,28,161,1,0,1,0x91CCB15C,0x627406B9,1607.0556640625,17.42316748955564,15.50780880265026,21.07266881028939,15.50780880265026,1,15.50780880265026,1,47.454833984375,64.483642578125,57.394845145089285,58.6090087890625,4.7713072167584505,117.218017578125,0,28,25,0,0,0.43269566127232145,56.946890694754465,0.0152587890625,64.483642578125,64.483642578125,,65.3076171875,368,238,134,4.08935546875,1,1,0,0.0,401,1,400,12.20703125,588,155,435,13.275146484375,573,237,340,10.3759765625,459,73,387,11.810302734375,525,82,444,13.5498046875,75,73,82,82,82,10920,941
5,6,B_APPROACH,0x22,large_room|portal_approach,176,76,76,195,1,0,0,0xC09A7B39,0x4FB93E2C,3585.723876953125,21.195162429679055,20.23965410747375,22.14054054054054,20.23965410747375,1,20.23965410747375,1,45.166015625,49.407958984375,47.18057732833059,47.2259521484375,0.9228927868279206,94.451904296875,0,76,0,0,0,0.29312936883223684,46.87178762335526,0.015660336143092105,49.407958984375,49.407958984375,,49.1943359375,263,171,95,2.899169921875,1,1,0,0.0,759,1,758,23.13232421875,390,88,303,9.246826171875,192,96,97,2.960205078125,412,80,333,10.162353515625,34,8,26,0.79345703125,8,80,8,8,8,2813,1067
6,7,B_VIEW,0x1A,large_room|fast_turn|portal_view,252,40,40,291,1,0,0,0xA9A0E5DE,0x5C2E3AEC,1915.34423828125,20.88397437940155,20.152521525215253,21.614775725593667,20.152521525215253,1,20.152521525215253,1,46.2646484375,49.62158203125,47.88360595703125,47.6226806640625,0.9231491719085584,95.245361328125,0,40,0,0,0,0.1708984375,47.701263427734375,0.011444091796875,49.62158203125,49.62158203125,,49.49951171875,283,174,112,3.41796875,1,1,0,0.0,416,1,415,12.664794921875,347,91,257,7.843017578125,206,103,105,3.204345703125,719,79,641,19.561767578125,104,12,92,2.8076171875,11,79,12,12,12,18836,147
7,8,B_TO_SMALL,0x71,small_room|portal_view|portal_approach|portal_cross,292,20,20,292,1,0,0,0x8E131FC5,0xBC25E241,932.9833984375,21.436608661520346,20.897959183673468,21.557894736842105,20.897959183673468,1,20.897959183673468,1,46.38671875,47.8515625,46.649169921875,46.600341796875,0.2800975074605412,93.20068359375,0,20,0,0,0,0.4852294921875,46.15020751953125,0.01373291015625,47.8515625,47.8515625,,47.30224609375,271,168,106,3.23486328125,1,1,0,0.0,417,1,416,12.6953125,326,85,242,7.38525390625,169,91,79,2.410888671875,732,79,654,19.95849609375,59,6,53,1.617431640625,5,79,6,6,6,19182,111
8,9,SMALL_SWEEP,0x99,small_room|fast_turn|portal_view|stress,312,80,80,336,1,0,0,0x764E7CAB,0xF6FF7E01,4035.2783203125,19.825150497625312,18.367713004484305,21.889111556446228,18.367713004484305,1,18.367713004484305,1,45.684814453125,54.443359375,50.44097900390625,50.5828857421875,2.083498667573915,101.165771484375,0,80,52,0,0,0.170135498046875,50.257110595703125,0.01373291015625,54.443359375,54.443359375,,54.962158203125,322,207,118,3.60107421875,1,1,0,0.0,402,1,401,12.237548828125,461,124,339,10.345458984375,372,169,206,6.28662109375,644,79,566,17.27294921875,215,45,171,5.218505859375,44,79,45,45,45,14028,254
9,10,B_RETURN,0x71,small_room|portal_view|portal_approach|portal_cross,392,20,20,392,1,0,0,0x3855C7AA,0xC1BAA736,927.154541015625,21.571376847371713,20.739240506329114,22.110661268556004,20.739240506329114,1,20.739240506329114,1,45.22705078125,48.2177734375,46.35772705078125,46.0968017578125,1.0026533921860743,92.193603515625,0,20,0,0,0,0.4608154296875,45.8831787109375,0.01373291015625,48.2177734375,48.2177734375,,47.9736328125,286,183,106,3.23486328125,1,1,0,0.0,610,1,609,18.585205078125,428,100,330,10.07080078125,245,120,127,3.875732421875,407,80,328,10.009765625,92,20,72,2.197265625,20,80,20,20,20,2544,1100
10,11,OPEN_TRAVERSE,0x02,large_room,412,120,120,523,1,0,0,0x92283486,0xE051ABC3,5845.123291015625,20.529934789305237,17.750812567713975,22.09575185434929,17.789359391965256,2,17.750812567713975,1,45.257568359375,56.33544921875,48.70936075846354,46.44775390625,3.7444765666086095,92.8955078125,0,120,34,0,0,0.4638671875,48.23176066080729,0.01373291015625,56.33544921875,56.33544921875,,56.610107421875,331,211,123,3.753662109375,1,1,0,0.0,457,1,456,13.916015625,492,128,366,11.16943359375,400,176,227,6.927490234375,556,80,477,14.556884765625,253,48,206,6.28662109375,48,80,48,48,48,10403,714
11,12,OPEN_NAV,0x0A,large_room|fast_turn,532,104,104,533,1,0,0,0x036183B6,0x3BE6E5C2,4689.239501953125,22.17843638753848,17.59828141783029,25.580015612802498,17.61720430107527,2,17.59828141783029,1,39.093017578125,56.82373046875,45.08884136493389,41.6717529296875,6.1873488076987,83.343505859375,0,104,27,0,0,0.22976215069110578,44.845874492938705,0.013204721304086538,56.82373046875,56.82373046875,,57.464599609375,337,220,120,3.662109375,1,1,0,0.0,449,1,448,13.671875,532,137,397,12.115478515625,443,194,252,7.6904296875,485,80,406,12.39013671875,316,57,260,7.9345703125,57,80,57,57,57,7875,753
12,13,D_APPROACH,0x32,large_room|portal_view|portal_approach,636,105,105,654,1,0,1,0x072C39C9,0x84051B90,5106.292724609375,20.56286344375848,17.513629075360768,22.41313269493844,17.588835212023618,2,17.513629075360768,1,44.61669921875,57.098388671875,48.63135928199405,47.271728515625,3.9038627708508487,94.54345703125,0,105,30,0,0,0.46415783110119047,48.15150669642857,0.015694754464285716,57.098388671875,57.098388671875,,57.31201171875,322,208,117,3.570556640625,1,1,0,0.0,436,1,435,13.275146484375,481,125,358,10.92529296875,382,170,215,6.561279296875,596,80,517,15.777587890625,280,45,236,7.2021484375,45,80,45,51,45,12066,735
