section_index,section_id,section_name,section_flags,section_flag_names,first_frame,frame_count,clean_frame_count,detailed_frame,diagnostic_replay,detailed_frame_timing_excluded,crossing_count,frame_hash,state_hash,clean_duration_ms,clean_average_fps,clean_minimum_fps,clean_maximum_fps,clean_1_percent_low_fps,clean_1_percent_low_frames,clean_0_1_percent_low_fps,clean_0_1_percent_low_frames,frame_ms_min,frame_ms_max,frame_ms_mean,frame_ms_median,frame_ms_pstdev,spike_threshold_ms,spike_count,over_33_333_ms,over_50_ms,over_100_ms,over_twice_median,update_ms_mean,render_ms_mean,swap_ms_mean,detailed_frame_time_ms,selected_clean_frame_time_ms,detailed_intrusion_percent,detail_corrected_total_ms,admin_raw_ticks,admin_entries,admin_corrected_ticks,admin_corrected_ms,wait_raw_ticks,wait_entries,wait_corrected_ticks,wait_corrected_ms,background_raw_ticks,background_entries,background_corrected_ticks,background_corrected_ms,dda_raw_ticks,dda_entries,dda_corrected_ticks,dda_corrected_ms,portal_trace_raw_ticks,portal_trace_entries,portal_trace_corrected_ticks,portal_trace_corrected_ms,wall_draw_raw_ticks,wall_draw_entries,wall_draw_corrected_ticks,wall_draw_corrected_ms,portal_draw_raw_ticks,portal_draw_entries,portal_draw_corrected_ticks,portal_draw_corrected_ms,portal_transforms,wall_calls,mask_calls,portal_candidates,linked_exits,textured_rows,dda_steps
0,1,A_APPROACH,0x72,large_room|portal_view|portal_approach|portal_cross,0,8,8,0,1,0,1,0x946826FD,0x2352C806,338.0126953125,23.667750090285303,19.469994058229354,30.034830430797435,19.469994058229354,1,19.469994058229354,1,33.294677734375,51.361083984375,42.2515869140625,42.205810546875,8.828472155944203,84.41162109375,0,7,4,0,0,0.453948974609375,41.790008544921875,0.00762939453125,51.361083984375,51.361083984375,,52.490234375,388,249,143,4.364013671875,1,1,0,0.0,355,1,354,10.80322265625,622,166,459,14.007568359375,630,252,382,11.65771484375,309,80,230,7.01904296875,237,86,152,4.638671875,86,80,86,86,86,2736,898
1,2,LARGE_ENTRY,0x02,large_room,8,20,20,26,1,0,0,0x707261C2,0x67A2B8B0,675.262451171875,29.618113616848195,29.178984861976847,29.92511415525114,29.178984861976847,1,29.178984861976847,1,33.416748046875,34.271240234375,33.76312255859375,33.6761474609375,0.24665963490849627,67.352294921875,0,20,0,0,0,0.421142578125,33.3221435546875,0.01983642578125,34.271240234375,34.271240234375,,33.721923828125,264,163,104,3.173828125,1,1,0,0.0,390,1,389,11.871337890625,337,80,258,7.87353515625,139,80,60,1.8310546875,373,80,294,8.97216796875,0,0,0,0.0,0,80,0,0,0,4649,524
2,3,SLOW_SWEEP,0x16,large_room|slow_turn|portal_view,28,80,80,96,1,0,0,0xC592D532,0xC7CC61A7,3605.1025390625,22.19076964751295,19.574671445639186,25.821907013396377,19.574671445639186,1,19.574671445639186,1,38.726806640625,51.08642578125,45.06378173828125,45.6695556640625,3.777732586990894,91.339111328125,0,80,8,0,0,0.1781463623046875,44.87152099609375,0.0141143798828125,51.055908203125,51.055908203125,,51.6357421875,319,210,112,3.41796875,0,1,0,0.0,478,1,477,14.556884765625,486,127,361,11.016845703125,396,174,225,6.866455078125,389,80,310,9.46044921875,253,47,207,6.317138671875,47,80,47,47,47,5819,619
3,4,FAST_SWEEP,0x9A,large_room|fast_turn|portal_view|stress,108,40,40,142,1,0,0,0x254B6E30,0xF63100A7,1798.004150390625,22.24688969227897,20.531328320802004,23.762146482958666,20.531328320802004,1,20.531328320802004,1,42.083740234375,48.7060546875,44.950103759765625,43.9605712890625,2.0449326484400028,87.921142578125,0,40,0,0,0,0.168609619140625,44.769287109375,0.01220703125,48.7060546875,48.7060546875,,49.102783203125,315,203,115,3.509521484375,0,1,0,0.0,414,1,413,12.603759765625,468,120,350,10.68115234375,366,160,208,6.34765625,419,80,340,10.3759765625,222,40,183,5.584716796875,40,80,40,40,40,7380,701
4,5,A_RETURN,0x72,large_room|portal_view|portal_approach|portal_cross,148,28,28,161,1,0,1,0x91CCB15C,0x627406B9,1545.0439453125,18.122461878802245,16.023471882640585,22.200542005420054,16.023471882640585,1,16.023471882640585,1,45.0439453125,62.408447265625,55.180140904017854,56.57958984375,4.956142432046915,113.1591796875,0,28,23,0,0,0.43051583426339285,54.7332763671875,0.016348702566964284,62.408447265625,62.408447265625,,63.262939453125,350,238,116,3.5400390625,1,1,0,0.0,401,1,400,12.20703125,596,155,443,13.519287109375,577,237,344,10.498046875,392,73,320,9.765625,531,82,450,13.73291015625,75,73,82,82,82,10920,941
5,6,B_APPROACH,0x22,large_room|portal_approach,176,76,76,195,1,0,0,0xC09A7B39,0x4FB93E2C,3375.030517578125,22.518314902389843,21.40300457217505,23.608069164265128,21.40300457217505,1,21.40300457217505,1,42.3583984375,46.722412109375,44.408296283922695,44.403076171875,0.9670089942988999,88.80615234375,0,76,0,0,0,0.2899169921875,44.104726690995065,0.013652600740131578,46.722412109375,46.722412109375,,46.478271484375,274,171,106,3.23486328125,1,1,0,0.0,759,1,758,23.13232421875,382,88,295,9.002685546875,184,96,89,2.716064453125,328,80,249,7.598876953125,34,8,26,0.79345703125,8,80,8,8,8,2813,1067
6,7,B_VIEW,0x1A,large_room|fast_turn|portal_view,252,40,40,291,1,0,0,0xA9A0E5DE,0x5C2E3AEC,1838.104248046875,21.761551360595043,20.752374920835972,22.914685314685315,20.752374920835972,1,20.752374920835972,1,43.64013671875,48.187255859375,45.952606201171875,45.83740234375,1.0864748032900462,91.6748046875,0,40,0,0,0,0.1739501953125,45.761871337890625,0.01678466796875,48.187255859375,48.187255859375,,48.065185546875,270,174,99,3.021240234375,1,1,0,0.0,417,1,416,12.6953125,356,91,266,8.11767578125,174,103,73,2.227783203125,705,79,627,19.134521484375,106,12,94,2.86865234375,11,79,12,12,12,18836,147
7,8,B_TO_SMALL,0x71,small_room|portal_view|portal_approach|portal_cross,292,20,20,292,1,0,0,0x8E131FC5,0xBC25E241,906.951904296875,22.05188599885595,21.389033942558747,22.14054054054054,21.389033942558747,1,21.389033942558747,1,45.166015625,46.7529296875,45.34759521484375,45.2880859375,0.3238999223896127,90.576171875,0,20,0,0,0,0.48370361328125,44.8486328125,0.0152587890625,46.7529296875,46.7529296875,,46.234130859375,271,168,106,3.23486328125,1,1,0,0.0,417,1,416,12.6953125,327,85,243,7.415771484375,177,91,87,2.655029296875,689,79,611,18.646240234375,58,6,52,1.5869140625,5,79,6,6,6,19182,111
8,9,SMALL_SWEEP,0x99,small_room|fast_turn|portal_view|stress,312,80,80,336,1,0,0,0x764E7CAB,0xF6FF7E01,3855.865478515625,20.747611773737823,19.12901342673672,22.474622770919066,19.12901342673672,1,19.12901342673672,1,44.49462890625,52.276611328125,48.19831848144531,48.1414794921875,1.8352349169016717,96.282958984375,0,80,12,0,0,0.1728057861328125,48.01063537597656,0.0148773193359375,52.276611328125,52.276611328125,,52.825927734375,319,207,115,3.509521484375,1,1,0,0.0,402,1,401,12.237548828125,463,124,341,10.406494140625,378,169,212,6.4697265625,572,79,494,15.07568359375,212,45,168,5.126953125,44,79,45,45,45,14028,254
9,10,B_RETURN,0x71,small_room|portal_view|portal_approach|portal_cross,392,20,20,392,1,0,0,0x3855C7AA,0xC1BAA736,875.701904296875,22.83882209444154,21.962466487935657,23.38900785153462,21.962466487935657,1,21.962466487935657,1,42.755126953125,45.5322265625,43.78509521484375,43.5943603515625,0.9657198272209997,87.188720703125,0,20,0,0,0,0.46234130859375,43.30291748046875,0.01983642578125,45.5322265625,45.5322265625,,45.318603515625,282,183,102,3.11279296875,1,1,0,0.0,611,1,610,18.61572265625,432,100,334,10.19287109375,249,120,131,3.997802734375,310,80,231,7.049560546875,97,20,77,2.349853515625,20,80,20,20,20,2544,1100
