section_index,section_id,section_name,section_flags,section_flag_names,first_frame,frame_count,clean_frame_count,detailed_frame,crossing_count,logical_hash,presented_hash,state_hash,portal_0_lod,portal_1_lod,endpoint_room,clean_frame_ms_mean,clean_frame_ms_median,clean_average_fps,clean_median_fps,clean_1_percent_low_fps,detail_raw_total_ticks,detail_corrected_total_ticks,detail_corrected_total_ms,admin_raw_ticks,admin_entries,admin_switch_overhead_ticks,admin_corrected_ticks,admin_corrected_ms,admin_corrected_share_percent,setup_raw_ticks,setup_entries,setup_switch_overhead_ticks,setup_corrected_ticks,setup_corrected_ms,setup_corrected_share_percent,root_geometry_raw_ticks,root_geometry_entries,root_geometry_switch_overhead_ticks,root_geometry_corrected_ticks,root_geometry_corrected_ms,root_geometry_corrected_share_percent,root_fill_raw_ticks,root_fill_entries,root_fill_switch_overhead_ticks,root_fill_corrected_ticks,root_fill_corrected_ms,root_fill_corrected_share_percent,portal_setup_raw_ticks,portal_setup_entries,portal_setup_switch_overhead_ticks,portal_setup_corrected_ticks,portal_setup_corrected_ms,portal_setup_corrected_share_percent,portal_geometry_raw_ticks,portal_geometry_entries,portal_geometry_switch_overhead_ticks,portal_geometry_corrected_ticks,portal_geometry_corrected_ms,portal_geometry_corrected_share_percent,portal_fill_raw_ticks,portal_fill_entries,portal_fill_switch_overhead_ticks,portal_fill_corrected_ticks,portal_fill_corrected_ms,portal_fill_corrected_share_percent,wait_raw_ticks,wait_entries,wait_switch_overhead_ticks,wait_corrected_ticks,wait_corrected_ms,wait_corrected_share_percent,present_raw_ticks,present_entries,present_switch_overhead_ticks,present_corrected_ticks,present_corrected_ms,present_corrected_share_percent,overlay_raw_ticks,overlay_entries,overlay_switch_overhead_ticks,overlay_corrected_ticks,overlay_corrected_ms,overlay_corrected_share_percent,transformed_vertices,projected_points,rasterized_polygons,raster_rows,filled_spans,filled_pixels,portal_composite_pixels,portal_clip_pixels,full_portal_views,lod_portal_views,edge_division_fallbacks
0,1,OPEN_YAW,0x04,turn,0,128,127,1,0,0xF5386431,0x558150D7,0x9E5629C9,1,0,0,37.988377368356296,36.07177734375,26.32384085014865,27.722504230118442,17.837778987479588,1854,1844,56.2744140625,2,1,1,1,0.030517578125,0.05422993492407809,6,1,1,5,0.152587890625,0.27114967462039047,805,1,1,804,24.5361328125,43.600867678958785,226,1,1,225,6.866455078125,12.20173535791757,50,1,1,49,1.495361328125,2.6572668112798263,159,1,1,158,4.82177734375,8.568329718004339,82,1,1,81,2.471923828125,4.3926247288503255,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,26.030368763557483,42,1,1,41,1.251220703125,2.2234273318872018,16,32,8,178,141,2783,317,317,0,1,11
1,2,PITCH_SWEEP,0x08,pitch,128,96,95,169,0,0xF5386431,0x558150D7,0x9E5629C9,1,0,0,46.6687654194079,49.49951171875,21.427607758917386,20.20221948212084,18.083885209713024,1816,1806,55.11474609375,2,1,1,1,0.030517578125,0.05537098560354374,6,1,1,5,0.152587890625,0.2768549280177187,771,1,1,770,23.49853515625,42.63565891472868,224,1,1,223,6.805419921875,12.347729789590256,49,1,1,48,1.46484375,2.6578073089700998,153,1,1,152,4.638671875,8.416389811738648,87,1,1,86,2.62451171875,4.761904761904762,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,26.578073089700997,42,1,1,41,1.251220703125,2.2702104097452933,16,32,7,173,145,2800,302,302,0,1,10
2,3,PORTAL_FAR,0x21,portal_view|lod,224,56,55,254,0,0xACD90C31,0x57771062,0xA72A6D23,1,0,0,52.69220525568182,54.8095703125,18.97813908428457,18.244988864142538,17.310089804543054,1906,1897,57.891845703125,1,1,1,0,0.0,0.0,7,1,1,6,0.18310546875,0.316288877174486,766,1,1,765,23.345947265625,40.326831839746966,233,1,1,232,7.080078125,12.229836584080127,61,1,1,60,1.8310546875,3.16288877174486,179,1,1,178,5.43212890625,9.383236689509753,136,1,1,135,4.119873046875,7.1164997364259355,0,1,1,0,0.0,0.0,482,1,1,481,14.678955078125,25.355824986821297,41,1,1,40,1.220703125,2.1085925144965736,16,32,7,185,149,2472,648,648,0,1,6
3,4,PORTAL_NEAR,0x21,portal_view|lod,280,36,35,312,0,0x6BC9BA3D,0xC7979F36,0x6CC07690,0,0,0,58.854457310267854,58.502197265625,16.991066534319028,17.09337506520605,15.829951690821256,2084,2074,63.29345703125,2,1,1,1,0.030517578125,0.048216007714561235,6,1,1,5,0.152587890625,0.24108003857280616,520,1,1,519,15.838623046875,25.02410800385728,119,1,1,118,3.60107421875,5.689488910318226,91,1,1,90,2.74658203125,4.339440694310511,551,1,1,550,16.78466796875,26.518804243008677,271,1,1,270,8.23974609375,13.018322082931533,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,23.143683702989392,42,1,1,41,1.251220703125,1.9768563162970105,16,32,6,240,194,6364,0,3072,1,0,10
4,5,CROSS_DOWN,0x83,portal_view|portal_cross|stress,316,4,3,316,1,0x4574F2BD,0xC47DC216,0x2C3FE3A2,0,0,1,48.055013020833336,56.640625,20.809483488569008,17.655172413793103,17.022337662337662,2080,2070,63.17138671875,1,1,1,0,0.0,0.0,7,1,1,6,0.18310546875,0.2898550724637681,520,1,1,519,15.838623046875,25.07246376811594,118,1,1,117,3.570556640625,5.6521739130434785,91,1,1,90,2.74658203125,4.3478260869565215,552,1,1,551,16.815185546875,26.618357487922705,267,1,1,266,8.11767578125,12.85024154589372,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,23.18840579710145,42,1,1,41,1.251220703125,1.9806763285024154,16,32,6,240,194,6272,0,3072,1,0,10
5,6,RETURN_UP,0x93,portal_view|portal_cross|freecam|stress,320,10,9,329,1,0xB2FCEA9A,0x3E7A9B97,0xA4A3A3D6,0,0,0,49.862331814236114,57.31201171875,20.05521931315879,17.44834930777423,11.385684503127171,2051,2041,62.286376953125,1,1,1,0,0.0,0.0,7,1,1,6,0.18310546875,0.29397354238118567,522,1,1,521,15.899658203125,25.52670259676629,119,1,1,118,3.60107421875,5.781479666829985,91,1,1,90,2.74658203125,4.409603135717785,514,1,1,513,15.655517578125,25.134737873591376,246,1,1,245,7.476806640625,12.003919647231749,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,23.517883390494855,69,1,1,68,2.0751953125,3.3317001469867713,16,32,5,240,152,6273,0,3072,1,0,6
6,7,LOD_RETREAT,0x31,portal_view|freecam|lod,330,48,47,338,0,0x7855312D,0xA8D4BB65,0xA8F2C94A,1,0,0,57.229549326795215,58.685302734375,17.473490736223464,17.04004160166407,15.529857819905214,2129,2119,64.666748046875,2,1,1,1,0.030517578125,0.04719207173194903,6,1,1,5,0.152587890625,0.23596035865974516,525,1,1,524,15.9912109375,24.728645587541294,119,1,1,118,3.60107421875,5.568664464369986,91,1,1,90,2.74658203125,4.247286455875413,564,1,1,563,17.181396484375,26.569136385087305,272,1,1,271,8.270263671875,12.789051439358188,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,22.652194431335534,68,1,1,67,2.044677734375,3.161868806040585,16,32,6,242,196,6235,0,3053,1,0,3
7,8,LOD_APPROACH,0xB3,portal_view|portal_cross|freecam|lod|stress,378,60,59,416,1,0x9391C926,0xCF9F1F10,0x8028BE00,0,0,1,56.884765625,58.9599609375,17.5793991416309,16.96066252587992,13.931972789115646,2129,2119,64.666748046875,1,1,1,0,0.0,0.0,7,1,1,6,0.18310546875,0.2831524303916942,525,1,1,524,15.9912109375,24.728645587541294,119,1,1,118,3.60107421875,5.568664464369986,91,1,1,90,2.74658203125,4.247286455875413,564,1,1,563,17.181396484375,26.569136385087305,272,1,1,271,8.270263671875,12.789051439358188,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,22.652194431335534,68,1,1,67,2.044677734375,3.161868806040585,16,32,6,242,196,6235,0,3053,1,0,3
8,9,FREECAM_YAW,0x14,turn|freecam,438,128,127,439,0,0x9391C926,0xCF9F1F10,0xD6FA1B1C,0,0,1,38.60978254183071,40.1611328125,25.900171774253778,24.89969604863222,22.898672257162822,1420,1413,43.121337890625,2,1,1,1,0.030517578125,0.07077140835102619,6,1,1,5,0.152587890625,0.35385704175513094,751,1,1,750,22.88818359375,53.07855626326964,110,1,1,109,3.326416015625,7.714083510261855,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,33.97027600849257,69,1,1,68,2.0751953125,4.812455767869781,8,20,5,183,59,3072,0,0,0,0,6
9,10,FREECAM_3D,0xD8,pitch|freecam|vertical|stress,566,288,287,612,1,0x13BBC90D,0x232B60B4,0xB2A40B9D,2,0,0,48.81153704812718,42.96875,20.486959855700107,23.272727272727273,13.338398914518317,2467,2457,74.981689453125,1,1,1,0,0.0,0.0,7,1,1,6,0.18310546875,0.2442002442002442,791,1,1,790,24.10888671875,32.15303215303215,134,1,1,133,4.058837890625,5.413105413105413,92,1,1,91,2.777099609375,3.7037037037037037,644,1,1,643,19.622802734375,26.17012617012617,247,1,1,246,7.50732421875,10.012210012210012,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,19.536019536019538,69,1,1,68,2.0751953125,2.7676027676027677,16,53,8,306,174,5792,0,2651,1,0,12
