scope,name,current_clean_frames,baseline_clean_frames,current_frame_ms_mean,baseline_frame_ms_mean,frame_ms_delta,frame_time_percent_change,current_frame_ms_median,baseline_frame_ms_median,current_average_fps,baseline_average_fps,average_fps_percent_change,current_1_percent_low_fps,baseline_1_percent_low_fps,current_detailed_frame,baseline_detailed_frame,detail_trace_comparable,current_admin_corrected_ms,baseline_admin_corrected_ms,admin_percent_change,current_setup_corrected_ms,baseline_setup_corrected_ms,setup_percent_change,current_root_geometry_corrected_ms,baseline_root_geometry_corrected_ms,root_geometry_percent_change,current_root_fill_corrected_ms,baseline_root_fill_corrected_ms,root_fill_percent_change,current_portal_setup_corrected_ms,baseline_portal_setup_corrected_ms,portal_setup_percent_change,current_portal_geometry_corrected_ms,baseline_portal_geometry_corrected_ms,portal_geometry_percent_change,current_portal_fill_corrected_ms,baseline_portal_fill_corrected_ms,portal_fill_percent_change,current_wait_corrected_ms,baseline_wait_corrected_ms,wait_percent_change,current_present_corrected_ms,baseline_present_corrected_ms,present_percent_change,current_overlay_corrected_ms,baseline_overlay_corrected_ms,overlay_percent_change
overall,ALL_CLEAN,844,844,47.864796426058945,49.283466067924316,-1.418669641865371,-2.8785914527807543,44.49462890625,44.73876953125,20.89218119928265,20.29078065698063,2.963910321977292,13.062497231695973,12.50633984987914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
section,OPEN_YAW,127,127,38.79216712290847,39.87542099840059,-1.083253875492126,-2.7165954574763673,36.956787109375,38.055419921875,25.778399975222225,25.078105132485252,2.792455167714558,17.560557341907824,16.98703991705547,1,1,1,0.030517578125,0.0,,0.152587890625,0.18310546875,-16.666666666666664,24.5361328125,24.505615234375,0.12453300124533051,7.781982421875,9.3994140625,-17.207792207792206,1.46484375,1.556396484375,-5.882352941176472,4.852294921875,4.852294921875,0.0,2.44140625,2.655029296875,-8.045977011494255,0.0,0.0,,14.6484375,14.6484375,0.0,1.251220703125,1.251220703125,0.0
section,PITCH_SWEEP,95,95,47.53771330180921,48.78636410361842,-1.2486508018092053,-2.5594258247184976,50.4150390625,51.483154296875,21.035929802747614,20.497530782906434,2.6266530615002948,17.789359391965256,17.18300996329313,133,133,1,0.030517578125,0.0,,0.152587890625,0.18310546875,-16.666666666666664,23.49853515625,23.468017578125,0.13003901170351995,7.6904296875,9.429931640625,-18.446601941747577,1.46484375,1.52587890625,-4.0000000000000036,4.638671875,4.669189453125,-0.6535947712418277,2.655029296875,2.8076171875,-5.434782608695654,0.0,0.0,,14.6484375,14.6484375,0.0,1.251220703125,1.251220703125,0.0
section,PORTAL_FAR,55,55,53.39466441761363,55.26899857954545,-1.8743341619318201,-3.3912938719781627,55.694580078125,57.55615234375,18.72846305725865,18.093325837282148,3.510339810869789,17.057782404997397,16.44154540893126,254,254,1,0.030517578125,0.0,,0.152587890625,0.18310546875,-16.666666666666664,23.345947265625,23.345947265625,0.0,7.99560546875,9.796142578125,-18.38006230529595,1.800537109375,1.89208984375,-4.8387096774193505,5.462646484375,5.4931640625,-0.5555555555555536,4.08935546875,4.364013671875,-6.2937062937062915,0.0,0.0,,14.6484375,14.6484375,0.0,1.251220703125,1.251220703125,0.0
section,PORTAL_NEAR,35,35,59.287806919642854,62.34654017857143,-3.0587332589285765,-4.906019243678683,58.990478515625,62.225341796875,16.866874522030706,16.039382412172746,5.159127007471009,15.723608445297504,14.840579710144928,308,312,0,0.030517578125,0.0,,0.152587890625,0.152587890625,,15.869140625,15.838623046875,,3.936767578125,5.55419921875,,2.74658203125,2.99072265625,,16.815185546875,16.78466796875,,8.270263671875,10.223388671875,,0.0,0.0,,14.6484375,14.6484375,,1.251220703125,1.251220703125,
section,CROSS_DOWN,3,3,48.614501953125,50.038655598958336,-1.4241536458333357,-2.846106932303316,57.342529296875,58.10546875,20.569993722536097,19.98454970522464,2.929483155471857,16.934366925064598,16.18172839506173,316,316,1,0.030517578125,0.0,,0.152587890625,0.18310546875,-16.666666666666664,15.838623046875,15.838623046875,0.0,3.96728515625,5.523681640625,-28.176795580110493,2.74658203125,2.99072265625,-8.163265306122447,16.78466796875,16.78466796875,0.0,8.23974609375,10.19287109375,-19.16167664670658,0.0,0.0,,14.6484375,14.6484375,0.0,1.251220703125,1.220703125,2.499999999999991
section,RETURN_UP,9,9,50.374348958333336,52.510579427083336,-2.13623046875,-4.068190623789225,57.647705078125,60.882568359375,19.851373182552503,19.043781480046494,4.240710823909533,11.330567081604427,10.929953302201467,329,329,1,0.0,0.0,,0.152587890625,0.18310546875,-16.666666666666664,15.93017578125,15.899658203125,0.19193857965451588,3.936767578125,5.55419921875,-29.120879120879117,2.74658203125,2.960205078125,-7.216494845360821,15.68603515625,15.68603515625,0.0,7.50732421875,8.514404296875,-11.827956989247312,0.0,0.0,,14.6484375,14.6484375,0.0,2.0751953125,2.044677734375,1.4925373134328401
section,LOD_RETREAT,47,47,57.70354575299202,60.402078831449465,-2.6985330784574444,-4.467616232195648,59.112548828125,62.042236328125,17.32995757800808,16.55572158022037,4.676546377251922,15.420235294117647,14.576512455516013,338,338,1,0.030517578125,0.0,,0.152587890625,0.152587890625,0.0,16.021728515625,16.021728515625,0.0,3.96728515625,5.55419921875,-28.57142857142857,2.74658203125,2.99072265625,-8.163265306122447,17.15087890625,17.15087890625,0.0,8.331298828125,10.284423828125,-18.991097922848667,0.0,0.0,,14.6484375,14.6484375,0.0,2.0751953125,2.044677734375,1.4925373134328401
section,LOD_APPROACH,59,59,57.37046063956568,59.83100503177966,-2.4605443922139827,-4.112490490352028,59.417724609375,61.70654296875,17.430572961276653,16.71374230583028,4.288869855294575,13.773854560739807,13.687552213868003,416,416,1,0.030517578125,0.0,,0.152587890625,0.18310546875,-16.666666666666664,15.9912109375,15.9912109375,0.0,3.96728515625,5.55419921875,-28.57142857142857,2.74658203125,2.99072265625,-8.163265306122447,17.181396484375,17.181396484375,0.0,8.331298828125,10.25390625,-18.75,0.0,0.0,,14.6484375,14.6484375,0.0,2.044677734375,2.0751953125,-1.4705882352941124
section,FREECAM_YAW,127,127,39.40756489911417,39.92107721764272,-0.513512318528548,-1.2863187927744768,40.985107421875,41.19873046875,25.375838435083782,25.049424256469216,1.3030805629405506,22.451524494689963,22.34435731333106,439,459,0,0.0,0.030517578125,,0.18310546875,0.152587890625,,22.857666015625,22.979736328125,,4.241943359375,4.33349609375,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,14.6484375,14.678955078125,,2.044677734375,2.044677734375,
