section_index,section_id,section_name,section_flags,section_flag_names,first_frame,frame_count,clean_frame_count,detailed_frame,crossing_count,logical_hash,presented_hash,state_hash,portal_0_lod,portal_1_lod,endpoint_room,clean_frame_ms_mean,clean_frame_ms_median,clean_average_fps,clean_median_fps,clean_1_percent_low_fps,detail_raw_total_ticks,detail_corrected_total_ticks,detail_corrected_total_ms,admin_raw_ticks,admin_entries,admin_switch_overhead_ticks,admin_corrected_ticks,admin_corrected_ms,admin_corrected_share_percent,setup_raw_ticks,setup_entries,setup_switch_overhead_ticks,setup_corrected_ticks,setup_corrected_ms,setup_corrected_share_percent,root_geometry_raw_ticks,root_geometry_entries,root_geometry_switch_overhead_ticks,root_geometry_corrected_ticks,root_geometry_corrected_ms,root_geometry_corrected_share_percent,root_fill_raw_ticks,root_fill_entries,root_fill_switch_overhead_ticks,root_fill_corrected_ticks,root_fill_corrected_ms,root_fill_corrected_share_percent,portal_setup_raw_ticks,portal_setup_entries,portal_setup_switch_overhead_ticks,portal_setup_corrected_ticks,portal_setup_corrected_ms,portal_setup_corrected_share_percent,portal_geometry_raw_ticks,portal_geometry_entries,portal_geometry_switch_overhead_ticks,portal_geometry_corrected_ticks,portal_geometry_corrected_ms,portal_geometry_corrected_share_percent,portal_fill_raw_ticks,portal_fill_entries,portal_fill_switch_overhead_ticks,portal_fill_corrected_ticks,portal_fill_corrected_ms,portal_fill_corrected_share_percent,wait_raw_ticks,wait_entries,wait_switch_overhead_ticks,wait_corrected_ticks,wait_corrected_ms,wait_corrected_share_percent,present_raw_ticks,present_entries,present_switch_overhead_ticks,present_corrected_ticks,present_corrected_ms,present_corrected_share_percent,overlay_raw_ticks,overlay_entries,overlay_switch_overhead_ticks,overlay_corrected_ticks,overlay_corrected_ms,overlay_corrected_share_percent,transformed_vertices,projected_points,rasterized_polygons,raster_rows,filled_spans,filled_pixels,portal_composite_pixels,portal_clip_pixels,full_portal_views,lod_portal_views,edge_division_fallbacks
0,1,OPEN_YAW,0x04,turn,0,128,127,1,0,0xF5386431,0x558150D7,0x9E5629C9,1,0,0,38.79216712290847,36.956787109375,25.778399975222225,27.058629232039635,17.560557341907824,1883,1873,57.159423828125,2,1,1,1,0.030517578125,0.053390282968499736,6,1,1,5,0.152587890625,0.2669514148424987,805,1,1,804,24.5361328125,42.925787506673785,256,1,1,255,7.781982421875,13.614522156967432,49,1,1,48,1.46484375,2.5627335824879873,160,1,1,159,4.852294921875,8.489054991991457,81,1,1,80,2.44140625,4.271222637479979,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,25.62733582487987,42,1,1,41,1.251220703125,2.189001601708489,16,32,8,178,141,2783,317,317,0,1,11
1,2,PITCH_SWEEP,0x08,pitch,128,96,95,133,0,0xF5386431,0x558150D7,0x9E5629C9,1,0,0,47.53771330180921,50.4150390625,21.035929802747614,19.83535108958838,17.789359391965256,1846,1836,56.0302734375,2,1,1,1,0.030517578125,0.054466230936819175,6,1,1,5,0.152587890625,0.27233115468409586,771,1,1,770,23.49853515625,41.93899782135076,253,1,1,252,7.6904296875,13.72549019607843,49,1,1,48,1.46484375,2.6143790849673203,153,1,1,152,4.638671875,8.278867102396514,88,1,1,87,2.655029296875,4.738562091503268,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,26.143790849673202,42,1,1,41,1.251220703125,2.233115468409586,16,32,7,173,145,2800,302,302,0,1,10
2,3,PORTAL_FAR,0x21,portal_view|lod,224,56,55,254,0,0xACD90C31,0x57771062,0xA72A6D23,1,0,0,53.39466441761363,55.694580078125,18.72846305725865,17.955068493150684,17.057782404997397,1936,1926,58.77685546875,2,1,1,1,0.030517578125,0.05192107995846314,6,1,1,5,0.152587890625,0.25960539979231567,766,1,1,765,23.345947265625,39.7196261682243,263,1,1,262,7.99560546875,13.603322949117342,60,1,1,59,1.800537109375,3.063343717549325,180,1,1,179,5.462646484375,9.293873312564902,135,1,1,134,4.08935546875,6.95742471443406,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,24.922118380062305,42,1,1,41,1.251220703125,2.1287642782969884,16,32,7,185,149,2472,648,648,0,1,6
3,4,PORTAL_NEAR,0x21,portal_view|lod,280,36,35,308,0,0x6BC9BA3D,0xC7979F36,0x6CC07690,0,0,0,59.287806919642854,58.990478515625,16.866874522030706,16.951888256595964,15.723608445297504,2098,2088,63.720703125,2,1,1,1,0.030517578125,0.04789272030651341,6,1,1,5,0.152587890625,0.23946360153256704,521,1,1,520,15.869140625,24.904214559386972,130,1,1,129,3.936767578125,6.17816091954023,91,1,1,90,2.74658203125,4.310344827586207,552,1,1,551,16.815185546875,26.38888888888889,272,1,1,271,8.270263671875,12.978927203065133,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,22.988505747126435,42,1,1,41,1.251220703125,1.9636015325670497,16,32,6,240,194,6272,0,3072,1,0,10
4,5,CROSS_DOWN,0x83,portal_view|portal_cross|stress,316,4,3,316,1,0x4574F2BD,0xC47DC216,0x2C3FE3A2,0,0,1,48.614501953125,57.342529296875,20.569993722536097,17.43906333155934,16.934366925064598,2096,2086,63.65966796875,2,1,1,1,0.030517578125,0.04793863854266539,6,1,1,5,0.152587890625,0.23969319271332695,520,1,1,519,15.838623046875,24.880153403643337,131,1,1,130,3.96728515625,6.2320230105465,91,1,1,90,2.74658203125,4.314477468839885,551,1,1,550,16.78466796875,26.366251198465964,271,1,1,270,8.23974609375,12.943432406519655,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,23.010546500479386,42,1,1,41,1.251220703125,1.9654841802492808,16,32,6,240,194,6272,0,3072,1,0,10
5,6,RETURN_UP,0x93,portal_view|portal_cross|freecam|stress,320,10,9,329,1,0xB2FCEA9A,0x3E7A9B97,0xA4A3A3D6,0,0,0,50.374348958333336,57.647705078125,19.851373182552503,17.346744309158286,11.330567081604427,2063,2054,62.68310546875,0,1,1,0,0.0,0.0,6,1,1,5,0.152587890625,0.24342745861733203,523,1,1,522,15.93017578125,25.413826679649464,130,1,1,129,3.936767578125,6.280428432327167,91,1,1,90,2.74658203125,4.381694255111976,515,1,1,514,15.68603515625,25.024342745861734,247,1,1,246,7.50732421875,11.976630963972736,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,23.369036027263874,69,1,1,68,2.0751953125,3.3106134371957157,16,32,5,240,152,6273,0,3072,1,0,6
6,7,LOD_RETREAT,0x31,portal_view|freecam|lod,330,48,47,338,0,0x7855312D,0xA8D4BB65,0xA8F2C94A,1,0,0,57.70354575299202,59.112548828125,17.32995757800808,16.91688177594218,15.420235294117647,2144,2134,65.12451171875,2,1,1,1,0.030517578125,0.046860356138706656,6,1,1,5,0.152587890625,0.23430178069353327,526,1,1,525,16.021728515625,24.601686972820993,131,1,1,130,3.96728515625,6.091846298031865,91,1,1,90,2.74658203125,4.217432052483599,563,1,1,562,17.15087890625,26.33552014995314,274,1,1,273,8.331298828125,12.792877225866917,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,22.492970946579195,69,1,1,68,2.0751953125,3.1865042174320526,16,32,6,242,196,6235,0,3053,1,0,3
7,8,LOD_APPROACH,0xB3,portal_view|portal_cross|freecam|lod|stress,378,60,59,416,1,0x9391C926,0xCF9F1F10,0x8028BE00,0,0,1,57.37046063956568,59.417724609375,17.430572961276653,16.82999486389317,13.773854560739807,2143,2133,65.093994140625,2,1,1,1,0.030517578125,0.04688232536333802,6,1,1,5,0.152587890625,0.23441162681669012,525,1,1,524,15.9912109375,24.566338490389125,131,1,1,130,3.96728515625,6.094702297233943,91,1,1,90,2.74658203125,4.219409282700422,564,1,1,563,17.181396484375,26.394749179559305,274,1,1,273,8.331298828125,12.79887482419128,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,22.50351617440225,68,1,1,67,2.044677734375,3.1411157993436474,16,32,6,242,196,6235,0,3053,1,0,3
8,9,FREECAM_YAW,0x14,turn|freecam,438,128,127,439,0,0x9391C926,0xCF9F1F10,0xD6FA1B1C,0,0,1,39.40756489911417,40.985107421875,25.375838435083782,24.399106478034252,22.451524494689963,1448,1441,43.975830078125,1,1,1,0,0.0,0.0,7,1,1,6,0.18310546875,0.4163775156141568,750,1,1,749,22.857666015625,51.977793199167245,140,1,1,139,4.241943359375,9.646079111727966,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,33.31020124913255,68,1,1,67,2.044677734375,4.6495489243580845,8,20,5,183,59,3072,0,0,0,0,6
9,10,FREECAM_3D,0xD8,pitch|freecam|vertical|stress,566,288,287,612,1,0x13BBC90D,0x232B60B4,0xB2A40B9D,2,0,0,49.62551635316856,43.76220703125,20.150923828849002,22.850767085076708,13.264606665767102,2480,2470,75.37841796875,2,1,1,1,0.030517578125,0.04048582995951417,6,1,1,5,0.152587890625,0.20242914979757085,791,1,1,790,24.10888671875,31.983805668016196,147,1,1,146,4.45556640625,5.910931174089069,91,1,1,90,2.74658203125,3.6437246963562755,644,1,1,643,19.622802734375,26.032388663967613,249,1,1,248,7.568359375,10.040485829959515,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,19.4331983805668,68,1,1,67,2.044677734375,2.7125506072874495,16,53,8,306,174,5792,0,2651,1,0,12
