section_index,section_id,section_name,section_flags,section_flag_names,first_frame,frame_count,clean_frame_count,detailed_frame,crossing_count,logical_hash,presented_hash,state_hash,portal_0_lod,portal_1_lod,endpoint_room,clean_frame_ms_mean,clean_frame_ms_median,clean_average_fps,clean_median_fps,clean_1_percent_low_fps,detail_raw_total_ticks,detail_corrected_total_ticks,detail_corrected_total_ms,admin_raw_ticks,admin_entries,admin_switch_overhead_ticks,admin_corrected_ticks,admin_corrected_ms,admin_corrected_share_percent,setup_raw_ticks,setup_entries,setup_switch_overhead_ticks,setup_corrected_ticks,setup_corrected_ms,setup_corrected_share_percent,root_geometry_raw_ticks,root_geometry_entries,root_geometry_switch_overhead_ticks,root_geometry_corrected_ticks,root_geometry_corrected_ms,root_geometry_corrected_share_percent,root_fill_raw_ticks,root_fill_entries,root_fill_switch_overhead_ticks,root_fill_corrected_ticks,root_fill_corrected_ms,root_fill_corrected_share_percent,portal_setup_raw_ticks,portal_setup_entries,portal_setup_switch_overhead_ticks,portal_setup_corrected_ticks,portal_setup_corrected_ms,portal_setup_corrected_share_percent,portal_geometry_raw_ticks,portal_geometry_entries,portal_geometry_switch_overhead_ticks,portal_geometry_corrected_ticks,portal_geometry_corrected_ms,portal_geometry_corrected_share_percent,portal_fill_raw_ticks,portal_fill_entries,portal_fill_switch_overhead_ticks,portal_fill_corrected_ticks,portal_fill_corrected_ms,portal_fill_corrected_share_percent,wait_raw_ticks,wait_entries,wait_switch_overhead_ticks,wait_corrected_ticks,wait_corrected_ms,wait_corrected_share_percent,present_raw_ticks,present_entries,present_switch_overhead_ticks,present_corrected_ticks,present_corrected_ms,present_corrected_share_percent,overlay_raw_ticks,overlay_entries,overlay_switch_overhead_ticks,overlay_corrected_ticks,overlay_corrected_ms,overlay_corrected_share_percent,transformed_vertices,projected_points,rasterized_polygons,raster_rows,filled_spans,filled_pixels,portal_composite_pixels,portal_clip_pixels,full_portal_views,lod_portal_views,edge_division_fallbacks
0,1,OPEN_YAW,0x04,turn,0,128,127,1,0,0xF5386431,0x558150D7,0x9E5629C9,1,0,0,39.87542099840059,38.055419921875,25.078105132485252,26.27746591820369,16.98703991705547,1945,1935,59.051513671875,1,1,1,0,0.0,0.0,7,1,1,6,0.18310546875,0.31007751937984496,804,1,1,803,24.505615234375,41.49870801033592,309,1,1,308,9.3994140625,15.917312661498707,52,1,1,51,1.556396484375,2.635658914728682,160,1,1,159,4.852294921875,8.217054263565892,88,1,1,87,2.655029296875,4.496124031007752,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,24.8062015503876,42,1,1,41,1.251220703125,2.1188630490956073,16,32,8,178,141,2783,317,317,0,1,11
1,2,PITCH_SWEEP,0x08,pitch,128,96,95,133,0,0xF5386431,0x558150D7,0x9E5629C9,1,0,0,48.78636410361842,51.483154296875,20.497530782906434,19.423829282750443,17.18300996329313,1910,1900,57.9833984375,1,1,1,0,0.0,0.0,7,1,1,6,0.18310546875,0.3157894736842105,770,1,1,769,23.468017578125,40.473684210526315,310,1,1,309,9.429931640625,16.263157894736842,51,1,1,50,1.52587890625,2.6315789473684212,154,1,1,153,4.669189453125,8.052631578947368,93,1,1,92,2.8076171875,4.842105263157895,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,25.263157894736842,42,1,1,41,1.251220703125,2.1578947368421053,16,32,7,173,145,2800,302,302,0,1,10
2,3,PORTAL_FAR,0x21,portal_view|lod,224,56,55,254,0,0xACD90C31,0x57771062,0xA72A6D23,1,0,0,55.26899857954545,57.55615234375,18.093325837282148,17.374337221633088,16.44154540893126,2007,1998,60.97412109375,0,1,1,0,0.0,0.0,7,1,1,6,0.18310546875,0.3003003003003003,766,1,1,765,23.345947265625,38.288288288288285,322,1,1,321,9.796142578125,16.066066066066067,63,1,1,62,1.89208984375,3.103103103103103,181,1,1,180,5.4931640625,9.00900900900901,144,1,1,143,4.364013671875,7.157157157157157,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,24.024024024024023,42,1,1,41,1.251220703125,2.052052052052052,16,32,7,185,149,2472,648,648,0,1,6
3,4,PORTAL_NEAR,0x21,portal_view|lod,280,36,35,312,0,0x6BC9BA3D,0xC7979F36,0x6CC07690,0,0,0,62.34654017857143,62.225341796875,16.039382412172746,16.070622854340364,14.840579710144928,2220,2210,67.44384765625,1,1,1,0,0.0,0.0,6,1,1,5,0.152587890625,0.22624434389140272,520,1,1,519,15.838623046875,23.4841628959276,183,1,1,182,5.55419921875,8.235294117647058,99,1,1,98,2.99072265625,4.4343891402714934,551,1,1,550,16.78466796875,24.8868778280543,336,1,1,335,10.223388671875,15.158371040723981,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,21.71945701357466,42,1,1,41,1.251220703125,1.8552036199095023,16,32,6,240,194,6364,0,3072,1,0,10
4,5,CROSS_DOWN,0x83,portal_view|portal_cross|stress,316,4,3,316,1,0x4574F2BD,0xC47DC216,0x2C3FE3A2,0,0,1,50.038655598958336,58.10546875,19.98454970522464,17.210084033613445,16.18172839506173,2218,2208,67.3828125,1,1,1,0,0.0,0.0,7,1,1,6,0.18310546875,0.2717391304347826,520,1,1,519,15.838623046875,23.505434782608695,182,1,1,181,5.523681640625,8.197463768115941,99,1,1,98,2.99072265625,4.438405797101449,551,1,1,550,16.78466796875,24.909420289855074,335,1,1,334,10.19287109375,15.126811594202898,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,21.73913043478261,41,1,1,40,1.220703125,1.8115942028985508,16,32,6,240,194,6272,0,3072,1,0,10
5,6,RETURN_UP,0x93,portal_view|portal_cross|freecam|stress,320,10,9,329,1,0xB2FCEA9A,0x3E7A9B97,0xA4A3A3D6,0,0,0,52.510579427083336,60.882568359375,19.043781480046494,16.425062656641604,10.929953302201467,2156,2146,65.49072265625,1,1,1,0,0.0,0.0,7,1,1,6,0.18310546875,0.27958993476234856,522,1,1,521,15.899658203125,24.277726001863932,183,1,1,182,5.55419921875,8.48089468779124,98,1,1,97,2.960205078125,4.520037278657968,515,1,1,514,15.68603515625,23.951537744641193,280,1,1,279,8.514404296875,13.000931966449208,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,22.367194780987884,68,1,1,67,2.044677734375,3.1220876048462256,16,32,5,240,152,6273,0,3072,1,0,6
6,7,LOD_RETREAT,0x31,portal_view|freecam|lod,330,48,47,338,0,0x7855312D,0xA8D4BB65,0xA8F2C94A,1,0,0,60.402078831449465,62.042236328125,16.55572158022037,16.11805213969503,14.576512455516013,2266,2256,68.84765625,1,1,1,0,0.0,0.0,6,1,1,5,0.152587890625,0.22163120567375885,526,1,1,525,16.021728515625,23.27127659574468,183,1,1,182,5.55419921875,8.067375886524824,99,1,1,98,2.99072265625,4.343971631205674,563,1,1,562,17.15087890625,24.911347517730498,338,1,1,337,10.284423828125,14.937943262411348,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,21.27659574468085,68,1,1,67,2.044677734375,2.969858156028369,16,32,6,242,196,6235,0,3053,1,0,3
7,8,LOD_APPROACH,0xB3,portal_view|portal_cross|freecam|lod|stress,378,60,59,416,1,0x9391C926,0xCF9F1F10,0x8028BE00,0,0,1,59.83100503177966,61.70654296875,16.71374230583028,16.205736894164193,13.687552213868003,2267,2257,68.878173828125,1,1,1,0,0.0,0.0,7,1,1,6,0.18310546875,0.2658396101019052,525,1,1,524,15.9912109375,23.216659282233053,183,1,1,182,5.55419921875,8.063801506424458,99,1,1,98,2.99072265625,4.342046964997785,564,1,1,563,17.181396484375,24.944616747895438,337,1,1,336,10.25390625,14.88701816570669,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,21.267168808152416,69,1,1,68,2.0751953125,3.012848914488259,16,32,6,242,196,6235,0,3053,1,0,3
8,9,FREECAM_YAW,0x14,turn|freecam,438,128,127,459,0,0x9391C926,0xCF9F1F10,0xD6FA1B1C,0,0,1,39.92107721764272,41.19873046875,25.049424256469216,24.27259259259259,22.34435731333106,1456,1449,44.219970703125,2,1,1,1,0.030517578125,0.06901311249137336,6,1,1,5,0.152587890625,0.3450655624568668,754,1,1,753,22.979736328125,51.966873706004144,143,1,1,142,4.33349609375,9.799861973775018,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,1,1,0,0.0,0.0,482,1,1,481,14.678955078125,33.19530710835058,68,1,1,67,2.044677734375,4.623878536922015,8,20,5,184,60,3072,0,0,0,0,6
9,10,FREECAM_3D,0xD8,pitch|freecam|vertical|stress,566,288,287,612,1,0x13BBC90D,0x232B60B4,0xB2A40B9D,2,0,0,50.915761276404616,44.403076171875,19.640283773257064,22.520962199312716,12.669673927052456,2598,2588,78.9794921875,2,1,1,1,0.030517578125,0.03863987635239567,6,1,1,5,0.152587890625,0.19319938176197837,791,1,1,790,24.10888671875,30.525502318392583,222,1,1,221,6.744384765625,8.539412673879443,98,1,1,97,2.960205078125,3.7480680061823803,644,1,1,643,19.622802734375,24.845440494590417,284,1,1,283,8.636474609375,10.935085007727976,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,18.547140649149924,69,1,1,68,2.0751953125,2.6275115919629055,16,53,8,306,174,5792,0,2651,1,0,12
