section_index,section_id,section_name,section_flags,section_flag_names,first_frame,frame_count,clean_frame_count,detailed_frame,crossing_count,logical_hash,presented_hash,state_hash,portal_0_lod,portal_1_lod,endpoint_room,clean_frame_ms_mean,clean_frame_ms_median,clean_average_fps,clean_median_fps,clean_1_percent_low_fps,detail_raw_total_ticks,detail_corrected_total_ticks,detail_corrected_total_ms,admin_raw_ticks,admin_entries,admin_switch_overhead_ticks,admin_corrected_ticks,admin_corrected_ms,admin_corrected_share_percent,setup_raw_ticks,setup_entries,setup_switch_overhead_ticks,setup_corrected_ticks,setup_corrected_ms,setup_corrected_share_percent,root_geometry_raw_ticks,root_geometry_entries,root_geometry_switch_overhead_ticks,root_geometry_corrected_ticks,root_geometry_corrected_ms,root_geometry_corrected_share_percent,root_fill_raw_ticks,root_fill_entries,root_fill_switch_overhead_ticks,root_fill_corrected_ticks,root_fill_corrected_ms,root_fill_corrected_share_percent,portal_setup_raw_ticks,portal_setup_entries,portal_setup_switch_overhead_ticks,portal_setup_corrected_ticks,portal_setup_corrected_ms,portal_setup_corrected_share_percent,portal_geometry_raw_ticks,portal_geometry_entries,portal_geometry_switch_overhead_ticks,portal_geometry_corrected_ticks,portal_geometry_corrected_ms,portal_geometry_corrected_share_percent,portal_fill_raw_ticks,portal_fill_entries,portal_fill_switch_overhead_ticks,portal_fill_corrected_ticks,portal_fill_corrected_ms,portal_fill_corrected_share_percent,wait_raw_ticks,wait_entries,wait_switch_overhead_ticks,wait_corrected_ticks,wait_corrected_ms,wait_corrected_share_percent,present_raw_ticks,present_entries,present_switch_overhead_ticks,present_corrected_ticks,present_corrected_ms,present_corrected_share_percent,overlay_raw_ticks,overlay_entries,overlay_switch_overhead_ticks,overlay_corrected_ticks,overlay_corrected_ms,overlay_corrected_share_percent,transformed_vertices,projected_points,rasterized_polygons,raster_rows,filled_spans,filled_pixels,portal_composite_pixels,portal_clip_pixels,full_portal_views,lod_portal_views,edge_division_fallbacks
0,1,OPEN_YAW,0x04,turn,0,128,127,1,0,0xF5386431,0x558150D7,0x9E5629C9,1,0,0,40.493462029404526,38.6962890625,24.69534462807465,25.842271293375394,16.633502538071067,2007,1997,60.943603515625,2,1,1,1,0.030517578125,0.0500751126690035,6,1,1,5,0.152587890625,0.25037556334501754,805,1,1,804,24.5361328125,40.26039058587882,372,1,1,371,11.322021484375,18.5778668002003,49,1,1,48,1.46484375,2.4036054081121683,159,1,1,158,4.82177734375,7.911867801702554,90,1,1,89,2.716064453125,4.456685027541312,1,1,1,0,0.0,0.0,482,1,1,481,14.678955078125,24.086129193790686,41,1,1,40,1.220703125,2.0030045067601403,16,32,8,178,141,2783,317,317,0,1,11
1,2,PITCH_SWEEP,0x08,pitch,128,96,95,133,0,0xF5386431,0x558150D7,0x9E5629C9,1,0,0,49.67747738486842,52.18505859375,20.129846615452266,19.162573099415205,16.812724474089276,1971,1962,59.87548828125,1,1,1,0,0.0,0.0,7,1,1,6,0.18310546875,0.3058103975535168,770,1,1,769,23.468017578125,39.19469928644241,373,1,1,372,11.3525390625,18.960244648318042,48,1,1,47,1.434326171875,2.3955147808358817,153,1,1,152,4.638671875,7.747196738022426,96,1,1,95,2.899169921875,4.841997961264016,0,1,1,0,0.0,0.0,482,1,1,481,14.678955078125,24.5158002038736,41,1,1,40,1.220703125,2.038735983690112,16,32,7,173,145,2800,302,302,0,1,10
2,3,PORTAL_FAR,0x21,portal_view|lod,224,56,55,254,0,0xACD90C31,0x57771062,0xA72A6D23,1,0,0,56.65394176136363,58.807373046875,17.651022486876126,17.004670472236636,16.023471882640585,2080,2070,63.17138671875,2,1,1,1,0.030517578125,0.04830917874396135,6,1,1,5,0.152587890625,0.24154589371980675,766,1,1,765,23.345947265625,36.95652173913044,389,1,1,388,11.8408203125,18.743961352657006,59,1,1,58,1.77001953125,2.8019323671497585,180,1,1,179,5.462646484375,8.647342995169081,154,1,1,153,4.669189453125,7.391304347826087,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,23.18840579710145,42,1,1,41,1.251220703125,1.9806763285024154,16,32,7,185,149,2472,648,648,0,1,6
3,4,PORTAL_NEAR,0x21,portal_view|lod,280,36,35,314,0,0x6BC9BA3D,0xC7979F36,0x6CC07690,0,0,0,63.214111328125,62.774658203125,15.8192526793473,15.929995138551288,14.780333784393324,2257,2247,68.572998046875,1,1,1,0,0.0,0.0,7,1,1,6,0.18310546875,0.26702269692923897,520,1,1,519,15.838623046875,23.097463284379174,194,1,1,193,5.889892578125,8.589230084557187,92,1,1,91,2.777099609375,4.049844236760125,552,1,1,551,16.815185546875,24.521584334668447,367,1,1,366,11.16943359375,16.288384512683578,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,21.36181575433912,42,1,1,41,1.251220703125,1.824655095683133,16,32,6,240,194,6272,0,3072,1,0,10
4,5,CROSS_DOWN,0x83,portal_view|portal_cross|stress,316,4,3,316,1,0x4574F2BD,0xC47DC216,0x2C3FE3A2,0,0,1,50.120035807291664,58.41064453125,19.95210066977877,17.120167189132708,16.253968253968253,2256,2246,68.54248046875,2,1,1,1,0.030517578125,0.04452359750667854,6,1,1,5,0.152587890625,0.2226179875333927,520,1,1,519,15.838623046875,23.107747105966162,195,1,1,194,5.92041015625,8.637577916295637,91,1,1,90,2.74658203125,4.007123775601069,552,1,1,551,16.815185546875,24.532502226179876,366,1,1,365,11.138916015625,16.251113089937668,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,21.371326803205697,42,1,1,41,1.251220703125,1.8254674977738201,16,32,6,240,194,6272,0,3072,1,0,10
5,6,RETURN_UP,0x93,portal_view|portal_cross|freecam|stress,320,10,9,329,1,0xB2FCEA9A,0x3E7A9B97,0xA4A3A3D6,0,0,0,52.663167317708336,60.943603515625,18.98860343828472,16.408612919379067,10.929953302201467,2182,2172,66.2841796875,2,1,1,1,0.030517578125,0.04604051565377532,6,1,1,5,0.152587890625,0.2302025782688766,523,1,1,522,15.93017578125,24.03314917127072,194,1,1,193,5.889892578125,8.885819521178638,92,1,1,91,2.777099609375,4.189686924493555,514,1,1,513,15.655517578125,23.61878453038674,301,1,1,300,9.1552734375,13.812154696132596,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,22.099447513812155,68,1,1,67,2.044677734375,3.0847145488029466,16,32,5,240,152,6273,0,3072,1,0,6
6,7,LOD_RETREAT,0x31,portal_view|freecam|lod,330,48,47,338,0,0x7855312D,0xA8D4BB65,0xA8F2C94A,1,0,0,61.39097822473404,62.896728515625,16.28903837204383,15.899078117418728,14.511957484499558,2304,2294,70.00732421875,1,1,1,0,0.0,0.0,7,1,1,6,0.18310546875,0.26155187445510025,525,1,1,524,15.9912109375,22.84219703574542,195,1,1,194,5.92041015625,8.456843940714908,92,1,1,91,2.777099609375,3.966870095902354,564,1,1,563,17.181396484375,24.542284219703575,370,1,1,369,11.260986328125,16.085440278988667,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,20.92414995640802,68,1,1,67,2.044677734375,2.920662598081953,16,32,6,242,196,6235,0,3053,1,0,3
7,8,LOD_APPROACH,0xB3,portal_view|portal_cross|freecam|lod|stress,378,60,59,416,1,0x9391C926,0xCF9F1F10,0x8028BE00,0,0,1,60.76360152939618,63.29345703125,16.45722068525218,15.799421407907426,13.579776212184003,2305,2295,70.037841796875,2,1,1,1,0.030517578125,0.04357298474945534,6,1,1,5,0.152587890625,0.2178649237472767,526,1,1,525,16.021728515625,22.875816993464053,195,1,1,194,5.92041015625,8.453159041394336,92,1,1,91,2.777099609375,3.9651416122004357,563,1,1,562,17.15087890625,24.4880174291939,370,1,1,369,11.260986328125,16.07843137254902,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,20.915032679738562,69,1,1,68,2.0751953125,2.962962962962963,16,32,6,242,196,6235,0,3053,1,0,3
8,9,FREECAM_YAW,0x14,turn|freecam,438,128,127,460,0,0x9391C926,0xCF9F1F10,0xD6FA1B1C,0,0,1,40.35769485113189,41.56494140625,24.77842214944924,24.058737151248163,22.08830468486687,1482,1475,45.013427734375,1,1,1,0,0.0,0.0,7,1,1,6,0.18310546875,0.4067796610169492,754,1,1,753,22.979736328125,51.05084745762712,169,1,1,168,5.126953125,11.389830508474576,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,32.54237288135593,69,1,1,68,2.0751953125,4.610169491525424,8,20,5,184,61,3072,0,0,0,0,6
9,10,FREECAM_3D,0xD8,pitch|freecam|vertical|stress,566,288,287,612,1,0x13BBC90D,0x232B60B4,0xB2A40B9D,2,0,0,51.65828478876307,45.10498046875,19.357979152600986,22.170500676589988,12.609543355566958,2633,2623,80.047607421875,1,1,1,0,0.0,0.0,7,1,1,6,0.18310546875,0.2287457110179184,791,1,1,790,24.10888671875,30.118185284025923,244,1,1,243,7.415771484375,9.264201296225696,91,1,1,90,2.74658203125,3.431185665268776,644,1,1,643,19.622802734375,24.513915364086923,305,1,1,304,9.27734375,11.589782691574532,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,18.299656881433474,68,1,1,67,2.044677734375,2.5543271063667556,16,53,8,306,174,5792,0,2651,1,0,12
