section_index,section_id,section_name,section_flags,section_flag_names,first_frame,frame_count,clean_frame_count,detailed_frame,crossing_count,logical_hash,presented_hash,state_hash,portal_0_lod,portal_1_lod,endpoint_room,clean_frame_ms_mean,clean_frame_ms_median,clean_average_fps,clean_median_fps,clean_1_percent_low_fps,detail_raw_total_ticks,detail_corrected_total_ticks,detail_corrected_total_ms,admin_raw_ticks,admin_entries,admin_switch_overhead_ticks,admin_corrected_ticks,admin_corrected_ms,admin_corrected_share_percent,setup_raw_ticks,setup_entries,setup_switch_overhead_ticks,setup_corrected_ticks,setup_corrected_ms,setup_corrected_share_percent,root_geometry_raw_ticks,root_geometry_entries,root_geometry_switch_overhead_ticks,root_geometry_corrected_ticks,root_geometry_corrected_ms,root_geometry_corrected_share_percent,root_fill_raw_ticks,root_fill_entries,root_fill_switch_overhead_ticks,root_fill_corrected_ticks,root_fill_corrected_ms,root_fill_corrected_share_percent,portal_setup_raw_ticks,portal_setup_entries,portal_setup_switch_overhead_ticks,portal_setup_corrected_ticks,portal_setup_corrected_ms,portal_setup_corrected_share_percent,portal_geometry_raw_ticks,portal_geometry_entries,portal_geometry_switch_overhead_ticks,portal_geometry_corrected_ticks,portal_geometry_corrected_ms,portal_geometry_corrected_share_percent,portal_fill_raw_ticks,portal_fill_entries,portal_fill_switch_overhead_ticks,portal_fill_corrected_ticks,portal_fill_corrected_ms,portal_fill_corrected_share_percent,wait_raw_ticks,wait_entries,wait_switch_overhead_ticks,wait_corrected_ticks,wait_corrected_ms,wait_corrected_share_percent,present_raw_ticks,present_entries,present_switch_overhead_ticks,present_corrected_ticks,present_corrected_ms,present_corrected_share_percent,overlay_raw_ticks,overlay_entries,overlay_switch_overhead_ticks,overlay_corrected_ticks,overlay_corrected_ms,overlay_corrected_share_percent,transformed_vertices,projected_points,rasterized_polygons,raster_rows,filled_spans,filled_pixels,portal_composite_pixels,portal_clip_pixels,full_portal_views,lod_portal_views,edge_division_fallbacks
0,1,OPEN_YAW,0x04,turn,0,128,127,1,0,0xF5386431,0x558150D7,0x9E5629C9,1,0,0,38.04700956569882,36.163330078125,26.28327459673854,27.652320675105486,17.81353628703452,1856,1846,56.33544921875,1,1,1,0,0.0,0.0,7,1,1,6,0.18310546875,0.3250270855904659,805,1,1,804,24.5361328125,43.55362946912243,229,1,1,228,6.9580078125,12.351029252437703,49,1,1,48,1.46484375,2.600216684723727,159,1,1,158,4.82177734375,8.559046587215601,82,1,1,81,2.471923828125,4.387865655471289,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,26.00216684723727,42,1,1,41,1.251220703125,2.221018418201517,16,32,8,178,141,2783,317,317,0,1,11
1,2,PITCH_SWEEP,0x08,pitch,128,96,95,133,0,0xF5386431,0x558150D7,0x9E5629C9,1,0,0,46.73429790296053,49.530029296875,21.397561210321552,20.18977202711029,18.044052863436125,1819,1809,55.206298828125,1,1,1,0,0.0,0.0,7,1,1,6,0.18310546875,0.33167495854063017,771,1,1,770,23.49853515625,42.564953012714206,226,1,1,225,6.866455078125,12.437810945273633,50,1,1,49,1.495361328125,2.7086788280818133,153,1,1,152,4.638671875,8.402432283029299,87,1,1,86,2.62451171875,4.754007739082366,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,26.533996683250415,42,1,1,41,1.251220703125,2.2664455500276395,16,32,7,173,145,2800,302,302,0,1,10
2,3,PORTAL_FAR,0x21,portal_view|lod,224,56,55,255,0,0xACD90C31,0x57771062,0xA72A6D23,1,0,0,52.76433771306818,54.87060546875,18.95219467053652,18.224694104560623,17.27358987875593,1911,1901,58.013916015625,2,1,1,1,0.030517578125,0.052603892688058915,6,1,1,5,0.152587890625,0.2630194634402946,766,1,1,765,23.345947265625,40.24197790636507,238,1,1,237,7.232666015625,12.467122567069962,60,1,1,59,1.800537109375,3.103629668595476,180,1,1,179,5.462646484375,9.416096791162547,135,1,1,134,4.08935546875,7.048921620199895,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,25.24986849026828,42,1,1,41,1.251220703125,2.1567596002104157,16,32,7,185,149,2472,648,648,0,1,6
3,4,PORTAL_NEAR,0x21,portal_view|lod,280,36,35,308,0,0x6BC9BA3D,0xC7979F36,0x6CC07690,0,0,0,58.95908900669643,58.65478515625,16.96091335275588,17.04890738813736,15.791807228915662,2088,2078,63.41552734375,2,1,1,1,0.030517578125,0.04812319538017324,6,1,1,5,0.152587890625,0.24061597690086622,520,1,1,519,15.838623046875,24.975938402309914,119,1,1,118,3.60107421875,5.678537054860443,91,1,1,90,2.74658203125,4.331087584215592,551,1,1,550,16.78466796875,26.467757459095285,275,1,1,274,8.36181640625,13.185755534167468,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,23.099133782483158,42,1,1,41,1.251220703125,1.973051010587103,16,32,6,240,194,6272,0,3072,1,0,10
4,5,CROSS_DOWN,0x83,portal_view|portal_cross|stress,316,4,3,316,1,0x4574F2BD,0xC47DC216,0x2C3FE3A2,0,0,1,48.075358072916664,56.671142578125,20.800677105374525,17.64566505115778,17.022337662337662,2087,2077,63.385009765625,2,1,1,1,0.030517578125,0.04814636494944632,6,1,1,5,0.152587890625,0.2407318247472316,521,1,1,520,15.869140625,25.036109773712084,118,1,1,117,3.570556640625,5.633124699085219,91,1,1,90,2.74658203125,4.333172845450169,551,1,1,550,16.78466796875,26.480500722195476,274,1,1,273,8.331298828125,13.143957631198845,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,23.11025517573423,42,1,1,41,1.251220703125,1.974000962927299,16,32,6,240,194,6272,0,3072,1,0,10
5,6,RETURN_UP,0x93,portal_view|portal_cross|freecam|stress,320,10,9,329,1,0xB2FCEA9A,0x3E7A9B97,0xA4A3A3D6,0,0,0,49.93353949652778,57.373046875,20.02661958440853,17.429787234042553,11.373828531759806,2054,2044,62.3779296875,2,1,1,1,0.030517578125,0.04892367906066536,6,1,1,5,0.152587890625,0.2446183953033268,523,1,1,522,15.93017578125,25.538160469667318,118,1,1,117,3.570556640625,5.724070450097847,91,1,1,90,2.74658203125,4.403131115459883,514,1,1,513,15.655517578125,25.09784735812133,250,1,1,249,7.598876953125,12.181996086105675,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,23.483365949119374,68,1,1,67,2.044677734375,3.2778864970645794,16,32,5,240,152,6273,0,3072,1,0,6
6,7,LOD_RETREAT,0x31,portal_view|freecam|lod,330,48,47,338,0,0x7855312D,0xA8D4BB65,0xA8F2C94A,1,0,0,57.338633435837764,58.746337890625,17.44024822494253,17.022337662337662,15.500473036896878,2134,2124,64.8193359375,2,1,1,1,0.030517578125,0.047080979284369114,6,1,1,5,0.152587890625,0.23540489642184556,526,1,1,525,16.021728515625,24.717514124293785,119,1,1,118,3.60107421875,5.555555555555555,91,1,1,90,2.74658203125,4.237288135593221,563,1,1,562,17.15087890625,26.459510357815443,276,1,1,275,8.392333984375,12.947269303201507,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,22.598870056497177,69,1,1,68,2.0751953125,3.2015065913371,16,32,6,242,196,6235,0,3053,1,0,3
7,8,LOD_APPROACH,0xB3,portal_view|portal_cross|freecam|lod|stress,378,60,59,416,1,0x9391C926,0xCF9F1F10,0x8028BE00,0,0,1,56.969076900158896,59.112548828125,17.553382543876374,16.91688177594218,13.926051848703782,2134,2124,64.8193359375,2,1,1,1,0.030517578125,0.047080979284369114,6,1,1,5,0.152587890625,0.23540489642184556,526,1,1,525,16.021728515625,24.717514124293785,118,1,1,117,3.570556640625,5.508474576271187,91,1,1,90,2.74658203125,4.237288135593221,564,1,1,563,17.181396484375,26.506591337099813,276,1,1,275,8.392333984375,12.947269303201507,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,22.598870056497177,69,1,1,68,2.0751953125,3.2015065913371,16,32,6,242,196,6235,0,3053,1,0,3
8,9,FREECAM_YAW,0x14,turn|freecam,438,128,127,439,0,0x9391C926,0xCF9F1F10,0xD6FA1B1C,0,0,1,38.64750899667815,40.191650390625,25.874888859873284,24.88078967350038,22.89067411805798,1421,1414,43.15185546875,2,1,1,1,0.030517578125,0.07072135785007072,6,1,1,5,0.152587890625,0.3536067892503536,751,1,1,750,22.88818359375,53.04101838755304,111,1,1,110,3.35693359375,7.779349363507779,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,33.946251768033946,69,1,1,68,2.0751953125,4.809052333804809,8,20,5,183,59,3072,0,0,0,0,6
9,10,FREECAM_3D,0xD8,pitch|freecam|vertical|stress,566,288,287,612,1,0x13BBC90D,0x232B60B4,0xB2A40B9D,2,0,0,48.8689568815331,42.999267578125,20.462888177134104,23.256210078069554,13.316716337036034,2471,2461,75.103759765625,2,1,1,1,0.030517578125,0.04063388866314506,6,1,1,5,0.152587890625,0.2031694433157253,791,1,1,790,24.10888671875,32.1007720438846,135,1,1,134,4.08935546875,5.4449410808614385,92,1,1,91,2.777099609375,3.6976838683462008,644,1,1,643,19.622802734375,26.127590410402277,250,1,1,249,7.598876953125,10.11783827712312,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,19.50426655830963,69,1,1,68,2.0751953125,2.7631044290938642,16,53,8,306,174,5792,0,2651,1,0,12
