section_index,section_id,section_name,section_flags,section_flag_names,first_frame,frame_count,clean_frame_count,detailed_frame,crossing_count,logical_hash,presented_hash,state_hash,portal_0_lod,portal_1_lod,endpoint_room,clean_frame_ms_mean,clean_frame_ms_median,clean_average_fps,clean_median_fps,clean_1_percent_low_fps,detail_raw_total_ticks,detail_corrected_total_ticks,detail_corrected_total_ms,admin_raw_ticks,admin_entries,admin_switch_overhead_ticks,admin_corrected_ticks,admin_corrected_ms,admin_corrected_share_percent,setup_raw_ticks,setup_entries,setup_switch_overhead_ticks,setup_corrected_ticks,setup_corrected_ms,setup_corrected_share_percent,root_geometry_raw_ticks,root_geometry_entries,root_geometry_switch_overhead_ticks,root_geometry_corrected_ticks,root_geometry_corrected_ms,root_geometry_corrected_share_percent,root_fill_raw_ticks,root_fill_entries,root_fill_switch_overhead_ticks,root_fill_corrected_ticks,root_fill_corrected_ms,root_fill_corrected_share_percent,portal_setup_raw_ticks,portal_setup_entries,portal_setup_switch_overhead_ticks,portal_setup_corrected_ticks,portal_setup_corrected_ms,portal_setup_corrected_share_percent,portal_geometry_raw_ticks,portal_geometry_entries,portal_geometry_switch_overhead_ticks,portal_geometry_corrected_ticks,portal_geometry_corrected_ms,portal_geometry_corrected_share_percent,portal_fill_raw_ticks,portal_fill_entries,portal_fill_switch_overhead_ticks,portal_fill_corrected_ticks,portal_fill_corrected_ms,portal_fill_corrected_share_percent,wait_raw_ticks,wait_entries,wait_switch_overhead_ticks,wait_corrected_ticks,wait_corrected_ms,wait_corrected_share_percent,present_raw_ticks,present_entries,present_switch_overhead_ticks,present_corrected_ticks,present_corrected_ms,present_corrected_share_percent,overlay_raw_ticks,overlay_entries,overlay_switch_overhead_ticks,overlay_corrected_ticks,overlay_corrected_ms,overlay_corrected_share_percent,transformed_vertices,projected_points,rasterized_polygons,raster_rows,filled_spans,filled_pixels,portal_composite_pixels,portal_clip_pixels,full_portal_views,lod_portal_views,edge_division_fallbacks
0,1,OPEN_YAW,0x04,turn,0,128,127,1,0,0xF5386431,0x558150D7,0x9E5629C9,1,0,0,38.50813738004429,36.62109375,25.96853725047269,27.30666666666667,17.66469002695418,1871,1861,56.793212890625,1,1,1,0,0.0,0.0,7,1,1,6,0.18310546875,0.32240730789897903,804,1,1,803,24.505615234375,43.148844707146694,245,1,1,244,7.4462890625,13.111230521225147,49,1,1,48,1.46484375,2.5792584631918323,159,1,1,158,4.82177734375,8.490059108006449,82,1,1,81,2.471923828125,4.352498656636217,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,25.792584631918324,42,1,1,41,1.251220703125,2.203116603976357,16,32,8,178,141,2783,317,317,0,1,11
1,2,PITCH_SWEEP,0x08,pitch,128,96,95,133,0,0xF5386431,0x558150D7,0x9E5629C9,1,0,0,47.1910978618421,50.018310546875,21.190437292381418,19.99267846247712,17.89623156744948,1834,1824,55.6640625,1,1,1,0,0.0,0.0,7,1,1,6,0.18310546875,0.32894736842105265,771,1,1,770,23.49853515625,42.21491228070175,242,1,1,241,7.354736328125,13.212719298245615,49,1,1,48,1.46484375,2.6315789473684212,153,1,1,152,4.638671875,8.333333333333334,87,1,1,86,2.62451171875,4.714912280701754,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,26.31578947368421,42,1,1,41,1.251220703125,2.2478070175438596,16,32,7,173,145,2800,302,302,0,1,10
2,3,PORTAL_FAR,0x21,portal_view|lod,224,56,55,255,0,0xACD90C31,0x57771062,0xA72A6D23,1,0,0,53.23319868607955,55.328369140625,18.78526980685644,18.073910645339218,17.13807531380753,1926,1916,58.4716796875,1,1,1,0,0.0,0.0,7,1,1,6,0.18310546875,0.31315240083507306,766,1,1,765,23.345947265625,39.92693110647182,252,1,1,251,7.659912109375,13.100208768267223,61,1,1,60,1.8310546875,3.1315240083507305,180,1,1,179,5.462646484375,9.342379958246347,135,1,1,134,4.08935546875,6.993736951983299,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,25.052192066805844,42,1,1,41,1.251220703125,2.139874739039666,16,32,7,185,149,2472,648,648,0,1,6
3,4,PORTAL_NEAR,0x21,portal_view|lod,280,36,35,309,0,0x6BC9BA3D,0xC7979F36,0x6CC07690,0,0,0,59.39854213169643,59.08203125,16.835430030973388,16.925619834710744,15.685974150311154,2102,2092,63.8427734375,2,1,1,1,0.030517578125,0.04780114722753346,6,1,1,5,0.152587890625,0.2390057361376673,520,1,1,519,15.838623046875,24.808795411089868,134,1,1,133,4.058837890625,6.357552581261951,91,1,1,90,2.74658203125,4.3021032504780115,552,1,1,551,16.815185546875,26.338432122370936,273,1,1,272,8.30078125,13.001912045889101,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,22.94455066921606,42,1,1,41,1.251220703125,1.9598470363288718,16,32,6,240,194,6272,0,3072,1,0,10
4,5,CROSS_DOWN,0x83,portal_view|portal_cross|stress,316,4,3,316,1,0x4574F2BD,0xC47DC216,0x2C3FE3A2,0,0,1,48.543294270833336,57.159423828125,20.600167644593462,17.49492792311799,16.899432697266633,2100,2090,63.78173828125,1,1,1,0,0.0,0.0,7,1,1,6,0.18310546875,0.28708133971291866,520,1,1,519,15.838623046875,24.832535885167463,133,1,1,132,4.0283203125,6.315789473684211,91,1,1,90,2.74658203125,4.30622009569378,552,1,1,551,16.815185546875,26.363636363636363,272,1,1,271,8.270263671875,12.966507177033494,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,22.966507177033492,42,1,1,41,1.251220703125,1.9617224880382775,16,32,6,240,194,6272,0,3072,1,0,10
5,6,RETURN_UP,0x93,portal_view|portal_cross|freecam|stress,320,10,9,329,1,0xB2FCEA9A,0x3E7A9B97,0xA4A3A3D6,0,0,0,50.36756727430556,57.80029296875,19.854046048202505,17.300950369588172,11.314917127071823,2068,2058,62.80517578125,2,1,1,1,0.030517578125,0.04859086491739553,6,1,1,5,0.152587890625,0.24295432458697766,523,1,1,522,15.93017578125,25.364431486880466,133,1,1,132,4.0283203125,6.41399416909621,91,1,1,90,2.74658203125,4.373177842565598,514,1,1,513,15.655517578125,24.927113702623906,249,1,1,248,7.568359375,12.050534499514091,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,23.323615160349853,68,1,1,67,2.044677734375,3.2555879494655007,16,32,5,240,152,6273,0,3072,1,0,6
6,7,LOD_RETREAT,0x31,portal_view|freecam|lod,330,48,47,338,0,0x7855312D,0xA8D4BB65,0xA8F2C94A,1,0,0,57.77821642287234,59.2041015625,17.307560909826485,16.890721649484536,15.391263503992485,2147,2137,65.216064453125,1,1,1,0,0.0,0.0,7,1,1,6,0.18310546875,0.28076743097800655,525,1,1,524,15.9912109375,24.520355638745905,134,1,1,133,4.058837890625,6.223678053345812,91,1,1,90,2.74658203125,4.211511464670099,564,1,1,563,17.181396484375,26.345343940102946,275,1,1,274,8.36181640625,12.821712681328966,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,22.461394478240525,68,1,1,67,2.044677734375,3.1352363125877396,16,32,6,242,196,6235,0,3053,1,0,3
7,8,LOD_APPROACH,0xB3,portal_view|portal_cross|freecam|lod|stress,378,60,59,416,1,0x9391C926,0xCF9F1F10,0x8028BE00,0,0,1,57.41494388903602,59.539794921875,17.41706831469987,16.795489492567913,13.831996623047699,2148,2138,65.24658203125,2,1,1,1,0.030517578125,0.04677268475210477,6,1,1,5,0.152587890625,0.23386342376052385,526,1,1,525,16.021728515625,24.555659494855004,134,1,1,133,4.058837890625,6.220767072029934,91,1,1,90,2.74658203125,4.209541627689429,564,1,1,563,17.181396484375,26.333021515434986,274,1,1,273,8.331298828125,12.768942937324603,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,22.45088868101029,69,1,1,68,2.0751953125,3.1805425631431246,16,32,6,242,196,6235,0,3053,1,0,3
8,9,FREECAM_YAW,0x14,turn|freecam,438,128,127,459,0,0x9391C926,0xCF9F1F10,0xD6FA1B1C,0,0,1,39.109597994586615,40.618896484375,25.569171029025043,24.6190833959429,22.645473393227366,1436,1429,43.609619140625,2,1,1,1,0.030517578125,0.06997900629811056,6,1,1,5,0.152587890625,0.34989503149055284,754,1,1,753,22.979736328125,52.69419174247726,124,1,1,123,3.753662109375,8.6074177746676,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,33.58992302309307,68,1,1,67,2.044677734375,4.688593421973408,8,20,5,184,60,3072,0,0,0,0,6
9,10,FREECAM_3D,0xD8,pitch|freecam|vertical|stress,566,288,287,612,1,0x13BBC90D,0x232B60B4,0xB2A40B9D,2,0,0,49.3262952213088,43.45703125,20.273162529506234,23.01123595505618,13.248517520215634,2485,2475,75.531005859375,2,1,1,1,0.030517578125,0.04040404040404041,6,1,1,5,0.152587890625,0.20202020202020202,791,1,1,790,24.10888671875,31.91919191919192,151,1,1,150,4.57763671875,6.0606060606060606,91,1,1,90,2.74658203125,3.6363636363636362,644,1,1,643,19.622802734375,25.97979797979798,249,1,1,248,7.568359375,10.02020202020202,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,19.393939393939394,69,1,1,68,2.0751953125,2.7474747474747474,16,53,8,306,174,5792,0,2651,1,0,12
