scope,name,current_clean_frames,baseline_clean_frames,current_frame_ms_mean,baseline_frame_ms_mean,frame_ms_delta,frame_time_percent_change,current_frame_ms_median,baseline_frame_ms_median,current_average_fps,baseline_average_fps,average_fps_percent_change,current_1_percent_low_fps,baseline_1_percent_low_fps,current_detailed_frame,baseline_detailed_frame,detail_trace_comparable,current_admin_corrected_ms,baseline_admin_corrected_ms,admin_percent_change,current_setup_corrected_ms,baseline_setup_corrected_ms,setup_percent_change,current_root_geometry_corrected_ms,baseline_root_geometry_corrected_ms,root_geometry_percent_change,current_root_fill_corrected_ms,baseline_root_fill_corrected_ms,root_fill_percent_change,current_portal_setup_corrected_ms,baseline_portal_setup_corrected_ms,portal_setup_percent_change,current_portal_geometry_corrected_ms,baseline_portal_geometry_corrected_ms,portal_geometry_percent_change,current_portal_fill_corrected_ms,baseline_portal_fill_corrected_ms,portal_fill_percent_change,current_wait_corrected_ms,baseline_wait_corrected_ms,wait_percent_change,current_present_corrected_ms,baseline_present_corrected_ms,present_percent_change,current_overlay_corrected_ms,baseline_overlay_corrected_ms,overlay_percent_change
overall,ALL_CLEAN,844,844,41.22114859486078,38.630372540080714,2.590776054780065,6.706577970719851,37.7197265625,35.125732421875,24.25939194049227,25.886366976203913,-6.285065174295179,15.585667477010887,16.243225380039657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
section,OPEN_YAW,127,127,34.525473286786415,31.934122400959644,2.5913508858267704,8.114677000639592,32.89794921875,30.303955078125,28.964121409530968,31.31446630798751,-7.505620167178229,20.2209194692996,21.347231270358307,125,125,1,0.0,0.0,,0.1220703125,0.1220703125,0.0,19.195556640625,19.1650390625,0.15923566878981443,6.195068359375,6.195068359375,0.0,1.373291015625,1.40380859375,-2.1739130434782594,4.180908203125,4.150390625,0.7352941176470562,1.52587890625,1.556396484375,-1.9607843137254943,0.0,0.0,,15.655517578125,13.031005859375,20.140515222482435,0.579833984375,0.6103515625,-5.000000000000004
section,PITCH_SWEEP,95,95,41.29445929276316,38.707853618421055,2.5866056743421026,6.68237949807462,43.701171875,41.107177734375,24.216323863459564,25.834550524498738,-6.263808071693056,20.54420062695925,21.67195767195767,133,133,1,0.0,0.0,,0.1220703125,0.1220703125,0.0,18.24951171875,18.24951171875,0.0,6.134033203125,6.16455078125,-0.4950495049504955,1.40380859375,1.373291015625,2.2222222222222143,4.119873046875,4.150390625,-0.7352941176470562,1.52587890625,1.52587890625,0.0,0.0,0.0,,15.655517578125,13.031005859375,20.140515222482435,0.579833984375,0.6103515625,-5.000000000000004
section,PORTAL_FAR,55,55,46.45441228693182,43.86097301136363,2.593439275568187,5.91286307053942,48.27880859375,45.684814453125,21.52648049497145,22.79931181054549,-5.582761998041141,19.847365233192004,20.938019169329074,254,254,1,0.030517578125,0.0,,0.1220703125,0.1220703125,0.0,18.00537109375,18.00537109375,0.0,6.378173828125,6.378173828125,0.0,1.678466796875,1.678466796875,0.0,4.94384765625,4.94384765625,0.0,2.3193359375,2.349853515625,-1.2987012987012991,0.0,0.0,,15.655517578125,13.0615234375,19.859813084112155,0.579833984375,0.579833984375,0.0
section,PORTAL_NEAR,35,35,50.363595145089285,47.774832589285715,2.5887625558035694,5.418674259015921,49.9267578125,47.36328125,19.85561191807621,20.931522850051103,-5.140146465608286,18.71387778412336,19.656868626274743,308,308,1,0.030517578125,0.030517578125,0.0,0.1220703125,0.1220703125,0.0,12.359619140625,12.359619140625,0.0,3.41796875,3.41796875,0.0,2.532958984375,2.532958984375,0.0,15.9912109375,15.9912109375,0.0,2.0751953125,2.0751953125,0.0,0.0,0.0,,15.655517578125,13.0615234375,19.859813084112155,0.6103515625,0.6103515625,0.0
section,CROSS_DOWN,3,3,43.965657552083336,41.402180989583336,2.5634765625,6.191646191646183,51.33056640625,48.797607421875,22.74502545118001,24.153316953316953,-5.8306339657565935,18.660592255125284,19.598086124401913,316,316,1,0.0,0.030517578125,-100.0,0.1220703125,0.1220703125,0.0,12.359619140625,12.359619140625,0.0,3.41796875,3.41796875,0.0,2.532958984375,2.532958984375,0.0,15.960693359375,15.960693359375,0.0,2.0751953125,2.0751953125,0.0,0.0,0.0,,15.655517578125,13.0615234375,19.859813084112155,0.6103515625,0.579833984375,5.263157894736836
section,RETURN_UP,9,9,43.758816189236114,41.147867838541664,2.61094835069445,6.345282241450367,49.01123046875,46.38671875,22.852537776055794,24.302595797280592,-5.966679581557521,12.885568226504128,13.331163547599674,329,329,1,0.0,0.0,,0.1220703125,0.1220703125,0.0,12.39013671875,12.39013671875,0.0,3.41796875,3.41796875,0.0,2.5634765625,2.5634765625,0.0,14.678955078125,14.678955078125,0.0,2.0751953125,2.0751953125,0.0,0.0,0.0,,15.655517578125,13.0615234375,19.859813084112155,0.946044921875,0.9765625,-3.125
section,LOD_RETREAT,47,47,49.16576628989362,46.57631732047872,2.589448969414896,5.559582891875325,50.079345703125,47.515869140625,20.33935552033809,21.470138850164503,-5.2667723190702675,18.460845070422536,19.389349112426036,338,338,1,0.030517578125,0.030517578125,0.0,0.1220703125,0.1220703125,0.0,12.481689453125,12.481689453125,0.0,3.41796875,3.41796875,0.0,2.5634765625,2.5634765625,0.0,16.357421875,16.357421875,0.0,2.044677734375,2.044677734375,0.0,0.0,0.0,,15.655517578125,13.0615234375,19.859813084112155,0.9765625,0.9765625,0.0
section,LOD_APPROACH,59,59,48.84829763638771,46.25999321371822,2.588304422669495,5.595124951081809,50.4150390625,47.8515625,20.471542477154564,21.616950858165147,-5.298658393248557,15.478507321681626,16.125984251968504,416,416,1,0.0,0.0,,0.1220703125,0.1220703125,0.0,12.481689453125,12.481689453125,0.0,3.41796875,3.41796875,0.0,2.5634765625,2.5634765625,0.0,16.357421875,16.357421875,0.0,2.0751953125,2.044677734375,1.4925373134328401,0.0,0.0,,15.625,13.0615234375,19.626168224299057,0.9765625,0.9765625,0.0
section,FREECAM_YAW,127,127,34.074197603961615,31.48284671813484,2.591350885826774,8.230992924582313,35.09521484375,32.470703125,29.347719691680595,31.763328423029073,-7.60502394200323,26.489894907033143,28.444444444444443,459,459,1,0.030517578125,0.0,,0.1220703125,0.1220703125,0.0,17.181396484375,17.181396484375,0.0,2.99072265625,2.99072265625,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,15.655517578125,13.0615234375,19.859813084112155,0.9765625,0.9765625,0.0
