section_index,section_id,section_name,section_flags,section_flag_names,first_frame,frame_count,clean_frame_count,detailed_frame,crossing_count,logical_hash,presented_hash,state_hash,portal_0_lod,portal_1_lod,endpoint_room,clean_frame_ms_mean,clean_frame_ms_median,clean_average_fps,clean_median_fps,clean_1_percent_low_fps,detail_raw_total_ticks,detail_corrected_total_ticks,detail_corrected_total_ms,admin_raw_ticks,admin_entries,admin_switch_overhead_ticks,admin_corrected_ticks,admin_corrected_ms,admin_corrected_share_percent,setup_raw_ticks,setup_entries,setup_switch_overhead_ticks,setup_corrected_ticks,setup_corrected_ms,setup_corrected_share_percent,root_geometry_raw_ticks,root_geometry_entries,root_geometry_switch_overhead_ticks,root_geometry_corrected_ticks,root_geometry_corrected_ms,root_geometry_corrected_share_percent,root_fill_raw_ticks,root_fill_entries,root_fill_switch_overhead_ticks,root_fill_corrected_ticks,root_fill_corrected_ms,root_fill_corrected_share_percent,portal_setup_raw_ticks,portal_setup_entries,portal_setup_switch_overhead_ticks,portal_setup_corrected_ticks,portal_setup_corrected_ms,portal_setup_corrected_share_percent,portal_geometry_raw_ticks,portal_geometry_entries,portal_geometry_switch_overhead_ticks,portal_geometry_corrected_ticks,portal_geometry_corrected_ms,portal_geometry_corrected_share_percent,portal_fill_raw_ticks,portal_fill_entries,portal_fill_switch_overhead_ticks,portal_fill_corrected_ticks,portal_fill_corrected_ms,portal_fill_corrected_share_percent,wait_raw_ticks,wait_entries,wait_switch_overhead_ticks,wait_corrected_ticks,wait_corrected_ms,wait_corrected_share_percent,present_raw_ticks,present_entries,present_switch_overhead_ticks,present_corrected_ticks,present_corrected_ms,present_corrected_share_percent,overlay_raw_ticks,overlay_entries,overlay_switch_overhead_ticks,overlay_corrected_ticks,overlay_corrected_ms,overlay_corrected_share_percent,transformed_vertices,projected_points,rasterized_polygons,raster_rows,filled_spans,filled_pixels,portal_composite_pixels,portal_clip_pixels,full_portal_views,lod_portal_views,edge_division_fallbacks
0,1,OPEN_YAW,0x04,turn,0,128,127,125,0,0xF5386431,0xCAB6D6F7,0x9E5629C9,1,0,0,34.525473286786415,32.89794921875,28.964121409530968,30.397031539888683,20.2209194692996,1611,1600,48.828125,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.25,630,1,1,629,19.195556640625,39.3125,204,1,1,203,6.195068359375,12.6875,46,1,1,45,1.373291015625,2.8125,138,1,1,137,4.180908203125,8.5625,52,2,2,50,1.52587890625,3.125,1,1,1,0,0.0,0.0,514,1,1,513,15.655517578125,32.0625,20,1,1,19,0.579833984375,1.1875,0,0,0,0,0,0,0,0,0,0,0
1,2,PITCH_SWEEP,0x08,pitch,128,96,95,133,0,0xF5386431,0xCAB6D6F7,0x9E5629C9,1,0,0,41.29445929276316,43.701171875,24.216323863459564,22.88268156424581,20.54420062695925,1577,1566,47.79052734375,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.2554278416347382,599,1,1,598,18.24951171875,38.18646232439336,202,1,1,201,6.134033203125,12.835249042145595,47,1,1,46,1.40380859375,2.9374201787994894,136,1,1,135,4.119873046875,8.620689655172415,52,2,2,50,1.52587890625,3.1928480204342273,1,1,1,0,0.0,0.0,514,1,1,513,15.655517578125,32.758620689655174,20,1,1,19,0.579833984375,1.2132822477650065,0,0,0,0,0,0,0,0,0,0,0
2,3,PORTAL_FAR,0x21,portal_view|lod,224,56,55,254,0,0xACD90C31,0x145BCBFA,0xA72A6D23,1,0,0,46.45441228693182,48.27880859375,21.52648049497145,20.713021491782555,19.847365233192004,1640,1629,49.713134765625,2,1,1,1,0.030517578125,0.061387354205033766,5,1,1,4,0.1220703125,0.24554941682013506,591,1,1,590,18.00537109375,36.21853898096992,210,1,1,209,6.378173828125,12.829957028852057,56,1,1,55,1.678466796875,3.376304481276857,163,1,1,162,4.94384765625,9.94475138121547,78,2,2,76,2.3193359375,4.665438919582566,1,1,1,0,0.0,0.0,514,1,1,513,15.655517578125,31.49171270718232,20,1,1,19,0.579833984375,1.1663597298956414,0,0,0,0,0,0,0,0,0,0,0
3,4,PORTAL_NEAR,0x21,portal_view|lod,280,36,35,308,0,0x6BC9BA3D,0x33C5F7DE,0x6CC07690,0,0,0,50.363595145089285,49.9267578125,19.85561191807621,20.029339853300733,18.71387778412336,1741,1730,52.79541015625,2,1,1,1,0.030517578125,0.057803468208092484,5,1,1,4,0.1220703125,0.23121387283236994,406,1,1,405,12.359619140625,23.410404624277458,113,1,1,112,3.41796875,6.473988439306359,84,1,1,83,2.532958984375,4.797687861271676,525,1,1,524,15.9912109375,30.289017341040463,70,2,2,68,2.0751953125,3.930635838150289,1,1,1,0,0.0,0.0,514,1,1,513,15.655517578125,29.653179190751445,21,1,1,20,0.6103515625,1.1560693641618498,0,0,0,0,0,0,0,0,0,0,0
4,5,CROSS_DOWN,0x83,portal_view|portal_cross|stress,316,4,3,316,1,0x4574F2BD,0xE4127EFE,0x2C3FE3A2,0,0,1,43.965657552083336,51.33056640625,22.74502545118001,19.48156956004756,18.660592255125284,1739,1728,52.734375,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.23148148148148148,406,1,1,405,12.359619140625,23.4375,113,1,1,112,3.41796875,6.481481481481482,84,1,1,83,2.532958984375,4.8032407407407405,524,1,1,523,15.960693359375,30.266203703703702,70,2,2,68,2.0751953125,3.935185185185185,1,1,1,0,0.0,0.0,514,1,1,513,15.655517578125,29.6875,21,1,1,20,0.6103515625,1.1574074074074074,0,0,0,0,0,0,0,0,0,0,0
5,6,RETURN_UP,0x93,portal_view|portal_cross|freecam|stress,320,10,9,329,1,0xB2FCEA9A,0xB343C54F,0xA4A3A3D6,0,0,0,43.758816189236114,49.01123046875,22.852537776055794,20.40348692403487,12.885568226504128,1710,1699,51.849365234375,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.23543260741612712,407,1,1,406,12.39013671875,23.896409652736903,113,1,1,112,3.41796875,6.59211300765156,85,1,1,84,2.5634765625,4.94408475573867,482,1,1,481,14.678955078125,28.310771041789287,70,2,2,68,2.0751953125,4.002354326074161,1,1,1,0,0.0,0.0,514,1,1,513,15.655517578125,30.194231901118304,32,1,1,31,0.946044921875,1.8246027074749853,0,0,0,0,0,0,0,0,0,0,0
6,7,LOD_RETREAT,0x31,portal_view|freecam|lod,330,48,47,338,0,0x7855312D,0x07CC9740,0xA8F2C94A,1,0,0,49.16576628989362,50.079345703125,20.33935552033809,19.968312004875077,18.460845070422536,1769,1758,53.64990234375,2,1,1,1,0.030517578125,0.05688282138794084,5,1,1,4,0.1220703125,0.22753128555176336,410,1,1,409,12.481689453125,23.265073947667805,113,1,1,112,3.41796875,6.370875995449374,85,1,1,84,2.5634765625,4.778156996587031,537,1,1,536,16.357421875,30.489192263936292,69,2,2,67,2.044677734375,3.8111490329920366,1,1,1,0,0.0,0.0,514,1,1,513,15.655517578125,29.18088737201365,33,1,1,32,0.9765625,1.8202502844141069,0,0,0,0,0,0,0,0,0,0,0
7,8,LOD_APPROACH,0xB3,portal_view|portal_cross|freecam|lod|stress,378,60,59,416,1,0x9391C926,0x6443498C,0x8028BE00,0,0,1,48.84829763638771,50.4150390625,20.471542477154564,19.83535108958838,15.478507321681626,1768,1757,53.619384765625,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.22766078542970974,410,1,1,409,12.481689453125,23.27831531018782,113,1,1,112,3.41796875,6.374501992031872,85,1,1,84,2.5634765625,4.780876494023905,537,1,1,536,16.357421875,30.506545247581105,70,2,2,68,2.0751953125,3.8702333523050654,1,1,1,0,0.0,0.0,513,1,1,512,15.625,29.140580535002847,33,1,1,32,0.9765625,1.821286283437678,0,0,0,0,0,0,0,0,0,0,0
8,9,FREECAM_YAW,0x14,turn|freecam,438,128,127,459,0,0x9391C926,0x6443498C,0xD6FA1B1C,0,0,1,34.074197603961615,35.09521484375,29.347719691680595,28.493913043478262,26.489894907033143,1218,1211,36.956787109375,2,1,1,1,0.030517578125,0.08257638315441784,5,1,1,4,0.1220703125,0.33030553261767137,564,1,1,563,17.181396484375,46.490503715937244,99,1,1,98,2.99072265625,8.092485549132949,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,1,1,0,0.0,0.0,514,1,1,513,15.655517578125,42.36168455821635,33,1,1,32,0.9765625,2.642444260941371,0,0,0,0,0,0,0,0,0,0,0
9,10,FREECAM_3D,0xD8,pitch|freecam|vertical|stress,566,288,287,614,1,0x13BBC90D,0x708E17EF,0xB2A40B9D,2,0,0,42.22728981788981,37.322998046875,23.681368241073923,26.793131643499592,15.942912747324035,2022,2011,61.370849609375,2,1,1,1,0.030517578125,0.04972650422675286,5,1,1,4,0.1220703125,0.19890601690701143,614,1,1,613,18.707275390625,30.482347090999504,129,1,1,128,3.90625,6.364992541024366,84,1,1,83,2.532958984375,4.127299850820488,573,1,1,572,17.4560546875,28.443560417702635,67,2,2,65,1.983642578125,3.232222774738936,1,1,1,0,0.0,0.0,514,1,1,513,15.655517578125,25.509696668324217,33,1,1,32,0.9765625,1.5912481352560914,0,0,0,0,0,0,0,0,0,0,0
