section_index,section_id,section_name,section_flags,section_flag_names,first_frame,frame_count,clean_frame_count,detailed_frame,crossing_count,logical_hash,presented_hash,state_hash,portal_0_lod,portal_1_lod,endpoint_room,clean_frame_ms_mean,clean_frame_ms_median,clean_average_fps,clean_median_fps,clean_1_percent_low_fps,detail_raw_total_ticks,detail_corrected_total_ticks,detail_corrected_total_ms,admin_raw_ticks,admin_entries,admin_switch_overhead_ticks,admin_corrected_ticks,admin_corrected_ms,admin_corrected_share_percent,setup_raw_ticks,setup_entries,setup_switch_overhead_ticks,setup_corrected_ticks,setup_corrected_ms,setup_corrected_share_percent,root_geometry_raw_ticks,root_geometry_entries,root_geometry_switch_overhead_ticks,root_geometry_corrected_ticks,root_geometry_corrected_ms,root_geometry_corrected_share_percent,root_fill_raw_ticks,root_fill_entries,root_fill_switch_overhead_ticks,root_fill_corrected_ticks,root_fill_corrected_ms,root_fill_corrected_share_percent,portal_setup_raw_ticks,portal_setup_entries,portal_setup_switch_overhead_ticks,portal_setup_corrected_ticks,portal_setup_corrected_ms,portal_setup_corrected_share_percent,portal_geometry_raw_ticks,portal_geometry_entries,portal_geometry_switch_overhead_ticks,portal_geometry_corrected_ticks,portal_geometry_corrected_ms,portal_geometry_corrected_share_percent,portal_fill_raw_ticks,portal_fill_entries,portal_fill_switch_overhead_ticks,portal_fill_corrected_ticks,portal_fill_corrected_ms,portal_fill_corrected_share_percent,wait_raw_ticks,wait_entries,wait_switch_overhead_ticks,wait_corrected_ticks,wait_corrected_ms,wait_corrected_share_percent,present_raw_ticks,present_entries,present_switch_overhead_ticks,present_corrected_ticks,present_corrected_ms,present_corrected_share_percent,overlay_raw_ticks,overlay_entries,overlay_switch_overhead_ticks,overlay_corrected_ticks,overlay_corrected_ms,overlay_corrected_share_percent,transformed_vertices,projected_points,rasterized_polygons,raster_rows,filled_spans,filled_pixels,portal_composite_pixels,portal_clip_pixels,full_portal_views,lod_portal_views,edge_division_fallbacks
0,1,OPEN_YAW,0x04,turn,0,128,127,125,0,0xF5386431,0xCAB6D6F7,0x9E5629C9,1,0,0,34.87246055302658,32.989501953125,28.675923182403892,30.31267345050879,19.87143723468769,1670,1660,50.6591796875,2,1,1,1,0.030517578125,0.060240963855421686,4,1,1,3,0.091552734375,0.18072289156626506,671,1,1,670,20.44677734375,40.36144578313253,235,1,1,234,7.14111328125,14.096385542168674,43,1,1,42,1.28173828125,2.5301204819277108,150,1,1,149,4.547119140625,8.975903614457831,62,1,1,61,1.861572265625,3.674698795180723,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,28.91566265060241,21,1,1,20,0.6103515625,1.2048192771084338,16,32,8,178,141,2783,317,317,0,1,11
1,2,PITCH_SWEEP,0x08,pitch,128,96,95,133,0,0xF5386431,0xCAB6D6F7,0x9E5629C9,1,0,0,42.05418636924342,44.647216796875,23.778845492808202,22.39781271360219,20.115408225905462,1639,1629,49.713134765625,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.24554941682013506,640,1,1,639,19.500732421875,39.226519337016576,234,1,1,233,7.110595703125,14.303253529772867,43,1,1,42,1.28173828125,2.578268876611418,147,1,1,146,4.45556640625,8.962553713934929,67,1,1,66,2.01416015625,4.051565377532229,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,29.465930018416206,20,1,1,19,0.579833984375,1.1663597298956414,16,32,7,173,145,2800,302,302,0,1,10
2,3,PORTAL_FAR,0x21,portal_view|lod,224,56,55,255,0,0xACD90C31,0x145BCBFA,0xA72A6D23,1,0,0,47.43818803267045,49.25537109375,21.0800631615884,20.302354399008674,19.458432304038006,1704,1694,51.69677734375,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.2361275088547816,632,1,1,631,19.256591796875,37.2491145218418,244,1,1,243,7.415771484375,14.344746162927981,52,1,1,51,1.556396484375,3.010625737898465,168,1,1,167,5.096435546875,9.85832349468713,99,1,1,98,2.99072265625,5.785123966942149,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,28.33530106257379,21,1,1,20,0.6103515625,1.1806375442739079,16,32,7,185,149,2472,648,648,0,1,6
3,4,PORTAL_NEAR,0x21,portal_view|lod,280,36,35,308,0,0x6BC9BA3D,0x33C5F7DE,0x6CC07690,0,0,0,52.335030691964285,52.001953125,19.10766052447436,19.230046948356808,17.94523548740416,1852,1842,56.21337890625,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.21715526601520088,445,1,1,444,13.5498046875,24.104234527687296,118,1,1,117,3.570556640625,6.351791530944626,76,1,1,75,2.288818359375,4.071661237785016,444,1,1,443,13.519287109375,24.049945711183497,261,1,1,260,7.9345703125,14.115092290988056,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,26.058631921824105,20,1,1,19,0.579833984375,1.0314875135722041,16,32,6,240,194,6272,0,3072,1,0,10
4,5,CROSS_DOWN,0x83,portal_view|portal_cross|stress,316,4,3,316,1,0x4574F2BD,0xE4127EFE,0x2C3FE3A2,0,0,1,44.087727864583336,51.300048828125,22.682048915551455,19.493158834027366,18.58650028360749,1851,1841,56.182861328125,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.21727322107550245,445,1,1,444,13.5498046875,24.11732753938077,118,1,1,117,3.570556640625,6.355241716458447,76,1,1,75,2.288818359375,4.073872895165671,444,1,1,443,13.519287109375,24.063009234111895,260,1,1,259,7.904052734375,14.068441064638783,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,26.072786529060295,20,1,1,19,0.579833984375,1.0320478001086366,16,32,6,240,194,6272,0,3072,1,0,10
5,6,RETURN_UP,0x93,portal_view|portal_cross|freecam|stress,320,10,9,329,1,0xB2FCEA9A,0xB343C54F,0xA4A3A3D6,0,0,0,44.73198784722222,50.537109375,22.35536688902365,19.78743961352657,12.53557765876052,1803,1793,54.718017578125,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.22308979364194087,446,1,1,445,13.580322265625,24.818739542665924,118,1,1,117,3.570556640625,6.52537646402677,77,1,1,76,2.3193359375,4.238706079196877,410,1,1,409,12.481689453125,22.810931399888457,231,1,1,230,7.01904296875,12.827663134411601,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,26.770775237032908,33,1,1,32,0.9765625,1.784718349135527,16,32,5,240,152,6273,0,3072,1,0,6
6,7,LOD_RETREAT,0x31,portal_view|freecam|lod,330,48,47,338,0,0x7855312D,0x07CC9740,0xA8F2C94A,1,0,0,50.85592066988032,52.1240234375,19.663393894513746,19.185011709601874,17.72201189832342,1881,1871,57.098388671875,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.21378941742383753,448,1,1,447,13.641357421875,23.890967397113844,120,1,1,119,3.631591796875,6.360235168359166,76,1,1,75,2.288818359375,4.008551576696954,454,1,1,453,13.824462890625,24.2116515232496,262,1,1,261,7.965087890625,13.949759486905398,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,25.654730090860504,33,1,1,32,0.9765625,1.7103153393907002,16,32,6,242,196,6235,0,3053,1,0,3
7,8,LOD_APPROACH,0xB3,portal_view|portal_cross|freecam|lod|stress,378,60,59,416,1,0x9391C926,0x6443498C,0x8028BE00,0,0,1,50.391762943591104,52.24609375,19.84451310265543,19.14018691588785,15.384037558685446,1881,1871,57.098388671875,2,1,1,1,0.030517578125,0.05344735435595938,5,1,1,4,0.1220703125,0.21378941742383753,448,1,1,447,13.641357421875,23.890967397113844,119,1,1,118,3.60107421875,6.306787814003207,76,1,1,75,2.288818359375,4.008551576696954,454,1,1,453,13.824462890625,24.2116515232496,262,1,1,261,7.965087890625,13.949759486905398,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,25.654730090860504,33,1,1,32,0.9765625,1.7103153393907002,16,32,6,242,196,6235,0,3053,1,0,3
8,9,FREECAM_YAW,0x14,turn|freecam,438,128,127,459,0,0x9391C926,0x6443498C,0xD6FA1B1C,0,0,1,34.41013125922736,35.46142578125,29.061208527992513,28.199655765920827,26.193445243804955,1244,1237,37.750244140625,2,1,1,1,0.030517578125,0.08084074373484236,5,1,1,4,0.1220703125,0.32336297493936944,610,1,1,609,18.585205078125,49.232012934519,112,1,1,111,3.387451171875,8.973322554567503,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,38.80355699272433,33,1,1,32,0.9765625,2.5869037995149555,8,20,5,184,60,3072,0,0,0,0,6
9,10,FREECAM_3D,0xD8,pitch|freecam|vertical|stress,566,288,287,612,1,0x13BBC90D,0x708E17EF,0xB2A40B9D,2,0,0,43.35091089122387,37.841796875,23.06756604282666,26.425806451612903,15.236205827650341,2172,2162,65.97900390625,2,1,1,1,0.030517578125,0.04625346901017576,5,1,1,4,0.1220703125,0.18501387604070305,680,1,1,679,20.721435546875,31.406105457909344,138,1,1,137,4.180908203125,6.3367252543940795,76,1,1,75,2.288818359375,3.469010175763182,524,1,1,523,15.960693359375,24.190564292321923,232,1,1,231,7.049560546875,10.684551341350602,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,22.201665124884368,33,1,1,32,0.9765625,1.4801110083256244,16,56,8,306,174,5792,0,2651,1,0,12
