section_index,section_id,section_name,section_flags,section_flag_names,first_frame,frame_count,clean_frame_count,detailed_frame,crossing_count,logical_hash,presented_hash,state_hash,portal_0_lod,portal_1_lod,endpoint_room,clean_frame_ms_mean,clean_frame_ms_median,clean_average_fps,clean_median_fps,clean_1_percent_low_fps,detail_raw_total_ticks,detail_corrected_total_ticks,detail_corrected_total_ms,admin_raw_ticks,admin_entries,admin_switch_overhead_ticks,admin_corrected_ticks,admin_corrected_ms,admin_corrected_share_percent,setup_raw_ticks,setup_entries,setup_switch_overhead_ticks,setup_corrected_ticks,setup_corrected_ms,setup_corrected_share_percent,root_geometry_raw_ticks,root_geometry_entries,root_geometry_switch_overhead_ticks,root_geometry_corrected_ticks,root_geometry_corrected_ms,root_geometry_corrected_share_percent,root_fill_raw_ticks,root_fill_entries,root_fill_switch_overhead_ticks,root_fill_corrected_ticks,root_fill_corrected_ms,root_fill_corrected_share_percent,portal_setup_raw_ticks,portal_setup_entries,portal_setup_switch_overhead_ticks,portal_setup_corrected_ticks,portal_setup_corrected_ms,portal_setup_corrected_share_percent,portal_geometry_raw_ticks,portal_geometry_entries,portal_geometry_switch_overhead_ticks,portal_geometry_corrected_ticks,portal_geometry_corrected_ms,portal_geometry_corrected_share_percent,portal_fill_raw_ticks,portal_fill_entries,portal_fill_switch_overhead_ticks,portal_fill_corrected_ticks,portal_fill_corrected_ms,portal_fill_corrected_share_percent,wait_raw_ticks,wait_entries,wait_switch_overhead_ticks,wait_corrected_ticks,wait_corrected_ms,wait_corrected_share_percent,present_raw_ticks,present_entries,present_switch_overhead_ticks,present_corrected_ticks,present_corrected_ms,present_corrected_share_percent,overlay_raw_ticks,overlay_entries,overlay_switch_overhead_ticks,overlay_corrected_ticks,overlay_corrected_ms,overlay_corrected_share_percent,transformed_vertices,projected_points,rasterized_polygons,raster_rows,filled_spans,filled_pixels,portal_composite_pixels,portal_clip_pixels,full_portal_views,lod_portal_views,edge_division_fallbacks
0,1,OPEN_YAW,0x04,turn,0,128,127,1,0,0xF5386431,0xCAB6D6F7,0x9E5629C9,1,0,0,35.14447550135335,33.294677734375,28.453974223103483,30.034830430797435,19.656868626274743,1689,1679,51.239013671875,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.23823704586063132,688,1,1,687,20.965576171875,40.91721262656343,235,1,1,234,7.14111328125,13.936867182846933,43,1,1,42,1.28173828125,2.501488981536629,152,1,1,151,4.608154296875,8.993448481238833,62,1,1,61,1.861572265625,3.6331149493746278,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,28.58844550327576,21,1,1,20,0.6103515625,1.1911852293031566,16,32,8,178,141,2783,317,317,0,1,7
1,2,PITCH_SWEEP,0x08,pitch,128,96,95,133,0,0xF5386431,0xCAB6D6F7,0x9E5629C9,1,0,0,42.38377621299342,45.0439453125,23.59393356020585,22.200542005420054,19.907654921020654,1655,1645,50.201416015625,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.24316109422492402,654,1,1,653,19.927978515625,39.69604863221885,234,1,1,233,7.110595703125,14.164133738601823,43,1,1,42,1.28173828125,2.5531914893617023,149,1,1,148,4.5166015625,8.99696048632219,67,1,1,66,2.01416015625,4.0121580547112465,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,29.179331306990882,20,1,1,19,0.579833984375,1.155015197568389,16,32,7,173,145,2800,302,302,0,1,7
2,3,PORTAL_FAR,0x21,portal_view|lod,224,56,55,254,0,0xACD90C31,0x145BCBFA,0xA72A6D23,1,0,0,47.77332652698863,49.74365234375,20.932182719892218,20.103067484662578,19.275294117647057,1720,1710,52.18505859375,2,1,1,1,0.030517578125,0.05847953216374269,5,1,1,4,0.1220703125,0.23391812865497075,644,1,1,643,19.622802734375,37.60233918128655,244,1,1,243,7.415771484375,14.210526315789474,52,1,1,51,1.556396484375,2.982456140350877,171,1,1,170,5.18798828125,9.941520467836257,100,1,1,99,3.021240234375,5.7894736842105265,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,28.07017543859649,20,1,1,19,0.579833984375,1.1111111111111112,16,32,7,185,149,2472,648,648,0,1,6
3,4,PORTAL_NEAR,0x21,portal_view|lod,280,36,35,308,0,0x6BC9BA3D,0x33C5F7DE,0x6CC07690,0,0,0,52.63759068080357,52.276611328125,18.997830012092297,19.12901342673672,17.808695652173913,1866,1856,56.640625,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.21551724137931033,446,1,1,445,13.580322265625,23.976293103448278,118,1,1,117,3.570556640625,6.303879310344827,77,1,1,76,2.3193359375,4.094827586206897,456,1,1,455,13.885498046875,24.51508620689655,260,1,1,259,7.904052734375,13.954741379310345,1,1,1,0,0.0,0.0,482,1,1,481,14.678955078125,25.915948275862068,20,1,1,19,0.579833984375,1.0237068965517242,16,32,6,240,194,6272,0,3072,1,0,8
4,5,CROSS_DOWN,0x83,portal_view|portal_cross|stress,316,4,3,316,1,0x4574F2BD,0xE4127EFE,0x2C3FE3A2,0,0,1,44.25048828125,51.544189453125,22.59862068965517,19.400828892835996,18.54442558007923,1865,1855,56.610107421875,2,1,1,1,0.030517578125,0.05390835579514825,5,1,1,4,0.1220703125,0.215633423180593,445,1,1,444,13.5498046875,23.935309973045822,119,1,1,118,3.60107421875,6.361185983827493,76,1,1,75,2.288818359375,4.0431266846361185,456,1,1,455,13.885498046875,24.528301886792452,260,1,1,259,7.904052734375,13.962264150943396,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,25.87601078167116,20,1,1,19,0.579833984375,1.0242587601078168,16,32,6,240,194,6272,0,3072,1,0,8
5,6,RETURN_UP,0x93,portal_view|portal_cross|freecam|stress,320,10,9,329,1,0xB2FCEA9A,0xB343C54F,0xA4A3A3D6,0,0,0,44.921875,50.84228515625,22.26086956521739,19.668667466986793,12.492565764391918,1815,1805,55.084228515625,2,1,1,1,0.030517578125,0.055401662049861494,5,1,1,4,0.1220703125,0.22160664819944598,451,1,1,450,13.73291015625,24.930747922437675,118,1,1,117,3.570556640625,6.481994459833795,77,1,1,76,2.3193359375,4.2105263157894735,416,1,1,415,12.664794921875,22.991689750692522,231,1,1,230,7.01904296875,12.742382271468143,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,26.592797783933516,33,1,1,32,0.9765625,1.7728531855955678,16,32,5,240,152,6273,0,3072,1,0,6
6,7,LOD_RETREAT,0x31,portal_view|freecam|lod,330,48,47,338,0,0x7855312D,0x07CC9740,0xA8F2C94A,1,0,0,51.27472573138298,52.55126953125,19.502785938608042,19.02903600464576,17.551151580074986,1900,1890,57.67822265625,2,1,1,1,0.030517578125,0.05291005291005291,4,1,1,3,0.091552734375,0.15873015873015872,455,1,1,454,13.85498046875,24.021164021164022,119,1,1,118,3.60107421875,6.243386243386244,76,1,1,75,2.288818359375,3.9682539682539684,468,1,1,467,14.251708984375,24.70899470899471,262,1,1,261,7.965087890625,13.80952380952381,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,25.396825396825395,32,1,1,31,0.946044921875,1.6402116402116402,16,32,6,242,196,6235,0,3053,1,0,3
7,8,LOD_APPROACH,0xB3,portal_view|portal_cross|freecam|lod|stress,378,60,59,416,1,0x9391C926,0x6443498C,0x8028BE00,0,0,1,50.776077529131356,52.520751953125,19.694313713505693,19.04009296920395,15.30499766464269,1900,1890,57.67822265625,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.21164021164021163,454,1,1,453,13.824462890625,23.96825396825397,119,1,1,118,3.60107421875,6.243386243386244,77,1,1,76,2.3193359375,4.021164021164021,467,1,1,466,14.22119140625,24.656084656084655,262,1,1,261,7.965087890625,13.80952380952381,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,25.396825396825395,33,1,1,32,0.9765625,1.693121693121693,16,32,6,242,196,6235,0,3053,1,0,3
8,9,FREECAM_YAW,0x14,turn|freecam,438,128,127,460,0,0x9391C926,0x6443498C,0xD6FA1B1C,0,0,1,34.63336614173228,35.675048828125,28.873889875666073,28.030795551753634,25.86266771902131,1262,1255,38.299560546875,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.3187250996015936,629,1,1,628,19.1650390625,50.0398406374502,112,1,1,111,3.387451171875,8.844621513944222,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,38.24701195219124,33,1,1,32,0.9765625,2.549800796812749,8,20,5,184,61,3072,0,0,0,0,6
9,10,FREECAM_3D,0xD8,pitch|freecam|vertical|stress,566,288,287,612,1,0x13BBC90D,0x708E17EF,0xB2A40B9D,2,0,0,43.7279677972561,38.2080078125,22.868659358616462,26.17252396166134,15.093505297098112,2192,2182,66.58935546875,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.18331805682859761,691,1,1,690,21.05712890625,31.622364802933088,138,1,1,137,4.180908203125,6.278643446379468,76,1,1,75,2.288818359375,3.4372135655362053,534,1,1,533,16.265869140625,24.42713107241063,232,1,1,231,7.049560546875,10.586617781851512,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,21.998166819431713,33,1,1,32,0.9765625,1.466544454628781,16,56,8,306,174,5792,0,2651,1,0,10
