section_index,section_id,section_name,section_flags,section_flag_names,first_frame,frame_count,clean_frame_count,detailed_frame,crossing_count,logical_hash,presented_hash,state_hash,portal_0_lod,portal_1_lod,endpoint_room,clean_frame_ms_mean,clean_frame_ms_median,clean_average_fps,clean_median_fps,clean_1_percent_low_fps,detail_raw_total_ticks,detail_corrected_total_ticks,detail_corrected_total_ms,admin_raw_ticks,admin_entries,admin_switch_overhead_ticks,admin_corrected_ticks,admin_corrected_ms,admin_corrected_share_percent,setup_raw_ticks,setup_entries,setup_switch_overhead_ticks,setup_corrected_ticks,setup_corrected_ms,setup_corrected_share_percent,root_geometry_raw_ticks,root_geometry_entries,root_geometry_switch_overhead_ticks,root_geometry_corrected_ticks,root_geometry_corrected_ms,root_geometry_corrected_share_percent,root_fill_raw_ticks,root_fill_entries,root_fill_switch_overhead_ticks,root_fill_corrected_ticks,root_fill_corrected_ms,root_fill_corrected_share_percent,portal_setup_raw_ticks,portal_setup_entries,portal_setup_switch_overhead_ticks,portal_setup_corrected_ticks,portal_setup_corrected_ms,portal_setup_corrected_share_percent,portal_geometry_raw_ticks,portal_geometry_entries,portal_geometry_switch_overhead_ticks,portal_geometry_corrected_ticks,portal_geometry_corrected_ms,portal_geometry_corrected_share_percent,portal_fill_raw_ticks,portal_fill_entries,portal_fill_switch_overhead_ticks,portal_fill_corrected_ticks,portal_fill_corrected_ms,portal_fill_corrected_share_percent,wait_raw_ticks,wait_entries,wait_switch_overhead_ticks,wait_corrected_ticks,wait_corrected_ms,wait_corrected_share_percent,present_raw_ticks,present_entries,present_switch_overhead_ticks,present_corrected_ticks,present_corrected_ms,present_corrected_share_percent,overlay_raw_ticks,overlay_entries,overlay_switch_overhead_ticks,overlay_corrected_ticks,overlay_corrected_ms,overlay_corrected_share_percent,transformed_vertices,projected_points,rasterized_polygons,raster_rows,filled_spans,filled_pixels,portal_composite_pixels,portal_clip_pixels,full_portal_views,lod_portal_views,edge_division_fallbacks
0,1,OPEN_YAW,0x04,turn,0,128,127,1,0,0xF5386431,0xCAB6D6F7,0x9E5629C9,1,0,0,34.887358898252955,32.989501953125,28.66367737713951,30.31267345050879,19.85939393939394,1672,1662,50.72021484375,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.24067388688327315,671,1,1,670,20.44677734375,40.312876052948255,235,1,1,234,7.14111328125,14.07942238267148,43,1,1,42,1.28173828125,2.527075812274368,152,1,1,151,4.608154296875,9.085439229843562,62,1,1,61,1.861572265625,3.6702767749699157,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,28.880866425992778,21,1,1,20,0.6103515625,1.203369434416366,16,32,8,178,141,2783,317,317,0,1,11
1,2,PITCH_SWEEP,0x08,pitch,128,96,95,133,0,0xF5386431,0xCAB6D6F7,0x9E5629C9,1,0,0,42.11522152549342,44.7998046875,23.744384186479333,22.321525885558582,20.103067484662578,1642,1632,49.8046875,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.24509803921568626,641,1,1,640,19.53125,39.21568627450981,234,1,1,233,7.110595703125,14.276960784313726,43,1,1,42,1.28173828125,2.573529411764706,148,1,1,147,4.486083984375,9.007352941176471,67,1,1,66,2.01416015625,4.044117647058823,1,1,1,0,0.0,0.0,482,1,1,481,14.678955078125,29.473039215686274,20,1,1,19,0.579833984375,1.1642156862745099,16,32,7,173,145,2800,302,302,0,1,10
2,3,PORTAL_FAR,0x21,portal_view|lod,224,56,55,254,0,0xACD90C31,0x145BCBFA,0xA72A6D23,1,0,0,47.51808860085227,49.285888671875,21.0446175223905,20.289783281733747,19.43534994068802,1708,1698,51.81884765625,2,1,1,1,0.030517578125,0.05889281507656066,5,1,1,4,0.1220703125,0.23557126030624265,633,1,1,632,19.287109375,37.22025912838634,244,1,1,243,7.415771484375,14.31095406360424,51,1,1,50,1.52587890625,2.944640753828033,171,1,1,170,5.18798828125,10.011778563015312,99,1,1,98,2.99072265625,5.771495877502945,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,28.268551236749115,21,1,1,20,0.6103515625,1.1778563015312131,16,32,7,185,149,2472,648,648,0,1,6
3,4,PORTAL_NEAR,0x21,portal_view|lod,280,36,35,312,0,0x6BC9BA3D,0x33C5F7DE,0x6CC07690,0,0,0,52.431815011160715,52.093505859375,19.072389536527364,19.196250732278852,17.91580098414434,1855,1845,56.304931640625,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.21680216802168023,445,1,1,444,13.5498046875,24.065040650406505,119,1,1,118,3.60107421875,6.3956639566395665,76,1,1,75,2.288818359375,4.065040650406504,446,1,1,445,13.580322265625,24.119241192411923,261,1,1,260,7.9345703125,14.092140921409214,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,26.016260162601625,20,1,1,19,0.579833984375,1.029810298102981,16,32,6,240,194,6364,0,3072,1,0,10
4,5,CROSS_DOWN,0x83,portal_view|portal_cross|stress,316,4,3,316,1,0x4574F2BD,0xE4127EFE,0x2C3FE3A2,0,0,1,44.138590494791664,51.361083984375,22.655911500345702,19.469994058229354,18.575963718820862,1854,1844,56.2744140625,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.21691973969631237,446,1,1,445,13.580322265625,24.13232104121475,118,1,1,117,3.570556640625,6.344902386117137,76,1,1,75,2.288818359375,4.0672451193058565,446,1,1,445,13.580322265625,24.13232104121475,259,1,1,258,7.87353515625,13.991323210412148,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,26.030368763557483,21,1,1,20,0.6103515625,1.0845986984815619,16,32,6,240,194,6272,0,3072,1,0,10
5,6,RETURN_UP,0x93,portal_view|portal_cross|freecam|stress,320,10,9,329,1,0xB2FCEA9A,0xB343C54F,0xA4A3A3D6,0,0,0,44.789632161458336,50.628662109375,22.32659550306609,19.751657625075346,12.51642475171887,1806,1796,54.8095703125,2,1,1,1,0.030517578125,0.0556792873051225,5,1,1,4,0.1220703125,0.22271714922049,446,1,1,445,13.580322265625,24.77728285077951,119,1,1,118,3.60107421875,6.570155902004454,76,1,1,75,2.288818359375,4.1759465478841875,412,1,1,411,12.542724609375,22.884187082405344,232,1,1,231,7.049560546875,12.861915367483297,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,26.7260579064588,32,1,1,31,0.946044921875,1.7260579064587973,16,32,5,240,152,6273,0,3072,1,0,6
6,7,LOD_RETREAT,0x31,portal_view|freecam|lod,330,48,47,338,0,0x7855312D,0x07CC9740,0xA8F2C94A,1,0,0,50.93708444148936,52.1240234375,19.632062002855395,19.185011709601874,17.683756071235834,1884,1874,57.18994140625,2,1,1,1,0.030517578125,0.05336179295624333,5,1,1,4,0.1220703125,0.21344717182497333,449,1,1,448,13.671875,23.906083244397013,119,1,1,118,3.60107421875,6.296691568836713,76,1,1,75,2.288818359375,4.00213447171825,456,1,1,455,13.885498046875,24.279615795090717,262,1,1,261,7.965087890625,13.92742796157951,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,25.6136606189968,33,1,1,32,0.9765625,1.7075773745997866,16,32,6,242,196,6235,0,3053,1,0,3
7,8,LOD_APPROACH,0xB3,portal_view|portal_cross|freecam|lod|stress,378,60,59,416,1,0x9391C926,0x6443498C,0x8028BE00,0,0,1,50.46417753575212,52.3681640625,19.816036817236043,19.095571095571096,15.391263503992485,1884,1874,57.18994140625,2,1,1,1,0.030517578125,0.05336179295624333,4,1,1,3,0.091552734375,0.16008537886872998,450,1,1,449,13.702392578125,23.959445037353255,119,1,1,118,3.60107421875,6.296691568836713,76,1,1,75,2.288818359375,4.00213447171825,456,1,1,455,13.885498046875,24.279615795090717,262,1,1,261,7.965087890625,13.92742796157951,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,25.6136606189968,33,1,1,32,0.9765625,1.7075773745997866,16,32,6,242,196,6235,0,3053,1,0,3
8,9,FREECAM_YAW,0x14,turn|freecam,438,128,127,459,0,0x9391C926,0x6443498C,0xD6FA1B1C,0,0,1,34.42791315514272,35.46142578125,29.046198516119574,28.199655765920827,26.193445243804955,1244,1237,37.750244140625,2,1,1,1,0.030517578125,0.08084074373484236,4,1,1,3,0.091552734375,0.2425222312045271,611,1,1,610,18.61572265625,49.31285367825384,112,1,1,111,3.387451171875,8.973322554567503,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,1,1,0,0.0,0.0,482,1,1,481,14.678955078125,38.88439773645918,32,1,1,31,0.946044921875,2.506063055780113,8,20,5,184,60,3072,0,0,0,0,6
9,10,FREECAM_3D,0xD8,pitch|freecam|vertical|stress,566,288,287,757,1,0x13BBC90D,0x708E17EF,0xB2A40B9D,2,0,0,43.375899152057926,37.872314453125,23.054277134277136,26.404512489927477,15.231484350790208,2173,2163,66.009521484375,2,1,1,1,0.030517578125,0.04623208506703652,4,1,1,3,0.091552734375,0.13869625520110956,681,1,1,680,20.751953125,31.437817845584835,138,1,1,137,4.180908203125,6.333795654184004,76,1,1,75,2.288818359375,3.467406380027739,525,1,1,524,15.9912109375,24.225612575127137,232,1,1,231,7.049560546875,10.679611650485437,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,22.191400832177532,33,1,1,32,0.9765625,1.4794267221451687,16,56,8,306,174,5792,0,2651,1,0,12
