section_index,section_id,section_name,section_flags,section_flag_names,first_frame,frame_count,clean_frame_count,detailed_frame,crossing_count,logical_hash,presented_hash,state_hash,portal_0_lod,portal_1_lod,endpoint_room,clean_frame_ms_mean,clean_frame_ms_median,clean_average_fps,clean_median_fps,clean_1_percent_low_fps,detail_raw_total_ticks,detail_corrected_total_ticks,detail_corrected_total_ms,admin_raw_ticks,admin_entries,admin_switch_overhead_ticks,admin_corrected_ticks,admin_corrected_ms,admin_corrected_share_percent,setup_raw_ticks,setup_entries,setup_switch_overhead_ticks,setup_corrected_ticks,setup_corrected_ms,setup_corrected_share_percent,root_geometry_raw_ticks,root_geometry_entries,root_geometry_switch_overhead_ticks,root_geometry_corrected_ticks,root_geometry_corrected_ms,root_geometry_corrected_share_percent,root_fill_raw_ticks,root_fill_entries,root_fill_switch_overhead_ticks,root_fill_corrected_ticks,root_fill_corrected_ms,root_fill_corrected_share_percent,portal_setup_raw_ticks,portal_setup_entries,portal_setup_switch_overhead_ticks,portal_setup_corrected_ticks,portal_setup_corrected_ms,portal_setup_corrected_share_percent,portal_geometry_raw_ticks,portal_geometry_entries,portal_geometry_switch_overhead_ticks,portal_geometry_corrected_ticks,portal_geometry_corrected_ms,portal_geometry_corrected_share_percent,portal_fill_raw_ticks,portal_fill_entries,portal_fill_switch_overhead_ticks,portal_fill_corrected_ticks,portal_fill_corrected_ms,portal_fill_corrected_share_percent,wait_raw_ticks,wait_entries,wait_switch_overhead_ticks,wait_corrected_ticks,wait_corrected_ms,wait_corrected_share_percent,present_raw_ticks,present_entries,present_switch_overhead_ticks,present_corrected_ticks,present_corrected_ms,present_corrected_share_percent,overlay_raw_ticks,overlay_entries,overlay_switch_overhead_ticks,overlay_corrected_ticks,overlay_corrected_ms,overlay_corrected_share_percent,transformed_vertices,projected_points,rasterized_polygons,raster_rows,filled_spans,filled_pixels,portal_composite_pixels,portal_clip_pixels,full_portal_views,lod_portal_views,edge_division_fallbacks
0,1,OPEN_YAW,0x04,turn,0,128,127,1,0,0xF5386431,0xCAB6D6F7,0x9E5629C9,1,0,0,34.588911401943896,32.806396484375,28.91099949285481,30.48186046511628,20.07228177641654,1653,1642,50.10986328125,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.243605359317905,662,1,1,661,20.172119140625,40.2557856272838,235,1,1,234,7.14111328125,14.250913520097441,45,1,1,44,1.3427734375,2.679658952496955,150,1,1,149,4.547119140625,9.074299634591961,52,2,2,50,1.52587890625,3.045066991473812,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,29.232643118148598,21,1,1,20,0.6103515625,1.218026796589525,16,32,8,178,141,2783,317,317,0,1,11
1,2,PITCH_SWEEP,0x08,pitch,128,96,95,133,0,0xF5386431,0xCAB6D6F7,0x9E5629C9,1,0,0,41.6259765625,44.097900390625,24.023460410557185,22.67681660899654,20.3527950310559,1621,1610,49.13330078125,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.2484472049689441,632,1,1,631,19.256591796875,39.192546583850934,234,1,1,233,7.110595703125,14.472049689440993,45,1,1,44,1.3427734375,2.732919254658385,150,1,1,149,4.547119140625,9.254658385093167,52,2,2,50,1.52587890625,3.1055900621118013,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,29.81366459627329,20,1,1,19,0.579833984375,1.1801242236024845,16,32,7,173,145,2800,302,302,0,1,10
2,3,PORTAL_FAR,0x21,portal_view|lod,224,56,55,254,0,0xACD90C31,0x145BCBFA,0xA72A6D23,1,0,0,46.84226296164773,48.675537109375,21.34824273581218,20.54420062695925,19.692307692307693,1686,1675,51.116943359375,2,1,1,1,0.030517578125,0.05970149253731343,5,1,1,4,0.1220703125,0.23880597014925373,624,1,1,623,19.012451171875,37.19402985074627,243,1,1,242,7.38525390625,14.447761194029852,55,1,1,54,1.64794921875,3.2238805970149254,176,1,1,175,5.340576171875,10.447761194029852,79,2,2,77,2.349853515625,4.597014925373134,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,28.65671641791045,20,1,1,19,0.579833984375,1.1343283582089552,16,32,7,185,149,2472,648,648,0,1,6
3,4,PORTAL_NEAR,0x21,portal_view|lod,280,36,35,309,0,0x6BC9BA3D,0x33C5F7DE,0x6CC07690,0,0,0,51.89121791294643,51.727294921875,19.271083628786986,19.332153392330383,18.01429356789445,1843,1832,55.908203125,2,1,1,1,0.030517578125,0.05458515283842795,5,1,1,4,0.1220703125,0.2183406113537118,437,1,1,436,13.3056640625,23.799126637554586,118,1,1,117,3.570556640625,6.38646288209607,82,1,1,81,2.471923828125,4.421397379912664,626,1,1,625,19.073486328125,34.11572052401747,71,2,2,69,2.105712890625,3.7663755458515285,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,26.200873362445414,20,1,1,19,0.579833984375,1.037117903930131,16,32,6,240,194,6272,0,3072,1,0,10
4,5,CROSS_DOWN,0x83,portal_view|portal_cross|stress,316,4,3,316,1,0x4574F2BD,0xE4127EFE,0x2C3FE3A2,0,0,1,43.874104817708336,51.055908203125,22.79248782749826,19.586371787208606,18.660592255125284,1841,1830,55.84716796875,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.2185792349726776,437,1,1,436,13.3056640625,23.825136612021858,118,1,1,117,3.570556640625,6.39344262295082,83,1,1,82,2.50244140625,4.48087431693989,625,1,1,624,19.04296875,34.09836065573771,70,2,2,68,2.0751953125,3.7158469945355193,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,26.229508196721312,20,1,1,19,0.579833984375,1.0382513661202186,16,32,6,240,194,6272,0,3072,1,0,10
5,6,RETURN_UP,0x93,portal_view|portal_cross|freecam|stress,320,10,9,329,1,0xB2FCEA9A,0xB343C54F,0xA4A3A3D6,0,0,0,44.514973958333336,50.35400390625,22.46435100548446,19.85939393939394,12.569236670502493,1794,1783,54.412841796875,2,1,1,1,0.030517578125,0.056085249579360626,5,1,1,4,0.1220703125,0.2243409983174425,438,1,1,437,13.336181640625,24.509254066180596,118,1,1,117,3.570556640625,6.561974200785193,83,1,1,82,2.50244140625,4.598990465507572,564,1,1,563,17.181396484375,31.575995513180033,69,2,2,67,2.044677734375,3.757711721817162,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,26.920919798093102,33,1,1,32,0.9765625,1.79472798653954,16,32,5,240,152,6273,0,3072,1,0,6
6,7,LOD_RETREAT,0x31,portal_view|freecam|lod,330,48,47,338,0,0x7855312D,0x07CC9740,0xA8F2C94A,1,0,0,50.4033514793883,51.788330078125,19.839950532038234,19.30936947554508,17.808695652173913,1871,1860,56.7626953125,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.21505376344086022,441,1,1,440,13.427734375,23.655913978494624,118,1,1,117,3.570556640625,6.290322580645161,83,1,1,82,2.50244140625,4.408602150537634,638,1,1,637,19.439697265625,34.24731182795699,70,2,2,68,2.0751953125,3.6559139784946235,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,25.806451612903224,33,1,1,32,0.9765625,1.7204301075268817,16,32,6,242,196,6235,0,3053,1,0,3
7,8,LOD_APPROACH,0xB3,portal_view|portal_cross|freecam|lod|stress,378,60,59,416,1,0x9391C926,0x6443498C,0x8028BE00,0,0,1,49.90761967028602,51.3916015625,20.03702053126328,19.458432304038006,15.427495291902071,1871,1860,56.7626953125,2,1,1,1,0.030517578125,0.053763440860215055,5,1,1,4,0.1220703125,0.21505376344086022,440,1,1,439,13.397216796875,23.602150537634408,119,1,1,118,3.60107421875,6.344086021505376,83,1,1,82,2.50244140625,4.408602150537634,638,1,1,637,19.439697265625,34.24731182795699,69,2,2,67,2.044677734375,3.6021505376344085,1,1,1,0,0.0,0.0,482,1,1,481,14.678955078125,25.86021505376344,32,1,1,31,0.946044921875,1.6666666666666667,16,32,6,242,196,6235,0,3053,1,0,3
8,9,FREECAM_YAW,0x14,turn|freecam,438,128,127,459,0,0x9391C926,0x6443498C,0xD6FA1B1C,0,0,1,34.183051642470474,35.247802734375,29.254263500499107,28.37056277056277,26.372635814889335,1236,1229,37.506103515625,2,1,1,1,0.030517578125,0.08136696501220504,5,1,1,4,0.1220703125,0.32546786004882017,602,1,1,601,18.341064453125,48.901545972335235,112,1,1,111,3.387451171875,9.03173311635476,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,39.05614320585842,33,1,1,32,0.9765625,2.6037428803905613,8,20,5,184,60,3072,0,0,0,0,6
9,10,FREECAM_3D,0xD8,pitch|freecam|vertical|stress,566,288,287,757,1,0x13BBC90D,0x708E17EF,0xB2A40B9D,2,0,0,43.003733565167686,37.65869140625,23.253794893985287,26.554294975688816,15.307380878231081,2160,2149,65.582275390625,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.18613308515588645,671,1,1,670,20.44677734375,31.17729176361098,138,1,1,137,4.180908203125,6.3750581665891115,83,1,1,82,2.50244140625,3.8157282456956723,680,1,1,679,20.721435546875,31.596091205211728,67,2,2,65,1.983642578125,3.024662633783155,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,22.335970218706375,33,1,1,32,0.9765625,1.4890646812470916,16,56,8,306,174,5792,0,2651,1,0,12
