scope,name,current_clean_frames,baseline_clean_frames,current_frame_ms_mean,baseline_frame_ms_mean,frame_ms_delta,frame_time_percent_change,current_frame_ms_median,baseline_frame_ms_median,current_average_fps,baseline_average_fps,average_fps_percent_change,current_1_percent_low_fps,baseline_1_percent_low_fps,current_detailed_frame,baseline_detailed_frame,detail_trace_comparable,current_admin_corrected_ms,baseline_admin_corrected_ms,admin_percent_change,current_setup_corrected_ms,baseline_setup_corrected_ms,setup_percent_change,current_root_geometry_corrected_ms,baseline_root_geometry_corrected_ms,root_geometry_percent_change,current_root_fill_corrected_ms,baseline_root_fill_corrected_ms,root_fill_percent_change,current_portal_setup_corrected_ms,baseline_portal_setup_corrected_ms,portal_setup_percent_change,current_portal_geometry_corrected_ms,baseline_portal_geometry_corrected_ms,portal_geometry_percent_change,current_portal_fill_corrected_ms,baseline_portal_fill_corrected_ms,portal_fill_percent_change,current_wait_corrected_ms,baseline_wait_corrected_ms,wait_percent_change,current_present_corrected_ms,baseline_present_corrected_ms,present_percent_change,current_overlay_corrected_ms,baseline_overlay_corrected_ms,overlay_percent_change
overall,ALL_CLEAN,844,844,42.117584373148695,42.15019913081309,-0.03261475766439759,-0.07737746994546102,38.14697265625,38.177490234375,23.743052097677566,23.72468032467655,0.07743738903789321,14.9481473972325,14.93830412318914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
section,OPEN_YAW,127,127,34.83641616941437,34.87246055302658,-0.0360443836122073,-0.10336059756207439,32.989501953125,32.989501953125,28.705593455333062,28.675923182403892,0.10346754223200527,19.883495145631066,19.87143723468769,1,125,0,0.030517578125,0.030517578125,,0.091552734375,0.091552734375,,20.416259765625,20.44677734375,,7.14111328125,7.14111328125,,1.28173828125,1.28173828125,,4.547119140625,4.547119140625,,1.861572265625,1.861572265625,,0.0,0.0,,14.6484375,14.6484375,,0.6103515625,0.6103515625,
section,PITCH_SWEEP,95,95,42.02912983141447,42.05418636924342,-0.025056537828945125,-0.0595815541619138,44.647216796875,44.647216796875,23.793021744945925,23.778845492808202,0.05961707494170909,20.127764127764127,20.115408225905462,133,133,1,0.0,0.0,,0.1220703125,0.1220703125,0.0,19.47021484375,19.500732421875,-0.15649452269170805,7.14111328125,7.110595703125,0.42918454935623185,1.28173828125,1.28173828125,0.0,4.425048828125,4.45556640625,-0.6849315068493178,2.01416015625,2.01416015625,0.0,0.0,0.0,,14.6484375,14.6484375,0.0,0.6103515625,0.579833984375,5.263157894736836
section,PORTAL_FAR,55,55,47.40378639914773,47.43818803267045,-0.03440163352272663,-0.07251886075209102,49.13330078125,49.25537109375,21.095361277258203,21.0800631615884,0.0725714887689799,19.48156956004756,19.458432304038006,254,255,0,0.0,0.0,,0.1220703125,0.1220703125,,19.22607421875,19.256591796875,,7.415771484375,7.415771484375,,1.556396484375,1.556396484375,,5.096435546875,5.096435546875,,3.021240234375,2.99072265625,,0.0,0.0,,14.6484375,14.6484375,,0.579833984375,0.6103515625,
section,PORTAL_NEAR,35,35,52.305385044642854,52.335030691964285,-0.0296456473214306,-0.0566458965046146,51.94091796875,52.001953125,19.118490364739614,19.10766052447436,0.05667800226711872,17.94523548740416,17.94523548740416,308,308,1,0.0,0.0,,0.1220703125,0.1220703125,0.0,13.519287109375,13.5498046875,-0.22522522522522292,3.570556640625,3.570556640625,0.0,2.3193359375,2.288818359375,1.333333333333342,13.519287109375,13.519287109375,0.0,7.904052734375,7.9345703125,-0.38461538461538325,0.0,0.0,,14.6484375,14.6484375,0.0,0.579833984375,0.579833984375,0.0
section,CROSS_DOWN,3,3,44.108072916666664,44.087727864583336,0.020345052083328596,0.04614674665435192,51.300048828125,51.300048828125,22.671586715867157,22.682048915551455,-0.04612546125462025,18.575963718820862,18.58650028360749,316,316,1,0.0,0.0,,0.1220703125,0.1220703125,0.0,13.519287109375,13.5498046875,-0.22522522522522292,3.570556640625,3.570556640625,0.0,2.3193359375,2.288818359375,1.333333333333342,13.519287109375,13.519287109375,0.0,7.87353515625,7.904052734375,-0.38610038610038533,0.0,0.0,,14.6484375,14.6484375,0.0,0.579833984375,0.579833984375,0.0
section,RETURN_UP,9,9,44.70147026909722,44.73198784722222,-0.030517578125,-0.0682231655548815,50.506591796875,50.537109375,22.37062884017295,22.35536688902365,0.06826974133353758,12.53557765876052,12.53557765876052,329,329,1,0.0,0.0,,0.1220703125,0.1220703125,0.0,13.5498046875,13.580322265625,-0.22471910112359383,3.60107421875,3.570556640625,0.8547008547008517,2.288818359375,2.3193359375,-1.3157894736842146,12.481689453125,12.481689453125,0.0,7.049560546875,7.01904296875,0.43478260869564966,0.0,0.0,,14.6484375,14.6484375,0.0,0.9765625,0.9765625,0.0
section,LOD_RETREAT,47,47,50.831246883311174,50.85592066988032,-0.02467378656914576,-0.04851703841782795,52.032470703125,52.1240234375,19.67293862170275,19.663393894513746,0.04854058887397983,17.73160173160173,17.72201189832342,338,338,1,0.030517578125,0.0,,0.091552734375,0.1220703125,-25.0,13.641357421875,13.641357421875,0.0,3.60107421875,3.631591796875,-0.8403361344537785,2.288818359375,2.288818359375,0.0,13.824462890625,13.824462890625,0.0,7.965087890625,7.965087890625,0.0,0.0,0.0,,14.6484375,14.6484375,0.0,0.9765625,0.9765625,0.0
section,LOD_APPROACH,59,59,50.36641783633475,50.391762943591104,-0.025345107256356414,-0.05029613130369537,52.215576171875,52.24609375,19.85449914761641,19.84451310265543,0.05032144104175629,15.384037558685446,15.384037558685446,416,416,1,0.030517578125,0.030517578125,0.0,0.1220703125,0.1220703125,0.0,13.61083984375,13.641357421875,-0.22371364653244186,3.60107421875,3.60107421875,0.0,2.3193359375,2.288818359375,1.333333333333342,13.824462890625,13.824462890625,0.0,7.9345703125,7.965087890625,-0.3831417624521105,0.0,0.0,,14.6484375,14.6484375,0.0,0.9765625,0.9765625,0.0
section,FREECAM_YAW,127,127,34.389946404404526,34.41013125922736,-0.02018485482283694,-0.05865962751137044,35.430908203125,35.46142578125,29.078265730356705,29.061208527992513,0.058694057226715834,26.2144,26.193445243804955,459,459,1,0.0,0.030517578125,-100.0,0.1220703125,0.1220703125,0.0,18.5546875,18.585205078125,-0.16420361247947435,3.387451171875,3.387451171875,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,14.6484375,14.6484375,0.0,0.9765625,0.9765625,0.0
