section_index,section_id,section_name,section_flags,section_flag_names,first_frame,frame_count,clean_frame_count,detailed_frame,crossing_count,logical_hash,presented_hash,state_hash,portal_0_lod,portal_1_lod,endpoint_room,clean_frame_ms_mean,clean_frame_ms_median,clean_average_fps,clean_median_fps,clean_1_percent_low_fps,detail_raw_total_ticks,detail_corrected_total_ticks,detail_corrected_total_ms,admin_raw_ticks,admin_entries,admin_switch_overhead_ticks,admin_corrected_ticks,admin_corrected_ms,admin_corrected_share_percent,setup_raw_ticks,setup_entries,setup_switch_overhead_ticks,setup_corrected_ticks,setup_corrected_ms,setup_corrected_share_percent,root_geometry_raw_ticks,root_geometry_entries,root_geometry_switch_overhead_ticks,root_geometry_corrected_ticks,root_geometry_corrected_ms,root_geometry_corrected_share_percent,root_fill_raw_ticks,root_fill_entries,root_fill_switch_overhead_ticks,root_fill_corrected_ticks,root_fill_corrected_ms,root_fill_corrected_share_percent,portal_setup_raw_ticks,portal_setup_entries,portal_setup_switch_overhead_ticks,portal_setup_corrected_ticks,portal_setup_corrected_ms,portal_setup_corrected_share_percent,portal_geometry_raw_ticks,portal_geometry_entries,portal_geometry_switch_overhead_ticks,portal_geometry_corrected_ticks,portal_geometry_corrected_ms,portal_geometry_corrected_share_percent,portal_fill_raw_ticks,portal_fill_entries,portal_fill_switch_overhead_ticks,portal_fill_corrected_ticks,portal_fill_corrected_ms,portal_fill_corrected_share_percent,wait_raw_ticks,wait_entries,wait_switch_overhead_ticks,wait_corrected_ticks,wait_corrected_ms,wait_corrected_share_percent,present_raw_ticks,present_entries,present_switch_overhead_ticks,present_corrected_ticks,present_corrected_ms,present_corrected_share_percent,overlay_raw_ticks,overlay_entries,overlay_switch_overhead_ticks,overlay_corrected_ticks,overlay_corrected_ms,overlay_corrected_share_percent,transformed_vertices,projected_points,rasterized_polygons,raster_rows,filled_spans,filled_pixels,portal_composite_pixels,portal_clip_pixels,full_portal_views,lod_portal_views,edge_division_fallbacks
0,1,OPEN_YAW,0x04,turn,0,128,127,1,0,0xF5386431,0xCAB6D6F7,0x9E5629C9,1,0,0,34.83641616941437,32.989501953125,28.705593455333062,30.31267345050879,19.883495145631066,1669,1659,50.628662109375,2,1,1,1,0.030517578125,0.06027727546714889,4,1,1,3,0.091552734375,0.18083182640144665,670,1,1,669,20.416259765625,40.3254972875226,235,1,1,234,7.14111328125,14.104882459312838,43,1,1,42,1.28173828125,2.5316455696202533,150,1,1,149,4.547119140625,8.981314044605185,62,1,1,61,1.861572265625,3.676913803496082,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,28.933092224231466,21,1,1,20,0.6103515625,1.2055455093429777,16,32,8,178,141,2783,317,317,0,1,11
1,2,PITCH_SWEEP,0x08,pitch,128,96,95,133,0,0xF5386431,0xCAB6D6F7,0x9E5629C9,1,0,0,42.02912983141447,44.647216796875,23.793021744945925,22.39781271360219,20.127764127764127,1639,1629,49.713134765625,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.24554941682013506,639,1,1,638,19.47021484375,39.16513198281154,235,1,1,234,7.14111328125,14.3646408839779,43,1,1,42,1.28173828125,2.578268876611418,146,1,1,145,4.425048828125,8.901166359729896,67,1,1,66,2.01416015625,4.051565377532229,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,29.465930018416206,21,1,1,20,0.6103515625,1.2277470841006752,16,32,7,173,145,2800,302,302,0,1,10
2,3,PORTAL_FAR,0x21,portal_view|lod,224,56,55,254,0,0xACD90C31,0x145BCBFA,0xA72A6D23,1,0,0,47.40378639914773,49.13330078125,21.095361277258203,20.3527950310559,19.48156956004756,1703,1693,51.666259765625,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.23626698168930893,631,1,1,630,19.22607421875,37.21204961606615,244,1,1,243,7.415771484375,14.353219137625517,52,1,1,51,1.556396484375,3.0124040165386887,168,1,1,167,5.096435546875,9.864146485528648,100,1,1,99,3.021240234375,5.847607796810395,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,28.35203780271707,20,1,1,19,0.579833984375,1.1222681630242173,16,32,7,185,149,2472,648,648,0,1,6
3,4,PORTAL_NEAR,0x21,portal_view|lod,280,36,35,308,0,0x6BC9BA3D,0x33C5F7DE,0x6CC07690,0,0,0,52.305385044642854,51.94091796875,19.118490364739614,19.25264394829612,17.94523548740416,1851,1841,56.182861328125,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.21727322107550245,444,1,1,443,13.519287109375,24.063009234111895,118,1,1,117,3.570556640625,6.355241716458447,77,1,1,76,2.3193359375,4.1281912004345465,444,1,1,443,13.519287109375,24.063009234111895,260,1,1,259,7.904052734375,14.068441064638783,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,26.072786529060295,20,1,1,19,0.579833984375,1.0320478001086366,16,32,6,240,194,6272,0,3072,1,0,10
4,5,CROSS_DOWN,0x83,portal_view|portal_cross|stress,316,4,3,316,1,0x4574F2BD,0xE4127EFE,0x2C3FE3A2,0,0,1,44.108072916666664,51.300048828125,22.671586715867157,19.493158834027366,18.575963718820862,1850,1840,56.15234375,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.21739130434782608,444,1,1,443,13.519287109375,24.07608695652174,118,1,1,117,3.570556640625,6.358695652173913,77,1,1,76,2.3193359375,4.130434782608695,444,1,1,443,13.519287109375,24.07608695652174,259,1,1,258,7.87353515625,14.021739130434783,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,26.08695652173913,20,1,1,19,0.579833984375,1.0326086956521738,16,32,6,240,194,6272,0,3072,1,0,10
5,6,RETURN_UP,0x93,portal_view|portal_cross|freecam|stress,320,10,9,329,1,0xB2FCEA9A,0xB343C54F,0xA4A3A3D6,0,0,0,44.70147026909722,50.506591796875,22.37062884017295,19.79939577039275,12.53557765876052,1803,1793,54.718017578125,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.22308979364194087,445,1,1,444,13.5498046875,24.762967094255437,119,1,1,118,3.60107421875,6.581148912437256,76,1,1,75,2.288818359375,4.182933630786391,410,1,1,409,12.481689453125,22.810931399888457,232,1,1,231,7.049560546875,12.883435582822086,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,26.770775237032908,33,1,1,32,0.9765625,1.784718349135527,16,32,5,240,152,6273,0,3072,1,0,6
6,7,LOD_RETREAT,0x31,portal_view|freecam|lod,330,48,47,338,0,0x7855312D,0x07CC9740,0xA8F2C94A,1,0,0,50.831246883311174,52.032470703125,19.67293862170275,19.218768328445748,17.73160173160173,1880,1870,57.06787109375,2,1,1,1,0.030517578125,0.053475935828877004,4,1,1,3,0.091552734375,0.16042780748663102,448,1,1,447,13.641357421875,23.90374331550802,119,1,1,118,3.60107421875,6.310160427807487,76,1,1,75,2.288818359375,4.010695187165775,454,1,1,453,13.824462890625,24.22459893048128,262,1,1,261,7.965087890625,13.957219251336898,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,25.668449197860962,33,1,1,32,0.9765625,1.7112299465240641,16,32,6,242,196,6235,0,3053,1,0,3
7,8,LOD_APPROACH,0xB3,portal_view|portal_cross|freecam|lod|stress,378,60,59,416,1,0x9391C926,0x6443498C,0x8028BE00,0,0,1,50.36641783633475,52.215576171875,19.85449914761641,19.151373465809467,15.384037558685446,1880,1870,57.06787109375,2,1,1,1,0.030517578125,0.053475935828877004,5,1,1,4,0.1220703125,0.21390374331550802,447,1,1,446,13.61083984375,23.850267379679146,119,1,1,118,3.60107421875,6.310160427807487,77,1,1,76,2.3193359375,4.064171122994653,454,1,1,453,13.824462890625,24.22459893048128,261,1,1,260,7.9345703125,13.903743315508022,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,25.668449197860962,33,1,1,32,0.9765625,1.7112299465240641,16,32,6,242,196,6235,0,3053,1,0,3
8,9,FREECAM_YAW,0x14,turn|freecam,438,128,127,459,0,0x9391C926,0x6443498C,0xD6FA1B1C,0,0,1,34.389946404404526,35.430908203125,29.078265730356705,28.223944875107666,26.2144,1242,1235,37.689208984375,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.32388663967611336,609,1,1,608,18.5546875,49.23076923076923,112,1,1,111,3.387451171875,8.987854251012147,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,38.8663967611336,33,1,1,32,0.9765625,2.591093117408907,8,20,5,184,60,3072,0,0,0,0,6
9,10,FREECAM_3D,0xD8,pitch|freecam|vertical|stress,566,288,287,612,1,0x13BBC90D,0x708E17EF,0xB2A40B9D,2,0,0,43.30837768129356,37.811279296875,23.090220727245942,26.447134786117836,15.250387837418554,2170,2160,65.91796875,2,1,1,1,0.030517578125,0.046296296296296294,4,1,1,3,0.091552734375,0.1388888888888889,679,1,1,678,20.69091796875,31.38888888888889,138,1,1,137,4.180908203125,6.342592592592593,76,1,1,75,2.288818359375,3.4722222222222223,523,1,1,522,15.93017578125,24.166666666666668,233,1,1,232,7.080078125,10.74074074074074,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,22.22222222222222,33,1,1,32,0.9765625,1.4814814814814814,16,56,8,306,174,5792,0,2651,1,0,12
