section_index,section_id,section_name,section_flags,section_flag_names,first_frame,frame_count,clean_frame_count,detailed_frame,crossing_count,logical_hash,presented_hash,state_hash,portal_0_lod,portal_1_lod,endpoint_room,clean_frame_ms_mean,clean_frame_ms_median,clean_average_fps,clean_median_fps,clean_1_percent_low_fps,detail_raw_total_ticks,detail_corrected_total_ticks,detail_corrected_total_ms,admin_raw_ticks,admin_entries,admin_switch_overhead_ticks,admin_corrected_ticks,admin_corrected_ms,admin_corrected_share_percent,setup_raw_ticks,setup_entries,setup_switch_overhead_ticks,setup_corrected_ticks,setup_corrected_ms,setup_corrected_share_percent,root_geometry_raw_ticks,root_geometry_entries,root_geometry_switch_overhead_ticks,root_geometry_corrected_ticks,root_geometry_corrected_ms,root_geometry_corrected_share_percent,root_fill_raw_ticks,root_fill_entries,root_fill_switch_overhead_ticks,root_fill_corrected_ticks,root_fill_corrected_ms,root_fill_corrected_share_percent,portal_setup_raw_ticks,portal_setup_entries,portal_setup_switch_overhead_ticks,portal_setup_corrected_ticks,portal_setup_corrected_ms,portal_setup_corrected_share_percent,portal_geometry_raw_ticks,portal_geometry_entries,portal_geometry_switch_overhead_ticks,portal_geometry_corrected_ticks,portal_geometry_corrected_ms,portal_geometry_corrected_share_percent,portal_fill_raw_ticks,portal_fill_entries,portal_fill_switch_overhead_ticks,portal_fill_corrected_ticks,portal_fill_corrected_ms,portal_fill_corrected_share_percent,wait_raw_ticks,wait_entries,wait_switch_overhead_ticks,wait_corrected_ticks,wait_corrected_ms,wait_corrected_share_percent,present_raw_ticks,present_entries,present_switch_overhead_ticks,present_corrected_ticks,present_corrected_ms,present_corrected_share_percent,overlay_raw_ticks,overlay_entries,overlay_switch_overhead_ticks,overlay_corrected_ticks,overlay_corrected_ms,overlay_corrected_share_percent,transformed_vertices,projected_points,rasterized_polygons,raster_rows,filled_spans,filled_pixels,portal_composite_pixels,portal_clip_pixels,full_portal_views,lod_portal_views,edge_division_fallbacks
0,1,OPEN_YAW,0x04,turn,0,128,127,1,0,0xF5386431,0xCAB6D6F7,0x9E5629C9,1,0,0,34.515861451156496,32.71484375,28.972187219348505,30.567164179104477,19.889529590288316,1668,1658,50.59814453125,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.24125452352231605,657,1,1,656,20.01953125,39.56574185765983,235,1,1,234,7.14111328125,14.113389626055488,43,1,1,42,1.28173828125,2.5331724969843186,162,1,1,161,4.913330078125,9.710494571773221,62,1,1,61,1.861572265625,3.6791314837153197,1,1,1,0,0.0,0.0,482,1,1,481,14.678955078125,29.010856453558503,20,1,1,19,0.579833984375,1.1459589867310012,16,24,8,178,141,2783,317,317,0,1,11
1,2,PITCH_SWEEP,0x08,pitch,128,96,95,133,0,0xF5386431,0xCAB6D6F7,0x9E5629C9,1,0,0,41.82642886513158,44.586181640625,23.908328469171455,22.428473648186174,20.14013521819299,1638,1628,49.6826171875,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.2457002457002457,626,1,1,625,19.073486328125,38.39066339066339,235,1,1,234,7.14111328125,14.373464373464374,43,1,1,42,1.28173828125,2.57985257985258,159,1,1,158,4.82177734375,9.705159705159705,67,1,1,66,2.01416015625,4.054054054054054,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,29.484029484029485,20,1,1,19,0.579833984375,1.1670761670761671,16,24,7,173,145,2800,302,302,0,1,10
2,3,PORTAL_FAR,0x21,portal_view|lod,224,56,55,255,0,0xACD90C31,0x145BCBFA,0xA72A6D23,1,0,0,47.40378639914773,49.1943359375,21.095361277258203,20.327543424317618,19.469994058229354,1703,1693,51.666259765625,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.23626698168930893,618,1,1,617,18.829345703125,36.444181925575904,244,1,1,243,7.415771484375,14.353219137625517,52,1,1,51,1.556396484375,3.0124040165386887,180,1,1,179,5.462646484375,10.572947430596574,100,1,1,99,3.021240234375,5.847607796810395,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,28.35203780271707,21,1,1,20,0.6103515625,1.1813349084465445,16,24,7,185,149,2472,648,648,0,1,6
3,4,PORTAL_NEAR,0x21,portal_view|lod,280,36,35,309,0,0x6BC9BA3D,0x33C5F7DE,0x6CC07690,0,0,0,52.309744698660715,51.971435546875,19.11689697131332,19.241338813857897,17.935413245758074,1851,1841,56.182861328125,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.21727322107550245,431,1,1,430,13.12255859375,23.356871265616512,119,1,1,118,3.60107421875,6.409560021727322,76,1,1,75,2.288818359375,4.073872895165671,457,1,1,456,13.916015625,24.76914720260728,260,1,1,259,7.904052734375,14.068441064638783,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,26.072786529060295,20,1,1,19,0.579833984375,1.0320478001086366,16,24,6,240,194,6272,0,3072,1,0,10
4,5,CROSS_DOWN,0x83,portal_view|portal_cross|stress,316,4,3,316,1,0x4574F2BD,0xE4127EFE,0x2C3FE3A2,0,0,1,43.792724609375,51.300048828125,22.834843205574913,19.493158834027366,18.735277301315037,1850,1840,56.15234375,2,1,1,1,0.030517578125,0.05434782608695652,4,1,1,3,0.091552734375,0.16304347826086957,431,1,1,430,13.12255859375,23.369565217391305,119,1,1,118,3.60107421875,6.413043478260869,76,1,1,75,2.288818359375,4.076086956521739,457,1,1,456,13.916015625,24.782608695652176,259,1,1,258,7.87353515625,14.021739130434783,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,26.08695652173913,20,1,1,19,0.579833984375,1.0326086956521738,16,24,6,240,194,6272,0,3072,1,0,10
5,6,RETURN_UP,0x93,portal_view|portal_cross|freecam|stress,320,10,9,329,1,0xB2FCEA9A,0xB343C54F,0xA4A3A3D6,0,0,0,44.38612196180556,50.567626953125,22.529564553093966,19.775497887748944,12.641975308641975,1802,1792,54.6875,2,1,1,1,0.030517578125,0.05580357142857143,4,1,1,3,0.091552734375,0.16741071428571427,433,1,1,432,13.18359375,24.107142857142858,118,1,1,117,3.570556640625,6.529017857142857,76,1,1,75,2.288818359375,4.185267857142857,423,1,1,422,12.87841796875,23.549107142857142,231,1,1,230,7.01904296875,12.834821428571429,1,1,1,0,0.0,0.0,482,1,1,481,14.678955078125,26.841517857142858,32,1,1,31,0.946044921875,1.7299107142857142,16,24,5,240,152,6273,0,3072,1,0,6
6,7,LOD_RETREAT,0x31,portal_view|freecam|lod,330,48,47,338,0,0x7855312D,0x07CC9740,0xA8F2C94A,1,0,0,50.83189619348404,52.093505859375,19.672687325958666,19.196250732278852,17.73160173160173,1879,1869,57.037353515625,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.21401819154628143,435,1,1,434,13.24462890625,23.220973782771537,119,1,1,118,3.60107421875,6.313536650615302,76,1,1,75,2.288818359375,4.012841091492777,467,1,1,466,14.22119140625,24.933119315141788,261,1,1,260,7.9345703125,13.911182450508294,1,1,1,0,0.0,0.0,482,1,1,481,14.678955078125,25.73568753344034,32,1,1,31,0.946044921875,1.6586409844836811,16,24,6,242,196,6235,0,3053,1,0,3
7,8,LOD_APPROACH,0xB3,portal_view|portal_cross|freecam|lod|stress,378,60,59,416,1,0x9391C926,0x6443498C,0x8028BE00,0,0,1,50.29245150291314,52.06298828125,19.883699643117936,19.207502930832355,15.478507321681626,1879,1869,57.037353515625,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.21401819154628143,435,1,1,434,13.24462890625,23.220973782771537,119,1,1,118,3.60107421875,6.313536650615302,76,1,1,75,2.288818359375,4.012841091492777,467,1,1,466,14.22119140625,24.933119315141788,261,1,1,260,7.9345703125,13.911182450508294,1,1,1,0,0.0,0.0,482,1,1,481,14.678955078125,25.73568753344034,32,1,1,31,0.946044921875,1.6586409844836811,16,24,6,242,196,6235,0,3053,1,0,3
8,9,FREECAM_YAW,0x14,turn|freecam,438,128,127,459,0,0x9391C926,0x6443498C,0xD6FA1B1C,0,0,1,33.96966889148622,35.003662109375,29.438026116605123,28.568439407149086,26.511326860841425,1229,1222,37.29248046875,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.32733224222585927,595,1,1,594,18.12744140625,48.6088379705401,113,1,1,112,3.41796875,9.165302782324058,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,39.27986906710311,33,1,1,32,0.9765625,2.618657937806874,8,12,5,184,60,3072,0,0,0,0,6
9,10,FREECAM_3D,0xD8,pitch|freecam|vertical|stress,566,288,287,612,1,0x13BBC90D,0x708E17EF,0xB2A40B9D,2,0,0,42.535123924760455,37.322998046875,23.509982050807714,26.793131643499592,15.581550166428912,2122,2112,64.453125,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.1893939393939394,645,1,1,644,19.6533203125,30.492424242424242,138,1,1,137,4.180908203125,6.486742424242424,76,1,1,75,2.288818359375,3.5511363636363638,510,1,1,509,15.533447265625,24.10037878787879,232,1,1,231,7.049560546875,10.9375,1,1,1,0,0.0,0.0,482,1,1,481,14.678955078125,22.77462121212121,32,1,1,31,0.946044921875,1.4678030303030303,16,33,8,306,174,5792,0,2651,1,0,12
