section_index,section_id,section_name,section_flags,section_flag_names,first_frame,frame_count,clean_frame_count,detailed_frame,crossing_count,logical_hash,presented_hash,state_hash,portal_0_lod,portal_1_lod,endpoint_room,clean_frame_ms_mean,clean_frame_ms_median,clean_average_fps,clean_median_fps,clean_1_percent_low_fps,detail_raw_total_ticks,detail_corrected_total_ticks,detail_corrected_total_ms,admin_raw_ticks,admin_entries,admin_switch_overhead_ticks,admin_corrected_ticks,admin_corrected_ms,admin_corrected_share_percent,setup_raw_ticks,setup_entries,setup_switch_overhead_ticks,setup_corrected_ticks,setup_corrected_ms,setup_corrected_share_percent,root_geometry_raw_ticks,root_geometry_entries,root_geometry_switch_overhead_ticks,root_geometry_corrected_ticks,root_geometry_corrected_ms,root_geometry_corrected_share_percent,root_fill_raw_ticks,root_fill_entries,root_fill_switch_overhead_ticks,root_fill_corrected_ticks,root_fill_corrected_ms,root_fill_corrected_share_percent,portal_setup_raw_ticks,portal_setup_entries,portal_setup_switch_overhead_ticks,portal_setup_corrected_ticks,portal_setup_corrected_ms,portal_setup_corrected_share_percent,portal_geometry_raw_ticks,portal_geometry_entries,portal_geometry_switch_overhead_ticks,portal_geometry_corrected_ticks,portal_geometry_corrected_ms,portal_geometry_corrected_share_percent,portal_fill_raw_ticks,portal_fill_entries,portal_fill_switch_overhead_ticks,portal_fill_corrected_ticks,portal_fill_corrected_ms,portal_fill_corrected_share_percent,wait_raw_ticks,wait_entries,wait_switch_overhead_ticks,wait_corrected_ticks,wait_corrected_ms,wait_corrected_share_percent,present_raw_ticks,present_entries,present_switch_overhead_ticks,present_corrected_ticks,present_corrected_ms,present_corrected_share_percent,overlay_raw_ticks,overlay_entries,overlay_switch_overhead_ticks,overlay_corrected_ticks,overlay_corrected_ms,overlay_corrected_share_percent,transformed_vertices,projected_points,rasterized_polygons,raster_rows,filled_spans,filled_pixels,portal_composite_pixels,portal_clip_pixels,full_portal_views,lod_portal_views,edge_division_fallbacks
0,1,OPEN_YAW,0x04,turn,0,128,127,1,0,0xF5386431,0xCAB6D6F7,0x9E5629C9,1,0,0,34.92580624077264,33.0810546875,28.632123568062198,30.228782287822877,20.10923596195152,1646,1635,49.896240234375,2,1,1,1,0.030517578125,0.06116207951070336,5,1,1,4,0.1220703125,0.24464831804281345,859,1,1,858,26.18408203125,52.477064220183486,16,1,1,15,0.457763671875,0.9174311926605505,48,1,1,47,1.434326171875,2.874617737003058,147,1,1,146,4.45556640625,8.929663608562691,66,2,2,64,1.953125,3.914373088685015,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,29.357798165137616,21,1,1,20,0.6103515625,1.2232415902140672,16,32,8,178,141,2783,317,317,0,1,11
1,2,PITCH_SWEEP,0x08,pitch,128,96,95,133,0,0xF5386431,0xCAB6D6F7,0x9E5629C9,1,0,0,42.15280633223684,43.9453125,23.723212924859016,22.755555555555556,20.36544437538844,1614,1603,48.919677734375,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.2495321272613849,828,1,1,827,25.238037109375,51.59076731129133,16,1,1,15,0.457763671875,0.9357454772301934,48,1,1,47,1.434326171875,2.9320024953212727,146,1,1,145,4.425048828125,9.045539613225202,67,2,2,65,1.983642578125,4.054897067997505,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,29.94385527136619,21,1,1,20,0.6103515625,1.2476606363069245,16,32,7,173,145,2800,302,302,0,1,10
2,3,PORTAL_FAR,0x21,portal_view|lod,224,56,55,255,0,0xACD90C31,0x145BCBFA,0xA72A6D23,1,0,0,47.283935546875,48.64501953125,21.148831805860333,20.557089084065243,19.528009535160905,1695,1684,51.3916015625,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.2375296912114014,834,1,1,833,25.421142578125,49.465558194774346,16,1,1,15,0.457763671875,0.8907363420427553,59,1,1,58,1.77001953125,3.4441805225653206,172,1,1,171,5.218505859375,10.15439429928741,106,2,2,104,3.173828125,6.175771971496437,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,28.50356294536817,20,1,1,19,0.579833984375,1.1282660332541568,16,32,7,185,149,2472,648,648,0,1,6
3,4,PORTAL_NEAR,0x21,portal_view|lod,280,36,35,308,0,0x6BC9BA3D,0x33C5F7DE,0x6CC07690,0,0,0,51.865059988839285,51.57470703125,19.280802918480912,19.389349112426036,18.1842397336293,1815,1804,55.0537109375,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.22172949002217296,551,1,1,550,16.78466796875,30.48780487804878,16,1,1,15,0.457763671875,0.8314855875831486,88,1,1,87,2.655029296875,4.822616407982261,578,1,1,577,17.608642578125,31.984478935698448,73,2,2,71,2.166748046875,3.9356984478935697,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,26.607538802660756,21,1,1,20,0.6103515625,1.1086474501108647,16,32,6,240,194,6272,0,3072,1,0,10
4,5,CROSS_DOWN,0x83,portal_view|portal_cross|stress,316,4,3,316,1,0x4574F2BD,0xE4127EFE,0x2C3FE3A2,0,0,1,44.484456380208336,52.06298828125,22.479762176995198,19.207502930832355,18.523459581684566,1814,1803,55.023193359375,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.2218524681087077,551,1,1,550,16.78466796875,30.50471436494731,16,1,1,15,0.457763671875,0.831946755407654,88,1,1,87,2.655029296875,4.825291181364393,576,1,1,575,17.547607421875,31.891292290626733,74,2,2,72,2.197265625,3.9933444259567388,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,26.622296173044926,21,1,1,20,0.6103515625,1.1092623405435384,16,32,6,240,194,6272,0,3072,1,0,10
5,6,RETURN_UP,0x93,portal_view|portal_cross|freecam|stress,320,10,9,329,1,0xB2FCEA9A,0xB343C54F,0xA4A3A3D6,0,0,0,44.75572374131944,50.23193359375,22.34351087203576,19.907654921020654,12.583717357910906,1768,1757,53.619384765625,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.22766078542970974,552,1,1,551,16.815185546875,31.360273192942515,16,1,1,15,0.457763671875,0.8537279453614115,88,1,1,87,2.655029296875,4.951622083096186,517,1,1,516,15.7470703125,29.368241320432556,74,2,2,72,2.197265625,4.097894137734775,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,27.319294251565168,33,1,1,32,0.9765625,1.821286283437678,16,32,5,240,152,6273,0,3072,1,0,6
6,7,LOD_RETREAT,0x31,portal_view|freecam|lod,330,48,47,338,0,0x7855312D,0x07CC9740,0xA8F2C94A,1,0,0,50.39426113696808,50.6591796875,19.84352935113127,19.73975903614458,17.964912280701753,1842,1831,55.877685546875,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.2184598580010923,555,1,1,554,16.90673828125,30.256690333151283,16,1,1,15,0.457763671875,0.8192244675040962,89,1,1,88,2.685546875,4.8061168760240305,589,1,1,588,17.9443359375,32.113599126160565,72,2,2,70,2.13623046875,3.823047515019115,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,26.215182960131077,33,1,1,32,0.9765625,1.7476788640087384,16,32,6,242,196,6235,0,3053,1,0,3
7,8,LOD_APPROACH,0xB3,portal_view|portal_cross|freecam|lod|stress,378,60,59,416,1,0x9391C926,0x6443498C,0x8028BE00,0,0,1,50.237623311705505,51.81884765625,19.905400257400256,19.297997644287396,15.262226362366093,1843,1832,55.908203125,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.2183406113537118,556,1,1,555,16.937255859375,30.29475982532751,16,1,1,15,0.457763671875,0.8187772925764192,88,1,1,87,2.655029296875,4.748908296943231,589,1,1,588,17.9443359375,32.096069868995635,73,2,2,71,2.166748046875,3.8755458515283845,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,26.200873362445414,33,1,1,32,0.9765625,1.7467248908296944,16,32,6,242,196,6235,0,3053,1,0,3
8,9,FREECAM_YAW,0x14,turn|freecam,438,128,127,460,0,0x9391C926,0x6443498C,0xD6FA1B1C,0,0,1,34.800131489911415,35.94970703125,28.735523608291558,27.816638370118845,25.872878010264508,1256,1249,38.116455078125,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.32025620496397117,719,1,1,718,21.91162109375,57.485988791032824,16,1,1,15,0.457763671875,1.200960768614892,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,38.43074459567654,33,1,1,32,0.9765625,2.5620496397117694,8,20,5,184,61,3072,0,0,0,0,6
9,10,FREECAM_3D,0xD8,pitch|freecam|vertical|stress,566,288,287,612,1,0x13BBC90D,0x708E17EF,0xB2A40B9D,2,0,0,44.85275853386324,42.022705078125,22.295172753867817,23.79665940450254,14.887778282598818,2165,2154,65.73486328125,2,1,1,1,0.030517578125,0.04642525533890436,4,1,1,3,0.091552734375,0.1392757660167131,840,1,1,839,25.604248046875,38.950789229340764,16,1,1,15,0.457763671875,0.6963788300835655,88,1,1,87,2.655029296875,4.03899721448468,629,1,1,628,19.1650390625,29.155060352831942,71,2,2,69,2.105712890625,3.203342618384401,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,22.284122562674096,33,1,1,32,0.9765625,1.4856081708449396,16,56,8,306,174,5792,0,2651,1,0,12
