section_index,section_id,section_name,section_flags,section_flag_names,first_frame,frame_count,clean_frame_count,detailed_frame,crossing_count,logical_hash,presented_hash,state_hash,portal_0_lod,portal_1_lod,endpoint_room,clean_frame_ms_mean,clean_frame_ms_median,clean_average_fps,clean_median_fps,clean_1_percent_low_fps,detail_raw_total_ticks,detail_corrected_total_ticks,detail_corrected_total_ms,admin_raw_ticks,admin_entries,admin_switch_overhead_ticks,admin_corrected_ticks,admin_corrected_ms,admin_corrected_share_percent,setup_raw_ticks,setup_entries,setup_switch_overhead_ticks,setup_corrected_ticks,setup_corrected_ms,setup_corrected_share_percent,root_geometry_raw_ticks,root_geometry_entries,root_geometry_switch_overhead_ticks,root_geometry_corrected_ticks,root_geometry_corrected_ms,root_geometry_corrected_share_percent,root_fill_raw_ticks,root_fill_entries,root_fill_switch_overhead_ticks,root_fill_corrected_ticks,root_fill_corrected_ms,root_fill_corrected_share_percent,portal_setup_raw_ticks,portal_setup_entries,portal_setup_switch_overhead_ticks,portal_setup_corrected_ticks,portal_setup_corrected_ms,portal_setup_corrected_share_percent,portal_geometry_raw_ticks,portal_geometry_entries,portal_geometry_switch_overhead_ticks,portal_geometry_corrected_ticks,portal_geometry_corrected_ms,portal_geometry_corrected_share_percent,portal_fill_raw_ticks,portal_fill_entries,portal_fill_switch_overhead_ticks,portal_fill_corrected_ticks,portal_fill_corrected_ms,portal_fill_corrected_share_percent,wait_raw_ticks,wait_entries,wait_switch_overhead_ticks,wait_corrected_ticks,wait_corrected_ms,wait_corrected_share_percent,present_raw_ticks,present_entries,present_switch_overhead_ticks,present_corrected_ticks,present_corrected_ms,present_corrected_share_percent,overlay_raw_ticks,overlay_entries,overlay_switch_overhead_ticks,overlay_corrected_ticks,overlay_corrected_ms,overlay_corrected_share_percent,transformed_vertices,projected_points,rasterized_polygons,raster_rows,filled_spans,filled_pixels,portal_composite_pixels,portal_clip_pixels,full_portal_views,lod_portal_views,edge_division_fallbacks
0,1,OPEN_YAW,0x04,turn,0,128,127,1,0,0xF5386431,0xCAB6D6F7,0x9E5629C9,1,0,0,33.92497385580709,32.257080078125,29.476809746423005,31.000946073793756,20.359117738428083,1629,1618,49.37744140625,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.24721878862793573,639,1,1,638,19.47021484375,39.431396786155744,237,1,1,236,7.2021484375,14.585908529048208,46,1,1,45,1.373291015625,2.781211372064277,147,1,1,146,4.45556640625,9.023485784919654,52,2,2,50,1.52587890625,3.0902348578491967,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,29.66625463535229,20,1,1,19,0.579833984375,1.1742892459826946,16,24,8,178,141,2783,317,317,0,1,11
1,2,PITCH_SWEEP,0x08,pitch,128,96,95,133,0,0xF5386431,0xCAB6D6F7,0x9E5629C9,1,0,0,40.8704255756579,43.304443359375,24.467570031754015,23.092318534179,20.647763074984248,1598,1587,48.431396484375,2,1,1,1,0.030517578125,0.0630119722747322,5,1,1,4,0.1220703125,0.2520478890989288,609,1,1,608,18.5546875,38.311279143037176,235,1,1,234,7.14111328125,14.744801512287335,46,1,1,45,1.373291015625,2.835538752362949,147,1,1,146,4.45556640625,9.1997479521109,51,2,2,49,1.495361328125,3.087586641461878,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,30.245746691871457,21,1,1,20,0.6103515625,1.260239445494644,16,24,7,173,145,2800,302,302,0,1,10
2,3,PORTAL_FAR,0x21,portal_view|lod,224,56,55,254,0,0xACD90C31,0x145BCBFA,0xA72A6D23,1,0,0,46.12315784801137,47.9736328125,21.68108270676692,20.844783715012724,19.98048780487805,1661,1650,50.35400390625,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.24242424242424243,602,1,1,601,18.341064453125,36.42424242424242,244,1,1,243,7.415771484375,14.727272727272727,56,1,1,55,1.678466796875,3.3333333333333335,173,1,1,172,5.2490234375,10.424242424242424,78,2,2,76,2.3193359375,4.606060606060606,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,29.09090909090909,20,1,1,19,0.579833984375,1.1515151515151516,16,24,7,185,149,2472,648,648,0,1,6
3,4,PORTAL_NEAR,0x21,portal_view|lod,280,36,35,312,0,0x6BC9BA3D,0x33C5F7DE,0x6CC07690,0,0,0,50.30430385044643,49.896240234375,19.87901478515591,20.041590214067277,18.71387778412336,1765,1754,53.52783203125,2,1,1,1,0.030517578125,0.05701254275940707,5,1,1,4,0.1220703125,0.22805017103762829,414,1,1,413,12.603759765625,23.54618015963512,118,1,1,117,3.570556640625,6.670467502850627,83,1,1,82,2.50244140625,4.67502850627138,570,1,1,569,17.364501953125,32.440136830102624,70,2,2,68,2.0751953125,3.8768529076396807,1,1,1,0,0.0,0.0,482,1,1,481,14.678955078125,27.4230330672748,20,1,1,19,0.579833984375,1.0832383124287344,16,24,6,240,194,6364,0,3072,1,0,10
4,5,CROSS_DOWN,0x83,portal_view|portal_cross|stress,316,4,3,316,1,0x4574F2BD,0xE4127EFE,0x2C3FE3A2,0,0,1,43.467203776041664,51.239013671875,23.005850690381465,19.51637879690292,18.908251586843623,1764,1753,53.497314453125,2,1,1,1,0.030517578125,0.05704506560182544,5,1,1,4,0.1220703125,0.22818026240730177,414,1,1,413,12.603759765625,23.55961209355391,119,1,1,118,3.60107421875,6.731317741015403,83,1,1,82,2.50244140625,4.677695379349686,569,1,1,568,17.333984375,32.40159726183685,69,2,2,67,2.044677734375,3.8220193953223047,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,27.381631488876213,21,1,1,20,0.6103515625,1.1409013120365088,16,24,6,240,194,6272,0,3072,1,0,10
5,6,RETURN_UP,0x93,portal_view|portal_cross|freecam|stress,320,10,9,329,1,0xB2FCEA9A,0xB343C54F,0xA4A3A3D6,0,0,0,43.35869683159722,48.736572265625,23.0634237897865,20.5184721352536,12.905868452146514,1728,1717,52.398681640625,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.23296447291788003,416,1,1,415,12.664794921875,24.17006406523005,118,1,1,117,3.570556640625,6.814210832847991,83,1,1,82,2.50244140625,4.77577169481654,520,1,1,519,15.838623046875,30.227140361094932,70,2,2,68,2.0751953125,3.9603960396039604,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,27.955736750145604,33,1,1,32,0.9765625,1.8637157833430402,16,24,5,240,152,6273,0,3072,1,0,6
6,7,LOD_RETREAT,0x31,portal_view|freecam|lod,330,48,47,338,0,0x7855312D,0x07CC9740,0xA8F2C94A,1,0,0,49.024216672207444,50.10986328125,20.398082170008742,19.956151035322776,18.460845070422536,1792,1781,54.351806640625,2,1,1,1,0.030517578125,0.05614823133071308,4,1,1,3,0.091552734375,0.16844469399213924,419,1,1,418,12.75634765625,23.46996069623807,119,1,1,118,3.60107421875,6.625491297024143,83,1,1,82,2.50244140625,4.604154969118473,581,1,1,580,17.7001953125,32.565974171813586,69,2,2,67,2.044677734375,3.7619314991577766,1,1,1,0,0.0,0.0,482,1,1,481,14.678955078125,27.00729927007299,32,1,1,31,0.946044921875,1.7405951712521055,16,24,6,242,196,6235,0,3053,1,0,3
7,8,LOD_APPROACH,0xB3,portal_view|portal_cross|freecam|lod|stress,378,60,59,416,1,0x9391C926,0x6443498C,0x8028BE00,0,0,1,48.66001969676907,50.23193359375,20.550752059526975,19.907654921020654,15.618684461391801,1792,1781,54.351806640625,2,1,1,1,0.030517578125,0.05614823133071308,4,1,1,3,0.091552734375,0.16844469399213924,419,1,1,418,12.75634765625,23.46996069623807,119,1,1,118,3.60107421875,6.625491297024143,83,1,1,82,2.50244140625,4.604154969118473,581,1,1,580,17.7001953125,32.565974171813586,69,2,2,67,2.044677734375,3.7619314991577766,1,1,1,0,0.0,0.0,482,1,1,481,14.678955078125,27.00729927007299,32,1,1,31,0.946044921875,1.7405951712521055,16,24,6,242,196,6235,0,3053,1,0,3
8,9,FREECAM_YAW,0x14,turn|freecam,438,128,127,565,0,0x9391C926,0x6443498C,0xD6FA1B1C,0,0,1,33.48835622231791,34.48486328125,29.861125262802897,28.998230088495575,26.870028700287,1213,1206,36.80419921875,2,1,1,1,0.030517578125,0.08291873963515754,5,1,1,4,0.1220703125,0.33167495854063017,579,1,1,578,17.63916015625,47.927031509121065,112,1,1,111,3.387451171875,9.203980099502488,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,39.80099502487562,33,1,1,32,0.9765625,2.6533996683250414,8,12,5,184,61,3072,0,0,0,0,6
9,10,FREECAM_3D,0xD8,pitch|freecam|vertical|stress,566,288,287,612,1,0x13BBC90D,0x708E17EF,0xB2A40B9D,2,0,0,41.9080780773628,36.80419921875,23.86174804184502,27.170812603648425,15.899078117418728,2063,2052,62.6220703125,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.1949317738791423,640,1,1,639,19.500732421875,31.140350877192983,139,1,1,138,4.21142578125,6.7251461988304095,82,1,1,81,2.471923828125,3.9473684210526314,612,1,1,611,18.646240234375,29.775828460038987,69,2,2,67,2.044677734375,3.2651072124756335,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,23.391812865497077,33,1,1,32,0.9765625,1.5594541910331383,16,36,8,306,174,5792,0,2651,1,0,12
