section_index,section_id,section_name,section_flags,section_flag_names,first_frame,frame_count,clean_frame_count,detailed_frame,crossing_count,logical_hash,presented_hash,state_hash,portal_0_lod,portal_1_lod,endpoint_room,clean_frame_ms_mean,clean_frame_ms_median,clean_average_fps,clean_median_fps,clean_1_percent_low_fps,detail_raw_total_ticks,detail_corrected_total_ticks,detail_corrected_total_ms,admin_raw_ticks,admin_entries,admin_switch_overhead_ticks,admin_corrected_ticks,admin_corrected_ms,admin_corrected_share_percent,setup_raw_ticks,setup_entries,setup_switch_overhead_ticks,setup_corrected_ticks,setup_corrected_ms,setup_corrected_share_percent,root_geometry_raw_ticks,root_geometry_entries,root_geometry_switch_overhead_ticks,root_geometry_corrected_ticks,root_geometry_corrected_ms,root_geometry_corrected_share_percent,root_fill_raw_ticks,root_fill_entries,root_fill_switch_overhead_ticks,root_fill_corrected_ticks,root_fill_corrected_ms,root_fill_corrected_share_percent,portal_setup_raw_ticks,portal_setup_entries,portal_setup_switch_overhead_ticks,portal_setup_corrected_ticks,portal_setup_corrected_ms,portal_setup_corrected_share_percent,portal_geometry_raw_ticks,portal_geometry_entries,portal_geometry_switch_overhead_ticks,portal_geometry_corrected_ticks,portal_geometry_corrected_ms,portal_geometry_corrected_share_percent,portal_fill_raw_ticks,portal_fill_entries,portal_fill_switch_overhead_ticks,portal_fill_corrected_ticks,portal_fill_corrected_ms,portal_fill_corrected_share_percent,wait_raw_ticks,wait_entries,wait_switch_overhead_ticks,wait_corrected_ticks,wait_corrected_ms,wait_corrected_share_percent,present_raw_ticks,present_entries,present_switch_overhead_ticks,present_corrected_ticks,present_corrected_ms,present_corrected_share_percent,overlay_raw_ticks,overlay_entries,overlay_switch_overhead_ticks,overlay_corrected_ticks,overlay_corrected_ms,overlay_corrected_share_percent,transformed_vertices,projected_points,rasterized_polygons,raster_rows,filled_spans,filled_pixels,portal_composite_pixels,portal_clip_pixels,full_portal_views,lod_portal_views,edge_division_fallbacks
0,1,OPEN_YAW,0x04,turn,0,128,127,125,0,0xF5386431,0xCAB6D6F7,0x9E5629C9,1,0,0,34.34332900159941,32.623291015625,29.117736371841787,30.652946679139383,20.10923596195152,1650,1640,50.048828125,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.24390243902439024,652,1,1,651,19.866943359375,39.69512195121951,235,1,1,234,7.14111328125,14.268292682926829,43,1,1,42,1.28173828125,2.5609756097560976,149,1,1,148,4.5166015625,9.024390243902438,62,1,1,61,1.861572265625,3.7195121951219514,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,29.26829268292683,21,1,1,20,0.6103515625,1.2195121951219512,16,24,8,178,141,2783,317,317,0,1,11
1,2,PITCH_SWEEP,0x08,pitch,128,96,95,133,0,0xF5386431,0xCAB6D6F7,0x9E5629C9,1,0,0,41.42488178453947,43.975830078125,24.140080959101695,22.73976405274115,20.36544437538844,1620,1610,49.13330078125,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.2484472049689441,621,1,1,620,18.9208984375,38.50931677018634,235,1,1,234,7.14111328125,14.53416149068323,43,1,1,42,1.28173828125,2.608695652173913,145,1,1,144,4.39453125,8.944099378881987,67,1,1,66,2.01416015625,4.099378881987578,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,29.81366459627329,21,1,1,20,0.6103515625,1.2422360248447204,16,24,7,173,145,2800,302,302,0,1,10
2,3,PORTAL_FAR,0x21,portal_view|lod,224,56,55,254,0,0xACD90C31,0x145BCBFA,0xA72A6D23,1,0,0,46.84947620738637,48.614501953125,21.34495582348343,20.569993722536097,19.692307692307693,1684,1674,51.08642578125,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.23894862604540024,613,1,1,612,18.6767578125,36.55913978494624,244,1,1,243,7.415771484375,14.516129032258064,52,1,1,51,1.556396484375,3.046594982078853,167,1,1,166,5.06591796875,9.91636798088411,100,1,1,99,3.021240234375,5.913978494623656,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,28.67383512544803,20,1,1,19,0.579833984375,1.135005973715651,16,24,7,185,149,2472,648,648,0,1,6
3,4,PORTAL_NEAR,0x21,portal_view|lod,280,36,35,308,0,0x6BC9BA3D,0x33C5F7DE,0x6CC07690,0,0,0,51.762172154017854,51.422119140625,19.319127431988544,19.446884272997032,18.11387506909895,1833,1823,55.633544921875,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.21941854086670323,426,1,1,425,12.969970703125,23.313219967087218,118,1,1,117,3.570556640625,6.41799232035107,77,1,1,76,2.3193359375,4.168952276467362,443,1,1,442,13.48876953125,24.245748765770706,260,1,1,259,7.904052734375,14.207350521119034,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,26.33022490400439,21,1,1,20,0.6103515625,1.0970927043335161,16,24,6,240,194,6272,0,3072,1,0,10
4,5,CROSS_DOWN,0x83,portal_view|portal_cross|stress,316,4,3,316,1,0x4574F2BD,0xE4127EFE,0x2C3FE3A2,0,0,1,43.568929036458336,50.750732421875,22.952136353023583,19.70414912808178,18.756725815684028,1832,1822,55.60302734375,2,1,1,1,0.030517578125,0.054884742041712405,5,1,1,4,0.1220703125,0.21953896816684962,426,1,1,425,12.969970703125,23.32601536772777,118,1,1,117,3.570556640625,6.421514818880351,76,1,1,75,2.288818359375,4.11635565312843,443,1,1,442,13.48876953125,24.259055982436884,260,1,1,259,7.904052734375,14.215148188803512,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,26.344676180021953,20,1,1,19,0.579833984375,1.0428100987925357,16,24,6,240,194,6272,0,3072,1,0,10
5,6,RETURN_UP,0x93,portal_view|portal_cross|freecam|stress,320,10,9,329,1,0xB2FCEA9A,0xB343C54F,0xA4A3A3D6,0,0,0,44.08433702256944,49.98779296875,22.683793554341975,20.004884004884005,12.690937257939582,1784,1774,54.13818359375,2,1,1,1,0.030517578125,0.05636978579481398,5,1,1,4,0.1220703125,0.2254791431792559,427,1,1,426,13.00048828125,24.013528748590755,118,1,1,117,3.570556640625,6.595264937993235,76,1,1,75,2.288818359375,4.227733934611049,410,1,1,409,12.481689453125,23.055242390078917,231,1,1,230,7.01904296875,12.965050732807216,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,27.057497181510712,33,1,1,32,0.9765625,1.8038331454340473,16,24,5,240,152,6273,0,3072,1,0,6
6,7,LOD_RETREAT,0x31,portal_view|freecam|lod,330,48,47,338,0,0x7855312D,0x07CC9740,0xA8F2C94A,1,0,0,50.2695935837766,51.513671875,19.892740893825884,19.412322274881518,17.91580098414434,1861,1851,56.488037109375,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.21609940572663425,429,1,1,428,13.0615234375,23.122636412749866,120,1,1,119,3.631591796875,6.428957320367369,76,1,1,75,2.288818359375,4.051863857374392,453,1,1,452,13.7939453125,24.41923284710967,262,1,1,261,7.965087890625,14.100486223662886,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,25.93192868719611,33,1,1,32,0.9765625,1.728795245813074,16,24,6,242,196,6235,0,3053,1,0,3
7,8,LOD_APPROACH,0xB3,portal_view|portal_cross|freecam|lod|stress,378,60,59,416,1,0x9391C926,0x6443498C,0x8028BE00,0,0,1,49.7902045815678,51.69677734375,20.084271763972573,19.343565525383706,15.50780880265026,1861,1851,56.488037109375,2,1,1,1,0.030517578125,0.05402485143165856,5,1,1,4,0.1220703125,0.21609940572663425,429,1,1,428,13.0615234375,23.122636412749866,119,1,1,118,3.60107421875,6.37493246893571,77,1,1,76,2.3193359375,4.1058887088060505,453,1,1,452,13.7939453125,24.41923284710967,262,1,1,261,7.965087890625,14.100486223662886,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,25.93192868719611,32,1,1,31,0.946044921875,1.6747703943814154,16,24,6,242,196,6235,0,3053,1,0,3
8,9,FREECAM_YAW,0x14,turn|freecam,438,128,127,565,0,0x9391C926,0x6443498C,0xD6FA1B1C,0,0,1,33.871147576279526,34.942626953125,29.5236527710775,28.618340611353712,26.5974025974026,1226,1219,37.200927734375,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.3281378178835111,592,1,1,591,18.035888671875,48.48236259228876,113,1,1,112,3.41796875,9.187858900738311,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,39.37653814602133,33,1,1,32,0.9765625,2.6251025430680888,8,12,5,184,61,3072,0,0,0,0,6
9,10,FREECAM_3D,0xD8,pitch|freecam|vertical|stress,566,288,287,612,1,0x13BBC90D,0x708E17EF,0xB2A40B9D,2,0,0,42.51300665559669,37.200927734375,23.52221305119932,26.88105004101723,15.556891913277417,2127,2117,64.605712890625,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.1889466225791214,654,1,1,653,19.927978515625,30.845536136041567,139,1,1,138,4.21142578125,6.518658478979688,76,1,1,75,2.288818359375,3.5427491733585263,505,1,1,504,15.380859375,23.807274444969295,232,1,1,231,7.049560546875,10.911667453944261,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,22.67359470949457,33,1,1,32,0.9765625,1.5115729806329712,16,36,8,306,174,5792,0,2651,1,0,12
