section_index,section_id,section_name,section_flags,section_flag_names,first_frame,frame_count,clean_frame_count,detailed_frame,crossing_count,logical_hash,presented_hash,state_hash,portal_0_lod,portal_1_lod,endpoint_room,clean_frame_ms_mean,clean_frame_ms_median,clean_average_fps,clean_median_fps,clean_1_percent_low_fps,detail_raw_total_ticks,detail_corrected_total_ticks,detail_corrected_total_ms,admin_raw_ticks,admin_entries,admin_switch_overhead_ticks,admin_corrected_ticks,admin_corrected_ms,admin_corrected_share_percent,setup_raw_ticks,setup_entries,setup_switch_overhead_ticks,setup_corrected_ticks,setup_corrected_ms,setup_corrected_share_percent,root_geometry_raw_ticks,root_geometry_entries,root_geometry_switch_overhead_ticks,root_geometry_corrected_ticks,root_geometry_corrected_ms,root_geometry_corrected_share_percent,root_fill_raw_ticks,root_fill_entries,root_fill_switch_overhead_ticks,root_fill_corrected_ticks,root_fill_corrected_ms,root_fill_corrected_share_percent,portal_setup_raw_ticks,portal_setup_entries,portal_setup_switch_overhead_ticks,portal_setup_corrected_ticks,portal_setup_corrected_ms,portal_setup_corrected_share_percent,portal_geometry_raw_ticks,portal_geometry_entries,portal_geometry_switch_overhead_ticks,portal_geometry_corrected_ticks,portal_geometry_corrected_ms,portal_geometry_corrected_share_percent,portal_fill_raw_ticks,portal_fill_entries,portal_fill_switch_overhead_ticks,portal_fill_corrected_ticks,portal_fill_corrected_ms,portal_fill_corrected_share_percent,wait_raw_ticks,wait_entries,wait_switch_overhead_ticks,wait_corrected_ticks,wait_corrected_ms,wait_corrected_share_percent,present_raw_ticks,present_entries,present_switch_overhead_ticks,present_corrected_ticks,present_corrected_ms,present_corrected_share_percent,overlay_raw_ticks,overlay_entries,overlay_switch_overhead_ticks,overlay_corrected_ticks,overlay_corrected_ms,overlay_corrected_share_percent,transformed_vertices,projected_points,rasterized_polygons,raster_rows,filled_spans,filled_pixels,portal_composite_pixels,portal_clip_pixels,full_portal_views,lod_portal_views,edge_division_fallbacks
0,1,OPEN_YAW,0x04,turn,0,128,127,1,0,0xF5386431,0xCAB6D6F7,0x9E5629C9,1,0,0,34.48990949495571,32.684326171875,28.99398736161526,30.595704948646127,20.146326467875806,1648,1637,49.957275390625,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.24434941967012827,659,1,1,658,20.08056640625,40.195479535736105,236,1,1,235,7.171630859375,14.355528405620037,46,1,1,45,1.373291015625,2.748930971288943,146,1,1,145,4.425048828125,8.85766646304215,52,2,2,50,1.52587890625,3.0543677458766036,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,29.321930360415394,21,1,1,20,0.6103515625,1.2217470983506413,16,32,8,178,141,2783,317,317,0,1,11
1,2,PITCH_SWEEP,0x08,pitch,128,96,95,133,0,0xF5386431,0xCAB6D6F7,0x9E5629C9,1,0,0,41.491056743421055,43.914794921875,24.101579436358005,22.771369006254343,20.44167186525265,1616,1605,48.980712890625,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.24922118380062305,629,1,1,628,19.1650390625,39.12772585669782,235,1,1,234,7.14111328125,14.57943925233645,45,1,1,44,1.3427734375,2.7414330218068534,147,1,1,146,4.45556640625,9.096573208722742,51,2,2,49,1.495361328125,3.0529595015576323,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,29.906542056074766,21,1,1,20,0.6103515625,1.2461059190031152,16,32,7,173,145,2800,302,302,0,1,10
2,3,PORTAL_FAR,0x21,portal_view|lod,224,56,55,254,0,0xACD90C31,0x145BCBFA,0xA72A6D23,1,0,0,46.68412642045455,48.52294921875,21.420557193115908,20.60880503144654,19.76357056694813,1680,1669,50.933837890625,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.2396644697423607,621,1,1,620,18.9208984375,37.14799281006591,244,1,1,243,7.415771484375,14.559616536848413,56,1,1,55,1.678466796875,3.2953864589574597,172,1,1,171,5.218505859375,10.24565608148592,78,2,2,76,2.3193359375,4.553624925104853,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,28.759736369083285,21,1,1,20,0.6103515625,1.1983223487118035,16,32,7,185,149,2472,648,648,0,1,6
3,4,PORTAL_NEAR,0x21,portal_view|lod,280,36,35,308,0,0x6BC9BA3D,0x33C5F7DE,0x6CC07690,0,0,0,50.871058872767854,50.537109375,19.657542464391614,19.78743961352657,18.502540937323545,1783,1772,54.0771484375,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.22573363431151242,434,1,1,433,13.214111328125,24.435665914221218,118,1,1,117,3.570556640625,6.602708803611738,83,1,1,82,2.50244140625,4.6275395033860045,569,1,1,568,17.333984375,32.05417607223476,70,2,2,68,2.0751953125,3.8374717832957113,1,1,1,0,0.0,0.0,482,1,1,481,14.678955078125,27.14446952595937,20,1,1,19,0.579833984375,1.072234762979684,16,32,6,240,194,6272,0,3072,1,0,10
4,5,CROSS_DOWN,0x83,portal_view|portal_cross|stress,316,4,3,316,1,0x4574F2BD,0xE4127EFE,0x2C3FE3A2,0,0,1,44.077555338541664,51.81884765625,22.68728363720286,19.297997644287396,18.67122507122507,1782,1771,54.046630859375,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.22586109542631283,434,1,1,433,13.214111328125,24.449463579898364,118,1,1,117,3.570556640625,6.60643704121965,83,1,1,82,2.50244140625,4.630152456239413,568,1,1,567,17.303466796875,32.015810276679844,70,2,2,68,2.0751953125,3.839638622247318,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,27.103331451157537,21,1,1,20,0.6103515625,1.129305477131564,16,32,6,240,194,6272,0,3072,1,0,10
5,6,RETURN_UP,0x93,portal_view|portal_cross|freecam|stress,320,10,9,329,1,0xB2FCEA9A,0xB343C54F,0xA4A3A3D6,0,0,0,44.06060112847222,49.346923828125,22.696013544712944,20.264687693259123,12.73038073038073,1747,1736,52.978515625,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.2304147465437788,435,1,1,434,13.24462890625,25.0,118,1,1,117,3.570556640625,6.73963133640553,83,1,1,82,2.50244140625,4.723502304147465,519,1,1,518,15.80810546875,29.838709677419356,71,2,2,69,2.105712890625,3.974654377880184,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,27.649769585253456,33,1,1,32,0.9765625,1.8433179723502304,16,32,5,240,152,6273,0,3072,1,0,6
6,7,LOD_RETREAT,0x31,portal_view|freecam|lod,330,48,47,338,0,0x7855312D,0x07CC9740,0xA8F2C94A,1,0,0,49.594960314162236,50.689697265625,20.163339050287377,19.72787477423239,18.285714285714285,1811,1800,54.931640625,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.2222222222222222,438,1,1,437,13.336181640625,24.27777777777778,119,1,1,118,3.60107421875,6.555555555555555,83,1,1,82,2.50244140625,4.555555555555555,581,1,1,580,17.7001953125,32.22222222222222,69,2,2,67,2.044677734375,3.7222222222222223,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,26.666666666666668,33,1,1,32,0.9765625,1.7777777777777777,16,32,6,242,196,6235,0,3053,1,0,3
7,8,LOD_APPROACH,0xB3,portal_view|portal_cross|freecam|lod|stress,378,60,59,416,1,0x9391C926,0x6443498C,0x8028BE00,0,0,1,49.25330210540254,50.994873046875,20.303207242023902,19.6098144823459,15.46389806512506,1811,1800,54.931640625,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.2222222222222222,438,1,1,437,13.336181640625,24.27777777777778,119,1,1,118,3.60107421875,6.555555555555555,83,1,1,82,2.50244140625,4.555555555555555,580,1,1,579,17.669677734375,32.166666666666664,70,2,2,68,2.0751953125,3.7777777777777777,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,26.666666666666668,33,1,1,32,0.9765625,1.7777777777777777,16,32,6,242,196,6235,0,3053,1,0,3
8,9,FREECAM_YAW,0x14,turn|freecam,438,128,127,459,0,0x9391C926,0x6443498C,0xD6FA1B1C,0,0,1,34.091498908095474,35.125732421875,29.33282583719242,28.46915725456125,26.425806451612903,1232,1225,37.384033203125,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.32653061224489793,599,1,1,598,18.24951171875,48.816326530612244,113,1,1,112,3.41796875,9.142857142857142,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,39.183673469387756,32,1,1,31,0.946044921875,2.5306122448979593,8,20,5,184,60,3072,0,0,0,0,6
9,10,FREECAM_3D,0xD8,pitch|freecam|vertical|stress,566,288,287,612,1,0x13BBC90D,0x708E17EF,0xB2A40B9D,2,0,0,42.83360072544643,37.567138671875,23.34615776081425,26.61900893582453,15.598857505553793,2112,2101,64.117431640625,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.19038553069966682,668,1,1,667,20.355224609375,31.746787244169443,139,1,1,138,4.21142578125,6.568300809138505,83,1,1,82,2.50244140625,3.90290337934317,633,1,1,632,19.287109375,30.080913850547358,68,2,2,66,2.01416015625,3.141361256544503,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,22.846263683960018,33,1,1,32,0.9765625,1.5230842455973346,16,56,8,306,174,5792,0,2651,1,0,12
