frame_index,section_id,section_name,simulation_time_seconds,measured_elapsed_ticks,measured_elapsed_ms,total_ticks,total_ms,instantaneous_fps,update_ticks,update_ms,render_ticks,render_ms,swap_ticks,swap_ms,state_hash,position_x_raw,position_y_raw,position_z_raw,position_x,position_y,position_z,room,flags,detailed,excluded_from_clean_stats,crossed_portal,changed,section_end,freecam,move_axis,turn_axis,look_axis,buttons_active,detail_corrected_total_ms,admin_corrected_ms,setup_corrected_ms,root_geometry_corrected_ms,root_fill_corrected_ms,portal_setup_corrected_ms,portal_geometry_corrected_ms,portal_fill_corrected_ms,wait_corrected_ms,present_corrected_ms,overlay_corrected_ms,transformed_vertices,projected_points,rasterized_polygons,raster_rows,filled_spans,filled_pixels,portal_composite_pixels,portal_clip_pixels,full_portal_views,lod_portal_views,edge_division_fallbacks
0,1,OPEN_YAW,0.03333333333333333,1593,48.614501953125,1593,48.614501953125,20.569993722536097,27,0.823974609375,1566,47.79052734375,0,0.0,0x5E9768D3,0,512,384,0.0,2.0,1.5,0,0x04,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,
1,1,OPEN_YAW,0.06666666666666667,3205,97.808837890625,1612,49.1943359375,20.327543424317618,26,0.79345703125,1586,48.40087890625,0,0.0,0x8B3821D2,0,512,384,0.0,2.0,1.5,0,0x06,1,1,0,1,0,0,0,1,0,0,48.431396484375,0.06103515625,0.1220703125,20.233154296875,6.4697265625,1.77001953125,4.57763671875,1.28173828125,0.0,13.0615234375,0.8544921875,0,0,0,0,0,0,0,0,0,0,0
2,1,OPEN_YAW,0.1,4680,142.822265625,1475,45.013427734375,22.215593220338985,26,0.79345703125,1448,44.189453125,1,0.030517578125,0x58A773FF,0,512,384,0.0,2.0,1.5,0,0x04,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,
3,1,OPEN_YAW,0.13333333333333333,6170,188.29345703125,1490,45.47119140625,21.99194630872483,27,0.823974609375,1463,44.647216796875,0,0.0,0xAED9429C,0,512,384,0.0,2.0,1.5,0,0x04,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,
4,1,OPEN_YAW,0.16666666666666666,7706,235.16845703125,1536,46.875,21.333333333333332,26,0.79345703125,1510,46.08154296875,0,0.0,0x45E0B719,0,512,384,0.0,2.0,1.5,0,0x04,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,
5,1,OPEN_YAW,0.2,9251,282.318115234375,1545,47.149658203125,21.20906148867314,26,0.79345703125,1519,46.356201171875,0,0.0,0x1A9A2DD0,0,512,384,0.0,2.0,1.5,0,0x04,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,
6,1,OPEN_YAW,0.23333333333333334,10816,330.078125,1565,47.760009765625,20.938019169329074,26,0.79345703125,1539,46.966552734375,0,0.0,0xF0C60EB7,0,512,384,0.0,2.0,1.5,0,0x04,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,
7,1,OPEN_YAW,0.26666666666666666,12379,377.777099609375,1563,47.698974609375,20.964811260396672,26,0.79345703125,1537,46.905517578125,0,0.0,0xD27F4708,0,512,384,0.0,2.0,1.5,0,0x04,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,
8,1,OPEN_YAW,0.3,13946,425.59814453125,1567,47.821044921875,20.91129546904914,27,0.823974609375,1540,46.9970703125,0,0.0,0x94A84683,0,512,384,0.0,2.0,1.5,0,0x04,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,
9,1,OPEN_YAW,0.3333333333333333,15507,473.236083984375,1561,47.637939453125,20.99167200512492,26,0.79345703125,1534,46.81396484375,1,0.030517578125,0x1F45C49E,0,512,384,0.0,2.0,1.5,0,0x04,0,0,0,1,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,
