section_index,section_id,section_name,section_flags,section_flag_names,first_frame,frame_count,clean_frame_count,detailed_frame,crossing_count,logical_hash,presented_hash,state_hash,portal_0_lod,portal_1_lod,endpoint_room,clean_frame_ms_mean,clean_frame_ms_median,clean_average_fps,clean_median_fps,clean_1_percent_low_fps,detail_raw_total_ticks,detail_corrected_total_ticks,detail_corrected_total_ms,admin_raw_ticks,admin_entries,admin_switch_overhead_ticks,admin_corrected_ticks,admin_corrected_ms,admin_corrected_share_percent,setup_raw_ticks,setup_entries,setup_switch_overhead_ticks,setup_corrected_ticks,setup_corrected_ms,setup_corrected_share_percent,root_geometry_raw_ticks,root_geometry_entries,root_geometry_switch_overhead_ticks,root_geometry_corrected_ticks,root_geometry_corrected_ms,root_geometry_corrected_share_percent,root_fill_raw_ticks,root_fill_entries,root_fill_switch_overhead_ticks,root_fill_corrected_ticks,root_fill_corrected_ms,root_fill_corrected_share_percent,portal_setup_raw_ticks,portal_setup_entries,portal_setup_switch_overhead_ticks,portal_setup_corrected_ticks,portal_setup_corrected_ms,portal_setup_corrected_share_percent,portal_geometry_raw_ticks,portal_geometry_entries,portal_geometry_switch_overhead_ticks,portal_geometry_corrected_ticks,portal_geometry_corrected_ms,portal_geometry_corrected_share_percent,portal_fill_raw_ticks,portal_fill_entries,portal_fill_switch_overhead_ticks,portal_fill_corrected_ticks,portal_fill_corrected_ms,portal_fill_corrected_share_percent,wait_raw_ticks,wait_entries,wait_switch_overhead_ticks,wait_corrected_ticks,wait_corrected_ms,wait_corrected_share_percent,present_raw_ticks,present_entries,present_switch_overhead_ticks,present_corrected_ticks,present_corrected_ms,present_corrected_share_percent,overlay_raw_ticks,overlay_entries,overlay_switch_overhead_ticks,overlay_corrected_ticks,overlay_corrected_ms,overlay_corrected_share_percent,transformed_vertices,projected_points,rasterized_polygons,raster_rows,filled_spans,filled_pixels,portal_composite_pixels,portal_clip_pixels,full_portal_views,lod_portal_views,edge_division_fallbacks
0,1,OPEN_YAW,0x04,turn,0,128,127,1,0,0xF5386431,0xCAB6D6F7,0x9E5629C9,1,0,0,33.443901482529526,31.585693359375,29.900817657963184,31.65990338164251,20.44167186525265,1597,1587,48.431396484375,3,1,1,2,0.06103515625,0.1260239445494644,5,1,1,4,0.1220703125,0.2520478890989288,664,1,1,663,20.233154296875,41.77693761814745,213,1,1,212,6.4697265625,13.358538122243226,59,1,1,58,1.77001953125,3.6546943919344677,151,1,1,150,4.57763671875,9.45179584120983,43,1,1,42,1.28173828125,2.6465028355387523,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,26.96912413358538,29,1,1,28,0.8544921875,1.7643352236925016,0,0,0,0,0,0,0,0,0,0,0
1,2,PITCH_SWEEP,0x08,pitch,128,96,95,133,0,0xF5386431,0xCAB6D6F7,0x9E5629C9,1,0,0,40.5225251850329,42.96875,24.67763288279361,23.272727272727273,20.699936828806063,1564,1554,47.42431640625,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.2574002574002574,634,1,1,633,19.317626953125,40.73359073359073,211,1,1,210,6.40869140625,13.513513513513514,59,1,1,58,1.77001953125,3.7323037323037322,152,1,1,151,4.608154296875,9.716859716859718,42,1,1,41,1.251220703125,2.6383526383526386,2,1,1,1,0.030517578125,0.06435006435006435,429,1,1,428,13.0615234375,27.54182754182754,29,1,1,28,0.8544921875,1.8018018018018018,0,0,0,0,0,0,0,0,0,0,0
2,3,PORTAL_FAR,0x21,portal_view|lod,224,56,55,255,0,0xACD90C31,0x145BCBFA,0xA72A6D23,1,0,0,46.13425514914773,47.821044921875,21.67586746046064,20.91129546904914,19.99267846247712,1631,1621,49.468994140625,2,1,1,1,0.030517578125,0.061690314620604564,5,1,1,4,0.1220703125,0.24676125848241826,626,1,1,625,19.073486328125,38.556446637877855,219,1,1,218,6.65283203125,13.448488587291795,74,1,1,73,2.227783203125,4.5033929673041335,175,1,1,174,5.31005859375,10.734114743985195,71,1,1,70,2.13623046875,4.318322023442319,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,26.403454657618752,29,1,1,28,0.8544921875,1.727328809376928,0,0,0,0,0,0,0,0,0,0,0
3,4,PORTAL_NEAR,0x21,portal_view|lod,280,36,35,312,0,0x6BC9BA3D,0x33C5F7DE,0x6CC07690,0,0,0,50.94691685267857,50.689697265625,19.62827314735581,19.72787477423239,18.357422969187674,1777,1766,53.89404296875,2,1,1,1,0.030517578125,0.056625141562853906,5,1,1,4,0.1220703125,0.22650056625141562,442,1,1,441,13.458251953125,24.971687429218573,117,1,1,116,3.5400390625,6.568516421291053,115,1,1,114,3.47900390625,6.455266138165346,564,1,1,563,17.181396484375,31.87995469988675,72,2,2,70,2.13623046875,3.9637599093997733,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,24.23556058890147,30,1,1,29,0.885009765625,1.6421291053227633,0,0,0,0,0,0,0,0,0,0,0
4,5,CROSS_DOWN,0x83,portal_view|portal_cross|stress,316,4,3,316,1,0x4574F2BD,0xE4127EFE,0x2C3FE3A2,0,0,1,42.978922526041664,50.78125,23.26721893491124,19.692307692307693,19.095571095571096,1775,1764,53.8330078125,2,1,1,1,0.030517578125,0.05668934240362812,5,1,1,4,0.1220703125,0.22675736961451248,443,1,1,442,13.48876953125,25.05668934240363,116,1,1,115,3.509521484375,6.519274376417234,115,1,1,114,3.47900390625,6.462585034013605,563,1,1,562,17.15087890625,31.859410430839002,72,2,2,70,2.13623046875,3.9682539682539684,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,24.263038548752835,29,1,1,28,0.8544921875,1.5873015873015872,0,0,0,0,0,0,0,0,0,0,0
5,6,RETURN_UP,0x93,portal_view|portal_cross|freecam|stress,320,10,9,329,1,0xB2FCEA9A,0xB343C54F,0xA4A3A3D6,0,0,0,43.857150607638886,49.957275390625,22.801298902118447,20.01710445937691,12.622496147919877,1731,1720,52.490234375,2,1,1,1,0.030517578125,0.05813953488372093,5,1,1,4,0.1220703125,0.23255813953488372,444,1,1,443,13.519287109375,25.75581395348837,116,1,1,115,3.509521484375,6.686046511627907,115,1,1,114,3.47900390625,6.627906976744186,498,1,1,497,15.167236328125,28.8953488372093,72,2,2,70,2.13623046875,4.069767441860465,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,24.88372093023256,49,1,1,48,1.46484375,2.7906976744186047,0,0,0,0,0,0,0,0,0,0,0
6,7,LOD_RETREAT,0x31,portal_view|freecam|lod,330,48,47,338,0,0x7855312D,0x07CC9740,0xA8F2C94A,1,0,0,49.7670275099734,50.750732421875,20.093625238107663,19.70414912808178,18.053994490358125,1812,1801,54.962158203125,2,1,1,1,0.030517578125,0.0555247084952804,5,1,1,4,0.1220703125,0.2220988339811216,446,1,1,445,13.580322265625,24.708495280399777,117,1,1,116,3.5400390625,6.440866185452526,116,1,1,115,3.509521484375,6.385341476957246,575,1,1,574,17.51708984375,31.87118267629095,71,2,2,69,2.105712890625,3.8312048861743477,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,23.76457523598001,50,1,1,49,1.495361328125,2.7207107162687394,0,0,0,0,0,0,0,0,0,0,0
7,8,LOD_APPROACH,0xB3,portal_view|portal_cross|freecam|lod|stress,378,60,59,416,1,0x9391C926,0x6443498C,0x8028BE00,0,0,1,49.26726777674788,50.811767578125,20.29745194175267,19.68048048048048,15.731156985117618,1812,1801,54.962158203125,3,1,1,2,0.06103515625,0.1110494169905608,5,1,1,4,0.1220703125,0.2220988339811216,446,1,1,445,13.580322265625,24.708495280399777,117,1,1,116,3.5400390625,6.440866185452526,115,1,1,114,3.47900390625,6.329816768461965,575,1,1,574,17.51708984375,31.87118267629095,72,2,2,70,2.13623046875,3.886729594669628,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,23.76457523598001,49,1,1,48,1.46484375,2.665186007773459,0,0,0,0,0,0,0,0,0,0,0
8,9,FREECAM_YAW,0x14,turn|freecam,438,128,127,459,0,0x9391C926,0x6443498C,0xD6FA1B1C,0,0,1,33.05966835322342,34.0576171875,30.248337318922218,29.36200716845878,27.22725384295804,1185,1178,35.94970703125,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.3395585738539898,598,1,1,597,18.218994140625,50.67911714770798,101,1,1,100,3.0517578125,8.488964346349745,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,36.33276740237691,50,1,1,49,1.495361328125,4.159592529711375,0,0,0,0,0,0,0,0,0,0,0
9,10,FREECAM_3D,0xD8,pitch|freecam|vertical|stress,566,288,287,757,1,0x13BBC90D,0x708E17EF,0xB2A40B9D,2,0,0,41.85852688779399,36.4990234375,23.8899950464239,27.39799331103679,15.718580108730412,2074,2063,62.957763671875,2,1,1,1,0.030517578125,0.048473097430925836,5,1,1,4,0.1220703125,0.19389238972370335,659,1,1,658,20.08056640625,31.8952981095492,135,1,1,134,4.08935546875,6.495395055744062,114,1,1,113,3.448486328125,5.477460009694619,609,1,1,608,18.5546875,29.47164323800291,70,2,2,68,2.0751953125,3.296170625302957,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,20.746485700436256,50,1,1,49,1.495361328125,2.375181774115366,0,0,0,0,0,0,0,0,0,0,0
