scope,name,current_clean_frames,baseline_clean_frames,current_frame_ms_mean,baseline_frame_ms_mean,frame_ms_delta,frame_time_percent_change,current_frame_ms_median,baseline_frame_ms_median,current_average_fps,baseline_average_fps,average_fps_percent_change,current_1_percent_low_fps,baseline_1_percent_low_fps,current_detailed_frame,baseline_detailed_frame,detail_trace_comparable,current_admin_corrected_ms,baseline_admin_corrected_ms,admin_percent_change,current_setup_corrected_ms,baseline_setup_corrected_ms,setup_percent_change,current_root_geometry_corrected_ms,baseline_root_geometry_corrected_ms,root_geometry_percent_change,current_root_fill_corrected_ms,baseline_root_fill_corrected_ms,root_fill_percent_change,current_portal_setup_corrected_ms,baseline_portal_setup_corrected_ms,portal_setup_percent_change,current_portal_geometry_corrected_ms,baseline_portal_geometry_corrected_ms,portal_geometry_percent_change,current_portal_fill_corrected_ms,baseline_portal_fill_corrected_ms,portal_fill_percent_change,current_wait_corrected_ms,baseline_wait_corrected_ms,wait_percent_change,current_present_corrected_ms,baseline_present_corrected_ms,present_percent_change,current_overlay_corrected_ms,baseline_overlay_corrected_ms,overlay_percent_change
overall,ALL_CLEAN,844,844,40.74581200477636,40.14251130452088,0.6033007002554811,1.5028972544314456,36.712646484375,36.31591796875,24.542399593920884,24.911246643589514,-1.480644686096222,15.352004164497657,15.540496390367286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
section,OPEN_YAW,127,127,33.43669260580709,33.008725624384844,0.42796698142224443,1.2965268223081194,31.585693359375,31.219482421875,29.907264207893753,30.295019910167653,-1.279932158564978,20.44167186525265,20.81168624960305,1,1,1,0.0,0.0,,0.1220703125,0.1220703125,0.0,20.233154296875,20.08056640625,0.7598784194528863,6.4697265625,6.134033203125,5.472636815920406,1.77001953125,1.251220703125,41.46341463414633,4.57763671875,4.486083984375,2.0408163265306145,1.251220703125,1.739501953125,-28.07017543859649,0.030517578125,0.0,,13.0615234375,13.0615234375,0.0,0.8544921875,0.579833984375,47.36842105263157
section,PITCH_SWEEP,95,95,40.503572162828945,40.16016909950658,0.3434030633223628,0.8550837086156227,42.96875,42.755126953125,24.6891804006789,24.90029356007583,-0.8478340180511856,20.726122707147375,21.045600513808605,133,133,1,0.0,0.0,,0.1220703125,0.1220703125,0.0,19.317626953125,19.22607421875,0.4761904761904745,6.40869140625,6.072998046875,5.5276381909547645,1.77001953125,1.251220703125,41.46341463414633,4.57763671875,4.39453125,4.166666666666674,1.28173828125,1.89208984375,-32.25806451612904,0.0,0.0,,13.0615234375,13.0615234375,0.0,0.885009765625,0.579833984375,52.63157894736843
section,PORTAL_FAR,55,55,46.11871892755682,45.20152698863637,0.9171919389204533,2.029117156044391,47.760009765625,46.9970703125,21.68316950804288,22.123146420504764,-1.9887628283022707,19.99267846247712,20.378109452736318,254,254,1,0.0,0.0,,0.1220703125,0.1220703125,0.0,19.073486328125,19.073486328125,0.0,6.65283203125,6.34765625,4.807692307692313,2.227783203125,1.495361328125,48.979591836734706,5.31005859375,4.974365234375,6.748466257668717,2.105712890625,2.8076171875,-25.0,0.0,0.0,,13.0615234375,13.0615234375,0.0,0.885009765625,0.579833984375,52.63157894736843
section,PORTAL_NEAR,35,35,50.92686244419643,50.032261439732146,0.8946010044642847,1.7880483086736065,50.689697265625,49.896240234375,19.63600253394285,19.98710374514212,-1.7566387590528532,18.357422969187674,18.68187001140251,312,308,0,0.030517578125,0.0,,0.1220703125,0.1220703125,,13.458251953125,13.48876953125,,3.509521484375,3.41796875,,3.509521484375,2.197265625,,17.15087890625,13.3056640625,,2.13623046875,6.65283203125,,0.0,0.0,,13.092041015625,13.0615234375,,0.8544921875,0.579833984375,
section,CROSS_DOWN,3,3,42.948404947916664,42.378743489583336,0.5696614583333286,1.344215074411892,50.750732421875,49.468994140625,23.283751776409286,23.59673547767643,-1.3263855992420637,19.095571095571096,19.173785839672323,316,316,1,0.06103515625,0.0,,0.091552734375,0.1220703125,-25.0,13.48876953125,13.48876953125,0.0,3.509521484375,3.41796875,2.678571428571419,3.47900390625,2.197265625,58.33333333333333,17.15087890625,13.3056640625,28.899082568807334,2.13623046875,6.622314453125,-67.74193548387098,0.0,0.0,,13.0615234375,13.031005859375,0.23419203747072626,0.8544921875,0.6103515625,39.99999999999999
section,RETURN_UP,9,9,43.83002387152778,42.887369791666664,0.9426540798611143,2.1979759645793795,49.86572265625,48.52294921875,22.81541079993811,23.316888045540797,-2.1507040074268846,12.637099884303895,12.8552373479796,329,329,1,0.0,0.030517578125,-100.0,0.1220703125,0.091552734375,33.33333333333333,13.48876953125,13.5498046875,-0.45045045045044585,3.5400390625,3.387451171875,4.504504504504503,3.47900390625,2.227783203125,56.16438356164384,15.13671875,12.39013671875,22.16748768472907,2.13623046875,6.011962890625,-64.46700507614213,0.030517578125,0.0,,13.0615234375,13.0615234375,0.0,1.46484375,0.9765625,50.0
section,LOD_RETREAT,47,47,49.75404130651596,48.542428523936174,1.2116127825797847,2.495987158908508,50.78125,49.713134765625,20.098869835303944,20.600535045478864,-2.435204760786147,18.063947078280044,18.471251409244644,338,338,1,0.030517578125,0.0,,0.1220703125,0.1220703125,0.0,13.580322265625,13.580322265625,0.0,3.5400390625,3.448486328125,2.6548672566371723,3.47900390625,2.197265625,58.33333333333333,17.486572265625,13.61083984375,28.47533632286996,2.13623046875,6.683349609375,-68.0365296803653,0.0,0.0,,13.092041015625,13.0615234375,0.2336448598130758,1.46484375,0.946044921875,54.83870967741935
section,LOD_APPROACH,59,59,49.245543399099574,48.132944915254235,1.112598483845339,2.3115113480055127,50.811767578125,49.774169921875,20.306406041572572,20.775790921595597,-2.2592876574201504,15.723608445297504,15.822308063737324,416,416,1,0.030517578125,0.0,,0.091552734375,0.1220703125,-25.0,13.61083984375,13.61083984375,0.0,3.5400390625,3.41796875,3.571428571428581,3.47900390625,2.197265625,58.33333333333333,17.486572265625,13.61083984375,28.47533632286996,2.13623046875,6.683349609375,-68.0365296803653,0.0,0.0,,13.0615234375,13.0615234375,0.0,1.495361328125,0.9765625,53.125
section,FREECAM_YAW,127,127,33.060629536786415,32.674233744463585,0.38639579232282983,1.1825703254274567,34.0576171875,33.721923828125,30.247457898141487,30.605155359441074,-1.1687490460303929,27.238570241064007,27.48993288590604,459,459,1,0.030517578125,0.030517578125,0.0,0.1220703125,0.1220703125,0.0,18.218994140625,18.402099609375,-0.995024875621886,3.021240234375,2.99072265625,1.0204081632652962,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.030517578125,0.0,,13.0615234375,13.0615234375,0.0,1.46484375,0.9765625,50.0
