section_index,section_id,section_name,section_flags,section_flag_names,first_frame,frame_count,clean_frame_count,detailed_frame,crossing_count,logical_hash,presented_hash,state_hash,portal_0_lod,portal_1_lod,endpoint_room,clean_frame_ms_mean,clean_frame_ms_median,clean_average_fps,clean_median_fps,clean_1_percent_low_fps,detail_raw_total_ticks,detail_corrected_total_ticks,detail_corrected_total_ms,admin_raw_ticks,admin_entries,admin_switch_overhead_ticks,admin_corrected_ticks,admin_corrected_ms,admin_corrected_share_percent,setup_raw_ticks,setup_entries,setup_switch_overhead_ticks,setup_corrected_ticks,setup_corrected_ms,setup_corrected_share_percent,root_geometry_raw_ticks,root_geometry_entries,root_geometry_switch_overhead_ticks,root_geometry_corrected_ticks,root_geometry_corrected_ms,root_geometry_corrected_share_percent,root_fill_raw_ticks,root_fill_entries,root_fill_switch_overhead_ticks,root_fill_corrected_ticks,root_fill_corrected_ms,root_fill_corrected_share_percent,portal_setup_raw_ticks,portal_setup_entries,portal_setup_switch_overhead_ticks,portal_setup_corrected_ticks,portal_setup_corrected_ms,portal_setup_corrected_share_percent,portal_geometry_raw_ticks,portal_geometry_entries,portal_geometry_switch_overhead_ticks,portal_geometry_corrected_ticks,portal_geometry_corrected_ms,portal_geometry_corrected_share_percent,portal_fill_raw_ticks,portal_fill_entries,portal_fill_switch_overhead_ticks,portal_fill_corrected_ticks,portal_fill_corrected_ms,portal_fill_corrected_share_percent,wait_raw_ticks,wait_entries,wait_switch_overhead_ticks,wait_corrected_ticks,wait_corrected_ms,wait_corrected_share_percent,present_raw_ticks,present_entries,present_switch_overhead_ticks,present_corrected_ticks,present_corrected_ms,present_corrected_share_percent,overlay_raw_ticks,overlay_entries,overlay_switch_overhead_ticks,overlay_corrected_ticks,overlay_corrected_ms,overlay_corrected_share_percent,transformed_vertices,projected_points,rasterized_polygons,raster_rows,filled_spans,filled_pixels,portal_composite_pixels,portal_clip_pixels,full_portal_views,lod_portal_views,edge_division_fallbacks
0,1,OPEN_YAW,0x04,turn,0,128,127,1,0,0xF5386431,0xCAB6D6F7,0x9E5629C9,1,0,0,33.43669260580709,31.585693359375,29.907264207893753,31.65990338164251,20.44167186525265,1595,1585,48.370361328125,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.25236593059936907,664,1,1,663,20.233154296875,41.829652996845425,213,1,1,212,6.4697265625,13.375394321766562,59,1,1,58,1.77001953125,3.6593059936908516,151,1,1,150,4.57763671875,9.46372239747634,42,1,1,41,1.251220703125,2.586750788643533,2,1,1,1,0.030517578125,0.06309148264984227,429,1,1,428,13.0615234375,27.00315457413249,29,1,1,28,0.8544921875,1.7665615141955835,0,0,0,0,0,0,0,0,0,0,0
1,2,PITCH_SWEEP,0x08,pitch,128,96,95,133,0,0xF5386431,0xCAB6D6F7,0x9E5629C9,1,0,0,40.503572162828945,42.96875,24.6891804006789,23.272727272727273,20.726122707147375,1564,1554,47.42431640625,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.2574002574002574,634,1,1,633,19.317626953125,40.73359073359073,211,1,1,210,6.40869140625,13.513513513513514,59,1,1,58,1.77001953125,3.7323037323037322,151,1,1,150,4.57763671875,9.652509652509652,43,1,1,42,1.28173828125,2.7027027027027026,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,27.54182754182754,30,1,1,29,0.885009765625,1.8661518661518661,0,0,0,0,0,0,0,0,0,0,0
2,3,PORTAL_FAR,0x21,portal_view|lod,224,56,55,254,0,0xACD90C31,0x145BCBFA,0xA72A6D23,1,0,0,46.11871892755682,47.760009765625,21.68316950804288,20.938019169329074,19.99267846247712,1630,1620,49.4384765625,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.24691358024691357,626,1,1,625,19.073486328125,38.58024691358025,219,1,1,218,6.65283203125,13.45679012345679,74,1,1,73,2.227783203125,4.506172839506172,175,1,1,174,5.31005859375,10.74074074074074,70,1,1,69,2.105712890625,4.2592592592592595,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,26.419753086419753,30,1,1,29,0.885009765625,1.7901234567901234,0,0,0,0,0,0,0,0,0,0,0
3,4,PORTAL_NEAR,0x21,portal_view|lod,280,36,35,312,0,0x6BC9BA3D,0x33C5F7DE,0x6CC07690,0,0,0,50.92686244419643,50.689697265625,19.63600253394285,19.72787477423239,18.357422969187674,1776,1765,53.863525390625,2,1,1,1,0.030517578125,0.056657223796033995,5,1,1,4,0.1220703125,0.22662889518413598,442,1,1,441,13.458251953125,24.98583569405099,116,1,1,115,3.509521484375,6.515580736543909,116,1,1,115,3.509521484375,6.515580736543909,563,1,1,562,17.15087890625,31.841359773371106,72,2,2,70,2.13623046875,3.9660056657223794,1,1,1,0,0.0,0.0,430,1,1,429,13.092041015625,24.305949008498583,29,1,1,28,0.8544921875,1.5864022662889519,0,0,0,0,0,0,0,0,0,0,0
4,5,CROSS_DOWN,0x83,portal_view|portal_cross|stress,316,4,3,316,1,0x4574F2BD,0xE4127EFE,0x2C3FE3A2,0,0,1,42.948404947916664,50.750732421875,23.283751776409286,19.70414912808178,19.095571095571096,1775,1764,53.8330078125,3,1,1,2,0.06103515625,0.11337868480725624,4,1,1,3,0.091552734375,0.17006802721088435,443,1,1,442,13.48876953125,25.05668934240363,116,1,1,115,3.509521484375,6.519274376417234,115,1,1,114,3.47900390625,6.462585034013605,563,1,1,562,17.15087890625,31.859410430839002,72,2,2,70,2.13623046875,3.9682539682539684,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,24.263038548752835,29,1,1,28,0.8544921875,1.5873015873015872,0,0,0,0,0,0,0,0,0,0,0
5,6,RETURN_UP,0x93,portal_view|portal_cross|freecam|stress,320,10,9,329,1,0xB2FCEA9A,0xB343C54F,0xA4A3A3D6,0,0,0,43.83002387152778,49.86572265625,22.81541079993811,20.053855569155445,12.637099884303895,1730,1719,52.459716796875,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.2326934264107039,443,1,1,442,13.48876953125,25.712623618382782,117,1,1,116,3.5400390625,6.748109365910413,115,1,1,114,3.47900390625,6.631762652705061,497,1,1,496,15.13671875,28.853984874927285,72,2,2,70,2.13623046875,4.072134962187318,2,1,1,1,0.030517578125,0.058173356602675974,429,1,1,428,13.0615234375,24.898196625945317,49,1,1,48,1.46484375,2.7923211169284468,0,0,0,0,0,0,0,0,0,0,0
6,7,LOD_RETREAT,0x31,portal_view|freecam|lod,330,48,47,338,0,0x7855312D,0x07CC9740,0xA8F2C94A,1,0,0,49.75404130651596,50.78125,20.098869835303944,19.692307692307693,18.063947078280044,1811,1800,54.931640625,2,1,1,1,0.030517578125,0.05555555555555555,5,1,1,4,0.1220703125,0.2222222222222222,446,1,1,445,13.580322265625,24.72222222222222,117,1,1,116,3.5400390625,6.444444444444445,115,1,1,114,3.47900390625,6.333333333333333,574,1,1,573,17.486572265625,31.833333333333332,72,2,2,70,2.13623046875,3.888888888888889,1,1,1,0,0.0,0.0,430,1,1,429,13.092041015625,23.833333333333332,49,1,1,48,1.46484375,2.6666666666666665,0,0,0,0,0,0,0,0,0,0,0
7,8,LOD_APPROACH,0xB3,portal_view|portal_cross|freecam|lod|stress,378,60,59,416,1,0x9391C926,0x6443498C,0x8028BE00,0,0,1,49.245543399099574,50.811767578125,20.306406041572572,19.68048048048048,15.723608445297504,1811,1800,54.931640625,2,1,1,1,0.030517578125,0.05555555555555555,4,1,1,3,0.091552734375,0.16666666666666666,447,1,1,446,13.61083984375,24.77777777777778,117,1,1,116,3.5400390625,6.444444444444445,115,1,1,114,3.47900390625,6.333333333333333,574,1,1,573,17.486572265625,31.833333333333332,72,2,2,70,2.13623046875,3.888888888888889,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,23.77777777777778,50,1,1,49,1.495361328125,2.7222222222222223,0,0,0,0,0,0,0,0,0,0,0
8,9,FREECAM_YAW,0x14,turn|freecam,438,128,127,459,0,0x9391C926,0x6443498C,0xD6FA1B1C,0,0,1,33.060629536786415,34.0576171875,30.247457898141487,29.36200716845878,27.238570241064007,1185,1178,35.94970703125,2,1,1,1,0.030517578125,0.08488964346349745,5,1,1,4,0.1220703125,0.3395585738539898,598,1,1,597,18.218994140625,50.67911714770798,100,1,1,99,3.021240234375,8.404074702886248,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,2,1,1,1,0.030517578125,0.08488964346349745,429,1,1,428,13.0615234375,36.33276740237691,49,1,1,48,1.46484375,4.074702886247878,0,0,0,0,0,0,0,0,0,0,0
9,10,FREECAM_3D,0xD8,pitch|freecam|vertical|stress,566,288,287,612,1,0x13BBC90D,0x708E17EF,0xB2A40B9D,2,0,0,41.84757458623693,36.529541015625,23.896247509858927,27.375104427736005,15.718580108730412,2073,2062,62.92724609375,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.19398642095053345,659,1,1,658,20.08056640625,31.910766246362755,135,1,1,134,4.08935546875,6.498545101842871,114,1,1,113,3.448486328125,5.480116391852571,609,1,1,608,18.5546875,29.485935984481085,70,2,2,68,2.0751953125,3.297769156159069,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,20.75654704170708,50,1,1,49,1.495361328125,2.376333656644035,0,0,0,0,0,0,0,0,0,0,0
