section_index,section_id,section_name,section_flags,section_flag_names,first_frame,frame_count,clean_frame_count,detailed_frame,crossing_count,logical_hash,presented_hash,state_hash,portal_0_lod,portal_1_lod,endpoint_room,clean_frame_ms_mean,clean_frame_ms_median,clean_average_fps,clean_median_fps,clean_1_percent_low_fps,detail_raw_total_ticks,detail_corrected_total_ticks,detail_corrected_total_ms,admin_raw_ticks,admin_entries,admin_switch_overhead_ticks,admin_corrected_ticks,admin_corrected_ms,admin_corrected_share_percent,setup_raw_ticks,setup_entries,setup_switch_overhead_ticks,setup_corrected_ticks,setup_corrected_ms,setup_corrected_share_percent,root_geometry_raw_ticks,root_geometry_entries,root_geometry_switch_overhead_ticks,root_geometry_corrected_ticks,root_geometry_corrected_ms,root_geometry_corrected_share_percent,root_fill_raw_ticks,root_fill_entries,root_fill_switch_overhead_ticks,root_fill_corrected_ticks,root_fill_corrected_ms,root_fill_corrected_share_percent,portal_setup_raw_ticks,portal_setup_entries,portal_setup_switch_overhead_ticks,portal_setup_corrected_ticks,portal_setup_corrected_ms,portal_setup_corrected_share_percent,portal_geometry_raw_ticks,portal_geometry_entries,portal_geometry_switch_overhead_ticks,portal_geometry_corrected_ticks,portal_geometry_corrected_ms,portal_geometry_corrected_share_percent,portal_fill_raw_ticks,portal_fill_entries,portal_fill_switch_overhead_ticks,portal_fill_corrected_ticks,portal_fill_corrected_ms,portal_fill_corrected_share_percent,wait_raw_ticks,wait_entries,wait_switch_overhead_ticks,wait_corrected_ticks,wait_corrected_ms,wait_corrected_share_percent,present_raw_ticks,present_entries,present_switch_overhead_ticks,present_corrected_ticks,present_corrected_ms,present_corrected_share_percent,overlay_raw_ticks,overlay_entries,overlay_switch_overhead_ticks,overlay_corrected_ticks,overlay_corrected_ms,overlay_corrected_share_percent,transformed_vertices,projected_points,rasterized_polygons,raster_rows,filled_spans,filled_pixels,portal_composite_pixels,portal_clip_pixels,full_portal_views,lod_portal_views,edge_division_fallbacks
0,1,OPEN_YAW,0x04,turn,0,128,127,1,0,0xF5386431,0xCAB6D6F7,0x9E5629C9,1,0,0,32.68456646776575,30.975341796875,30.595480009998678,32.28374384236453,21.05912596401028,1547,1537,46.905517578125,2,1,1,1,0.030517578125,0.06506180871828236,4,1,1,3,0.091552734375,0.1951854261548471,651,1,1,650,19.83642578125,42.29017566688354,208,1,1,207,6.317138671875,13.46779440468445,41,1,1,40,1.220703125,2.6024723487312946,151,1,1,150,4.57763671875,9.759271307742356,39,1,1,38,1.15966796875,2.47234873129473,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,27.846454131424853,21,1,1,20,0.6103515625,1.3012361743656473,0,0,0,0,0,0,0,0,0,0,0
1,2,PITCH_SWEEP,0x08,pitch,128,96,95,133,0,0xF5386431,0xCAB6D6F7,0x9E5629C9,1,0,0,39.52540347450658,41.93115234375,25.30018449134841,23.848617176128094,21.36114732724902,1515,1505,45.928955078125,2,1,1,1,0.030517578125,0.0664451827242525,4,1,1,3,0.091552734375,0.19933554817275748,622,1,1,621,18.951416015625,41.262458471760795,205,1,1,204,6.2255859375,13.554817275747508,41,1,1,40,1.220703125,2.6578073089700998,152,1,1,151,4.608154296875,10.033222591362126,38,1,1,37,1.129150390625,2.4584717607973423,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,28.438538205980066,21,1,1,20,0.6103515625,1.3289036544850499,0,0,0,0,0,0,0,0,0,0,0
2,3,PORTAL_FAR,0x21,portal_view|lod,224,56,55,254,0,0xACD90C31,0x145BCBFA,0xA72A6D23,1,0,0,44.53235973011363,46.38671875,22.45558075207456,21.557894736842105,20.647763074984248,1576,1566,47.79052734375,2,1,1,1,0.030517578125,0.06385696040868455,4,1,1,3,0.091552734375,0.19157088122605365,614,1,1,613,18.707275390625,39.14431673052363,215,1,1,214,6.53076171875,13.665389527458492,49,1,1,48,1.46484375,3.0651340996168583,175,1,1,174,5.31005859375,11.11111111111111,65,1,1,64,1.953125,4.086845466155811,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,27.330779054916984,22,1,1,21,0.640869140625,1.3409961685823755,0,0,0,0,0,0,0,0,0,0,0
3,4,PORTAL_NEAR,0x21,portal_view|lod,280,36,35,310,0,0x6BC9BA3D,0x33C5F7DE,0x6CC07690,0,0,0,49.015590122767854,48.858642578125,20.40167215156097,20.467207995003122,19.095571095571096,1703,1693,51.666259765625,1,1,1,0,0.0,0.0,4,1,1,3,0.091552734375,0.1772002362669817,431,1,1,430,13.12255859375,25.39870053160071,116,1,1,115,3.509521484375,6.792675723567632,71,1,1,70,2.13623046875,4.134672179562906,610,1,1,609,18.585205078125,35.97164796219728,19,1,1,18,0.54931640625,1.0632014176018902,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,25.280567040756054,21,1,1,20,0.6103515625,1.1813349084465445,0,0,0,0,0,0,0,0,0,0,0
4,5,CROSS_DOWN,0x83,portal_view|portal_cross|stress,316,4,3,316,1,0x4574F2BD,0xE4127EFE,0x2C3FE3A2,0,0,1,41.900634765625,48.614501953125,23.86598689002185,20.569993722536097,19.275294117647057,1703,1693,51.666259765625,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.23626698168930893,431,1,1,430,13.12255859375,25.39870053160071,115,1,1,114,3.47900390625,6.733608978145305,71,1,1,70,2.13623046875,4.134672179562906,610,1,1,609,18.585205078125,35.97164796219728,18,1,1,17,0.518798828125,1.004134672179563,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,25.280567040756054,22,1,1,21,0.640869140625,1.2404016538688718,0,0,0,0,0,0,0,0,0,0,0
5,6,RETURN_UP,0x93,portal_view|portal_cross|freecam|stress,320,10,9,329,1,0xB2FCEA9A,0xB343C54F,0xA4A3A3D6,0,0,0,42.19224717881944,47.54638671875,23.701036727477298,21.03209242618742,13.018673023440604,1651,1641,50.079345703125,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.2437538086532602,432,1,1,431,13.153076171875,26.264472882388787,115,1,1,114,3.47900390625,6.946983546617916,71,1,1,70,2.13623046875,4.2656916514320535,544,1,1,543,16.571044921875,33.089579524680076,19,1,1,18,0.54931640625,1.0968921389396709,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,26.08165752589884,34,1,1,33,1.007080078125,2.010968921389397,0,0,0,0,0,0,0,0,0,0,0
6,7,LOD_RETREAT,0x31,portal_view|freecam|lod,330,48,47,338,0,0x7855312D,0x07CC9740,0xA8F2C94A,1,0,0,47.66845703125,48.675537109375,20.978233034571062,20.54420062695925,18.84301322599195,1732,1722,52.55126953125,2,1,1,1,0.030517578125,0.05807200929152149,4,1,1,3,0.091552734375,0.17421602787456447,435,1,1,434,13.24462890625,25.203252032520325,116,1,1,115,3.509521484375,6.678281068524971,71,1,1,70,2.13623046875,4.065040650406504,622,1,1,621,18.951416015625,36.062717770034844,18,1,1,17,0.518798828125,0.9872241579558653,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,24.854819976771196,34,1,1,33,1.007080078125,1.916376306620209,0,0,0,0,0,0,0,0,0,0,0
7,8,LOD_APPROACH,0xB3,portal_view|portal_cross|freecam|lod|stress,378,60,59,416,1,0x9391C926,0x6443498C,0x8028BE00,0,0,1,47.248452396716104,48.7060546875,21.164714382676856,20.531328320802004,15.945498783454989,1732,1722,52.55126953125,2,1,1,1,0.030517578125,0.05807200929152149,4,1,1,3,0.091552734375,0.17421602787456447,435,1,1,434,13.24462890625,25.203252032520325,116,1,1,115,3.509521484375,6.678281068524971,71,1,1,70,2.13623046875,4.065040650406504,622,1,1,621,18.951416015625,36.062717770034844,18,1,1,17,0.518798828125,0.9872241579558653,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,24.854819976771196,34,1,1,33,1.007080078125,1.916376306620209,0,0,0,0,0,0,0,0,0,0,0
8,9,FREECAM_YAW,0x14,turn|freecam,438,128,127,459,0,0x9391C926,0x6443498C,0xD6FA1B1C,0,0,1,32.27414108636811,33.294677734375,30.98455811183084,30.034830430797435,27.828450106157113,1157,1150,35.09521484375,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.34782608695652173,588,1,1,587,17.913818359375,51.04347826086956,99,1,1,98,2.99072265625,8.521739130434783,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,37.21739130434783,34,1,1,33,1.007080078125,2.869565217391304,0,0,0,0,0,0,0,0,0,0,0
9,10,FREECAM_3D,0xD8,pitch|freecam|vertical|stress,566,288,287,612,1,0x13BBC90D,0x708E17EF,0xB2A40B9D,2,0,0,40.73947813452744,35.614013671875,24.546215263186742,28.07883461868038,16.22981674096087,1993,1983,60.516357421875,2,1,1,1,0.030517578125,0.05042864346949067,4,1,1,3,0.091552734375,0.15128593040847202,647,1,1,646,19.71435546875,32.57690368129097,133,1,1,132,4.0283203125,6.656580937972769,71,1,1,70,2.13623046875,3.530005042864347,654,1,1,653,19.927978515625,32.929904185577406,18,1,1,17,0.518798828125,0.8572869389813415,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,21.58345940494201,34,1,1,33,1.007080078125,1.6641452344931922,0,0,0,0,0,0,0,0,0,0,0
