section_index,section_id,section_name,section_flags,section_flag_names,first_frame,frame_count,clean_frame_count,detailed_frame,crossing_count,logical_hash,presented_hash,state_hash,portal_0_lod,portal_1_lod,endpoint_room,clean_frame_ms_mean,clean_frame_ms_median,clean_average_fps,clean_median_fps,clean_1_percent_low_fps,detail_raw_total_ticks,detail_corrected_total_ticks,detail_corrected_total_ms,admin_raw_ticks,admin_entries,admin_switch_overhead_ticks,admin_corrected_ticks,admin_corrected_ms,admin_corrected_share_percent,setup_raw_ticks,setup_entries,setup_switch_overhead_ticks,setup_corrected_ticks,setup_corrected_ms,setup_corrected_share_percent,root_geometry_raw_ticks,root_geometry_entries,root_geometry_switch_overhead_ticks,root_geometry_corrected_ticks,root_geometry_corrected_ms,root_geometry_corrected_share_percent,root_fill_raw_ticks,root_fill_entries,root_fill_switch_overhead_ticks,root_fill_corrected_ticks,root_fill_corrected_ms,root_fill_corrected_share_percent,portal_setup_raw_ticks,portal_setup_entries,portal_setup_switch_overhead_ticks,portal_setup_corrected_ticks,portal_setup_corrected_ms,portal_setup_corrected_share_percent,portal_geometry_raw_ticks,portal_geometry_entries,portal_geometry_switch_overhead_ticks,portal_geometry_corrected_ticks,portal_geometry_corrected_ms,portal_geometry_corrected_share_percent,portal_fill_raw_ticks,portal_fill_entries,portal_fill_switch_overhead_ticks,portal_fill_corrected_ticks,portal_fill_corrected_ms,portal_fill_corrected_share_percent,wait_raw_ticks,wait_entries,wait_switch_overhead_ticks,wait_corrected_ticks,wait_corrected_ms,wait_corrected_share_percent,present_raw_ticks,present_entries,present_switch_overhead_ticks,present_corrected_ticks,present_corrected_ms,present_corrected_share_percent,overlay_raw_ticks,overlay_entries,overlay_switch_overhead_ticks,overlay_corrected_ticks,overlay_corrected_ms,overlay_corrected_share_percent,transformed_vertices,projected_points,rasterized_polygons,raster_rows,filled_spans,filled_pixels,portal_composite_pixels,portal_clip_pixels,full_portal_views,lod_portal_views,edge_division_fallbacks
0,1,OPEN_YAW,0x04,turn,0,128,127,1,0,0xF5386431,0xCAB6D6F7,0x9E5629C9,1,0,0,32.68696942667323,30.975341796875,30.59323080542241,32.28374384236453,21.045600513808605,1548,1539,46.966552734375,2,1,1,1,0.030517578125,0.0649772579597141,4,1,1,3,0.091552734375,0.1949317738791423,652,1,1,651,19.866943359375,42.30019493177388,207,1,1,206,6.28662109375,13.385315139701104,41,1,1,40,1.220703125,2.599090318388564,152,1,1,151,4.608154296875,9.81156595191683,39,1,1,38,1.15966796875,2.4691358024691357,0,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,27.810266406757634,22,1,1,21,0.640869140625,1.364522417153996,0,0,0,0,0,0,0,0,0,0,0
1,2,PITCH_SWEEP,0x08,pitch,128,96,95,169,0,0xF5386431,0xCAB6D6F7,0x9E5629C9,1,0,0,39.5276521381579,41.93115234375,25.298745205123204,23.848617176128094,21.347231270358307,1515,1505,45.928955078125,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.26578073089701,621,1,1,620,18.9208984375,41.19601328903654,206,1,1,205,6.256103515625,13.621262458471762,41,1,1,40,1.220703125,2.6578073089700998,152,1,1,151,4.608154296875,10.033222591362126,38,1,1,37,1.129150390625,2.4584717607973423,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,28.438538205980066,21,1,1,20,0.6103515625,1.3289036544850499,0,0,0,0,0,0,0,0,0,0,0
2,3,PORTAL_FAR,0x21,portal_view|lod,224,56,55,254,0,0xACD90C31,0x145BCBFA,0xA72A6D23,1,0,0,44.54123757102273,46.38671875,22.451104965493187,21.557894736842105,20.66078184110971,1576,1566,47.79052734375,2,1,1,1,0.030517578125,0.06385696040868455,4,1,1,3,0.091552734375,0.19157088122605365,614,1,1,613,18.707275390625,39.14431673052363,215,1,1,214,6.53076171875,13.665389527458492,50,1,1,49,1.495361328125,3.128991060025543,175,1,1,174,5.31005859375,11.11111111111111,65,1,1,64,1.953125,4.086845466155811,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,27.330779054916984,21,1,1,20,0.6103515625,1.277139208173691,0,0,0,0,0,0,0,0,0,0,0
3,4,PORTAL_NEAR,0x21,portal_view|lod,280,36,35,309,0,0x6BC9BA3D,0x33C5F7DE,0x6CC07690,0,0,0,48.935372488839285,48.736572265625,20.43511572795467,20.5184721352536,19.12901342673672,1700,1689,51.544189453125,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.23682652457075193,431,1,1,430,13.12255859375,25.458851391355832,115,1,1,114,3.47900390625,6.74955595026643,71,1,1,70,2.13623046875,4.144464179988159,564,1,1,563,17.181396484375,33.333333333333336,62,2,2,60,1.8310546875,3.552397868561279,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,25.340438129070456,21,1,1,20,0.6103515625,1.1841326228537596,0,0,0,0,0,0,0,0,0,0,0
4,5,CROSS_DOWN,0x83,portal_view|portal_cross|stress,316,4,3,316,1,0x4574F2BD,0xE4127EFE,0x2C3FE3A2,0,0,1,41.880289713541664,48.553466796875,23.87758076269128,20.595851665619108,19.286639199529134,1699,1688,51.513671875,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.23696682464454977,430,1,1,429,13.092041015625,25.414691943127963,116,1,1,115,3.509521484375,6.812796208530806,71,1,1,70,2.13623046875,4.1469194312796205,562,1,1,561,17.120361328125,33.2345971563981,63,2,2,61,1.861572265625,3.6137440758293837,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,25.355450236966824,21,1,1,20,0.6103515625,1.1848341232227488,0,0,0,0,0,0,0,0,0,0,0
5,6,RETURN_UP,0x93,portal_view|portal_cross|freecam|stress,320,10,9,329,1,0xB2FCEA9A,0xB343C54F,0xA4A3A3D6,0,0,0,42.144775390625,47.4853515625,23.72773352643012,21.05912596401028,13.029025844930418,1649,1638,49.98779296875,2,1,1,1,0.030517578125,0.06105006105006105,4,1,1,3,0.091552734375,0.18315018315018314,432,1,1,431,13.153076171875,26.31257631257631,115,1,1,114,3.47900390625,6.95970695970696,72,1,1,71,2.166748046875,4.334554334554334,497,1,1,496,15.13671875,30.28083028083028,63,2,2,61,1.861572265625,3.724053724053724,1,1,1,0,0.0,0.0,428,1,1,427,13.031005859375,26.068376068376068,35,1,1,34,1.03759765625,2.075702075702076,0,0,0,0,0,0,0,0,0,0,0
6,7,LOD_RETREAT,0x31,portal_view|freecam|lod,330,48,47,338,0,0x7855312D,0x07CC9740,0xA8F2C94A,1,0,0,47.6191094581117,48.64501953125,20.999972729008153,20.557089084065243,18.897347174163784,1728,1717,52.398681640625,1,1,1,0,0.0,0.0,4,1,1,3,0.091552734375,0.17472335468841002,435,1,1,434,13.24462890625,25.276645311589984,116,1,1,115,3.509521484375,6.697728596389051,71,1,1,70,2.13623046875,4.0768782760629,575,1,1,574,17.51708984375,33.43040186371579,62,2,2,60,1.8310546875,3.4944670937682005,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,24.927198602213164,34,1,1,33,1.007080078125,1.9219569015725102,0,0,0,0,0,0,0,0,0,0,0
7,8,LOD_APPROACH,0xB3,portal_view|portal_cross|freecam|lod|stress,378,60,59,416,1,0x9391C926,0x6443498C,0x8028BE00,0,0,1,47.20758987685382,48.7060546875,21.183034393592425,20.531328320802004,15.945498783454989,1728,1717,52.398681640625,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.23296447291788003,434,1,1,433,13.214111328125,25.218404193360513,116,1,1,115,3.509521484375,6.697728596389051,72,1,1,71,2.166748046875,4.135119394292371,575,1,1,574,17.51708984375,33.43040186371579,62,2,2,60,1.8310546875,3.4944670937682005,1,1,1,0,0.0,0.0,428,1,1,427,13.031005859375,24.868957483983692,34,1,1,33,1.007080078125,1.9219569015725102,0,0,0,0,0,0,0,0,0,0,0
8,9,FREECAM_YAW,0x14,turn|freecam,438,128,127,459,0,0x9391C926,0x6443498C,0xD6FA1B1C,0,0,1,32.27582315760335,33.294677734375,30.98294333554204,30.034830430797435,27.828450106157113,1157,1150,35.09521484375,2,1,1,1,0.030517578125,0.08695652173913043,4,1,1,3,0.091552734375,0.2608695652173913,588,1,1,587,17.913818359375,51.04347826086956,99,1,1,98,2.99072265625,8.521739130434783,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,37.21739130434783,34,1,1,33,1.007080078125,2.869565217391304,0,0,0,0,0,0,0,0,0,0,0
9,10,FREECAM_3D,0xD8,pitch|freecam|vertical|stress,566,288,287,612,1,0x13BBC90D,0x708E17EF,0xB2A40B9D,2,0,0,40.73416148328615,35.614013671875,24.549419052367515,28.07883461868038,16.253968253968253,1990,1979,60.394287109375,2,1,1,1,0.030517578125,0.050530570995452245,4,1,1,3,0.091552734375,0.15159171298635674,647,1,1,646,19.71435546875,32.64274886306215,133,1,1,132,4.0283203125,6.670035371399697,71,1,1,70,2.13623046875,3.5371399696816574,609,1,1,608,18.5546875,30.722587165234966,60,2,2,58,1.77001953125,2.9307731177362304,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,21.62708438605356,34,1,1,33,1.007080078125,1.6675088428499243,0,0,0,0,0,0,0,0,0,0,0
