section_index,section_id,section_name,section_flags,section_flag_names,first_frame,frame_count,clean_frame_count,detailed_frame,crossing_count,logical_hash,presented_hash,state_hash,portal_0_lod,portal_1_lod,endpoint_room,clean_frame_ms_mean,clean_frame_ms_median,clean_average_fps,clean_median_fps,clean_1_percent_low_fps,detail_raw_total_ticks,detail_corrected_total_ticks,detail_corrected_total_ms,admin_raw_ticks,admin_entries,admin_switch_overhead_ticks,admin_corrected_ticks,admin_corrected_ms,admin_corrected_share_percent,setup_raw_ticks,setup_entries,setup_switch_overhead_ticks,setup_corrected_ticks,setup_corrected_ms,setup_corrected_share_percent,root_geometry_raw_ticks,root_geometry_entries,root_geometry_switch_overhead_ticks,root_geometry_corrected_ticks,root_geometry_corrected_ms,root_geometry_corrected_share_percent,root_fill_raw_ticks,root_fill_entries,root_fill_switch_overhead_ticks,root_fill_corrected_ticks,root_fill_corrected_ms,root_fill_corrected_share_percent,portal_setup_raw_ticks,portal_setup_entries,portal_setup_switch_overhead_ticks,portal_setup_corrected_ticks,portal_setup_corrected_ms,portal_setup_corrected_share_percent,portal_geometry_raw_ticks,portal_geometry_entries,portal_geometry_switch_overhead_ticks,portal_geometry_corrected_ticks,portal_geometry_corrected_ms,portal_geometry_corrected_share_percent,portal_fill_raw_ticks,portal_fill_entries,portal_fill_switch_overhead_ticks,portal_fill_corrected_ticks,portal_fill_corrected_ms,portal_fill_corrected_share_percent,wait_raw_ticks,wait_entries,wait_switch_overhead_ticks,wait_corrected_ticks,wait_corrected_ms,wait_corrected_share_percent,present_raw_ticks,present_entries,present_switch_overhead_ticks,present_corrected_ticks,present_corrected_ms,present_corrected_share_percent,overlay_raw_ticks,overlay_entries,overlay_switch_overhead_ticks,overlay_corrected_ticks,overlay_corrected_ms,overlay_corrected_share_percent,transformed_vertices,projected_points,rasterized_polygons,raster_rows,filled_spans,filled_pixels,portal_composite_pixels,portal_clip_pixels,full_portal_views,lod_portal_views,edge_division_fallbacks
0,1,OPEN_YAW,0x04,turn,0,128,127,1,0,0xF5386431,0xCAB6D6F7,0x9E5629C9,1,0,0,33.38358721395177,31.31103515625,29.95483959201595,31.937621832358673,20.18355404989221,1617,1607,49.041748046875,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.24891101431238333,656,1,1,655,19.989013671875,40.75917859365277,213,1,1,212,6.4697265625,13.192283758556316,56,1,1,55,1.678466796875,3.4225264467952705,170,1,1,169,5.157470703125,10.516490354698195,56,1,1,55,1.678466796875,3.4225264467952705,2,1,1,1,0.030517578125,0.06222775357809583,429,1,1,428,13.0615234375,26.633478531425016,29,1,1,28,0.8544921875,1.7423771001866832,0,0,0,0,0,0,0,0,0,0,0
1,2,PITCH_SWEEP,0x08,pitch,128,96,95,133,0,0xF5386431,0xCAB6D6F7,0x9E5629C9,1,0,0,40.71205540707237,43.182373046875,24.562749043279283,23.157597173144875,20.428927680798004,1589,1579,48.187255859375,3,1,1,2,0.06103515625,0.1266624445851805,5,1,1,4,0.1220703125,0.253324889170361,626,1,1,625,19.073486328125,39.582013932868904,211,1,1,210,6.40869140625,13.299556681443953,56,1,1,55,1.678466796875,3.4832172260924636,172,1,1,171,5.218505859375,10.829639012032933,56,1,1,55,1.678466796875,3.4832172260924636,2,1,1,1,0.030517578125,0.06333122229259025,429,1,1,428,13.0615234375,27.105763141228625,29,1,1,28,0.8544921875,1.773274224192527,0,0,0,0,0,0,0,0,0,0,0
2,3,PORTAL_FAR,0x21,portal_view|lod,224,56,55,254,0,0xACD90C31,0x145BCBFA,0xA72A6D23,1,0,0,47.19793146306818,48.4619140625,21.187369213044605,20.634760705289672,19.51637879690292,1668,1658,50.59814453125,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.24125452352231605,619,1,1,618,18.85986328125,37.27382388419783,219,1,1,218,6.65283203125,13.148371531966225,69,1,1,68,2.0751953125,4.101326899879373,199,1,1,198,6.04248046875,11.942098914354645,96,1,1,95,2.899169921875,5.729794933655006,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,25.814234016887816,30,1,1,29,0.885009765625,1.7490952955367913,0,0,0,0,0,0,0,0,0,0,0
3,4,PORTAL_NEAR,0x21,portal_view|lod,280,36,35,308,0,0x6BC9BA3D,0x33C5F7DE,0x6CC07690,0,0,0,54.982212611607146,54.962158203125,18.187700212502776,18.194336479733483,16.804102564102564,1941,1930,58.89892578125,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.20725388601036268,436,1,1,435,13.275146484375,22.53886010362694,116,1,1,115,3.509521484375,5.958549222797927,107,1,1,106,3.23486328125,5.492227979274611,736,1,1,735,22.430419921875,38.082901554404145,80,2,2,78,2.38037109375,4.041450777202073,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,22.17616580310881,30,1,1,29,0.885009765625,1.5025906735751295,0,0,0,0,0,0,0,0,0,0,0
4,5,CROSS_DOWN,0x83,portal_view|portal_cross|stress,316,4,3,316,1,0x4574F2BD,0xE4127EFE,0x2C3FE3A2,0,0,1,43.955485026041664,52.154541015625,22.750289284887756,19.173785839672323,18.460845070422536,1940,1929,58.868408203125,2,1,1,1,0.030517578125,0.05184033177812338,5,1,1,4,0.1220703125,0.20736132711249353,435,1,1,434,13.24462890625,22.498703991705547,117,1,1,116,3.5400390625,6.013478486262312,107,1,1,106,3.23486328125,5.495075168481078,734,1,1,733,22.369384765625,37.99896319336444,80,2,2,78,2.38037109375,4.043545878693624,2,1,1,1,0.030517578125,0.05184033177812338,429,1,1,428,13.0615234375,22.187662001036806,29,1,1,28,0.8544921875,1.4515292897874545,0,0,0,0,0,0,0,0,0,0,0
5,6,RETURN_UP,0x93,portal_view|portal_cross|freecam|stress,320,10,9,329,1,0xB2FCEA9A,0xB343C54F,0xA4A3A3D6,0,0,0,45.80010308159722,53.253173828125,21.834011993781,18.778223495702004,12.113863216266173,1871,1860,56.7626953125,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.21505376344086022,437,1,1,436,13.3056640625,23.440860215053764,116,1,1,115,3.509521484375,6.182795698924731,107,1,1,106,3.23486328125,5.698924731182796,645,1,1,644,19.6533203125,34.623655913978496,80,2,2,78,2.38037109375,4.193548387096774,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,23.010752688172044,50,1,1,49,1.495361328125,2.6344086021505375,0,0,0,0,0,0,0,0,0,0,0
6,7,LOD_RETREAT,0x31,portal_view|freecam|lod,330,48,47,338,0,0x7855312D,0x07CC9740,0xA8F2C94A,1,0,0,52.996696309840424,54.26025390625,18.869100710610144,18.429696287964006,16.54949494949495,1978,1967,60.028076171875,2,1,1,1,0.030517578125,0.05083884087442806,4,1,1,3,0.091552734375,0.1525165226232842,440,1,1,439,13.397216796875,22.31825114387392,117,1,1,116,3.5400390625,5.8973055414336555,107,1,1,106,3.23486328125,5.388917132689374,748,1,1,747,22.796630859375,37.976614133197764,80,2,2,78,2.38037109375,3.9654295882053887,1,1,1,0,0.0,0.0,430,1,1,429,13.092041015625,21.809862735129638,49,1,1,48,1.46484375,2.440264361972547,0,0,0,0,0,0,0,0,0,0,0
7,8,LOD_APPROACH,0xB3,portal_view|portal_cross|freecam|lod|stress,378,60,59,416,1,0x9391C926,0x6443498C,0x8028BE00,0,0,1,52.25643869173729,54.290771484375,19.13639783030447,18.419336706014615,15.776600866634569,1978,1967,60.028076171875,2,1,1,1,0.030517578125,0.05083884087442806,5,1,1,4,0.1220703125,0.20335536349771224,439,1,1,438,13.36669921875,22.267412302999492,117,1,1,116,3.5400390625,5.8973055414336555,107,1,1,106,3.23486328125,5.388917132689374,748,1,1,747,22.796630859375,37.976614133197764,80,2,2,78,2.38037109375,3.9654295882053887,2,1,1,1,0.030517578125,0.05083884087442806,429,1,1,428,13.0615234375,21.75902389425521,49,1,1,48,1.46484375,2.440264361972547,0,0,0,0,0,0,0,0,0,0,0
8,9,FREECAM_YAW,0x14,turn|freecam,438,128,127,543,0,0x9391C926,0x6443498C,0xD6FA1B1C,0,0,1,32.84748708169291,33.843994140625,30.44372915081641,29.547339945897203,27.39799331103679,1178,1171,35.736083984375,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.3415883859948762,591,1,1,590,18.00537109375,50.38428693424424,101,1,1,100,3.0517578125,8.539709649871904,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,36.54995730145175,50,1,1,49,1.495361328125,4.184457728437233,0,0,0,0,0,0,0,0,0,0,0
9,10,FREECAM_3D,0xD8,pitch|freecam|vertical|stress,566,288,287,612,1,0x13BBC90D,0x708E17EF,0xB2A40B9D,2,0,0,42.28577298154399,36.2548828125,23.648615822547672,27.58249158249158,14.689778840406456,2219,2208,67.3828125,2,1,1,1,0.030517578125,0.04528985507246377,5,1,1,4,0.1220703125,0.18115942028985507,652,1,1,651,19.866943359375,29.483695652173914,134,1,1,133,4.058837890625,6.023550724637682,107,1,1,106,3.23486328125,4.800724637681159,761,1,1,760,23.193359375,34.42028985507246,78,2,2,76,2.3193359375,3.4420289855072466,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,19.384057971014492,50,1,1,49,1.495361328125,2.2192028985507246,0,0,0,0,0,0,0,0,0,0,0
