section_index,section_id,section_name,section_flags,section_flag_names,first_frame,frame_count,clean_frame_count,detailed_frame,crossing_count,logical_hash,presented_hash,state_hash,portal_0_lod,portal_1_lod,endpoint_room,clean_frame_ms_mean,clean_frame_ms_median,clean_average_fps,clean_median_fps,clean_1_percent_low_fps,detail_raw_total_ticks,detail_corrected_total_ticks,detail_corrected_total_ms,admin_raw_ticks,admin_entries,admin_switch_overhead_ticks,admin_corrected_ticks,admin_corrected_ms,admin_corrected_share_percent,setup_raw_ticks,setup_entries,setup_switch_overhead_ticks,setup_corrected_ticks,setup_corrected_ms,setup_corrected_share_percent,root_geometry_raw_ticks,root_geometry_entries,root_geometry_switch_overhead_ticks,root_geometry_corrected_ticks,root_geometry_corrected_ms,root_geometry_corrected_share_percent,root_fill_raw_ticks,root_fill_entries,root_fill_switch_overhead_ticks,root_fill_corrected_ticks,root_fill_corrected_ms,root_fill_corrected_share_percent,portal_setup_raw_ticks,portal_setup_entries,portal_setup_switch_overhead_ticks,portal_setup_corrected_ticks,portal_setup_corrected_ms,portal_setup_corrected_share_percent,portal_geometry_raw_ticks,portal_geometry_entries,portal_geometry_switch_overhead_ticks,portal_geometry_corrected_ticks,portal_geometry_corrected_ms,portal_geometry_corrected_share_percent,portal_fill_raw_ticks,portal_fill_entries,portal_fill_switch_overhead_ticks,portal_fill_corrected_ticks,portal_fill_corrected_ms,portal_fill_corrected_share_percent,wait_raw_ticks,wait_entries,wait_switch_overhead_ticks,wait_corrected_ticks,wait_corrected_ms,wait_corrected_share_percent,present_raw_ticks,present_entries,present_switch_overhead_ticks,present_corrected_ticks,present_corrected_ms,present_corrected_share_percent,overlay_raw_ticks,overlay_entries,overlay_switch_overhead_ticks,overlay_corrected_ticks,overlay_corrected_ms,overlay_corrected_share_percent,transformed_vertices,projected_points,rasterized_polygons,raster_rows,filled_spans,filled_pixels,portal_composite_pixels,portal_clip_pixels,full_portal_views,lod_portal_views,edge_division_fallbacks
0,1,OPEN_YAW,0x04,turn,0,128,127,1,0,0xF5386431,0xCAB6D6F7,0x9E5629C9,1,0,0,31.9334015132874,30.2734375,31.315173223369353,33.03225806451613,21.347231270358307,1526,1515,46.234130859375,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.264026402640264,629,1,1,628,19.1650390625,41.45214521452145,204,1,1,203,6.195068359375,13.3993399339934,47,1,1,46,1.40380859375,3.036303630363036,137,1,1,136,4.150390625,8.976897689768977,52,2,2,50,1.52587890625,3.3003300330033003,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,28.25082508250825,21,1,1,20,0.6103515625,1.3201320132013201,0,0,0,0,0,0,0,0,0,0,0
1,2,PITCH_SWEEP,0x08,pitch,128,96,95,133,0,0xF5386431,0xCAB6D6F7,0x9E5629C9,1,0,0,38.71652703536184,41.107177734375,25.828762974701924,24.326651818856718,21.67195767195767,1493,1482,45.22705078125,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.2699055330634278,599,1,1,598,18.24951171875,40.35087719298246,203,1,1,202,6.16455078125,13.630229419703104,46,1,1,45,1.373291015625,3.0364372469635628,137,1,1,136,4.150390625,9.176788124156545,52,2,2,50,1.52587890625,3.3738191632928474,1,1,1,0,0.0,0.0,428,1,1,427,13.031005859375,28.81241565452092,21,1,1,20,0.6103515625,1.349527665317139,0,0,0,0,0,0,0,0,0,0,0
2,3,PORTAL_FAR,0x21,portal_view|lod,224,56,55,255,0,0xACD90C31,0x145BCBFA,0xA72A6D23,1,0,0,43.86263760653409,45.684814453125,22.798446572465878,21.889111556446228,20.938019169329074,1554,1543,47.088623046875,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.2592352559948153,591,1,1,590,18.00537109375,38.23720025923526,210,1,1,209,6.378173828125,13.545042125729099,56,1,1,55,1.678466796875,3.5644847699287103,162,1,1,161,4.913330078125,10.434219053791315,79,2,2,77,2.349853515625,4.990278677900195,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,27.738172391445236,20,1,1,19,0.579833984375,1.2313674659753726,0,0,0,0,0,0,0,0,0,0,0
3,4,PORTAL_NEAR,0x21,portal_view|lod,280,36,35,312,0,0x6BC9BA3D,0x33C5F7DE,0x6CC07690,0,0,0,47.76611328125,47.332763671875,20.9353437260414,21.12701482914249,19.656868626274743,1656,1645,50.201416015625,2,1,1,1,0.030517578125,0.060790273556231005,5,1,1,4,0.1220703125,0.24316109422492402,406,1,1,405,12.359619140625,24.620060790273556,113,1,1,112,3.41796875,6.808510638297872,84,1,1,83,2.532958984375,5.045592705167174,525,1,1,524,15.9912109375,31.854103343465045,71,2,2,69,2.105712890625,4.194528875379939,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,26.018237082066868,20,1,1,19,0.579833984375,1.155015197568389,0,0,0,0,0,0,0,0,0,0,0
4,5,CROSS_DOWN,0x83,portal_view|portal_cross|stress,316,4,3,316,1,0x4574F2BD,0xE4127EFE,0x2C3FE3A2,0,0,1,41.432698567708336,48.797607421875,24.13552663884115,20.492808005003127,19.586371787208606,1654,1643,50.140380859375,2,1,1,1,0.030517578125,0.06086427267194157,4,1,1,3,0.091552734375,0.18259281801582472,406,1,1,405,12.359619140625,24.650030432136337,113,1,1,112,3.41796875,6.816798539257456,85,1,1,84,2.5634765625,5.112598904443092,524,1,1,523,15.960693359375,31.832014607425442,70,2,2,68,2.0751953125,4.138770541692026,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,26.049908703590994,20,1,1,19,0.579833984375,1.1564211807668898,0,0,0,0,0,0,0,0,0,0,0
5,6,RETURN_UP,0x93,portal_view|portal_cross|freecam|stress,320,10,9,329,1,0xB2FCEA9A,0xB343C54F,0xA4A3A3D6,0,0,0,41.158040364583336,46.38671875,24.296589223924865,21.557894736842105,13.320325203252033,1626,1615,49.285888671875,2,1,1,1,0.030517578125,0.06191950464396285,5,1,1,4,0.1220703125,0.2476780185758514,407,1,1,406,12.39013671875,25.139318885448915,113,1,1,112,3.41796875,6.934984520123839,84,1,1,83,2.532958984375,5.139318885448916,482,1,1,481,14.678955078125,29.78328173374613,71,2,2,69,2.105712890625,4.272445820433436,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,26.5015479876161,32,1,1,31,0.946044921875,1.9195046439628483,0,0,0,0,0,0,0,0,0,0,0
6,7,LOD_RETREAT,0x31,portal_view|freecam|lod,330,48,47,338,0,0x7855312D,0x07CC9740,0xA8F2C94A,1,0,0,46.57177214926862,47.515869140625,21.47223422795399,21.045600513808605,19.400828892835996,1684,1673,51.055908203125,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.2390914524805738,410,1,1,409,12.481689453125,24.447101016138674,114,1,1,113,3.448486328125,6.754333532576211,84,1,1,83,2.532958984375,4.961147638971907,536,1,1,535,16.326904296875,31.978481769276748,71,2,2,69,2.105712890625,4.124327555289899,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,25.582785415421398,33,1,1,32,0.9765625,1.9127316198445905,0,0,0,0,0,0,0,0,0,0,0
7,8,LOD_APPROACH,0xB3,portal_view|portal_cross|freecam|lod|stress,378,60,59,416,1,0x9391C926,0x6443498C,0x8028BE00,0,0,1,46.26102770789195,47.8515625,21.616467457539944,20.897959183673468,16.125984251968504,1683,1672,51.025390625,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.23923444976076555,410,1,1,409,12.481689453125,24.461722488038276,113,1,1,112,3.41796875,6.698564593301436,85,1,1,84,2.5634765625,5.023923444976076,537,1,1,536,16.357421875,32.057416267942585,69,2,2,67,2.044677734375,4.007177033492823,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,25.598086124401913,33,1,1,32,0.9765625,1.9138755980861244,0,0,0,0,0,0,0,0,0,0,0
8,9,FREECAM_YAW,0x14,turn|freecam,438,128,127,438,0,0x9391C926,0x6443498C,0xD6FA1B1C,0,0,1,31.48573026882382,32.470703125,31.760419449129582,30.796992481203006,28.444444444444443,1132,1125,34.332275390625,2,1,1,1,0.030517578125,0.08888888888888889,5,1,1,4,0.1220703125,0.35555555555555557,562,1,1,561,17.120361328125,49.86666666666667,100,1,1,99,3.021240234375,8.8,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,38.044444444444444,33,1,1,32,0.9765625,2.8444444444444446,0,0,0,0,0,0,0,0,0,0,0
9,10,FREECAM_3D,0xD8,pitch|freecam|vertical|stress,566,288,287,612,1,0x13BBC90D,0x708E17EF,0xB2A40B9D,2,0,0,39.636166668935104,34.759521484375,25.22948317259326,28.769095697980685,16.630688546777193,1937,1926,58.77685546875,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.20768431983385255,615,1,1,614,18.73779296875,31.879543094496366,128,1,1,127,3.875732421875,6.5939771547248185,85,1,1,84,2.5634765625,4.361370716510903,573,1,1,572,17.4560546875,29.698857736240914,67,2,2,65,1.983642578125,3.374870197300104,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,22.22222222222222,33,1,1,32,0.9765625,1.6614745586708204,0,0,0,0,0,0,0,0,0,0,0
