section_index,section_id,section_name,section_flags,section_flag_names,first_frame,frame_count,clean_frame_count,detailed_frame,crossing_count,logical_hash,presented_hash,state_hash,portal_0_lod,portal_1_lod,endpoint_room,clean_frame_ms_mean,clean_frame_ms_median,clean_average_fps,clean_median_fps,clean_1_percent_low_fps,detail_raw_total_ticks,detail_corrected_total_ticks,detail_corrected_total_ms,admin_raw_ticks,admin_entries,admin_switch_overhead_ticks,admin_corrected_ticks,admin_corrected_ms,admin_corrected_share_percent,setup_raw_ticks,setup_entries,setup_switch_overhead_ticks,setup_corrected_ticks,setup_corrected_ms,setup_corrected_share_percent,root_geometry_raw_ticks,root_geometry_entries,root_geometry_switch_overhead_ticks,root_geometry_corrected_ticks,root_geometry_corrected_ms,root_geometry_corrected_share_percent,root_fill_raw_ticks,root_fill_entries,root_fill_switch_overhead_ticks,root_fill_corrected_ticks,root_fill_corrected_ms,root_fill_corrected_share_percent,portal_setup_raw_ticks,portal_setup_entries,portal_setup_switch_overhead_ticks,portal_setup_corrected_ticks,portal_setup_corrected_ms,portal_setup_corrected_share_percent,portal_geometry_raw_ticks,portal_geometry_entries,portal_geometry_switch_overhead_ticks,portal_geometry_corrected_ticks,portal_geometry_corrected_ms,portal_geometry_corrected_share_percent,portal_fill_raw_ticks,portal_fill_entries,portal_fill_switch_overhead_ticks,portal_fill_corrected_ticks,portal_fill_corrected_ms,portal_fill_corrected_share_percent,wait_raw_ticks,wait_entries,wait_switch_overhead_ticks,wait_corrected_ticks,wait_corrected_ms,wait_corrected_share_percent,present_raw_ticks,present_entries,present_switch_overhead_ticks,present_corrected_ticks,present_corrected_ms,present_corrected_share_percent,overlay_raw_ticks,overlay_entries,overlay_switch_overhead_ticks,overlay_corrected_ticks,overlay_corrected_ms,overlay_corrected_share_percent,transformed_vertices,projected_points,rasterized_polygons,raster_rows,filled_spans,filled_pixels,portal_composite_pixels,portal_clip_pixels,full_portal_views,lod_portal_views,edge_division_fallbacks
0,1,OPEN_YAW,0x04,turn,0,128,127,1,0,0xF5386431,0xCAB6D6F7,0x9E5629C9,1,0,0,32.49016709215059,30.792236328125,30.77854284847902,32.47571853320119,21.16112366806587,1539,1529,46.661376953125,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.2616088947024199,647,1,1,646,19.71435546875,42.249836494440814,202,1,1,201,6.134033203125,13.145846958796598,42,1,1,41,1.251220703125,2.681491170699804,134,1,1,133,4.058837890625,8.69849574885546,58,1,1,57,1.739501953125,3.7279267495094834,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,27.992151733158927,20,1,1,19,0.579833984375,1.2426422498364944,0,0,0,0,0,0,0,0,0,0,0
1,2,PITCH_SWEEP,0x08,pitch,128,96,95,133,0,0xF5386431,0xCAB6D6F7,0x9E5629C9,1,0,0,39.3358732524671,41.748046875,25.42208720222783,23.953216374269005,21.431000654022238,1509,1499,45.745849609375,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.266844563042028,617,1,1,616,18.798828125,41.094062708472315,201,1,1,200,6.103515625,13.3422281521014,41,1,1,40,1.220703125,2.66844563042028,131,1,1,130,3.96728515625,8.67244829886591,63,1,1,62,1.89208984375,4.136090727151434,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,28.552368245496996,20,1,1,19,0.579833984375,1.267511674449633,0,0,0,0,0,0,0,0,0,0,0
2,3,PORTAL_FAR,0x21,portal_view|lod,224,56,55,254,0,0xACD90C31,0x145BCBFA,0xA72A6D23,1,0,0,44.30874911221591,46.173095703125,22.56890614238307,21.657633840052874,20.752374920835972,1569,1559,47.576904296875,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.25657472738935216,609,1,1,608,18.5546875,38.999358563181524,209,1,1,208,6.34765625,13.341885824246312,50,1,1,49,1.495361328125,3.1430404105195637,152,1,1,151,4.608154296875,9.685695958948044,92,1,1,91,2.777099609375,5.837075048107762,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,27.453495830660678,21,1,1,20,0.6103515625,1.2828736369467608,0,0,0,0,0,0,0,0,0,0,0
3,4,PORTAL_NEAR,0x21,portal_view|lod,280,36,35,312,0,0x6BC9BA3D,0x33C5F7DE,0x6CC07690,0,0,0,49.07924107142857,48.88916015625,20.37521318931211,20.454431960049938,19.02903600464576,1710,1700,51.8798828125,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.23529411764705882,423,1,1,422,12.87841796875,24.823529411764707,113,1,1,112,3.41796875,6.588235294117647,74,1,1,73,2.227783203125,4.294117647058823,424,1,1,423,12.908935546875,24.88235294117647,219,1,1,218,6.65283203125,12.823529411764707,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,25.176470588235293,21,1,1,20,0.6103515625,1.1764705882352942,0,0,0,0,0,0,0,0,0,0,0
4,5,CROSS_DOWN,0x83,portal_view|portal_cross|stress,316,4,3,316,1,0x4574F2BD,0xE4127EFE,0x2C3FE3A2,0,0,1,41.6259765625,48.248291015625,24.023460410557185,20.726122707147375,19.36643026004728,1709,1699,51.849365234375,2,1,1,1,0.030517578125,0.05885815185403178,5,1,1,4,0.1220703125,0.23543260741612712,423,1,1,422,12.87841796875,24.838140082401413,113,1,1,112,3.41796875,6.59211300765156,73,1,1,72,2.197265625,4.2377869334902885,425,1,1,424,12.939453125,24.955856386109478,218,1,1,217,6.622314453125,12.772218952324897,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,25.191288993525603,20,1,1,19,0.579833984375,1.118304885226604,0,0,0,0,0,0,0,0,0,0,0
5,6,RETURN_UP,0x93,portal_view|portal_cross|freecam|stress,320,10,9,329,1,0xB2FCEA9A,0xB343C54F,0xA4A3A3D6,0,0,0,42.07017686631944,47.4853515625,23.769807366809058,21.05912596401028,13.023847376788554,1668,1658,50.59814453125,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.24125452352231605,425,1,1,424,12.939453125,25.5729794933655,113,1,1,112,3.41796875,6.7551266586248495,73,1,1,72,2.197265625,4.342581423401689,391,1,1,390,11.90185546875,23.522316043425814,197,1,1,196,5.9814453125,11.821471652593486,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,25.814234016887816,33,1,1,32,0.9765625,1.9300361881785284,0,0,0,0,0,0,0,0,0,0,0
6,7,LOD_RETREAT,0x31,portal_view|freecam|lod,330,48,47,338,0,0x7855312D,0x07CC9740,0xA8F2C94A,1,0,0,47.640536693816486,48.797607421875,20.990527592645595,20.492808005003127,18.767468499427263,1739,1729,52.764892578125,2,1,1,1,0.030517578125,0.0578368999421631,5,1,1,4,0.1220703125,0.2313475997686524,427,1,1,426,13.00048828125,24.63851937536148,114,1,1,113,3.448486328125,6.5355696934644305,73,1,1,72,2.197265625,4.164256795835743,435,1,1,434,13.24462890625,25.101214574898787,220,1,1,219,6.683349609375,12.666281087333719,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,24.754193175245806,33,1,1,32,0.9765625,1.8507807981492193,0,0,0,0,0,0,0,0,0,0,0
7,8,LOD_APPROACH,0xB3,portal_view|portal_cross|freecam|lod|stress,378,60,59,416,1,0x9391C926,0x6443498C,0x8028BE00,0,0,1,47.25517660884534,48.980712890625,21.161702733173524,20.41619937694704,15.968810916179336,1738,1728,52.734375,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.23148148148148148,427,1,1,426,13.00048828125,24.65277777777778,114,1,1,113,3.448486328125,6.539351851851852,73,1,1,72,2.197265625,4.166666666666667,435,1,1,434,13.24462890625,25.11574074074074,221,1,1,220,6.7138671875,12.731481481481481,1,1,1,0,0.0,0.0,428,1,1,427,13.031005859375,24.71064814814815,33,1,1,32,0.9765625,1.8518518518518519,0,0,0,0,0,0,0,0,0,0,0
8,9,FREECAM_YAW,0x14,turn|freecam,438,128,127,565,0,0x9391C926,0x6443498C,0xD6FA1B1C,0,0,1,32.11746816560039,33.111572265625,31.135704559397865,30.200921658986175,27.935208866155158,1154,1147,35.003662109375,2,1,1,1,0.030517578125,0.08718395815170009,4,1,1,3,0.091552734375,0.26155187445510025,586,1,1,585,17.852783203125,51.00261551874455,99,1,1,98,2.99072265625,8.54402789886661,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,37.314734088927636,33,1,1,32,0.9765625,2.789886660854403,0,0,0,0,0,0,0,0,0,0,0
9,10,FREECAM_3D,0xD8,pitch|freecam|vertical|stress,566,288,287,612,1,0x13BBC90D,0x708E17EF,0xB2A40B9D,2,0,0,40.629317120807926,35.491943359375,24.612769075753413,28.175408426483234,16.14717477003942,2012,2002,61.09619140625,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.1998001998001998,641,1,1,640,19.53125,31.96803196803197,129,1,1,128,3.90625,6.393606393606394,73,1,1,72,2.197265625,3.5964035964035963,503,1,1,502,15.31982421875,25.074925074925076,197,1,1,196,5.9814453125,9.79020979020979,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,21.37862137862138,33,1,1,32,0.9765625,1.5984015984015985,0,0,0,0,0,0,0,0,0,0,0
