section_index,section_id,section_name,section_flags,section_flag_names,first_frame,frame_count,clean_frame_count,detailed_frame,crossing_count,logical_hash,presented_hash,state_hash,portal_0_lod,portal_1_lod,endpoint_room,clean_frame_ms_mean,clean_frame_ms_median,clean_average_fps,clean_median_fps,clean_1_percent_low_fps,detail_raw_total_ticks,detail_corrected_total_ticks,detail_corrected_total_ms,admin_raw_ticks,admin_entries,admin_switch_overhead_ticks,admin_corrected_ticks,admin_corrected_ms,admin_corrected_share_percent,setup_raw_ticks,setup_entries,setup_switch_overhead_ticks,setup_corrected_ticks,setup_corrected_ms,setup_corrected_share_percent,root_geometry_raw_ticks,root_geometry_entries,root_geometry_switch_overhead_ticks,root_geometry_corrected_ticks,root_geometry_corrected_ms,root_geometry_corrected_share_percent,root_fill_raw_ticks,root_fill_entries,root_fill_switch_overhead_ticks,root_fill_corrected_ticks,root_fill_corrected_ms,root_fill_corrected_share_percent,portal_setup_raw_ticks,portal_setup_entries,portal_setup_switch_overhead_ticks,portal_setup_corrected_ticks,portal_setup_corrected_ms,portal_setup_corrected_share_percent,portal_geometry_raw_ticks,portal_geometry_entries,portal_geometry_switch_overhead_ticks,portal_geometry_corrected_ticks,portal_geometry_corrected_ms,portal_geometry_corrected_share_percent,portal_fill_raw_ticks,portal_fill_entries,portal_fill_switch_overhead_ticks,portal_fill_corrected_ticks,portal_fill_corrected_ms,portal_fill_corrected_share_percent,wait_raw_ticks,wait_entries,wait_switch_overhead_ticks,wait_corrected_ticks,wait_corrected_ms,wait_corrected_share_percent,present_raw_ticks,present_entries,present_switch_overhead_ticks,present_corrected_ticks,present_corrected_ms,present_corrected_share_percent,overlay_raw_ticks,overlay_entries,overlay_switch_overhead_ticks,overlay_corrected_ticks,overlay_corrected_ms,overlay_corrected_share_percent,transformed_vertices,projected_points,rasterized_polygons,raster_rows,filled_spans,filled_pixels,portal_composite_pixels,portal_clip_pixels,full_portal_views,lod_portal_views,edge_division_fallbacks
0,1,OPEN_YAW,0x04,turn,0,128,127,1,0,0xF5386431,0xCAB6D6F7,0x9E5629C9,1,0,0,30.743456262303148,29.022216796875,32.527247147100205,34.456361724500525,22.787204450625868,1428,1418,43.27392578125,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.2820874471086037,647,1,1,646,19.71435546875,45.55712270803949,91,1,1,90,2.74658203125,6.346967559943582,42,1,1,41,1.251220703125,2.8913963328631875,133,1,1,132,4.0283203125,9.30888575458392,59,1,1,58,1.77001953125,4.090267983074753,1,1,1,0,0.0,0.0,428,1,1,427,13.031005859375,30.11283497884344,21,1,1,20,0.6103515625,1.4104372355430184,0,0,0,0,0,0,0,0,0,0,0
1,2,PITCH_SWEEP,0x08,pitch,128,96,95,133,0,0xF5386431,0xCAB6D6F7,0x9E5629C9,1,0,0,37.15306332236842,39.459228515625,26.91568098498997,25.34261407579273,23.124911785462245,1398,1388,42.3583984375,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.2881844380403458,616,1,1,615,18.768310546875,44.30835734870317,90,1,1,89,2.716064453125,6.412103746397695,42,1,1,41,1.251220703125,2.9538904899135447,131,1,1,130,3.96728515625,9.36599423631124,63,1,1,62,1.89208984375,4.46685878962536,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,30.835734870317,20,1,1,19,0.579833984375,1.3688760806916427,0,0,0,0,0,0,0,0,0,0,0
2,3,PORTAL_FAR,0x21,portal_view|lod,224,56,55,254,0,0xACD90C31,0x145BCBFA,0xA72A6D23,1,0,0,41.17320667613637,42.816162109375,24.287639480351462,23.355666429080543,22.536451169188446,1444,1434,43.76220703125,2,1,1,1,0.030517578125,0.0697350069735007,4,1,1,3,0.091552734375,0.20920502092050208,609,1,1,608,18.5546875,42.398884239888424,84,1,1,83,2.532958984375,5.788005578800558,50,1,1,49,1.495361328125,3.4170153417015343,152,1,1,151,4.608154296875,10.529986052998606,93,1,1,92,2.8076171875,6.4156206415620645,1,1,1,0,0.0,0.0,428,1,1,427,13.031005859375,29.7768479776848,21,1,1,20,0.6103515625,1.394700139470014,0,0,0,0,0,0,0,0,0,0,0
3,4,PORTAL_NEAR,0x21,portal_view|lod,280,36,35,312,0,0x6BC9BA3D,0x33C5F7DE,0x6CC07690,0,0,0,44.889613560267854,44.49462890625,22.27686809238001,22.474622770919066,20.924648786717754,1554,1544,47.119140625,2,1,1,1,0.030517578125,0.06476683937823834,5,1,1,4,0.1220703125,0.25906735751295334,423,1,1,422,12.87841796875,27.33160621761658,37,1,1,36,1.0986328125,2.33160621761658,74,1,1,73,2.227783203125,4.727979274611399,424,1,1,423,12.908935546875,27.39637305699482,139,1,1,138,4.21142578125,8.937823834196891,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,27.72020725388601,20,1,1,19,0.579833984375,1.2305699481865284,0,0,0,0,0,0,0,0,0,0,0
4,5,CROSS_DOWN,0x83,portal_view|portal_cross|stress,316,4,3,316,1,0x4574F2BD,0xE4127EFE,0x2C3FE3A2,0,0,1,40.028889973958336,45.10498046875,24.981956797966962,22.170500676589988,19.68048048048048,1551,1541,47.027587890625,2,1,1,1,0.030517578125,0.06489292667099286,4,1,1,3,0.091552734375,0.1946787800129786,424,1,1,423,12.908935546875,27.44970798182998,37,1,1,36,1.0986328125,2.336145360155743,74,1,1,73,2.227783203125,4.737183646982479,424,1,1,423,12.908935546875,27.44970798182998,136,1,1,135,4.119873046875,8.760545100584036,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,27.774172615184945,20,1,1,19,0.579833984375,1.2329656067488644,0,0,0,0,0,0,0,0,0,0,0
5,6,RETURN_UP,0x93,portal_view|portal_cross|freecam|stress,320,10,9,329,1,0xB2FCEA9A,0xB343C54F,0xA4A3A3D6,0,0,0,39.49652777777778,43.548583984375,25.318681318681318,22.962859145059564,13.739203354297693,1527,1517,46.295166015625,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.26367831245880025,425,1,1,424,12.939453125,27.949901120632827,37,1,1,36,1.0986328125,2.373104812129202,74,1,1,73,2.227783203125,4.812129202373105,390,1,1,389,11.871337890625,25.642715886618326,132,1,1,131,3.997802734375,8.635464733025708,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,28.213579433091628,33,1,1,32,0.9765625,2.109426499670402,0,0,0,0,0,0,0,0,0,0,0
6,7,LOD_RETREAT,0x31,portal_view|freecam|lod,330,48,47,338,0,0x7855312D,0x07CC9740,0xA8F2C94A,1,0,0,43.71156083776596,44.12841796875,22.877243018419488,22.661134163208853,20.621774701069857,1582,1572,47.9736328125,2,1,1,1,0.030517578125,0.06361323155216285,5,1,1,4,0.1220703125,0.2544529262086514,427,1,1,426,13.00048828125,27.099236641221374,38,1,1,37,1.129150390625,2.3536895674300253,73,1,1,72,2.197265625,4.580152671755725,436,1,1,435,13.275146484375,27.671755725190838,138,1,1,137,4.180908203125,8.71501272264631,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,27.2264631043257,33,1,1,32,0.9765625,2.035623409669211,0,0,0,0,0,0,0,0,0,0,0
7,8,LOD_APPROACH,0xB3,portal_view|portal_cross|freecam|lod|stress,378,60,59,416,1,0x9391C926,0x6443498C,0x8028BE00,0,0,1,43.71151681673729,44.891357421875,22.877266057651347,22.276002719238612,16.318725099601593,1581,1571,47.943115234375,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.2546148949713558,427,1,1,426,13.00048828125,27.116486314449396,38,1,1,37,1.129150390625,2.3551877784850412,73,1,1,72,2.197265625,4.583068109484405,436,1,1,435,13.275146484375,27.689369828134947,138,1,1,137,4.180908203125,8.720560152768938,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,27.243793761935073,33,1,1,32,0.9765625,2.0369191597708465,0,0,0,0,0,0,0,0,0,0,0
8,9,FREECAM_YAW,0x14,turn|freecam,438,128,127,460,0,0x9391C926,0x6443498C,0xD6FA1B1C,0,0,1,30.929925873523622,32.012939453125,32.33114764287268,31.237368922783602,29.011066843736167,1110,1103,33.660888671875,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.3626473254759746,585,1,1,584,17.822265625,52.946509519492295,56,1,1,55,1.678466796875,4.986400725294651,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,38.803263825929285,33,1,1,32,0.9765625,2.901178603807797,0,0,0,0,0,0,0,0,0,0,0
9,10,FREECAM_3D,0xD8,pitch|freecam|vertical|stress,566,288,287,612,1,0x13BBC90D,0x708E17EF,0xB2A40B9D,2,0,0,38.59474102379138,34.0576171875,25.91026584123363,29.36200716845878,17.135088025100227,1863,1853,56.549072265625,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.21586616297895306,641,1,1,640,19.53125,34.53858607663249,46,1,1,45,1.373291015625,2.4284943335132216,73,1,1,72,2.197265625,3.8855909336211547,503,1,1,502,15.31982421875,27.091203453858608,131,1,1,130,3.96728515625,7.015650296815974,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,23.097679438747978,33,1,1,32,0.9765625,1.7269293038316245,0,0,0,0,0,0,0,0,0,0,0
