section_index,section_id,section_name,section_flags,section_flag_names,first_frame,frame_count,clean_frame_count,detailed_frame,crossing_count,logical_hash,presented_hash,state_hash,portal_0_lod,portal_1_lod,endpoint_room,clean_frame_ms_mean,clean_frame_ms_median,clean_average_fps,clean_median_fps,clean_1_percent_low_fps,detail_raw_total_ticks,detail_corrected_total_ticks,detail_corrected_total_ms,admin_raw_ticks,admin_entries,admin_switch_overhead_ticks,admin_corrected_ticks,admin_corrected_ms,admin_corrected_share_percent,setup_raw_ticks,setup_entries,setup_switch_overhead_ticks,setup_corrected_ticks,setup_corrected_ms,setup_corrected_share_percent,root_geometry_raw_ticks,root_geometry_entries,root_geometry_switch_overhead_ticks,root_geometry_corrected_ticks,root_geometry_corrected_ms,root_geometry_corrected_share_percent,root_fill_raw_ticks,root_fill_entries,root_fill_switch_overhead_ticks,root_fill_corrected_ticks,root_fill_corrected_ms,root_fill_corrected_share_percent,portal_setup_raw_ticks,portal_setup_entries,portal_setup_switch_overhead_ticks,portal_setup_corrected_ticks,portal_setup_corrected_ms,portal_setup_corrected_share_percent,portal_geometry_raw_ticks,portal_geometry_entries,portal_geometry_switch_overhead_ticks,portal_geometry_corrected_ticks,portal_geometry_corrected_ms,portal_geometry_corrected_share_percent,portal_fill_raw_ticks,portal_fill_entries,portal_fill_switch_overhead_ticks,portal_fill_corrected_ticks,portal_fill_corrected_ms,portal_fill_corrected_share_percent,wait_raw_ticks,wait_entries,wait_switch_overhead_ticks,wait_corrected_ticks,wait_corrected_ms,wait_corrected_share_percent,present_raw_ticks,present_entries,present_switch_overhead_ticks,present_corrected_ticks,present_corrected_ms,present_corrected_share_percent,overlay_raw_ticks,overlay_entries,overlay_switch_overhead_ticks,overlay_corrected_ticks,overlay_corrected_ms,overlay_corrected_share_percent,transformed_vertices,projected_points,rasterized_polygons,raster_rows,filled_spans,filled_pixels,portal_composite_pixels,portal_clip_pixels,full_portal_views,lod_portal_views,edge_division_fallbacks
0,1,OPEN_YAW,0x04,turn,0,128,127,1,0,0xF5386431,0xCAB6D6F7,0x9E5629C9,1,0,0,31.034694881889763,29.022216796875,32.222001982160556,34.456361724500525,21.984568936598457,1481,1471,44.891357421875,2,1,1,1,0.030517578125,0.06798096532970768,4,1,1,3,0.091552734375,0.20394289598912305,648,1,1,647,19.744873046875,43.98368456832087,143,1,1,142,4.33349609375,9.653297076818491,42,1,1,41,1.251220703125,2.787219578518015,134,1,1,133,4.058837890625,9.041468388851122,58,1,1,57,1.739501953125,3.874915023793338,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,29.09585316111489,20,1,1,19,0.579833984375,1.2916383412644459,0,0,0,0,0,0,0,0,0,0,0
1,2,PITCH_SWEEP,0x08,pitch,128,96,95,133,0,0xF5386431,0xCAB6D6F7,0x9E5629C9,1,0,0,37.847900390625,40.130615234375,26.42154491211095,24.918631178707223,22.306330837304287,1449,1439,43.914794921875,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.27797081306462823,617,1,1,616,18.798828125,42.807505211952744,140,1,1,139,4.241943359375,9.659485753995831,42,1,1,41,1.251220703125,2.8492008339124393,131,1,1,130,3.96728515625,9.034051424600417,63,1,1,62,1.89208984375,4.308547602501737,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,29.742876997915218,20,1,1,19,0.579833984375,1.320361362056984,0,0,0,0,0,0,0,0,0,0,0
2,3,PORTAL_FAR,0x21,portal_view|lod,224,56,55,254,0,0xACD90C31,0x145BCBFA,0xA72A6D23,1,0,0,43.231201171875,44.403076171875,23.13144147959904,22.520962199312716,21.501312335958005,1514,1504,45.8984375,2,1,1,1,0.030517578125,0.06648936170212766,5,1,1,4,0.1220703125,0.26595744680851063,609,1,1,608,18.5546875,40.42553191489362,153,1,1,152,4.638671875,10.106382978723405,50,1,1,49,1.495361328125,3.257978723404255,152,1,1,151,4.608154296875,10.039893617021276,93,1,1,92,2.8076171875,6.117021276595745,1,1,1,0,0.0,0.0,428,1,1,427,13.031005859375,28.39095744680851,21,1,1,20,0.6103515625,1.3297872340425532,0,0,0,0,0,0,0,0,0,0,0
3,4,PORTAL_NEAR,0x21,portal_view|lod,280,36,35,308,0,0x6BC9BA3D,0x33C5F7DE,0x6CC07690,0,0,0,48.73046875,48.4619140625,20.521042084168336,20.634760705289672,19.185011709601874,1695,1685,51.422119140625,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.23738872403560832,423,1,1,422,12.87841796875,25.044510385756677,112,1,1,111,3.387451171875,6.58753709198813,73,1,1,72,2.197265625,4.27299703264095,425,1,1,424,12.939453125,25.16320474777448,206,1,1,205,6.256103515625,12.166172106824925,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,25.40059347181009,20,1,1,19,0.579833984375,1.1275964391691395,0,0,0,0,0,0,0,0,0,0,0
4,5,CROSS_DOWN,0x83,portal_view|portal_cross|stress,316,4,3,316,1,0x4574F2BD,0xE4127EFE,0x2C3FE3A2,0,0,1,41.035970052083336,48.095703125,24.368864650470996,20.79187817258883,19.68048048048048,1695,1685,51.422119140625,2,1,1,1,0.030517578125,0.05934718100890208,4,1,1,3,0.091552734375,0.17804154302670624,424,1,1,423,12.908935546875,25.10385756676558,111,1,1,110,3.35693359375,6.528189910979228,74,1,1,73,2.227783203125,4.332344213649852,424,1,1,423,12.908935546875,25.10385756676558,206,1,1,205,6.256103515625,12.166172106824925,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,25.40059347181009,20,1,1,19,0.579833984375,1.1275964391691395,0,0,0,0,0,0,0,0,0,0,0
5,6,RETURN_UP,0x93,portal_view|portal_cross|freecam|stress,320,10,9,329,1,0xB2FCEA9A,0xB343C54F,0xA4A3A3D6,0,0,0,41.537814670138886,47.2412109375,24.074448979591835,21.16795865633075,13.08626198083067,1654,1644,50.1708984375,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.24330900243309003,425,1,1,424,12.939453125,25.790754257907544,111,1,1,110,3.35693359375,6.690997566909975,74,1,1,73,2.227783203125,4.440389294403893,390,1,1,389,11.871337890625,23.661800486618006,185,1,1,184,5.615234375,11.19221411192214,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,26.034063260340634,33,1,1,32,0.9765625,1.9464720194647203,0,0,0,0,0,0,0,0,0,0,0
6,7,LOD_RETREAT,0x31,portal_view|freecam|lod,330,48,47,338,0,0x7855312D,0x07CC9740,0xA8F2C94A,1,0,0,47.31263505651596,48.431396484375,21.136003074136084,20.647763074984248,18.919168591224018,1725,1715,52.337646484375,2,1,1,1,0.030517578125,0.05830903790087463,5,1,1,4,0.1220703125,0.23323615160349853,427,1,1,426,13.00048828125,24.839650145772595,112,1,1,111,3.387451171875,6.4723032069970845,73,1,1,72,2.197265625,4.198250728862973,436,1,1,435,13.275146484375,25.364431486880466,207,1,1,206,6.28662109375,12.011661807580175,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,24.956268221574344,33,1,1,32,0.9765625,1.8658892128279883,0,0,0,0,0,0,0,0,0,0,0
7,8,LOD_APPROACH,0xB3,portal_view|portal_cross|freecam|lod|stress,378,60,59,416,1,0x9391C926,0x6443498C,0x8028BE00,0,0,1,46.84241343352754,48.675537109375,21.348174158854253,20.54420062695925,16.326856003986048,1725,1715,52.337646484375,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.23323615160349853,428,1,1,427,13.031005859375,24.897959183673468,112,1,1,111,3.387451171875,6.4723032069970845,73,1,1,72,2.197265625,4.198250728862973,435,1,1,434,13.24462890625,25.306122448979593,208,1,1,207,6.317138671875,12.06997084548105,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,24.956268221574344,33,1,1,32,0.9765625,1.8658892128279883,0,0,0,0,0,0,0,0,0,0,0
8,9,FREECAM_YAW,0x14,turn|freecam,438,128,127,459,0,0x9391C926,0x6443498C,0xD6FA1B1C,0,0,1,30.924639363927167,32.012939453125,32.33667459244409,31.237368922783602,28.998230088495575,1110,1103,33.660888671875,2,1,1,1,0.030517578125,0.09066183136899365,4,1,1,3,0.091552734375,0.271985494106981,585,1,1,584,17.822265625,52.946509519492295,57,1,1,56,1.708984375,5.077062556663645,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,38.803263825929285,32,1,1,31,0.946044921875,2.8105167724388034,0,0,0,0,0,0,0,0,0,0,0
9,10,FREECAM_3D,0xD8,pitch|freecam|vertical|stress,566,288,287,612,1,0x13BBC90D,0x708E17EF,0xB2A40B9D,2,0,0,39.209239574259584,34.0576171875,25.50419265607203,29.36200716845878,16.291680477295326,1998,1988,60.6689453125,2,1,1,1,0.030517578125,0.05030181086519115,5,1,1,4,0.1220703125,0.2012072434607646,641,1,1,640,19.53125,32.19315895372233,127,1,1,126,3.84521484375,6.338028169014085,73,1,1,72,2.197265625,3.6217303822937628,503,1,1,502,15.31982421875,25.251509054325957,185,1,1,184,5.615234375,9.25553319919517,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,21.52917505030181,32,1,1,31,0.946044921875,1.5593561368209254,0,0,0,0,0,0,0,0,0,0,0
