scope,name,current_clean_frames,baseline_clean_frames,current_frame_ms_mean,baseline_frame_ms_mean,frame_ms_delta,frame_time_percent_change,current_frame_ms_median,baseline_frame_ms_median,current_average_fps,baseline_average_fps,average_fps_percent_change,current_1_percent_low_fps,baseline_1_percent_low_fps,current_detailed_frame,baseline_detailed_frame,detail_trace_comparable,current_admin_corrected_ms,baseline_admin_corrected_ms,admin_percent_change,current_setup_corrected_ms,baseline_setup_corrected_ms,setup_percent_change,current_root_geometry_corrected_ms,baseline_root_geometry_corrected_ms,root_geometry_percent_change,current_root_fill_corrected_ms,baseline_root_fill_corrected_ms,root_fill_percent_change,current_portal_setup_corrected_ms,baseline_portal_setup_corrected_ms,portal_setup_percent_change,current_portal_geometry_corrected_ms,baseline_portal_geometry_corrected_ms,portal_geometry_percent_change,current_portal_fill_corrected_ms,baseline_portal_fill_corrected_ms,portal_fill_percent_change,current_wait_corrected_ms,baseline_wait_corrected_ms,wait_percent_change,current_present_corrected_ms,baseline_present_corrected_ms,present_percent_change,current_overlay_corrected_ms,baseline_overlay_corrected_ms,overlay_percent_change
overall,ALL_CLEAN,844,844,38.07194425031472,39.44089627378925,-1.3689520234745274,-3.4708948142851304,34.423828125,35.7666015625,26.26606073556996,25.35439339558208,3.5956976992663314,16.228030594838497,15.762266167824693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
section,OPEN_YAW,127,127,31.048632043553148,32.49016709215059,-1.4415350485974443,-4.436834826084068,29.022216796875,30.792236328125,32.20753811624487,30.77854284847902,4.6428295023605015,21.94775619557937,21.16112366806587,1,1,1,0.0,0.0,,0.1220703125,0.1220703125,0.0,19.71435546875,19.71435546875,0.0,4.425048828125,6.134033203125,-27.86069651741293,1.251220703125,1.251220703125,0.0,4.058837890625,4.058837890625,0.0,1.739501953125,1.739501953125,0.0,0.0,0.0,,13.0615234375,13.0615234375,0.0,0.579833984375,0.579833984375,0.0
section,PITCH_SWEEP,95,95,37.88130910773026,39.3358732524671,-1.4545641447368425,-3.6978056528733982,40.1611328125,41.748046875,26.39824292122826,25.42208720222783,3.839793763727184,22.26086956521739,21.431000654022238,133,133,1,0.030517578125,0.0,,0.1220703125,0.1220703125,0.0,18.768310546875,18.798828125,-0.16233766233766378,4.33349609375,6.103515625,-29.000000000000004,1.251220703125,1.220703125,2.499999999999991,3.96728515625,3.96728515625,0.0,1.89208984375,1.89208984375,0.0,0.0,0.0,,13.0615234375,13.0615234375,0.0,0.579833984375,0.579833984375,0.0
section,PORTAL_FAR,55,55,43.31165660511363,44.30874911221591,-0.9970925071022734,-2.2503287208064604,44.43359375,46.173095703125,23.088472674165363,22.56890614238307,2.3021343103845737,21.445026178010473,20.752374920835972,254,254,1,0.0,0.0,,0.1220703125,0.1220703125,0.0,18.5546875,18.5546875,0.0,4.7607421875,6.34765625,-25.0,1.495361328125,1.495361328125,0.0,4.608154296875,4.608154296875,0.0,2.777099609375,2.777099609375,0.0,0.0,0.0,,13.0615234375,13.0615234375,0.0,0.579833984375,0.6103515625,-5.000000000000004
section,PORTAL_NEAR,35,35,47.4853515625,49.07924107142857,-1.5938895089285694,-3.2475838544627544,47.36328125,48.88916015625,21.05912596401028,20.37521318931211,3.356591994124125,19.944004869141814,19.02903600464576,308,312,0,0.030517578125,0.0,,0.1220703125,0.1220703125,,12.87841796875,12.87841796875,,3.47900390625,3.41796875,,2.197265625,2.227783203125,,12.939453125,12.908935546875,,4.180908203125,6.65283203125,,0.0,0.0,,13.0615234375,13.0615234375,,0.579833984375,0.6103515625,
section,CROSS_DOWN,3,3,40.873209635416664,41.6259765625,-0.7527669270833357,-1.808406647116334,47.515869140625,48.248291015625,24.46590343454455,24.023460410557185,1.8417122946739806,19.668667466986793,19.36643026004728,316,316,1,0.030517578125,0.030517578125,0.0,0.1220703125,0.1220703125,0.0,12.87841796875,12.87841796875,0.0,3.47900390625,3.41796875,1.7857142857142794,2.197265625,2.197265625,0.0,12.939453125,12.939453125,0.0,4.119873046875,6.622314453125,-37.78801843317973,0.0,0.0,,13.031005859375,13.0615234375,-0.2336448598130869,0.6103515625,0.579833984375,5.263157894736836
section,RETURN_UP,9,9,40.802001953125,42.07017686631944,-1.2681749131944429,-3.014427339405168,45.8984375,47.4853515625,24.50860134629768,23.769807366809058,3.1081193384858263,13.304100690215185,13.023847376788554,329,329,1,0.030517578125,0.0,,0.1220703125,0.1220703125,0.0,12.939453125,12.939453125,0.0,3.448486328125,3.41796875,0.8928571428571397,2.227783203125,2.197265625,1.388888888888884,11.871337890625,11.90185546875,-0.2564102564102555,3.997802734375,5.9814453125,-33.16326530612245,0.0,0.0,,13.0615234375,13.0615234375,0.0,0.9765625,0.9765625,0.0
section,LOD_RETREAT,47,47,46.40360081449468,47.640536693816486,-1.2369358793218055,-2.5963936705237667,47.149658203125,48.797607421875,21.550051772871015,20.990527592645595,2.665603223910673,19.668667466986793,18.767468499427263,338,338,1,0.0,0.030517578125,-100.0,0.1220703125,0.1220703125,0.0,13.031005859375,13.00048828125,0.23474178403755097,3.47900390625,3.448486328125,0.8849557522123908,2.197265625,2.197265625,0.0,13.24462890625,13.24462890625,0.0,4.21142578125,6.683349609375,-36.986301369863014,0.0,0.0,,13.0615234375,13.0615234375,0.0,0.946044921875,0.9765625,-3.125
section,LOD_APPROACH,59,59,46.09912936970339,47.25517660884534,-1.156047239141948,-2.44639280202279,47.607421875,48.980712890625,21.692383645258293,21.161702733173524,2.5077420223508895,16.334995014955133,15.968810916179336,416,416,1,0.030517578125,0.0,,0.1220703125,0.1220703125,0.0,13.00048828125,13.00048828125,0.0,3.509521484375,3.448486328125,1.7699115044247815,2.197265625,2.197265625,0.0,13.24462890625,13.24462890625,0.0,4.21142578125,6.7138671875,-37.272727272727266,0.0,0.0,,13.031005859375,13.031005859375,0.0,0.9765625,0.9765625,0.0
section,FREECAM_YAW,127,127,30.932088536540356,32.11746816560039,-1.1853796290600371,-3.690762992114194,31.982421875,33.111572265625,32.32888716255584,31.135704559397865,3.8322004272674404,29.011066843736167,27.935208866155158,459,565,0,0.030517578125,0.030517578125,,0.1220703125,0.091552734375,,17.822265625,17.852783203125,,1.678466796875,2.99072265625,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,13.0615234375,13.0615234375,,0.9765625,0.9765625,
section,FREECAM_3D,287,287,39.12077049760453,40.629317120807926,-1.5085466232033937,-3.7129509676912753,34.0576171875,35.491943359375,25.56186872805158,24.612769075753413,3.8561270752470733,16.641950228542406,16.14717477003942,612,612,1,0.030517578125,0.0,,0.091552734375,0.1220703125,-25.0,19.561767578125,19.53125,0.15624999999999112,3.96728515625,3.90625,1.5625,2.197265625,2.197265625,0.0,15.31982421875,15.31982421875,0.0,3.96728515625,5.9814453125,-33.673469387755105,0.0,0.0,,13.0615234375,13.0615234375,0.0,0.946044921875,0.9765625,-3.125
