section_index,section_id,section_name,section_flags,section_flag_names,first_frame,frame_count,clean_frame_count,detailed_frame,crossing_count,logical_hash,presented_hash,state_hash,portal_0_lod,portal_1_lod,endpoint_room,clean_frame_ms_mean,clean_frame_ms_median,clean_average_fps,clean_median_fps,clean_1_percent_low_fps,detail_raw_total_ticks,detail_corrected_total_ticks,detail_corrected_total_ms,admin_raw_ticks,admin_entries,admin_switch_overhead_ticks,admin_corrected_ticks,admin_corrected_ms,admin_corrected_share_percent,setup_raw_ticks,setup_entries,setup_switch_overhead_ticks,setup_corrected_ticks,setup_corrected_ms,setup_corrected_share_percent,root_geometry_raw_ticks,root_geometry_entries,root_geometry_switch_overhead_ticks,root_geometry_corrected_ticks,root_geometry_corrected_ms,root_geometry_corrected_share_percent,root_fill_raw_ticks,root_fill_entries,root_fill_switch_overhead_ticks,root_fill_corrected_ticks,root_fill_corrected_ms,root_fill_corrected_share_percent,portal_setup_raw_ticks,portal_setup_entries,portal_setup_switch_overhead_ticks,portal_setup_corrected_ticks,portal_setup_corrected_ms,portal_setup_corrected_share_percent,portal_geometry_raw_ticks,portal_geometry_entries,portal_geometry_switch_overhead_ticks,portal_geometry_corrected_ticks,portal_geometry_corrected_ms,portal_geometry_corrected_share_percent,portal_fill_raw_ticks,portal_fill_entries,portal_fill_switch_overhead_ticks,portal_fill_corrected_ticks,portal_fill_corrected_ms,portal_fill_corrected_share_percent,wait_raw_ticks,wait_entries,wait_switch_overhead_ticks,wait_corrected_ticks,wait_corrected_ms,wait_corrected_share_percent,present_raw_ticks,present_entries,present_switch_overhead_ticks,present_corrected_ticks,present_corrected_ms,present_corrected_share_percent,overlay_raw_ticks,overlay_entries,overlay_switch_overhead_ticks,overlay_corrected_ticks,overlay_corrected_ms,overlay_corrected_share_percent,transformed_vertices,projected_points,rasterized_polygons,raster_rows,filled_spans,filled_pixels,portal_composite_pixels,portal_clip_pixels,full_portal_views,lod_portal_views,edge_division_fallbacks
0,1,OPEN_YAW,0x04,turn,0,128,127,1,0,0xF5386431,0xCAB6D6F7,0x9E5629C9,1,0,0,31.048632043553148,29.022216796875,32.20753811624487,34.456361724500525,21.94775619557937,1483,1473,44.952392578125,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.27155465037338766,647,1,1,646,19.71435546875,43.8560760353021,146,1,1,145,4.425048828125,9.843856076035301,42,1,1,41,1.251220703125,2.7834351663272234,134,1,1,133,4.058837890625,9.02919212491514,58,1,1,57,1.739501953125,3.869653767820774,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,29.056347589952477,20,1,1,19,0.579833984375,1.2898845892735913,0,0,0,0,0,0,0,0,0,0,0
1,2,PITCH_SWEEP,0x08,pitch,128,96,95,133,0,0xF5386431,0xCAB6D6F7,0x9E5629C9,1,0,0,37.88130910773026,40.1611328125,26.39824292122826,24.89969604863222,22.26086956521739,1452,1442,44.00634765625,2,1,1,1,0.030517578125,0.06934812760055478,5,1,1,4,0.1220703125,0.27739251040221913,616,1,1,615,18.768310546875,42.649098474341194,143,1,1,142,4.33349609375,9.847434119278779,42,1,1,41,1.251220703125,2.8432732316227463,131,1,1,130,3.96728515625,9.015256588072122,63,1,1,62,1.89208984375,4.2995839112343965,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,29.68099861303745,20,1,1,19,0.579833984375,1.317614424410541,0,0,0,0,0,0,0,0,0,0,0
2,3,PORTAL_FAR,0x21,portal_view|lod,224,56,55,254,0,0xACD90C31,0x145BCBFA,0xA72A6D23,1,0,0,43.31165660511363,44.43359375,23.088472674165363,22.505494505494507,21.445026178010473,1516,1506,45.95947265625,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.2656042496679947,609,1,1,608,18.5546875,40.37184594953519,157,1,1,156,4.7607421875,10.358565737051793,50,1,1,49,1.495361328125,3.253652058432935,152,1,1,151,4.608154296875,10.0265604249668,92,1,1,91,2.777099609375,6.042496679946879,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,28.41965471447543,20,1,1,19,0.579833984375,1.2616201859229748,0,0,0,0,0,0,0,0,0,0,0
3,4,PORTAL_NEAR,0x21,portal_view|lod,280,36,35,308,0,0x6BC9BA3D,0x33C5F7DE,0x6CC07690,0,0,0,47.4853515625,47.36328125,21.05912596401028,21.11340206185567,19.944004869141814,1631,1621,49.468994140625,2,1,1,1,0.030517578125,0.061690314620604564,5,1,1,4,0.1220703125,0.24676125848241826,423,1,1,422,12.87841796875,26.033312769895126,115,1,1,114,3.47900390625,7.03269586674892,73,1,1,72,2.197265625,4.441702652683529,425,1,1,424,12.939453125,26.156693399136337,138,1,1,137,4.180908203125,8.451573103022826,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,26.403454657618752,20,1,1,19,0.579833984375,1.1721159777914867,0,0,0,0,0,0,0,0,0,0,0
4,5,CROSS_DOWN,0x83,portal_view|portal_cross|stress,316,4,3,316,1,0x4574F2BD,0xE4127EFE,0x2C3FE3A2,0,0,1,40.873209635416664,47.515869140625,24.46590343454455,21.045600513808605,19.668667466986793,1629,1619,49.407958984375,2,1,1,1,0.030517578125,0.06176652254478073,5,1,1,4,0.1220703125,0.24706609017912293,423,1,1,422,12.87841796875,26.06547251389747,115,1,1,114,3.47900390625,7.041383570105003,73,1,1,72,2.197265625,4.4471896232242125,425,1,1,424,12.939453125,26.18900555898703,136,1,1,135,4.119873046875,8.338480543545398,1,1,1,0,0.0,0.0,428,1,1,427,13.031005859375,26.374305126621373,21,1,1,20,0.6103515625,1.2353304508956147,0,0,0,0,0,0,0,0,0,0,0
5,6,RETURN_UP,0x93,portal_view|portal_cross|freecam|stress,320,10,9,329,1,0xB2FCEA9A,0xB343C54F,0xA4A3A3D6,0,0,0,40.802001953125,45.8984375,24.50860134629768,21.78723404255319,13.304100690215185,1605,1595,48.675537109375,2,1,1,1,0.030517578125,0.06269592476489028,5,1,1,4,0.1220703125,0.2507836990595611,425,1,1,424,12.939453125,26.58307210031348,114,1,1,113,3.448486328125,7.084639498432602,74,1,1,73,2.227783203125,4.576802507836991,390,1,1,389,11.871337890625,24.38871473354232,132,1,1,131,3.997802734375,8.213166144200628,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,26.83385579937304,33,1,1,32,0.9765625,2.006269592476489,0,0,0,0,0,0,0,0,0,0,0
6,7,LOD_RETREAT,0x31,portal_view|freecam|lod,330,48,47,338,0,0x7855312D,0x07CC9740,0xA8F2C94A,1,0,0,46.40360081449468,47.149658203125,21.550051772871015,21.20906148867314,19.668667466986793,1658,1648,50.29296875,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.24271844660194175,428,1,1,427,13.031005859375,25.910194174757283,115,1,1,114,3.47900390625,6.91747572815534,73,1,1,72,2.197265625,4.368932038834951,435,1,1,434,13.24462890625,26.33495145631068,139,1,1,138,4.21142578125,8.37378640776699,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,25.97087378640777,32,1,1,31,0.946044921875,1.8810679611650485,0,0,0,0,0,0,0,0,0,0,0
7,8,LOD_APPROACH,0xB3,portal_view|portal_cross|freecam|lod|stress,378,60,59,416,1,0x9391C926,0x6443498C,0x8028BE00,0,0,1,46.09912936970339,47.607421875,21.692383645258293,21.005128205128205,16.334995014955133,1659,1649,50.323486328125,2,1,1,1,0.030517578125,0.06064281382656155,5,1,1,4,0.1220703125,0.2425712553062462,427,1,1,426,13.00048828125,25.833838690115222,116,1,1,115,3.509521484375,6.973923590054579,73,1,1,72,2.197265625,4.366282595512431,435,1,1,434,13.24462890625,26.318981200727713,139,1,1,138,4.21142578125,8.368708308065495,1,1,1,0,0.0,0.0,428,1,1,427,13.031005859375,25.894481503941783,33,1,1,32,0.9765625,1.9405700424499697,0,0,0,0,0,0,0,0,0,0,0
8,9,FREECAM_YAW,0x14,turn|freecam,438,128,127,459,0,0x9391C926,0x6443498C,0xD6FA1B1C,0,0,1,30.932088536540356,31.982421875,32.32888716255584,31.267175572519083,29.011066843736167,1111,1104,33.69140625,2,1,1,1,0.030517578125,0.09057971014492754,5,1,1,4,0.1220703125,0.36231884057971014,585,1,1,584,17.822265625,52.89855072463768,56,1,1,55,1.678466796875,4.981884057971015,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,38.768115942028984,33,1,1,32,0.9765625,2.898550724637681,0,0,0,0,0,0,0,0,0,0,0
9,10,FREECAM_3D,0xD8,pitch|freecam|vertical|stress,566,288,287,612,1,0x13BBC90D,0x708E17EF,0xB2A40B9D,2,0,0,39.12077049760453,34.0576171875,25.56186872805158,29.36200716845878,16.641950228542406,1948,1938,59.14306640625,2,1,1,1,0.030517578125,0.05159958720330237,4,1,1,3,0.091552734375,0.15479876160990713,642,1,1,641,19.561767578125,33.07533539731682,131,1,1,130,3.96728515625,6.707946336429308,73,1,1,72,2.197265625,3.7151702786377707,503,1,1,502,15.31982421875,25.90299277605779,131,1,1,130,3.96728515625,6.707946336429308,1,1,1,0,0.0,0.0,429,1,1,428,13.0615234375,22.084623323013417,32,1,1,31,0.946044921875,1.5995872033023735,0,0,0,0,0,0,0,0,0,0,0
