section_index,section_id,section_name,section_flags,section_flag_names,first_frame,frame_count,clean_frame_count,detailed_frame,crossing_count,logical_hash,presented_hash,state_hash,portal_0_lod,portal_1_lod,endpoint_room,clean_frame_ms_mean,clean_frame_ms_median,clean_average_fps,clean_median_fps,clean_1_percent_low_fps,detail_raw_total_ticks,detail_corrected_total_ticks,detail_corrected_total_ms,admin_raw_ticks,admin_entries,admin_switch_overhead_ticks,admin_corrected_ticks,admin_corrected_ms,admin_corrected_share_percent,setup_raw_ticks,setup_entries,setup_switch_overhead_ticks,setup_corrected_ticks,setup_corrected_ms,setup_corrected_share_percent,root_geometry_raw_ticks,root_geometry_entries,root_geometry_switch_overhead_ticks,root_geometry_corrected_ticks,root_geometry_corrected_ms,root_geometry_corrected_share_percent,root_fill_raw_ticks,root_fill_entries,root_fill_switch_overhead_ticks,root_fill_corrected_ticks,root_fill_corrected_ms,root_fill_corrected_share_percent,portal_setup_raw_ticks,portal_setup_entries,portal_setup_switch_overhead_ticks,portal_setup_corrected_ticks,portal_setup_corrected_ms,portal_setup_corrected_share_percent,portal_geometry_raw_ticks,portal_geometry_entries,portal_geometry_switch_overhead_ticks,portal_geometry_corrected_ticks,portal_geometry_corrected_ms,portal_geometry_corrected_share_percent,portal_fill_raw_ticks,portal_fill_entries,portal_fill_switch_overhead_ticks,portal_fill_corrected_ticks,portal_fill_corrected_ms,portal_fill_corrected_share_percent,wait_raw_ticks,wait_entries,wait_switch_overhead_ticks,wait_corrected_ticks,wait_corrected_ms,wait_corrected_share_percent,present_raw_ticks,present_entries,present_switch_overhead_ticks,present_corrected_ticks,present_corrected_ms,present_corrected_share_percent,overlay_raw_ticks,overlay_entries,overlay_switch_overhead_ticks,overlay_corrected_ticks,overlay_corrected_ms,overlay_corrected_share_percent,transformed_vertices,projected_points,rasterized_polygons,raster_rows,filled_spans,filled_pixels,portal_composite_pixels,portal_clip_pixels,full_portal_views,lod_portal_views,edge_division_fallbacks
0,1,OPEN_YAW,0x04,turn,0,128,127,1,0,0xF5386431,0x558150D7,0x9E5629C9,1,0,0,35.198061484990156,33.416748046875,28.410655525061784,29.92511415525114,19.883495145631066,1638,1628,49.6826171875,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.2457002457002457,661,1,1,660,20.1416015625,40.54054054054054,202,1,1,201,6.134033203125,12.346437346437346,42,1,1,41,1.251220703125,2.518427518427518,145,1,1,144,4.39453125,8.845208845208845,59,1,1,58,1.77001953125,3.5626535626535625,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,29.484029484029485,41,1,1,40,1.220703125,2.457002457002457,0,0,0,0,0,0,0,0,0,0,0
1,2,PITCH_SWEEP,0x08,pitch,128,96,95,133,0,0xF5386431,0x558150D7,0x9E5629C9,1,0,0,42.2193025287829,44.7998046875,23.685848417752823,22.321525885558582,20.14013521819299,1609,1599,48.797607421875,2,1,1,1,0.030517578125,0.06253908692933083,4,1,1,3,0.091552734375,0.18761726078799248,631,1,1,630,19.22607421875,39.39962476547842,201,1,1,200,6.103515625,12.507817385866167,42,1,1,41,1.251220703125,2.5641025641025643,142,1,1,141,4.302978515625,8.818011257035648,63,1,1,62,1.89208984375,3.8774233896185115,1,1,1,0,0.0,0.0,482,1,1,481,14.678955078125,30.08130081300813,41,1,1,40,1.220703125,2.5015634771732334,0,0,0,0,0,0,0,0,0,0,0
2,3,PORTAL_FAR,0x21,portal_view|lod,224,56,55,254,0,0xACD90C31,0x57771062,0xA72A6D23,1,0,0,47.32998934659091,49.1943359375,21.128253223915593,20.327543424317618,19.51637879690292,1667,1657,50.567626953125,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.24140012070006034,623,1,1,622,18.98193359375,37.537718768859385,209,1,1,208,6.34765625,12.552806276403139,50,1,1,49,1.495361328125,2.957151478575739,164,1,1,163,4.974365234375,9.837054918527459,92,1,1,91,2.777099609375,5.491852745926373,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,28.96801448400724,41,1,1,40,1.220703125,2.4140012070006036,0,0,0,0,0,0,0,0,0,0,0
3,4,PORTAL_NEAR,0x21,portal_view|lod,280,36,35,309,0,0x6BC9BA3D,0xC7979F36,0x6CC07690,0,0,0,52.10658482142857,51.8798828125,19.191432396251674,19.275294117647057,17.98463227222832,1809,1799,54.901123046875,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.22234574763757642,438,1,1,437,13.336181640625,24.291272929405224,113,1,1,112,3.41796875,6.22568093385214,74,1,1,73,2.227783203125,4.05780989438577,436,1,1,435,13.275146484375,24.180100055586436,219,1,1,218,6.65283203125,12.117843246247915,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,26.681489716509173,41,1,1,40,1.220703125,2.2234574763757644,0,0,0,0,0,0,0,0,0,0,0
4,5,CROSS_DOWN,0x83,portal_view|portal_cross|stress,316,4,3,316,1,0x4574F2BD,0xC47DC216,0x2C3FE3A2,0,0,1,44.413248697916664,51.26953125,22.515803939532752,19.504761904761907,18.419336706014615,1807,1797,54.840087890625,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.22259321090706732,438,1,1,437,13.336181640625,24.318308291597106,113,1,1,112,3.41796875,6.232609905397886,73,1,1,72,2.197265625,4.006677796327212,436,1,1,435,13.275146484375,24.207011686143574,218,1,1,217,6.622314453125,12.075681691708404,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,26.71118530884808,41,1,1,40,1.220703125,2.225932109070673,0,0,0,0,0,0,0,0,0,0,0
5,6,RETURN_UP,0x93,portal_view|portal_cross|freecam|stress,320,10,9,329,1,0xB2FCEA9A,0x3E7A9B97,0xA4A3A3D6,0,0,0,45.34233940972222,50.994873046875,22.054442117858212,19.6098144823459,12.464054773678205,1781,1772,54.0771484375,0,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.22573363431151242,440,1,1,439,13.397216796875,24.774266365688487,113,1,1,112,3.41796875,6.320541760722348,73,1,1,72,2.197265625,4.063205417607223,402,1,1,401,12.237548828125,22.62979683972912,197,1,1,196,5.9814453125,11.060948081264108,2,1,1,1,0.030517578125,0.056433408577878104,481,1,1,480,14.6484375,27.08803611738149,68,1,1,67,2.044677734375,3.781038374717833,0,0,0,0,0,0,0,0,0,0,0
6,7,LOD_RETREAT,0x31,portal_view|freecam|lod,330,48,47,338,0,0x7855312D,0xA8D4BB65,0xA8F2C94A,1,0,0,51.09616543384308,52.30712890625,19.570940236107404,19.117852975495914,17.636167922497307,1852,1842,56.21337890625,2,1,1,1,0.030517578125,0.05428881650380022,5,1,1,4,0.1220703125,0.21715526601520088,442,1,1,441,13.458251953125,23.941368078175895,113,1,1,112,3.41796875,6.080347448425624,74,1,1,73,2.227783203125,3.963083604777416,446,1,1,445,13.580322265625,24.158523344191096,220,1,1,219,6.683349609375,11.889250814332248,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,26.058631921824105,68,1,1,67,2.044677734375,3.6373507057546144,0,0,0,0,0,0,0,0,0,0,0
7,8,LOD_APPROACH,0xB3,portal_view|portal_cross|freecam|lod|stress,378,60,59,416,1,0x9391C926,0xCF9F1F10,0x8028BE00,0,0,1,50.666938393802965,52.42919921875,19.736736256444285,19.073341094295692,15.219693450998607,1852,1842,56.21337890625,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.21715526601520088,442,1,1,441,13.458251953125,23.941368078175895,114,1,1,113,3.448486328125,6.134636264929425,73,1,1,72,2.197265625,3.9087947882736156,447,1,1,446,13.61083984375,24.212812160694895,220,1,1,219,6.683349609375,11.889250814332248,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,26.058631921824105,68,1,1,67,2.044677734375,3.6373507057546144,0,0,0,0,0,0,0,0,0,0,0
8,9,FREECAM_YAW,0x14,turn|freecam,438,128,127,460,0,0x9391C926,0xCF9F1F10,0xD6FA1B1C,0,0,1,35.18412432332677,36.19384765625,28.421909575194647,27.62900505902192,25.73066352571653,1253,1246,38.02490234375,2,1,1,1,0.030517578125,0.08025682182985554,4,1,1,3,0.091552734375,0.24077046548956663,599,1,1,598,18.24951171875,47.99357945425361,98,1,1,97,2.960205078125,7.784911717495987,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,38.523274478330656,68,1,1,67,2.044677734375,5.377207062600321,0,0,0,0,0,0,0,0,0,0,0
9,10,FREECAM_3D,0xD8,pitch|freecam|vertical|stress,566,288,287,612,1,0x13BBC90D,0x232B60B4,0xB2A40B9D,2,0,0,43.823348520524824,38.57421875,22.818886136271544,25.924050632911392,15.31453497429506,2126,2116,64.5751953125,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.1890359168241966,656,1,1,655,19.989013671875,30.954631379962194,129,1,1,128,3.90625,6.049149338374291,73,1,1,72,2.197265625,3.402646502835539,515,1,1,514,15.68603515625,24.291115311909262,197,1,1,196,5.9814453125,9.262759924385634,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,22.68431001890359,68,1,1,67,2.044677734375,3.166351606805293,0,0,0,0,0,0,0,0,0,0,0
