section_index,section_id,section_name,section_flags,section_flag_names,first_frame,frame_count,clean_frame_count,detailed_frame,crossing_count,logical_hash,presented_hash,state_hash,portal_0_lod,portal_1_lod,endpoint_room,clean_frame_ms_mean,clean_frame_ms_median,clean_average_fps,clean_median_fps,clean_1_percent_low_fps,detail_raw_total_ticks,detail_corrected_total_ticks,detail_corrected_total_ms,admin_raw_ticks,admin_entries,admin_switch_overhead_ticks,admin_corrected_ticks,admin_corrected_ms,admin_corrected_share_percent,setup_raw_ticks,setup_entries,setup_switch_overhead_ticks,setup_corrected_ticks,setup_corrected_ms,setup_corrected_share_percent,root_geometry_raw_ticks,root_geometry_entries,root_geometry_switch_overhead_ticks,root_geometry_corrected_ticks,root_geometry_corrected_ms,root_geometry_corrected_share_percent,root_fill_raw_ticks,root_fill_entries,root_fill_switch_overhead_ticks,root_fill_corrected_ticks,root_fill_corrected_ms,root_fill_corrected_share_percent,portal_setup_raw_ticks,portal_setup_entries,portal_setup_switch_overhead_ticks,portal_setup_corrected_ticks,portal_setup_corrected_ms,portal_setup_corrected_share_percent,portal_geometry_raw_ticks,portal_geometry_entries,portal_geometry_switch_overhead_ticks,portal_geometry_corrected_ticks,portal_geometry_corrected_ms,portal_geometry_corrected_share_percent,portal_fill_raw_ticks,portal_fill_entries,portal_fill_switch_overhead_ticks,portal_fill_corrected_ticks,portal_fill_corrected_ms,portal_fill_corrected_share_percent,wait_raw_ticks,wait_entries,wait_switch_overhead_ticks,wait_corrected_ticks,wait_corrected_ms,wait_corrected_share_percent,present_raw_ticks,present_entries,present_switch_overhead_ticks,present_corrected_ticks,present_corrected_ms,present_corrected_share_percent,overlay_raw_ticks,overlay_entries,overlay_switch_overhead_ticks,overlay_corrected_ticks,overlay_corrected_ms,overlay_corrected_share_percent,transformed_vertices,projected_points,rasterized_polygons,raster_rows,filled_spans,filled_pixels,portal_composite_pixels,portal_clip_pixels,full_portal_views,lod_portal_views,edge_division_fallbacks
0,1,OPEN_YAW,0x04,turn,0,128,127,1,0,0xF5386431,0x558150D7,0x9E5629C9,1,0,0,35.00630536417323,33.233642578125,28.566282262493136,30.089990817263544,20.02322028719829,1627,1617,49.346923828125,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.24737167594310452,655,1,1,654,19.95849609375,40.44526901669759,203,1,1,202,6.16455078125,12.492269635126778,41,1,1,40,1.220703125,2.473716759431045,141,1,1,140,4.2724609375,8.658008658008658,58,1,1,57,1.739501953125,3.5250463821892395,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,29.68460111317254,41,1,1,40,1.220703125,2.473716759431045,0,0,0,0,0,0,0,0,0,0,0
1,2,PITCH_SWEEP,0x08,pitch,128,96,95,133,0,0xF5386431,0x558150D7,0x9E5629C9,1,0,0,41.941110711348685,44.43359375,23.842954634232274,22.505494505494507,20.23965410747375,1597,1588,48.4619140625,0,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.2518891687657431,625,1,1,624,19.04296875,39.29471032745592,201,1,1,200,6.103515625,12.594458438287154,41,1,1,40,1.220703125,2.5188916876574305,138,1,1,137,4.180908203125,8.6272040302267,63,1,1,62,1.89208984375,3.9042821158690177,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,30.22670025188917,42,1,1,41,1.251220703125,2.5818639798488663,0,0,0,0,0,0,0,0,0,0,0
2,3,PORTAL_FAR,0x21,portal_view|lod,224,56,55,254,0,0xACD90C31,0x57771062,0xA72A6D23,1,0,0,46.98874733664773,48.858642578125,21.28169097242723,20.467207995003122,19.645083932853716,1657,1647,50.262451171875,2,1,1,1,0.030517578125,0.06071645415907711,5,1,1,4,0.1220703125,0.24286581663630843,617,1,1,616,18.798828125,37.4013357619915,208,1,1,207,6.317138671875,12.568306010928962,50,1,1,49,1.495361328125,2.9751062537947783,159,1,1,158,4.82177734375,9.593199757134183,92,1,1,91,2.777099609375,5.525197328476017,1,1,1,0,0.0,0.0,482,1,1,481,14.678955078125,29.20461445051609,41,1,1,40,1.220703125,2.428658166363084,0,0,0,0,0,0,0,0,0,0,0
3,4,PORTAL_NEAR,0x21,portal_view|lod,280,36,35,309,0,0x6BC9BA3D,0xC7979F36,0x6CC07690,0,0,0,51.776123046875,51.57470703125,19.3139219615702,19.389349112426036,18.093870789618997,1798,1788,54.5654296875,2,1,1,1,0.030517578125,0.05592841163310962,5,1,1,4,0.1220703125,0.22371364653243847,432,1,1,431,13.153076171875,24.105145413870247,113,1,1,112,3.41796875,6.263982102908278,73,1,1,72,2.197265625,4.026845637583893,431,1,1,430,13.12255859375,24.049217002237135,219,1,1,218,6.65283203125,12.192393736017896,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,26.845637583892618,41,1,1,40,1.220703125,2.237136465324385,0,0,0,0,0,0,0,0,0,0,0
4,5,CROSS_DOWN,0x83,portal_view|portal_cross|stress,316,4,3,316,1,0x4574F2BD,0xC47DC216,0x2C3FE3A2,0,0,1,44.209798177083336,50.933837890625,22.619420156465715,19.63331336129419,18.460845070422536,1797,1787,54.534912109375,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.2238388360380526,433,1,1,432,13.18359375,24.17459429210968,112,1,1,111,3.387451171875,6.21152770005596,74,1,1,73,2.227783203125,4.08505875769446,430,1,1,429,13.092041015625,24.006715165081143,218,1,1,217,6.622314453125,12.143256855064354,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,26.86066032456631,42,1,1,41,1.251220703125,2.2943480693900393,0,0,0,0,0,0,0,0,0,0,0
5,6,RETURN_UP,0x93,portal_view|portal_cross|freecam|stress,320,10,9,329,1,0xB2FCEA9A,0x3E7A9B97,0xA4A3A3D6,0,0,0,45.094807942708336,50.6591796875,22.1755019174374,19.73975903614458,12.521207489491784,1771,1761,53.741455078125,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.2271436683702442,434,1,1,433,13.214111328125,24.58830210107893,113,1,1,112,3.41796875,6.360022714366837,73,1,1,72,2.197265625,4.088586030664395,397,1,1,396,12.0849609375,22.487223168654175,198,1,1,197,6.011962890625,11.186825667234526,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,27.2572402044293,68,1,1,67,2.044677734375,3.80465644520159,0,0,0,0,0,0,0,0,0,0,0
6,7,LOD_RETREAT,0x31,portal_view|freecam|lod,330,48,47,338,0,0x7855312D,0xA8D4BB65,0xA8F2C94A,1,0,0,50.772159657579785,51.910400390625,19.695833439905876,19.263962375073486,17.74120194910666,1841,1831,55.877685546875,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.2184598580010923,436,1,1,435,13.275146484375,23.75750955761879,114,1,1,113,3.448486328125,6.1714909885308575,73,1,1,72,2.197265625,3.9322774440196615,442,1,1,441,13.458251953125,24.085199344620428,220,1,1,219,6.683349609375,11.960677225559804,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,26.215182960131077,68,1,1,67,2.044677734375,3.659202621518296,0,0,0,0,0,0,0,0,0,0,0
7,8,LOD_APPROACH,0xB3,portal_view|portal_cross|freecam|lod|stress,378,60,59,416,1,0x9391C926,0xCF9F1F10,0x8028BE00,0,0,1,50.35452115333686,52.093505859375,19.859189941551705,19.196250732278852,15.24802233597022,1841,1831,55.877685546875,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.2184598580010923,436,1,1,435,13.275146484375,23.75750955761879,114,1,1,113,3.448486328125,6.1714909885308575,73,1,1,72,2.197265625,3.9322774440196615,442,1,1,441,13.458251953125,24.085199344620428,220,1,1,219,6.683349609375,11.960677225559804,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,26.215182960131077,68,1,1,67,2.044677734375,3.659202621518296,0,0,0,0,0,0,0,0,0,0,0
8,9,FREECAM_YAW,0x14,turn|freecam,438,128,127,439,0,0x9391C926,0xCF9F1F10,0xD6FA1B1C,0,0,1,35.01591719980315,36.0107421875,28.558440845457042,27.769491525423728,25.852465483234713,1248,1241,37.872314453125,2,1,1,1,0.030517578125,0.08058017727639001,4,1,1,3,0.091552734375,0.24174053182917002,591,1,1,590,18.00537109375,47.54230459307011,101,1,1,100,3.0517578125,8.058017727639001,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,38.6784850926672,68,1,1,67,2.044677734375,5.398871877518131,0,0,0,0,0,0,0,0,0,0,0
9,10,FREECAM_3D,0xD8,pitch|freecam|vertical|stress,566,288,287,612,1,0x13BBC90D,0x232B60B4,0xB2A40B9D,2,0,0,43.60196316283754,38.39111328125,22.934747141209264,26.047694753577108,15.386445453122555,2115,2105,64.239501953125,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.19002375296912113,650,1,1,649,19.805908203125,30.831353919239906,129,1,1,128,3.90625,6.080760095011876,73,1,1,72,2.197265625,3.4204275534441804,509,1,1,508,15.5029296875,24.133016627078383,198,1,1,197,6.011962890625,9.358669833729216,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,22.802850356294538,68,1,1,67,2.044677734375,3.182897862232779,0,0,0,0,0,0,0,0,0,0,0
