section_index,section_id,section_name,section_flags,section_flag_names,first_frame,frame_count,clean_frame_count,detailed_frame,crossing_count,logical_hash,presented_hash,state_hash,portal_0_lod,portal_1_lod,endpoint_room,clean_frame_ms_mean,clean_frame_ms_median,clean_average_fps,clean_median_fps,clean_1_percent_low_fps,detail_raw_total_ticks,detail_corrected_total_ticks,detail_corrected_total_ms,admin_raw_ticks,admin_entries,admin_switch_overhead_ticks,admin_corrected_ticks,admin_corrected_ms,admin_corrected_share_percent,setup_raw_ticks,setup_entries,setup_switch_overhead_ticks,setup_corrected_ticks,setup_corrected_ms,setup_corrected_share_percent,root_geometry_raw_ticks,root_geometry_entries,root_geometry_switch_overhead_ticks,root_geometry_corrected_ticks,root_geometry_corrected_ms,root_geometry_corrected_share_percent,root_fill_raw_ticks,root_fill_entries,root_fill_switch_overhead_ticks,root_fill_corrected_ticks,root_fill_corrected_ms,root_fill_corrected_share_percent,portal_setup_raw_ticks,portal_setup_entries,portal_setup_switch_overhead_ticks,portal_setup_corrected_ticks,portal_setup_corrected_ms,portal_setup_corrected_share_percent,portal_geometry_raw_ticks,portal_geometry_entries,portal_geometry_switch_overhead_ticks,portal_geometry_corrected_ticks,portal_geometry_corrected_ms,portal_geometry_corrected_share_percent,portal_fill_raw_ticks,portal_fill_entries,portal_fill_switch_overhead_ticks,portal_fill_corrected_ticks,portal_fill_corrected_ms,portal_fill_corrected_share_percent,wait_raw_ticks,wait_entries,wait_switch_overhead_ticks,wait_corrected_ticks,wait_corrected_ms,wait_corrected_share_percent,present_raw_ticks,present_entries,present_switch_overhead_ticks,present_corrected_ticks,present_corrected_ms,present_corrected_share_percent,overlay_raw_ticks,overlay_entries,overlay_switch_overhead_ticks,overlay_corrected_ticks,overlay_corrected_ms,overlay_corrected_share_percent,transformed_vertices,projected_points,rasterized_polygons,raster_rows,filled_spans,filled_pixels,portal_composite_pixels,portal_clip_pixels,full_portal_views,lod_portal_views,edge_division_fallbacks
0,1,OPEN_YAW,0x04,turn,0,128,127,1,0,0xF5386431,0x558150D7,0x9E5629C9,1,0,0,34.94046429010827,33.203125,28.62011196236744,30.11764705882353,20.06613594611145,1624,1614,49.25537109375,2,1,1,1,0.030517578125,0.061957868649318466,5,1,1,4,0.1220703125,0.24783147459727387,652,1,1,651,19.866943359375,40.33457249070632,203,1,1,202,6.16455078125,12.515489467162329,41,1,1,40,1.220703125,2.4783147459727384,139,1,1,138,4.21142578125,8.550185873605948,58,1,1,57,1.739501953125,3.5315985130111525,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,29.739776951672862,42,1,1,41,1.251220703125,2.540272614622057,0,0,0,0,0,0,0,0,0,0,0
1,2,PITCH_SWEEP,0x08,pitch,128,96,95,133,0,0xF5386431,0x558150D7,0x9E5629C9,1,0,0,41.83863589638158,44.281005859375,23.901352866202913,22.583046175051688,20.302354399008674,1594,1584,48.33984375,2,1,1,1,0.030517578125,0.06313131313131314,4,1,1,3,0.091552734375,0.1893939393939394,623,1,1,622,18.98193359375,39.26767676767677,201,1,1,200,6.103515625,12.626262626262626,41,1,1,40,1.220703125,2.525252525252525,136,1,1,135,4.119873046875,8.522727272727273,63,1,1,62,1.89208984375,3.914141414141414,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,30.303030303030305,42,1,1,41,1.251220703125,2.5883838383838382,0,0,0,0,0,0,0,0,0,0,0
2,3,PORTAL_FAR,0x21,portal_view|lod,224,56,55,254,0,0xACD90C31,0x57771062,0xA72A6D23,1,0,0,46.86945134943182,48.7060546875,21.335858884811177,20.531328320802004,19.68048048048048,1653,1643,50.140380859375,2,1,1,1,0.030517578125,0.06086427267194157,4,1,1,3,0.091552734375,0.18259281801582472,615,1,1,614,18.73779296875,37.37066342057212,209,1,1,208,6.34765625,12.659768715763846,50,1,1,49,1.495361328125,2.982349360925137,157,1,1,156,4.7607421875,9.494826536822885,92,1,1,91,2.777099609375,5.538648813146683,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,29.214850882531955,42,1,1,41,1.251220703125,2.4954351795496046,0,0,0,0,0,0,0,0,0,0,0
3,4,PORTAL_NEAR,0x21,portal_view|lod,280,36,35,309,0,0x6BC9BA3D,0xC7979F36,0x6CC07690,0,0,0,51.661900111607146,51.45263671875,19.356624472573838,19.43534994068802,18.143964562569213,1794,1784,54.443359375,2,1,1,1,0.030517578125,0.05605381165919283,4,1,1,3,0.091552734375,0.1681614349775785,431,1,1,430,13.12255859375,24.103139013452914,113,1,1,112,3.41796875,6.278026905829597,73,1,1,72,2.197265625,4.0358744394618835,429,1,1,428,13.0615234375,23.99103139013453,219,1,1,218,6.65283203125,12.219730941704036,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,26.905829596412556,41,1,1,40,1.220703125,2.242152466367713,0,0,0,0,0,0,0,0,0,0,0
4,5,CROSS_DOWN,0x83,portal_view|portal_cross|stress,316,4,3,316,1,0x4574F2BD,0xC47DC216,0x2C3FE3A2,0,0,1,44.118245442708336,50.811767578125,22.66635923449389,19.68048048048048,18.48166948674563,1793,1783,54.412841796875,2,1,1,1,0.030517578125,0.056085249579360626,5,1,1,4,0.1220703125,0.2243409983174425,430,1,1,429,13.092041015625,24.06057206954571,113,1,1,112,3.41796875,6.28154795288839,73,1,1,72,2.197265625,4.038137969713965,429,1,1,428,13.0615234375,24.00448681996635,218,1,1,217,6.622314453125,12.170499158721256,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,26.920919798093102,41,1,1,40,1.220703125,2.243409983174425,0,0,0,0,0,0,0,0,0,0,0
5,6,RETURN_UP,0x93,portal_view|portal_cross|freecam|stress,320,10,9,329,1,0xB2FCEA9A,0x3E7A9B97,0xA4A3A3D6,0,0,0,45.013427734375,50.567626953125,22.215593220338985,19.775497887748944,12.53557765876052,1767,1757,53.619384765625,2,1,1,1,0.030517578125,0.056915196357427436,5,1,1,4,0.1220703125,0.22766078542970974,431,1,1,430,13.12255859375,24.473534433693796,113,1,1,112,3.41796875,6.374501992031872,74,1,1,73,2.227783203125,4.154809334092203,395,1,1,394,12.02392578125,22.424587364826408,197,1,1,196,5.9814453125,11.155378486055778,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,27.319294251565168,68,1,1,67,2.044677734375,3.813318155947638,0,0,0,0,0,0,0,0,0,0,0
6,7,LOD_RETREAT,0x31,portal_view|freecam|lod,330,48,47,338,0,0x7855312D,0xA8D4BB65,0xA8F2C94A,1,0,0,50.646193484042556,51.849365234375,19.744820512820514,19.286639199529134,17.77006507592191,1837,1827,55.755615234375,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.21893814997263272,434,1,1,433,13.214111328125,23.700054734537492,114,1,1,113,3.448486328125,6.185002736726875,73,1,1,72,2.197265625,3.9408866995073892,440,1,1,439,13.397216796875,24.028461959496443,220,1,1,219,6.683349609375,11.986863711001641,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,26.272577996715928,68,1,1,67,2.044677734375,3.6672140120415984,0,0,0,0,0,0,0,0,0,0,0
7,8,LOD_APPROACH,0xB3,portal_view|portal_cross|freecam|lod|stress,378,60,59,416,1,0x9391C926,0xCF9F1F10,0x8028BE00,0,0,1,50.23555432335805,51.94091796875,19.906220075987687,19.25264394829612,15.262226362366093,1837,1827,55.755615234375,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.21893814997263272,435,1,1,434,13.24462890625,23.754789272030653,113,1,1,112,3.41796875,6.130268199233717,73,1,1,72,2.197265625,3.9408866995073892,440,1,1,439,13.397216796875,24.028461959496443,220,1,1,219,6.683349609375,11.986863711001641,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,26.272577996715928,68,1,1,67,2.044677734375,3.6672140120415984,0,0,0,0,0,0,0,0,0,0,0
8,9,FREECAM_YAW,0x14,turn|freecam,438,128,127,439,0,0x9391C926,0xCF9F1F10,0xD6FA1B1C,0,0,1,34.95872677780512,35.94970703125,28.60516077590355,27.816638370118845,25.88309636650869,1245,1238,37.78076171875,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.32310177705977383,588,1,1,587,17.913818359375,47.41518578352181,101,1,1,100,3.0517578125,8.077544426494345,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,38.77221324717286,68,1,1,67,2.044677734375,5.4119547657512115,0,0,0,0,0,0,0,0,0,0,0
9,10,FREECAM_3D,0xD8,pitch|freecam|vertical|stress,566,288,287,612,1,0x13BBC90D,0x232B60B4,0xB2A40B9D,2,0,0,43.52146906304443,38.39111328125,22.97716555825397,26.047694753577108,15.410565919423107,2111,2101,64.117431640625,1,1,1,0,0.0,0.0,5,1,1,4,0.1220703125,0.19038553069966682,648,1,1,647,19.744873046875,30.79485959067111,128,1,1,127,3.875732421875,6.044740599714422,73,1,1,72,2.197265625,3.426939552594003,508,1,1,507,15.472412109375,24.13136601618277,198,1,1,197,6.011962890625,9.37648738695859,1,1,1,0,0.0,0.0,481,1,1,480,14.6484375,22.846263683960018,68,1,1,67,2.044677734375,3.1889576392194194,0,0,0,0,0,0,0,0,0,0,0
